,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
MALLA,estado nutricional,a baja,2013-04-01,2,0,7,4,8,9,17,13,30
MAPIRI,estado nutricional,a baja,2013-04-01,5,3,16,4,15,16,36,23,59
MECAPACA,estado nutricional,a baja,2013-04-01,0,0,11,4,13,11,24,15,39
MINEROS,estado nutricional,a baja,2013-04-01,3,2,12,5,9,12,24,19,43
MIZQUE,estado nutricional,a baja,2013-04-01,32,19,51,46,50,75,133,140,273
MOCOMOCO,estado nutricional,a baja,2013-04-01,4,3,18,10,9,12,31,25,56
MOJINETE,estado nutricional,a baja,2013-04-01,3,0,3,1,0,0,6,1,7
MOJOCOYA,estado nutricional,a baja,2013-04-01,5,2,10,7,26,27,41,36,77
MONTEAGUDO,estado nutricional,a baja,2013-04-01,5,3,16,12,30,26,51,41,92
MONTERO,estado nutricional,a baja,2013-04-01,14,11,12,12,12,20,38,43,81
MORO MORO,estado nutricional,a baja,2013-04-01,0,0,3,1,1,0,4,1,5
MOROCHATA,estado nutricional,a baja,2013-04-01,29,16,62,36,75,70,166,122,288
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a baja,2013-04-01,0,1,0,0,0,1,0,2,2
NAZACARA DE PACAJES,estado nutricional,a baja,2013-04-01,2,0,1,0,1,1,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a baja,2013-04-01,1,0,4,0,2,5,7,5,12
OCURI,estado nutricional,a baja,2013-04-01,29,20,84,48,91,72,204,140,344
OKINAWA,estado nutricional,a baja,2013-04-01,9,4,10,6,9,9,28,19,47
OMEREQUE,estado nutricional,a baja,2013-04-01,0,3,4,2,4,2,8,7,15
ORURO,estado nutricional,a baja,2013-04-01,241,172,369,204,166,159,776,535,1311
PADCAYA,estado nutricional,a baja,2013-04-01,4,0,12,5,5,10,21,15,36
PADILLA,estado nutricional,a baja,2013-04-01,5,4,8,11,42,32,55,47,102
PAILON,estado nutricional,a baja,2013-04-01,5,1,4,2,4,3,13,6,19
PALCA,estado nutricional,a baja,2013-04-01,12,1,28,14,19,17,59,32,91
PALOS BLANCOS,estado nutricional,a baja,2013-04-01,10,9,33,20,45,32,88,61,149
PAMPA AULLAGAS,estado nutricional,a baja,2013-04-01,5,4,9,3,4,6,18,13,31
PAMPA GRANDE,estado nutricional,a baja,2013-04-01,0,0,5,3,7,2,12,5,17
PAPEL PAMPA,estado nutricional,a baja,2013-04-01,9,0,4,2,3,3,16,5,21
PASORAPA,estado nutricional,a baja,2013-04-01,0,1,5,3,7,4,12,8,20
PATACAMAYA,estado nutricional,a baja,2013-04-01,6,9,24,11,20,13,50,33,83
PAZÑA,estado nutricional,a baja,2013-04-01,8,7,12,6,14,16,34,29,63
PELECHUCO,estado nutricional,a baja,2013-04-01,3,1,7,2,8,5,18,8,26
POCOATA,estado nutricional,a baja,2013-04-01,38,31,64,57,96,82,198,170,368
POCONA,estado nutricional,a baja,2013-04-01,16,0,26,21,25,18,67,39,106
POJO (CBBA),estado nutricional,a baja,2013-04-01,8,2,13,7,19,17,40,26,66
POOPO,estado nutricional,a baja,2013-04-01,5,1,4,3,7,13,16,17,33
PORCO,estado nutricional,a baja,2013-04-01,32,17,36,19,15,5,83,41,124
POROMA,estado nutricional,a baja,2013-04-01,7,10,39,28,56,60,102,98,200
PORONGO,estado nutricional,a baja,2013-04-01,0,0,0,1,1,1,1,2,3
PORTACHUELO,estado nutricional,a baja,2013-04-01,2,3,1,2,0,1,3,6,9
PORVENIR,estado nutricional,a baja,2013-04-01,0,1,5,4,0,1,5,6,11
POSTRER VALLE,estado nutricional,a baja,2013-04-01,3,2,2,1,2,0,7,3,10
POTOSI,estado nutricional,a baja,2013-04-01,234,121,320,177,148,131,702,429,1131
PRESTO,estado nutricional,a baja,2013-04-01,12,8,26,25,61,49,99,82,181
PUCARA,estado nutricional,a baja,2013-04-01,1,0,3,1,2,3,6,4,10
PUCARANI,estado nutricional,a baja,2013-04-01,8,6,28,20,12,7,48,33,81
PUERTO ACOSTA,estado nutricional,a baja,2013-04-01,7,2,7,8,3,3,17,13,30
PUERTO CARABUCO,estado nutricional,a baja,2013-04-01,5,5,11,8,16,10,32,23,55
PUERTO GONZALO MORENO,estado nutricional,a baja,2013-04-01,11,8,36,22,35,31,82,61,143
PUERTO PEREZ,estado nutricional,a baja,2013-04-01,2,0,3,0,2,0,7,0,7
PUERTO QUIJARRO,estado nutricional,a baja,2013-04-01,4,4,2,4,3,1,9,9,18
PUERTO RICO,estado nutricional,a baja,2013-04-01,2,1,6,2,8,3,16,6,22
PUERTO SILES,estado nutricional,a baja,2013-04-01,1,0,1,1,0,1,2,2,4
PUERTO SUAREZ,estado nutricional,a baja,2013-04-01,8,7,5,4,6,3,19,14,33
PUERTO VILLARROEL,estado nutricional,a baja,2013-04-01,7,9,28,17,30,27,65,53,118
PUNA,estado nutricional,a baja,2013-04-01,23,7,29,34,44,47,96,88,184
PUNATA,estado nutricional,a baja,2013-04-01,1,7,17,13,7,12,25,32,57
QUIABAYA,estado nutricional,a baja,2013-04-01,4,2,4,2,10,8,18,12,30
QUILLACOLLO,estado nutricional,a baja,2013-04-01,50,46,65,64,73,73,188,183,371
QUIME,estado nutricional,a baja,2013-04-01,5,2,2,11,13,6,20,19,39
QUIRUSILLAS,estado nutricional,a baja,2013-04-01,0,0,0,0,3,0,3,0,3
RAVELO,estado nutricional,a baja,2013-04-01,43,28,71,64,120,147,234,239,473
REYES,estado nutricional,a baja,2013-04-01,5,1,15,5,2,5,22,11,33
RIBERALTA,estado nutricional,a baja,2013-04-01,49,34,149,95,75,54,273,183,456
ROBORE,estado nutricional,a baja,2013-04-01,0,1,0,1,0,1,0,3,3
RURRENABAQUE,estado nutricional,a baja,2013-04-01,5,5,11,5,7,9,23,19,42
SABAYA,estado nutricional,a baja,2013-04-01,0,0,4,1,6,4,10,5,15
SACABA,estado nutricional,a baja,2013-04-01,26,24,62,44,70,66,158,134,292
SACABAMBA,estado nutricional,a baja,2013-04-01,2,3,11,7,7,6,20,16,36
SACACA,estado nutricional,a baja,2013-04-01,62,39,92,56,87,104,241,199,440
SAIPINA,estado nutricional,a baja,2013-04-01,2,1,0,6,0,2,2,9,11
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-04-01,9,5,36,13,38,35,83,53,136
SAMAIPATA,estado nutricional,a baja,2013-04-01,3,1,6,6,9,10,18,17,35
SAN AGUSTIN,estado nutricional,a baja,2013-04-01,0,0,2,0,4,2,6,2,8
SAN ANDRES,estado nutricional,a baja,2013-04-01,1,2,6,2,2,6,9,10,19
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-04-01,1,1,3,3,2,4,6,8,14
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-04-01,2,0,1,1,2,2,5,3,8
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-04-01,10,7,14,8,13,19,37,34,71
SAN BENITO,estado nutricional,a baja,2013-04-01,6,14,12,10,13,7,31,31,62
SAN BORJA,estado nutricional,a baja,2013-04-01,28,9,41,25,53,50,122,84,206
SAN BUENA VENTURA,estado nutricional,a baja,2013-04-01,3,3,3,5,5,9,11,17,28
SAN CARLOS,estado nutricional,a baja,2013-04-01,6,2,8,7,9,6,23,15,38
SAN IGNACIO,estado nutricional,a baja,2013-04-01,13,12,14,14,17,18,44,44,88
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-04-01,4,8,31,29,21,13,56,50,106
SAN JAVIER(STC),estado nutricional,a baja,2013-04-01,1,1,0,1,1,2,2,4,6
SAN JOAQUIN,estado nutricional,a baja,2013-04-01,1,0,3,0,3,2,7,2,9
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-04-01,0,4,12,6,6,3,18,13,31
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-04-01,0,0,2,0,1,0,3,0,3
SAN JULIAN,estado nutricional,a baja,2013-04-01,6,4,4,11,10,6,20,21,41
SAN LORENZO(PND),estado nutricional,a baja,2013-04-01,4,3,16,8,3,8,23,19,42
SAN LORENZO(TJA),estado nutricional,a baja,2013-04-01,2,3,13,12,21,16,36,31,67
SAN LUCAS,estado nutricional,a baja,2013-04-01,38,39,60,78,182,176,280,293,573
SAN MATIAS,estado nutricional,a baja,2013-04-01,0,0,1,4,1,2,2,6,8
SAN MIGUEL DE VELASCO,estado nutricional,a baja,2013-04-01,18,4,35,26,23,25,76,55,131
SAN PABLO DE LIPEZ,estado nutricional,a baja,2013-04-01,1,2,1,1,1,5,3,8,11
SAN PEDRO,estado nutricional,a baja,2013-04-01,1,2,2,0,5,0,8,2,10
SAN PEDRO DE BUENA VISTA,estado nutricional,a baja,2013-04-01,42,39,83,61,74,97,199,197,396
SAN PEDRO DE CURAHUARA,estado nutricional,a baja,2013-04-01,2,0,10,10,2,6,14,16,30
SAN PEDRO DE QUEMES,estado nutricional,a baja,2013-04-01,1,0,1,0,0,1,2,1,3
SAN PEDRO DE TIQUINA,estado nutricional,a baja,2013-04-01,2,0,4,0,3,0,9,0,9
SAN PEDRO(PND),estado nutricional,a baja,2013-04-01,1,0,6,0,2,4,9,4,13
SAN RAFAEL,estado nutricional,a baja,2013-04-01,2,0,14,3,2,5,18,8,26
SAN RAMON BENI,estado nutricional,a baja,2013-04-01,0,0,2,1,3,5,5,6,11
SAN RAMON SCZ,estado nutricional,a baja,2013-04-01,6,4,3,3,5,4,14,11,25
SANTA ANA,estado nutricional,a baja,2013-04-01,2,1,2,2,3,4,7,7,14
SANTA CRUZ DE LA SIERRA,estado nutricional,a baja,2013-04-01,111,75,121,64,95,108,327,247,574
SANTA ROSA,estado nutricional,a baja,2013-04-01,3,2,4,3,4,3,11,8,19
SANTA ROSA DEL SARA,estado nutricional,a baja,2013-04-01,2,2,1,1,5,6,8,9,17
SANTIAGO DE CALLAPA,estado nutricional,a baja,2013-04-01,1,1,3,4,0,1,4,6,10
SANTIAGO DE HUARI,estado nutricional,a baja,2013-04-01,10,5,15,14,28,12,53,31,84
SANTIAGO DE HUATA,estado nutricional,a baja,2013-04-01,3,1,9,2,8,8,20,11,31
SANTIAGO DE MACHACA,estado nutricional,a baja,2013-04-01,7,2,13,4,8,5,28,11,39
SANTIVAÑES,estado nutricional,a baja,2013-04-01,1,1,5,3,12,5,18,9,27
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-04-01,3,0,3,7,10,10,16,17,33
SAPAHAQUI,estado nutricional,a baja,2013-04-01,10,5,26,11,16,18,52,34,86
SENA,estado nutricional,a baja,2013-04-01,1,0,5,9,12,11,18,20,38
SHINAOTA,estado nutricional,a baja,2013-04-01,6,5,18,26,9,17,33,48,81
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-04-01,14,10,19,15,22,29,55,54,109
SICAYA,estado nutricional,a baja,2013-04-01,1,4,13,11,21,12,35,27,62
SIPE SIPE,estado nutricional,a baja,2013-04-01,21,14,39,32,29,38,89,84,173
SOPACHUY,estado nutricional,a baja,2013-04-01,5,2,16,16,48,40,69,58,127
SORACACHI,estado nutricional,a baja,2013-04-01,17,7,27,17,25,21,69,45,114
SORATA,estado nutricional,a baja,2013-04-01,5,2,7,3,12,11,24,16,40
SUCRE,estado nutricional,a baja,2013-04-01,65,38,189,115,137,136,391,289,680
TACACHI,estado nutricional,a baja,2013-04-01,0,0,0,0,0,1,0,1,1
TACACOMA,estado nutricional,a baja,2013-04-01,4,3,4,2,9,4,17,9,26
TACOBAMBA,estado nutricional,a baja,2013-04-01,6,3,19,13,14,13,39,29,68
TACOPAYA,estado nutricional,a baja,2013-04-01,24,9,25,26,69,54,118,89,207
TAHUA,estado nutricional,a baja,2013-04-01,0,0,1,0,1,0,2,0,2
TAPACARI,estado nutricional,a baja,2013-04-01,41,29,70,37,84,62,195,128,323
TARABUCO,estado nutricional,a baja,2013-04-01,13,14,43,18,107,118,163,150,313
TARACO,estado nutricional,a baja,2013-04-01,6,0,3,2,6,5,15,7,22
TARATA,estado nutricional,a baja,2013-04-01,3,3,7,9,6,6,16,18,34
TARIJA,estado nutricional,a baja,2013-04-01,29,21,44,26,51,54,124,101,225
TARVITA,estado nutricional,a baja,2013-04-01,11,7,43,30,105,111,159,148,307
TEOPONTE,estado nutricional,a baja,2013-04-01,1,0,3,2,10,6,14,8,22
TIAWANACU,estado nutricional,a baja,2013-04-01,1,3,12,5,9,15,22,23,45
TINGUIPAYA,estado nutricional,a baja,2013-04-01,46,29,62,60,57,42,165,131,296
TIPUANI,estado nutricional,a baja,2013-04-01,0,1,5,2,5,3,10,6,16
TIQUIPAYA,estado nutricional,a baja,2013-04-01,16,12,35,29,29,32,80,73,153
TIRAQUE (CBBA),estado nutricional,a baja,2013-04-01,9,8,28,17,24,24,61,49,110
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a baja,2013-04-01,1,1,0,1,1,0,2,2,4
TOCO,estado nutricional,a baja,2013-04-01,0,3,4,5,4,1,8,9,17
TODOS SANTOS,estado nutricional,a baja,2013-04-01,1,0,0,0,0,0,1,0,1
TOLATA,estado nutricional,a baja,2013-04-01,0,0,3,3,4,6,7,9,16
TOLEDO,estado nutricional,a baja,2013-04-01,2,4,10,1,12,3,24,8,32
TOMAVE,estado nutricional,a baja,2013-04-01,18,11,32,15,27,11,77,37,114
TOMINA,estado nutricional,a baja,2013-04-01,8,5,27,18,77,84,112,107,219
TORO TORO,estado nutricional,a baja,2013-04-01,12,4,29,20,58,47,99,71,170
TOTORA(CBBA),estado nutricional,a baja,2013-04-01,11,2,24,20,19,15,54,37,91
TOTORA(ORR),estado nutricional,a baja,2013-04-01,3,2,9,4,1,3,13,9,22
TRINIDAD,estado nutricional,a baja,2013-04-01,11,7,17,6,26,11,54,24,78
TUPIZA,estado nutricional,a baja,2013-04-01,36,26,38,25,36,38,110,89,199
TURCO,estado nutricional,a baja,2013-04-01,1,0,2,2,4,4,7,6,13
UMALA,estado nutricional,a baja,2013-04-01,1,2,23,8,6,10,30,20,50
UNCIA,estado nutricional,a baja,2013-04-01,24,12,72,40,45,42,141,94,235
URIONDO (A. CONCEPCION),estado nutricional,a baja,2013-04-01,2,1,4,12,6,6,12,19,31
URUBICHA,estado nutricional,a baja,2013-04-01,5,5,10,4,2,2,17,11,28
UYUNI,estado nutricional,a baja,2013-04-01,9,7,27,31,16,15,52,53,105
VACAS,estado nutricional,a baja,2013-04-01,16,5,26,18,34,28,76,51,127
VALLEGRANDE,estado nutricional,a baja,2013-04-01,2,1,3,1,1,1,6,3,9
VIACHA,estado nutricional,a baja,2013-04-01,29,27,53,35,24,32,106,94,200
VILA VILA,estado nutricional,a baja,2013-04-01,6,4,16,17,23,31,45,52,97
VILLA CHARCAS,estado nutricional,a baja,2013-04-01,11,14,52,40,103,105,166,159,325
VILLA MONTES,estado nutricional,a baja,2013-04-01,3,7,10,8,13,15,26,30,56
VILLA NUEVA (LOMA ALTA),estado nutricional,a baja,2013-04-01,5,0,1,0,4,3,10,3,13
VILLA RIVERO,estado nutricional,a baja,2013-04-01,5,5,7,11,4,10,16,26,42
VILLA SERRANO,estado nutricional,a baja,2013-04-01,8,7,23,11,60,52,91,70,161
VILLA TUNARI,estado nutricional,a baja,2013-04-01,28,32,86,73,101,105,215,210,425
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a baja,2013-04-01,4,2,8,13,10,8,22,23,45
VILLAZON,estado nutricional,a baja,2013-04-01,34,33,75,46,49,36,158,115,273
VINTO,estado nutricional,a baja,2013-04-01,2,6,21,16,12,16,35,38,73
VITICHI,estado nutricional,a baja,2013-04-01,1,2,11,10,9,18,21,30,51
WALDO BALLIVIAN,estado nutricional,a baja,2013-04-01,1,1,2,1,0,2,3,4,7
WARNES,estado nutricional,a baja,2013-04-01,43,18,48,29,25,19,116,66,182
YACO,estado nutricional,a baja,2013-04-01,5,5,15,11,13,18,33,34,67
YACUIBA,estado nutricional,a baja,2013-04-01,8,5,14,11,19,24,41,40,81
YAMPARAEZ,estado nutricional,a baja,2013-04-01,7,3,16,9,56,56,79,68,147
YANACACHI,estado nutricional,a baja,2013-04-01,1,2,2,3,3,5,6,10,16
YAPACANI,estado nutricional,a baja,2013-04-01,1,0,6,2,2,5,9,7,16
YOCALLA,estado nutricional,a baja,2013-04-01,9,3,17,7,15,9,41,19,60
YOTALA,estado nutricional,a baja,2013-04-01,2,2,6,7,30,13,38,22,60
YUNCHARA,estado nutricional,a baja,2013-04-01,10,3,14,9,38,27,62,39,101
ZUDAÑEZ,estado nutricional,a baja,2013-04-01,2,3,10,12,35,40,47,55,102
ACACIO,estado nutricional,a baja,2013-05-01,9,9,22,23,24,36,55,68,123
ACHACACHI,estado nutricional,a baja,2013-05-01,21,8,29,30,31,30,81,68,149
ACHOCALLA,estado nutricional,a baja,2013-05-01,16,3,18,11,10,12,44,26,70
AIQUILE,estado nutricional,a baja,2013-05-01,14,10,27,17,16,17,57,44,101
ALALAY,estado nutricional,a baja,2013-05-01,2,3,11,9,14,9,27,21,48
ALCALA,estado nutricional,a baja,2013-05-01,1,0,3,1,13,12,17,13,30
ALTO BENI,estado nutricional,a baja,2013-05-01,4,0,4,5,8,10,16,15,31
ANCORAIMES,estado nutricional,a baja,2013-05-01,17,6,20,27,25,24,62,57,119
ANDAMARCA,estado nutricional,a baja,2013-05-01,2,2,9,6,16,15,27,23,50
ANTEQUERA,estado nutricional,a baja,2013-05-01,7,4,3,3,6,2,16,9,25
ANZALDO,estado nutricional,a baja,2013-05-01,4,7,11,7,15,17,30,31,61
APOLO,estado nutricional,a baja,2013-05-01,16,5,45,11,28,21,89,37,126
ARAMPAMPA,estado nutricional,a baja,2013-05-01,3,3,12,12,5,13,20,28,48
ARANI,estado nutricional,a baja,2013-05-01,4,0,2,8,11,9,17,17,34
ARBIETO,estado nutricional,a baja,2013-05-01,0,1,3,1,6,4,9,6,15
ARQUE,estado nutricional,a baja,2013-05-01,19,20,63,42,63,73,145,135,280
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-05-01,9,10,15,16,21,25,45,51,96
ATOCHA,estado nutricional,a baja,2013-05-01,4,1,13,19,17,15,34,35,69
AUCAPATA,estado nutricional,a baja,2013-05-01,3,1,10,3,5,5,18,9,27
AYATA,estado nutricional,a baja,2013-05-01,14,7,37,18,30,28,81,53,134
AYO AYO,estado nutricional,a baja,2013-05-01,13,11,24,13,15,9,52,33,85
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-05-01,24,20,48,33,53,51,125,104,229
AZURDUY,estado nutricional,a baja,2013-05-01,10,5,32,22,71,88,113,115,228
BATALLAS,estado nutricional,a baja,2013-05-01,8,2,20,13,20,15,48,30,78
BAURES,estado nutricional,a baja,2013-05-01,0,1,2,3,3,3,5,7,12
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-05-01,1,0,3,1,3,6,7,7,14
BELEN DE URMIRI,estado nutricional,a baja,2013-05-01,7,3,5,6,3,6,15,15,30
BELLA FLOR,estado nutricional,a baja,2013-05-01,0,0,5,2,5,1,10,3,13
BERMEJO,estado nutricional,a baja,2013-05-01,5,1,12,4,4,5,21,10,31
BETANZOS,estado nutricional,a baja,2013-05-01,43,34,89,76,129,108,261,218,479
BOLIVAR,estado nutricional,a baja,2013-05-01,37,19,49,22,64,64,150,105,255
BOLPEBRA,estado nutricional,a baja,2013-05-01,1,1,2,2,5,5,8,8,16
BUENA VISTA,estado nutricional,a baja,2013-05-01,0,2,1,3,0,0,1,5,6
CABEZAS,estado nutricional,a baja,2013-05-01,3,1,1,1,1,4,5,6,11
CAIROMA,estado nutricional,a baja,2013-05-01,8,3,21,20,18,13,47,36,83
"CAIZA ""D""",estado nutricional,a baja,2013-05-01,4,5,14,7,19,16,37,28,65
CAJUATA,estado nutricional,a baja,2013-05-01,0,0,0,1,1,3,1,4,5
CALACOTO,estado nutricional,a baja,2013-05-01,1,2,2,2,1,3,4,7,11
CALAMARCA,estado nutricional,a baja,2013-05-01,16,9,24,19,35,35,75,63,138
CAMARGO,estado nutricional,a baja,2013-05-01,18,8,23,19,61,51,102,78,180
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-05-01,0,0,2,4,10,7,12,11,23
CAMIRI,estado nutricional,a baja,2013-05-01,7,2,5,4,7,3,19,9,28
CAPINOTA,estado nutricional,a baja,2013-05-01,3,9,22,16,9,11,34,36,70
CAQUIAVIRI,estado nutricional,a baja,2013-05-01,12,10,15,11,9,6,36,27,63
CARACOLLO,estado nutricional,a baja,2013-05-01,18,9,27,26,43,35,88,70,158
CARANAVI,estado nutricional,a baja,2013-05-01,11,12,31,22,43,38,85,72,157
CARANGAS,estado nutricional,a baja,2013-05-01,1,0,0,0,1,0,2,0,2
CARAPARI,estado nutricional,a baja,2013-05-01,3,5,1,3,9,1,13,9,22
CARIPUYO,estado nutricional,a baja,2013-05-01,16,10,22,22,53,45,91,77,168
CARMEN RIVERO TORREZ,estado nutricional,a baja,2013-05-01,0,1,0,0,1,1,1,2,3
CATACORA,estado nutricional,a baja,2013-05-01,0,2,1,2,8,0,9,4,13
CHACARILLA,estado nutricional,a baja,2013-05-01,0,0,2,1,2,4,4,5,9
CHALLAPATA,estado nutricional,a baja,2013-05-01,33,17,71,44,46,45,150,106,256
CHAQUI,estado nutricional,a baja,2013-05-01,12,6,23,9,32,24,67,39,106
CHARAGUA,estado nutricional,a baja,2013-05-01,1,3,8,5,7,7,16,15,31
CHARAÑA,estado nutricional,a baja,2013-05-01,0,0,0,2,3,5,3,7,10
CHAYANTA,estado nutricional,a baja,2013-05-01,23,22,50,37,42,35,115,94,209
CHIMORE,estado nutricional,a baja,2013-05-01,3,6,9,9,4,7,16,22,38
CHIPAYA,estado nutricional,a baja,2013-05-01,1,1,1,3,9,6,11,10,21
CHOQUE COTA,estado nutricional,a baja,2013-05-01,0,0,1,4,1,0,2,4,6
CHUA COCANI,estado nutricional,a baja,2013-05-01,0,0,2,1,3,2,5,3,8
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-05-01,0,1,4,7,2,3,6,11,17
CHUMA,estado nutricional,a baja,2013-05-01,9,0,19,20,23,12,51,32,83
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-05-01,21,13,32,27,16,19,69,59,128
CKOCHAS,estado nutricional,a baja,2013-05-01,25,23,64,40,73,51,162,114,276
CLIZA,estado nutricional,a baja,2013-05-01,10,6,7,5,5,4,22,15,37
COBIJA,estado nutricional,a baja,2013-05-01,9,9,19,11,5,7,33,27,60
COCAPATA,estado nutricional,a baja,2013-05-01,24,20,99,63,82,89,205,172,377
COCHABAMBA,estado nutricional,a baja,2013-05-01,91,77,180,143,127,177,398,397,795
COLCAPIRHUA,estado nutricional,a baja,2013-05-01,7,3,15,17,9,15,31,35,66
"COLCHA ""K""",estado nutricional,a baja,2013-05-01,16,12,18,17,17,14,51,43,94
COLLANA,estado nutricional,a baja,2013-05-01,2,0,5,3,4,6,11,9,20
COLOMI,estado nutricional,a baja,2013-05-01,24,12,48,26,35,32,107,70,177
COLQUECHACA,estado nutricional,a baja,2013-05-01,72,43,164,134,77,75,313,252,565
COLQUENCHA,estado nutricional,a baja,2013-05-01,7,3,20,9,12,11,39,23,62
COLQUIRI,estado nutricional,a baja,2013-05-01,13,12,31,23,34,26,78,61,139
COMANCHE,estado nutricional,a baja,2013-05-01,2,2,3,4,1,0,6,6,12
COMARAPA,estado nutricional,a baja,2013-05-01,1,1,9,4,5,9,15,14,29
COMBAYA,estado nutricional,a baja,2013-05-01,0,1,5,3,13,11,18,15,33
CONCEPCION,estado nutricional,a baja,2013-05-01,64,68,7,4,5,3,76,75,151
COPACABANA,estado nutricional,a baja,2013-05-01,5,3,16,8,12,12,33,23,56
CORIPATA,estado nutricional,a baja,2013-05-01,1,0,11,5,9,9,21,14,35
CORO CORO,estado nutricional,a baja,2013-05-01,7,7,16,14,12,18,35,39,74
COROICO,estado nutricional,a baja,2013-05-01,2,1,7,3,12,9,21,13,34
CORQUE,estado nutricional,a baja,2013-05-01,2,4,15,9,12,8,29,21,50
COTAGAITA,estado nutricional,a baja,2013-05-01,16,10,45,23,67,46,128,79,207
COTOCA,estado nutricional,a baja,2013-05-01,0,1,2,3,4,6,6,10,16
CUATRO CAÑADAS,estado nutricional,a baja,2013-05-01,0,3,1,3,5,4,6,10,16
CUEVO,estado nutricional,a baja,2013-05-01,4,1,3,1,8,11,15,13,28
CULPINA,estado nutricional,a baja,2013-05-01,5,1,3,2,2,5,10,8,18
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-05-01,5,3,9,5,10,15,24,23,47
CURVA,estado nutricional,a baja,2013-05-01,0,0,5,4,9,8,14,12,26
DESAGUADERO,estado nutricional,a baja,2013-05-01,0,1,2,1,0,0,2,2,4
EL ALTO,estado nutricional,a baja,2013-05-01,481,324,680,385,434,404,1595,1113,2708
EL CHORO,estado nutricional,a baja,2013-05-01,7,4,8,2,7,5,22,11,33
EL PUENTE(STC),estado nutricional,a baja,2013-05-01,3,1,2,1,4,4,9,6,15
EL PUENTE(TJA),estado nutricional,a baja,2013-05-01,4,4,13,12,15,8,32,24,56
EL TORNO,estado nutricional,a baja,2013-05-01,5,3,6,5,9,7,20,15,35
EL VILLAR,estado nutricional,a baja,2013-05-01,2,1,3,1,8,13,13,15,28
ENTRE RIOS TRJ,estado nutricional,a baja,2013-05-01,4,2,10,7,11,6,25,15,40
ENTRE RIOS CBBA,estado nutricional,a baja,2013-05-01,5,4,18,7,16,13,39,24,63
ESCARA,estado nutricional,a baja,2013-05-01,0,0,0,0,2,0,2,0,2
ESCOMA,estado nutricional,a baja,2013-05-01,1,1,2,1,0,1,3,3,6
EUCALIPTUS,estado nutricional,a baja,2013-05-01,19,4,14,11,8,6,41,21,62
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-05-01,0,0,0,0,1,0,1,0,1
EXALTACION,estado nutricional,a baja,2013-05-01,0,0,0,0,1,0,1,0,1
FERNANDEZ ALONSO,estado nutricional,a baja,2013-05-01,3,3,6,3,2,3,11,9,20
FILADELFIA,estado nutricional,a baja,2013-05-01,1,4,3,1,2,2,6,7,13
GENERAL SAAVEDRA,estado nutricional,a baja,2013-05-01,2,0,3,1,4,2,9,3,12
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-05-01,14,7,26,16,25,34,65,57,122
GUANAY,estado nutricional,a baja,2013-05-01,8,7,8,11,16,16,32,34,66
GUAQUI,estado nutricional,a baja,2013-05-01,9,1,12,11,6,9,27,21,48
GUAYARAMERIN,estado nutricional,a baja,2013-05-01,37,19,34,22,24,16,95,57,152
GUTIERREZ,estado nutricional,a baja,2013-05-01,7,5,25,15,26,35,58,55,113
HUACARETA,estado nutricional,a baja,2013-05-01,1,1,6,0,8,6,15,7,22
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-05-01,2,0,6,2,11,3,19,5,24
HUACHACALLA,estado nutricional,a baja,2013-05-01,1,1,0,0,0,1,1,2,3
HUANUNI,estado nutricional,a baja,2013-05-01,21,11,49,14,24,30,94,55,149
HUARACAJE,estado nutricional,a baja,2013-05-01,0,0,1,0,0,0,1,0,1
HUARINA,estado nutricional,a baja,2013-05-01,5,2,8,2,8,6,21,10,31
HUATAJATA,estado nutricional,a baja,2013-05-01,5,1,2,1,5,5,12,7,19
HUAYLLAMARCA,estado nutricional,a baja,2013-05-01,2,3,10,5,8,7,20,15,35
