,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
VILLA MONTES,estado nutricional,a normal,2013-04-01,356,344,256,300,349,313,961,957,1918
VILLA NUEVA (LOMA ALTA),estado nutricional,a normal,2013-04-01,58,36,31,41,48,50,137,127,264
VILLA RIVERO,estado nutricional,a normal,2013-04-01,100,113,95,80,92,75,287,268,555
VILLA SERRANO,estado nutricional,a normal,2013-04-01,90,83,76,80,158,165,324,328,652
VILLA TUNARI,estado nutricional,a normal,2013-04-01,1033,963,893,769,959,903,2885,2635,5520
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a normal,2013-04-01,83,74,76,68,146,123,305,265,570
VILLAZON,estado nutricional,a normal,2013-04-01,275,260,231,260,221,221,727,741,1468
VINTO,estado nutricional,a normal,2013-04-01,353,307,242,230,166,109,761,646,1407
VITICHI,estado nutricional,a normal,2013-04-01,62,63,52,53,50,51,164,167,331
WALDO BALLIVIAN,estado nutricional,a normal,2013-04-01,18,16,20,10,6,12,44,38,82
WARNES,estado nutricional,a normal,2013-04-01,674,701,473,441,487,522,1634,1664,3298
YACO,estado nutricional,a normal,2013-04-01,56,80,50,39,61,55,167,174,341
YACUIBA,estado nutricional,a normal,2013-04-01,759,643,499,472,479,457,1737,1572,3309
YAMPARAEZ,estado nutricional,a normal,2013-04-01,61,44,23,42,66,91,150,177,327
YANACACHI,estado nutricional,a normal,2013-04-01,48,50,58,31,78,61,184,142,326
YAPACANI,estado nutricional,a normal,2013-04-01,410,401,343,295,254,268,1007,964,1971
YOCALLA,estado nutricional,a normal,2013-04-01,78,71,61,62,66,68,205,201,406
YOTALA,estado nutricional,a normal,2013-04-01,44,61,47,44,108,111,199,216,415
YUNCHARA,estado nutricional,a normal,2013-04-01,44,53,25,48,99,74,168,175,343
YUNGUYO DE LITORAL,estado nutricional,a normal,2013-04-01,1,0,2,3,0,0,3,3,6
ZUDAÑEZ,estado nutricional,a normal,2013-04-01,44,51,43,32,103,103,190,186,376
ACACIO,estado nutricional,a normal,2013-05-01,44,47,35,29,34,58,113,134,247
ACHACACHI,estado nutricional,a normal,2013-05-01,200,204,146,128,211,168,557,500,1057
ACHOCALLA,estado nutricional,a normal,2013-05-01,105,78,62,66,94,95,261,239,500
AIQUILE,estado nutricional,a normal,2013-05-01,276,219,188,203,175,216,639,638,1277
ALALAY,estado nutricional,a normal,2013-05-01,31,17,12,19,17,16,60,52,112
ALCALA,estado nutricional,a normal,2013-05-01,28,33,21,18,56,56,105,107,212
ALTO BENI,estado nutricional,a normal,2013-05-01,76,52,70,78,38,68,184,198,382
ANCORAIMES,estado nutricional,a normal,2013-05-01,86,94,95,71,110,100,291,265,556
ANDAMARCA,estado nutricional,a normal,2013-05-01,23,40,22,25,59,83,104,148,252
ANTEQUERA,estado nutricional,a normal,2013-05-01,27,35,20,17,25,33,72,85,157
ANZALDO,estado nutricional,a normal,2013-05-01,62,44,61,59,47,61,170,164,334
APOLO,estado nutricional,a normal,2013-05-01,196,194,129,161,172,184,497,539,1036
ARAMPAMPA,estado nutricional,a normal,2013-05-01,34,32,21,25,36,35,91,92,183
ARANI,estado nutricional,a normal,2013-05-01,102,102,77,65,65,56,244,223,467
ARBIETO,estado nutricional,a normal,2013-05-01,101,157,108,148,141,133,350,438,788
ARQUE,estado nutricional,a normal,2013-05-01,114,114,113,91,110,121,337,326,663
ASCENCION DE GUARAYOS,estado nutricional,a normal,2013-05-01,262,233,169,174,300,270,731,677,1408
ATOCHA,estado nutricional,a normal,2013-05-01,84,90,75,65,103,92,262,247,509
AUCAPATA,estado nutricional,a normal,2013-05-01,30,46,27,39,29,27,86,112,198
AYATA,estado nutricional,a normal,2013-05-01,63,62,69,63,54,42,186,167,353
AYO AYO,estado nutricional,a normal,2013-05-01,52,83,45,50,42,35,139,168,307
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-05-01,248,233,176,214,220,145,644,592,1236
AZURDUY,estado nutricional,a normal,2013-05-01,87,85,66,76,130,125,283,286,569
BATALLAS,estado nutricional,a normal,2013-05-01,137,136,118,114,131,141,386,391,777
BAURES,estado nutricional,a normal,2013-05-01,43,40,32,26,50,42,125,108,233
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-05-01,20,19,13,17,33,20,66,56,122
BELEN DE URMIRI,estado nutricional,a normal,2013-05-01,14,14,5,9,10,5,29,28,57
BELLA FLOR,estado nutricional,a normal,2013-05-01,27,23,49,26,71,72,147,121,268
BERMEJO,estado nutricional,a normal,2013-05-01,242,250,202,196,148,169,592,615,1207
BETANZOS,estado nutricional,a normal,2013-05-01,273,260,201,219,231,243,705,722,1427
BOLIVAR,estado nutricional,a normal,2013-05-01,65,43,34,39,59,59,158,141,299
BOLPEBRA,estado nutricional,a normal,2013-05-01,16,10,17,14,20,26,53,50,103
BOYUIBE,estado nutricional,a normal,2013-05-01,20,33,22,27,20,25,62,85,147
BUENA VISTA,estado nutricional,a normal,2013-05-01,90,97,92,80,71,63,253,240,493
CABEZAS,estado nutricional,a normal,2013-05-01,163,147,104,89,112,87,379,323,702
CAIROMA,estado nutricional,a normal,2013-05-01,57,58,83,58,58,54,198,170,368
"CAIZA ""D""",estado nutricional,a normal,2013-05-01,81,82,70,50,62,65,213,197,410
CAJUATA,estado nutricional,a normal,2013-05-01,110,79,100,76,84,81,294,236,530
CALACOTO,estado nutricional,a normal,2013-05-01,25,34,28,18,32,25,85,77,162
CALAMARCA,estado nutricional,a normal,2013-05-01,76,70,73,79,57,71,206,220,426
CAMARGO,estado nutricional,a normal,2013-05-01,106,101,89,91,123,125,318,317,635
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-05-01,20,27,24,19,33,30,77,76,153
CAMIRI,estado nutricional,a normal,2013-05-01,284,248,226,168,201,182,711,598,1309
CAPINOTA,estado nutricional,a normal,2013-05-01,104,85,73,48,72,59,249,192,441
CAQUIAVIRI,estado nutricional,a normal,2013-05-01,69,76,51,47,64,52,184,175,359
CARACOLLO,estado nutricional,a normal,2013-05-01,176,146,131,126,166,153,473,425,898
CARANAVI,estado nutricional,a normal,2013-05-01,425,321,292,286,264,276,981,883,1864
CARANGAS,estado nutricional,a normal,2013-05-01,0,2,3,2,6,2,9,6,15
CARAPARI,estado nutricional,a normal,2013-05-01,148,135,104,93,131,131,383,359,742
CARIPUYO,estado nutricional,a normal,2013-05-01,66,75,43,47,56,53,165,175,340
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-05-01,27,29,16,21,28,21,71,71,142
CATACORA,estado nutricional,a normal,2013-05-01,3,1,5,4,4,7,12,12,24
CHACARILLA,estado nutricional,a normal,2013-05-01,8,3,9,1,7,4,24,8,32
CHALLAPATA,estado nutricional,a normal,2013-05-01,393,362,222,199,193,208,808,769,1577
CHAQUI,estado nutricional,a normal,2013-05-01,52,65,42,41,25,36,119,142,261
CHARAGUA,estado nutricional,a normal,2013-05-01,183,168,148,145,180,167,511,480,991
CHARAÑA,estado nutricional,a normal,2013-05-01,12,14,17,13,19,11,48,38,86
CHAYANTA,estado nutricional,a normal,2013-05-01,93,93,68,75,52,59,213,227,440
CHIMORE,estado nutricional,a normal,2013-05-01,103,95,85,79,89,88,277,262,539
CHIPAYA,estado nutricional,a normal,2013-05-01,36,20,15,19,18,26,69,65,134
CHOQUE COTA,estado nutricional,a normal,2013-05-01,14,13,15,9,6,18,35,40,75
CHUA COCANI,estado nutricional,a normal,2013-05-01,12,6,10,11,13,21,35,38,73
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-05-01,128,284,87,68,95,101,310,453,763
CHUMA,estado nutricional,a normal,2013-05-01,59,68,73,56,42,62,174,186,360
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-05-01,48,39,44,30,39,38,131,107,238
CKOCHAS,estado nutricional,a normal,2013-05-01,135,134,117,104,122,105,374,343,717
CLIZA,estado nutricional,a normal,2013-05-01,245,165,127,126,123,111,495,402,897
COBIJA,estado nutricional,a normal,2013-05-01,461,389,244,248,228,221,933,858,1791
COCAPATA,estado nutricional,a normal,2013-05-01,145,136,130,103,97,90,372,329,701
COCHABAMBA,estado nutricional,a normal,2013-05-01,3210,2973,2180,1871,1749,1641,7139,6485,13624
COIPASA,estado nutricional,a normal,2013-05-01,5,4,4,2,10,10,19,16,35
COLCAPIRHUA,estado nutricional,a normal,2013-05-01,403,323,216,197,194,156,813,676,1489
"COLCHA ""K""",estado nutricional,a normal,2013-05-01,131,118,98,81,97,104,326,303,629
COLLANA,estado nutricional,a normal,2013-05-01,29,15,24,14,22,20,75,49,124
COLOMI,estado nutricional,a normal,2013-05-01,211,164,147,111,107,100,465,375,840
COLPA BELGICA,estado nutricional,a normal,2013-05-01,6,6,1,1,0,1,7,8,15
COLQUECHACA,estado nutricional,a normal,2013-05-01,281,262,179,221,92,87,552,570,1122
COLQUENCHA,estado nutricional,a normal,2013-05-01,56,67,51,57,39,39,146,163,309
COLQUIRI,estado nutricional,a normal,2013-05-01,142,159,72,86,62,60,276,305,581
COMANCHE,estado nutricional,a normal,2013-05-01,19,12,16,16,7,19,42,47,89
COMARAPA,estado nutricional,a normal,2013-05-01,140,122,96,76,70,76,306,274,580
COMBAYA,estado nutricional,a normal,2013-05-01,18,11,19,14,23,16,60,41,101
CONCEPCION,estado nutricional,a normal,2013-05-01,118,126,50,70,37,28,205,224,429
COPACABANA,estado nutricional,a normal,2013-05-01,80,71,66,57,90,80,236,208,444
CORIPATA,estado nutricional,a normal,2013-05-01,151,141,139,85,121,146,411,372,783
CORO CORO,estado nutricional,a normal,2013-05-01,61,64,45,48,62,67,168,179,347
COROICO,estado nutricional,a normal,2013-05-01,151,142,124,104,118,130,393,376,769
CORQUE,estado nutricional,a normal,2013-05-01,64,45,57,56,81,65,202,166,368
COTAGAITA,estado nutricional,a normal,2013-05-01,157,148,126,121,135,166,418,435,853
COTOCA,estado nutricional,a normal,2013-05-01,376,375,214,195,161,151,751,721,1472
CRUZ DE MACHACAMARCA,estado nutricional,a normal,2013-05-01,0,3,3,1,5,1,8,5,13
CUATRO CAÑADAS,estado nutricional,a normal,2013-05-01,164,152,121,116,154,133,439,401,840
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a normal,2013-05-01,8,5,8,8,6,8,22,21,43
CUEVO,estado nutricional,a normal,2013-05-01,26,27,23,33,37,31,86,91,177
CULPINA,estado nutricional,a normal,2013-05-01,144,172,118,116,173,165,435,453,888
CURAHUARA DE CARANGAS,estado nutricional,a normal,2013-05-01,39,35,36,25,45,40,120,100,220
CURVA,estado nutricional,a normal,2013-05-01,24,28,11,28,29,16,64,72,136
DESAGUADERO,estado nutricional,a normal,2013-05-01,34,27,28,24,16,15,78,66,144
EL ALTO,estado nutricional,a normal,2013-05-01,5037,4660,3765,3624,3093,3102,11895,11386,23281
EL CHORO,estado nutricional,a normal,2013-05-01,62,46,43,50,65,55,170,151,321
EL PUENTE(STC),estado nutricional,a normal,2013-05-01,131,115,104,84,106,97,341,296,637
EL PUENTE(TJA),estado nutricional,a normal,2013-05-01,93,82,75,75,65,94,233,251,484
EL TORNO,estado nutricional,a normal,2013-05-01,387,381,279,261,278,251,944,893,1837
EL VILLAR,estado nutricional,a normal,2013-05-01,33,25,31,28,62,60,126,113,239
ENTRE RIOS TRJ,estado nutricional,a normal,2013-05-01,187,194,141,148,129,143,457,485,942
ENTRE RIOS CBBA,estado nutricional,a normal,2013-05-01,340,295,234,259,198,153,772,707,1479
ESCARA,estado nutricional,a normal,2013-05-01,5,4,1,0,2,3,8,7,15
ESCOMA,estado nutricional,a normal,2013-05-01,19,29,25,22,14,14,58,65,123
ESMERALDA,estado nutricional,a normal,2013-05-01,3,6,3,2,0,1,6,9,15
EUCALIPTUS,estado nutricional,a normal,2013-05-01,76,71,54,47,59,55,189,173,362
EUREKA (SANTOS MERCADO),estado nutricional,a normal,2013-05-01,10,10,18,6,13,14,41,30,71
EXALTACION,estado nutricional,a normal,2013-05-01,12,18,11,16,11,8,34,42,76
FERNANDEZ ALONSO,estado nutricional,a normal,2013-05-01,132,112,105,102,135,97,372,311,683
FILADELFIA,estado nutricional,a normal,2013-05-01,35,31,25,26,14,14,74,71,145
GENERAL SAAVEDRA,estado nutricional,a normal,2013-05-01,110,105,91,86,87,85,288,276,564
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a normal,2013-05-01,83,72,55,64,59,59,197,195,392
GUANAY,estado nutricional,a normal,2013-05-01,110,112,100,100,113,101,323,313,636
GUAQUI,estado nutricional,a normal,2013-05-01,37,37,36,52,38,48,111,137,248
GUAYARAMERIN,estado nutricional,a normal,2013-05-01,372,360,231,265,182,184,785,809,1594
GUTIERREZ,estado nutricional,a normal,2013-05-01,139,140,111,131,170,149,420,420,840
HUACARETA,estado nutricional,a normal,2013-05-01,70,86,83,80,148,133,301,299,600
HUACAYA (VILLA DE HUACAYA),estado nutricional,a normal,2013-05-01,27,35,12,20,33,36,72,91,163
HUACHACALLA,estado nutricional,a normal,2013-05-01,5,19,4,4,21,20,30,43,73
HUANUNI,estado nutricional,a normal,2013-05-01,203,200,113,118,126,119,442,437,879
HUARACAJE,estado nutricional,a normal,2013-05-01,26,36,25,20,21,24,72,80,152
HUARINA,estado nutricional,a normal,2013-05-01,34,53,50,39,23,29,107,121,228
HUATAJATA,estado nutricional,a normal,2013-05-01,20,22,10,22,20,26,50,70,120
HUAYLLAMARCA,estado nutricional,a normal,2013-05-01,33,26,22,21,43,43,98,90,188
HUMANATA,estado nutricional,a normal,2013-05-01,22,20,11,23,8,14,41,57,98
ICHOCA,estado nutricional,a normal,2013-05-01,28,23,29,16,27,31,84,70,154
ICLA,estado nutricional,a normal,2013-05-01,63,63,42,54,104,136,209,253,462
INCAHUASI,estado nutricional,a normal,2013-05-01,114,95,68,70,147,125,329,290,619
INGAVI (HUMAITA),estado nutricional,a normal,2013-05-01,9,12,8,7,5,5,22,24,46
INQUISIVI,estado nutricional,a normal,2013-05-01,64,56,72,43,61,63,197,162,359
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-05-01,66,77,49,59,85,80,200,216,416
IXIAMAS,estado nutricional,a normal,2013-05-01,73,65,52,59,72,53,197,177,374
JESUS DE MACHACA,estado nutricional,a normal,2013-05-01,69,98,73,86,82,68,224,252,476
LA ASUNTA,estado nutricional,a normal,2013-05-01,460,405,385,353,310,307,1155,1065,2220
LA GUARDIA,estado nutricional,a normal,2013-05-01,654,590,275,268,240,199,1169,1057,2226
LA PAZ,estado nutricional,a normal,2013-05-01,4160,4019,2739,2662,3693,3618,10592,10299,20891
LA RIVERA,estado nutricional,a normal,2013-05-01,1,3,9,4,1,4,11,11,22
LAGUNILLAS,estado nutricional,a normal,2013-05-01,52,57,45,46,82,90,179,193,372
LAJA,estado nutricional,a normal,2013-05-01,121,143,98,86,87,78,306,307,613
LAS CARRERAS,estado nutricional,a normal,2013-05-01,33,21,22,31,42,37,97,89,186
LICOMA PAMPA,estado nutricional,a normal,2013-05-01,18,11,22,9,13,10,53,30,83
LLALLAGUA,estado nutricional,a normal,2013-05-01,285,280,231,220,115,129,631,629,1260
LLICA,estado nutricional,a normal,2013-05-01,21,27,12,19,11,20,44,66,110
LORETO,estado nutricional,a normal,2013-05-01,15,17,17,26,34,23,66,66,132
LURIBAY,estado nutricional,a normal,2013-05-01,62,55,43,62,74,72,179,189,368
MACHACAMARCA,estado nutricional,a normal,2013-05-01,52,29,35,45,34,62,121,136,257
MACHARETI,estado nutricional,a normal,2013-05-01,64,144,54,54,129,120,247,318,565
MAGDALENA,estado nutricional,a normal,2013-05-01,102,81,62,49,45,51,209,181,390
MAIRANA,estado nutricional,a normal,2013-05-01,82,66,55,69,32,41,169,176,345
MALLA,estado nutricional,a normal,2013-05-01,13,12,8,9,23,18,44,39,83
MAPIRI,estado nutricional,a normal,2013-05-01,118,114,100,103,100,95,318,312,630
MECAPACA,estado nutricional,a normal,2013-05-01,109,83,69,66,63,62,241,211,452
MINEROS,estado nutricional,a normal,2013-05-01,139,145,112,92,83,73,334,310,644
MIZQUE,estado nutricional,a normal,2013-05-01,346,305,254,227,234,261,834,793,1627
MOCOMOCO,estado nutricional,a normal,2013-05-01,61,89,105,80,52,63,218,232,450
MOJINETE,estado nutricional,a normal,2013-05-01,2,5,4,8,9,10,15,23,38
MOJOCOYA,estado nutricional,a normal,2013-05-01,60,44,52,53,108,105,220,202,422
MONTEAGUDO,estado nutricional,a normal,2013-05-01,203,219,241,199,207,211,651,629,1280
MONTERO,estado nutricional,a normal,2013-05-01,1085,1041,715,735,654,664,2454,2440,4894
MORO MORO,estado nutricional,a normal,2013-05-01,17,19,19,14,13,22,49,55,104
MOROCHATA,estado nutricional,a normal,2013-05-01,81,87,56,78,81,85,218,250,468
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a normal,2013-05-01,12,16,13,7,6,3,31,26,57
NAZACARA DE PACAJES,estado nutricional,a normal,2013-05-01,1,2,5,0,3,4,9,6,15
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a normal,2013-05-01,18,23,6,24,42,26,66,73,139
OCURI,estado nutricional,a normal,2013-05-01,125,120,92,84,82,84,299,288,587
OKINAWA,estado nutricional,a normal,2013-05-01,128,100,81,108,116,117,325,325,650
OMEREQUE,estado nutricional,a normal,2013-05-01,95,54,75,76,74,60,244,190,434
ORURO,estado nutricional,a normal,2013-05-01,1931,1856,1319,1372,900,894,4150,4122,8272
PADCAYA,estado nutricional,a normal,2013-05-01,140,123,135,136,154,152,429,411,840
PADILLA,estado nutricional,a normal,2013-05-01,81,100,66,86,153,166,300,352,652
PAILON,estado nutricional,a normal,2013-05-01,224,208,138,138,146,138,508,484,992
PALCA,estado nutricional,a normal,2013-05-01,131,119,110,99,69,97,310,315,625
PALOS BLANCOS,estado nutricional,a normal,2013-05-01,268,234,211,206,269,234,748,674,1422
PAMPA AULLAGAS,estado nutricional,a normal,2013-05-01,21,17,13,17,6,10,40,44,84
PAMPA GRANDE,estado nutricional,a normal,2013-05-01,60,75,48,59,40,61,148,195,343
PAPEL PAMPA,estado nutricional,a normal,2013-05-01,46,53,55,43,54,35,155,131,286
PASORAPA,estado nutricional,a normal,2013-05-01,18,17,10,11,24,39,52,67,119
PATACAMAYA,estado nutricional,a normal,2013-05-01,152,160,121,128,102,118,375,406,781
PAZÑA,estado nutricional,a normal,2013-05-01,65,69,58,43,90,95,213,207,420
PELECHUCO,estado nutricional,a normal,2013-05-01,55,40,43,38,41,57,139,135,274
POCOATA,estado nutricional,a normal,2013-05-01,160,188,117,144,152,165,429,497,926
POCONA,estado nutricional,a normal,2013-05-01,118,83,101,95,114,105,333,283,616
POJO (CBBA),estado nutricional,a normal,2013-05-01,157,94,96,88,116,104,369,286,655
POOPO,estado nutricional,a normal,2013-05-01,65,69,46,53,46,47,157,169,326
PORCO,estado nutricional,a normal,2013-05-01,111,109,50,69,62,62,223,240,463
POROMA,estado nutricional,a normal,2013-05-01,128,154,100,111,147,158,375,423,798
PORONGO,estado nutricional,a normal,2013-05-01,64,61,58,48,83,55,205,164,369
PORTACHUELO,estado nutricional,a normal,2013-05-01,56,37,24,27,9,24,89,88,177
PORVENIR,estado nutricional,a normal,2013-05-01,26,35,50,46,27,34,103,115,218
POSTRER VALLE,estado nutricional,a normal,2013-05-01,9,10,8,13,6,6,23,29,52
POTOSI,estado nutricional,a normal,2013-05-01,1062,1147,612,647,420,399,2094,2193,4287
PRESTO,estado nutricional,a normal,2013-05-01,65,72,35,43,56,80,156,195,351
PUCARA,estado nutricional,a normal,2013-05-01,10,1,3,4,7,9,20,14,34
PUCARANI,estado nutricional,a normal,2013-05-01,201,206,191,213,143,129,535,548,1083
PUERTO ACOSTA,estado nutricional,a normal,2013-05-01,76,63,61,50,61,74,198,187,385
PUERTO CARABUCO,estado nutricional,a normal,2013-05-01,82,93,74,72,101,86,257,251,508
PUERTO GONZALO MORENO,estado nutricional,a normal,2013-05-01,74,70,80,87,138,127,292,284,576
PUERTO PEREZ,estado nutricional,a normal,2013-05-01,27,44,47,28,39,30,113,102,215
PUERTO QUIJARRO,estado nutricional,a normal,2013-05-01,149,105,92,63,61,56,302,224,526
PUERTO RICO,estado nutricional,a normal,2013-05-01,44,58,39,44,36,17,119,119,238
PUERTO SILES,estado nutricional,a normal,2013-05-01,15,7,7,8,3,7,25,22,47
PUERTO SUAREZ,estado nutricional,a normal,2013-05-01,111,107,43,35,27,29,181,171,352
PUERTO VILLARROEL,estado nutricional,a normal,2013-05-01,548,472,473,376,411,337,1432,1185,2617
PUNA,estado nutricional,a normal,2013-05-01,166,162,141,152,173,167,480,481,961
PUNATA,estado nutricional,a normal,2013-05-01,310,252,134,120,127,150,571,522,1093
QUIABAYA,estado nutricional,a normal,2013-05-01,14,17,13,9,28,29,55,55,110
QUILLACOLLO,estado nutricional,a normal,2013-05-01,994,885,793,696,716,646,2503,2227,4730
QUIME,estado nutricional,a normal,2013-05-01,89,63,64,67,83,74,236,204,440
QUIRUSILLAS,estado nutricional,a normal,2013-05-01,7,10,11,8,10,10,28,28,56
RAVELO,estado nutricional,a normal,2013-05-01,116,99,72,91,122,132,310,322,632
REYES,estado nutricional,a normal,2013-05-01,90,106,59,66,103,87,252,259,511
RIBERALTA,estado nutricional,a normal,2013-05-01,971,891,619,662,396,372,1986,1925,3911
ROBORE,estado nutricional,a normal,2013-05-01,74,65,87,56,18,20,179,141,320
RURRENABAQUE,estado nutricional,a normal,2013-05-01,85,78,50,50,34,37,169,165,334
SABAYA,estado nutricional,a normal,2013-05-01,28,27,23,23,28,32,79,82,161
SACABA,estado nutricional,a normal,2013-05-01,1317,1194,925,841,712,736,2954,2771,5725
SACABAMBA,estado nutricional,a normal,2013-05-01,39,24,36,25,39,40,114,89,203
SACACA,estado nutricional,a normal,2013-05-01,201,192,101,131,147,163,449,486,935
SAIPINA,estado nutricional,a normal,2013-05-01,60,39,34,31,36,34,130,104,234
SALINAS DE GARCI MENDOZA,estado nutricional,a normal,2013-05-01,119,87,86,89,131,159,336,335,671
SAMAIPATA,estado nutricional,a normal,2013-05-01,73,69,66,77,67,67,206,213,419
SAN AGUSTIN,estado nutricional,a normal,2013-05-01,7,7,2,5,4,0,13,12,25
SAN ANDRES,estado nutricional,a normal,2013-05-01,72,81,73,78,117,115,262,274,536
SAN ANDRES DE MACHACA,estado nutricional,a normal,2013-05-01,19,11,18,16,5,13,42,40,82
SAN ANTONIO DE ESMORUCO,estado nutricional,a normal,2013-05-01,11,10,3,6,2,8,16,24,40
