,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,11,17
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,11,12
MIZQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,39,47,86
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,18,56,74
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,120,239,359
MORO MORO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
OCURI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,2,2
OKINAWA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,12,4,16
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,8,11
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,589,1191,1780
PADCAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,1,2
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,13,11,24
PAILON,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,33,104,137
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,13,48,61
PAMPA AULLAGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,13,17
PAMPA GRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,14,21
PASORAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,4,5
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,19,48,67
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,1,2
PELECHUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,21,30
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,10,15,25
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,7,13
POJO (CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,4,4
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,16,36,52
PORCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
POROMA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,6,7
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,4,6
PORTACHUELO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,1,6
PORVENIR,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,89,124,213
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,12,19
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,9,12
PUERTO CARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,1,5
PUERTO GONZALO MORENO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,8,6,14
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,17,26,43
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,9,9
PUERTO SUAREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,15,58,73
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,159,263,422
PUNA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,1,4
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,146,135,281
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,294,749,1043
QUIME,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,7,11
QUIRUSILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,21,27
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,7,10
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,362,486,848
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,13,19
RURRENABAQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,60,89,149
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,24,26,50
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,267,418,685
SACABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,1,2
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,5,9
SAIPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,14,23
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,4,10
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,3,5
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,32,58,90
SAN BUENA VENTURA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,10,21,31
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,15,21
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,18,35,53
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
SAN JAVIER(BNI),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,8,20,28
SAN JOAQUIN,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,14,16
SAN JUAN DE YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,0,2
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,11,42,53
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,2,6
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,22,22,44
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,13,43,56
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,1,5
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,12,30,42
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,14,17,31
SAN PEDRO DE MACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,6,7
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,3,3
SAN RAFAEL,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,1,2
SAN RAMON BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,7,11
SANTA ANA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,42,70,112
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1542,2523,4065
SANTA ROSA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,3,5
SANTA ROSA DEL SARA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,10,19
SANTIAGO DE CALLAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,8,13
SANTIAGO DE HUARI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,23,34,57
SANTIAGO DE HUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,1,4
SANTIAGO DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,11,14
SANTIVAÑES,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,4,5
SANTUARIO DE QUILLACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,2,3
SAPAHAQUI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,3,8
SHINAOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,70,105,175
SICA SICA (VILLA AROMA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,10,31,41
SICAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,8,11
SIPE SIPE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,23,28
SOPACHUY,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,17,26
SORACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
SORATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,8,10,18
SUCRE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,174,435,609
TACACOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,4,7
TACOPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,8,10
TAPACARI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,10,17,27
TARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,19,35,54
TARATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,5,6
TARIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,165,277,442
TARVITA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,13,10,23
TEOPONTE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,8,11
TIAHUANACU,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,20,32,52
TINGUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
TIPUANI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,24,8,32
TIQUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,66,159,225
TIRAQUE (CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,4,4
TOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,2,3
TODOS SANTOS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,5,5
TOLATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,2,5
TOLEDO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,32,31,63
TOMINA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
TORO TORO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,17,22,39
TOTORA(CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,91,100
TRINIDAD,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,40,55,95
TUPIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,17,41,58
TURCO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
UNCIA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,13,18
URUBICHA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,14,28,42
UYUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,46,53
VACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
VALLEGRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,20,35,55
VIACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,47,219,266
VILLA CHARCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,6,10
VILLA MONTES,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,38,77,115
VILLA SERRANO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,4,4
VILLA TUNARI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,249,330,579
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,18,25
VILLAZON,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,27,39,66
VINTO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,58,65,123
WALDO BALLIVIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
WARNES,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,57,109,166
YACUIBA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,80,188,268
YAMPARAEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,4,4
YANACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,63,90,153
YOTALA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
YUNCHARA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,3,7
ZUDAÑEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,12,12
ACACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,4,9
ACHACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,134,79,213
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,19,40,59
ALCALA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,9,10
ALTO BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,0,1
ANCORAIMES,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,2,2
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,9,12
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,16,11,27
APOLO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,1,4
ARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,2,4,6
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,9,9
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,1,2
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,30,53,83
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,10,13,23
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,11,14
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,23,59,82
BATALLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,6,8,14
BELLA FLOR,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,0,1
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,26,48,74
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,5,8
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,2,2
BOLPEBRA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,0,1
BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,3,8
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,11,20,31
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,10,10
CAJUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,0,5
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,16,21
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,15,43,58
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,2,4,6
CAMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,1,1
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,12,28,40
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,12,15
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,83,89,172
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,2,3
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,4,9,13
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,26,26,52
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,18,19,37
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,22,29,51
CHAQUI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,1,1
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,15,27,42
CHAYANTA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,8,13
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,29,31,60
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,26,24,50
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,1,2
CLIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,7,6,13
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,169,255,424
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1882,3039,4921
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,96,176,272
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,3,6
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,2,11,13
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,9,9,18
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,6,20,26
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,13,18
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,8,0,8
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,36,67,103
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,10,28,38
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,5,15,20
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,15,10,25
CORQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,1,1
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,4,21,25
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,41,257,298
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,31,38,69
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,0,1
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,5,8
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,2,2,4
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,5,5
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,836,1751,2587
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,42,80,122
EL PUENTE(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,3,4
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3777,6618,10395
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,7,10,17
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,118,232,350
ESCOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,5,6
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,3,3
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,0,1
EXALTACION,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,1,0,1
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,20,78,98
FILADELFIA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,1,1
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,2,2
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,201,218,419
GUTIERREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,0,1,1
HUACHACALLA,vih - sifilis,no de personas con prueba rapida de vih,2024-06-01,3,2,5
