,group,variable,month,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,14,14
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,67,67
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,12,12
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,7,7
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,30,30
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,1,1
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-11-01,0,3,3
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,6,6
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,13,13
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,12,12
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,14,14
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,32,32
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,20,20
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,51,51
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,24,24
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,26,26
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,39,39
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,11,11
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,53,53
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,8,8
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,20,20
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
DESAGUADERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,291,291
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,9,9
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,12,12
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,83,83
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
FILADELFIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,39,39
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,11,11
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,16,16
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,10,10
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,12,12
MAGDALENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,15,15
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,11,11
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,29,29
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,46,46
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,18,18
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,241,241
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,13,13
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,30,30
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,19,19
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,11,11
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,10,10
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,12,12
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,17,17
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,8,8
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,14,14
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,10,10
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,9,9
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,9,9
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,10,10
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,27,27
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,12,12
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,66,66
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,11,11
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,33,33
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,6,6
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,310,310
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
TARACO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,100,100
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,8,8
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,7,7
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,6,6
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
UMALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,2,2
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,5,5
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,13,13
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,3,3
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,19,19
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,12,12
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,8,8
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,92,92
VITICHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,1,1
WARNES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,19,19
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,6,6
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,36,36
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-12-01,0,4,4
