,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,29,26,29,26,55
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,1,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,0,9,0,9
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,71,11,71,11,82
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,1,5,1,6
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,17,14,17,14,31
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,6,0,6,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,96,7,96,7,103
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,30,2,30,32
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,3,0,3,3
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,15,0,15,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,29,25,29,25,54
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,4,0,4,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,7,2,7,9
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,153,22,153,22,175
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,0,4,0,4
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,14,8,14,22
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,24,0,24,24
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,10,12,10,22
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,9,3,9,12
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,25,8,25,8,33
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,6,3,6,9
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,7,3,7,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,12,9,12,21
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,35,16,35,16,51
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,5,9,5,14
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,50,12,50,12,62
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,16,11,16,11,27
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,156,43,156,43,199
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,0,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,16,24,16,24,40
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,19,5,19,24
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,30,50,30,50,80
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,58,27,58,27,85
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,17,28,17,28,45
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,20,10,20,10,30
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,18,22,18,22,40
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,27,7,27,7,34
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,7,0,7,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,7,5,7,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,2,9,2,11
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,27,4,27,4,31
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,39,0,39,0,39
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1206,117,1206,117,1323
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,25,28,25,28,53
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,11,3,11,14
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,9,5,9,14
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,19,1,19,20
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,0,5,0,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,4,2,4,6
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,6,0,6,6
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,57,3,57,3,60
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,10,3,10,3,13
SICAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,6,0,6,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,55,2,55,2,57
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,5,3,5,8
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,10,1,10,11
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,17,10,17,10,27
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,429,56,429,56,485
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,13,9,13,9,22
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,4,5,4,9
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,6,8,6,8,14
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,47,42,47,42,89
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,17,32,17,32,49
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,1,2,1,3
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,6,15,6,21
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,128,13,128,13,141
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,11,12,11,23
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,10,12,10,22
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,14,15,14,29
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,2,3,2,5
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,13,5,13,18
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,70,40,70,40,110
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,20,32,20,32,52
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,2,1,2,3
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,7,0,7,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,0,5,0,5
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,1,2,1,3
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,1,0,1,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,9,4,9,13
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,5,1,5,6
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,24,12,24,12,36
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,2,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,114,7,114,7,121
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,3,1,3,4
UMALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,9,0,9,9
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,5,8,5,13
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,11,7,11,18
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,17,4,17,21
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,5,9,5,14
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,98,5,98,5,103
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,20,0,20,20
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,19,7,19,7,26
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,54,8,54,8,62
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,29,1,29,30
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,7,3,7,10
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,105,33,105,33,138
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,3,8,3,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,33,14,33,14,47
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,52,0,52,0,52
VITICHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,132,33,132,33,165
YACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,9,12,9,21
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,105,18,105,18,123
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,8,1,8,9
YANACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,8,3,8,11
YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,61,53,61,53,114
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,4,7,4,11
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,8,1,8,9
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,3,0,3,3
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,6,7,6,7,13
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,6,12,6,12,18
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,36,46,36,46,82
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,15,9,15,9,24
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,20,16,20,16,36
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,12,2,12,14
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,3,0,3,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,26,3,26,3,29
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,10,16,10,16,26
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1,3,1,3,4
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,2,3,2,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,5,12,5,12,17
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,22,17,22,17,39
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,11,3,11,14
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,18,0,18,0,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,15,30,15,30,45
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,15,14,15,14,29
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,51,0,51,0,51
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,8,17,8,17,25
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,4,3,4,3,7
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,5,19,5,19,24
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,13,0,13,0,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,19,42,19,42,61
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,7,11,7,11,18
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,18,9,18,9,27
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,8,0,8,0,8
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,6,0,6,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,30,48,30,48,78
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,13,68,13,68,81
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,23,3,23,26
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,9,2,9,11
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,10,39,10,39,49
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,30,26,30,26,56
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,11,1,11,1,12
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,30,2,30,32
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,10,8,10,8,18
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,16,2,16,18
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,14,18,14,18,32
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,15,8,15,8,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,6,3,6,9
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,78,3,78,3,81
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,32,3,32,3,35
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,9,2,9,2,11
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,29,5,29,5,34
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,90,44,90,44,134
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1,31,1,31,32
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,19,0,19,19
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1,10,1,10,11
CATACORA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,49,12,49,12,61
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1,17,1,17,18
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,6,48,6,48,54
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,1,2,1,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,18,36,18,36,54
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,29,16,29,16,45
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,1,2,1,3
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,20,21,20,21,41
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,6,13,6,13,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,10,0,10,10
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,8,21,8,21,29
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,27,14,27,14,41
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,42,49,42,49,91
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1023,3,1023,3,1026
COIPASA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,0,2,0,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,87,25,87,25,112
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,8,0,8,0,8
COLLANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,4,3,4,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,13,22,13,22,35
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,14,7,14,7,21
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,14,20,14,20,34
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,7,22,7,22,29
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,7,34,7,34,41
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,8,3,8,11
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,22,3,22,3,25
COMBAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,11,0,11,11
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,26,13,26,13,39
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,9,20,9,20,29
CORIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,17,4,17,4,21
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,2,13,2,13,15
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,21,16,21,16,37
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,6,3,6,3,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,12,24,12,24,36
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,136,38,136,38,174
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,15,22,15,22,37
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,7,0,7,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,33,33,33,33,66
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,6,0,6,0,6
CURVA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,0,3,0,3,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,3,12,3,12,15
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,1459,39,1459,39,1498
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-05-01,7,3,7,3,10
