,group,variable,month,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 50 Y +,PRIMER CONTROL POST PARTO 50 Y +,TOTALES,TOTALES,TOTALES
TARVITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,4,1,3,0,0,0,8,1,9
TEOPONTE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,11,0,0,0,0,0,11,0,11
TIAHUANACU,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,3,1,0,0,0,0,6,1,7
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,1,0,0,0,0,1,2,0,2,0,0,1,5,6
TIPUANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,11,0,0,0,0,0,11,0,11
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,7,0,49,2,10,0,0,0,66,2,68
TIRAQUE (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,1,0,0,1,0,0,2,1,3
TOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOLATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
TOLEDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TOMAVE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
TOMINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
TORO TORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,2,1,3,1,2,0,0,3,7,10
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,7,0,7,2,0,0,0,0,14,2,16
TOTORA(ORR),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
TRIGAL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,4,0,1,0,0,0,6,0,6
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,35,2,15,0,0,0,50,2,52
UMALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,5,0,3,0,0,0,9,0,9
URIONDO (A. CONCEPCION),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
URUBICHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,7,1,19,0,5,0,0,0,31,1,32
VACAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,25,0,0,0,0,0,26,0,26
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,7,1,0,0,0,0,10,1,11
VILA VILA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,2,2,1,2,0,0,5,4,9
VILLA CHARCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,5,0,1,1,0,0,8,1,9
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
VILLA NUEVA (LOMA ALTA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA SERRANO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,28,5,3,0,0,0,34,5,39
VILLA VACA GUZMAN (MUYUPAMPA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,0,3,0,0,0,0,1,3,4
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,12,0,2,0,0,0,15,0,15
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,6,0,49,1,12,0,0,0,67,1,68
VITICHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,4,1,1,1,0,0,7,2,9
WALDO BALLIVIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,26,9,112,4,14,0,0,0,152,13,165
YACO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,2,1,1,1,0,0,0,3,3,6
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,11,1,74,1,9,0,0,0,94,2,96
YAMPARAEZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,4,0,2,0,0,0,6,0,6
YOCALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,1,2,0,0,0,0,1,3,4
YOTALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
YUNCHARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ZUDAÑEZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,3,0,29,9,6,0,0,0,38,9,47
ACHOCALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,12,2,3,0,0,0,17,2,19
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,10,0,8,0,1,0,0,0,19,0,19
ALCALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ANCORAIMES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,1,2,3,0,1,0,0,2,5,7
ANDAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,3,1,0,0,0,0,3,1,4
ANZALDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,7,0,8,6,0,0,0,0,15,6,21
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,0,1,0,1,0,0,1,2,3
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,12,0,2,0,0,0,16,0,16
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,2,1,1,0,2,0,0,1,5,6
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,10,0,25,3,4,0,0,0,39,3,42
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
AUCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,2,2,1,2,0,0,4,4,8
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,1,1,1,1,6,0,2,0,0,2,10,12
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,5,0,18,3,0,0,0,0,23,3,26
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,4,2,0,0,0,0,6,2,8
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,1,4,1,1,1,0,0,6,3,9
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
BELEN DE URMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,7,0,35,0,5,0,0,0,47,0,47
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,2,1,0,0,1,0,0,2,3,5
BOLPEBRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,4,0,2,0,0,0,8,0,8
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,1,3,2,0,0,0,0,3,3,6
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,8,0,1,0,0,0,10,0,10
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,7,0,0,1,0,0,8,1,9
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,3,0,0,4,0,0,0,0,3,4,7
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,6,1,4,0,0,0,12,1,13
CAMATAQUI (C. VILLA ABECIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,1,0,7,35,0,2,0,0,0,0,8,37,45
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,10,1,2,1,0,0,12,2,14
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,1,6,4,2,0,0,0,9,5,14
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,3,2,1,0,0,0,0,3,4,7
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,4,0,5,0,0,0,0,0,9,0,9
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,5,1,24,5,6,1,0,0,35,7,42
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,1,0,0,4,0,11,2,0,0,0,0,15,3,18
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,1,1,2,0,0,0,5,1,6
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,1,11,0,1,0,0,0,14,1,15
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHOQUE COTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,3,0,17,1,1,1,0,0,21,2,23
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,1,1,5,0,1,0,0,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,3,2,5,4,0,1,0,0,8,7,15
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,4,0,14,0,11,0,0,0,29,0,29
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,17,0,3,0,0,0,22,0,22
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,3,0,30,0,370,5,79,1,0,0,482,6,488
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,5,0,29,0,8,0,0,0,42,0,42
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,1,1,3,5,0,1,0,0,4,7,11
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,2,0,13,0,1,0,0,0,16,0,16
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
