,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
VACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,11,65,64,73,75,148
VALLEGRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,17,11,121,102,138,113,251
VIACHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,161,149,449,414,610,563,1173
VILA VILA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,10,47,34,53,44,97
VILLA CHARCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,20,16,117,118,137,134,271
VILLA MONTES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,41,41,331,345,372,386,758
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,0,39,29,40,29,69
VILLA RIVERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,20,34,109,106,129,140,269
VILLA SERRANO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,12,72,82,79,94,173
VILLA TUNARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,157,142,668,665,825,807,1632
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,6,72,56,76,62,138
VILLAZON,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,38,47,279,313,317,360,677
VINTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,53,57,301,246,354,303,657
VITICHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,2,61,61,72,63,135
WALDO BALLIVIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,1,12,15,15,16,31
WARNES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,115,116,556,596,671,712,1383
YACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,12,39,41,51,53,104
YACUIBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,225,185,615,544,840,729,1569
YAMPARAEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,4,50,52,60,56,116
YANACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,2,51,56,52,58,110
YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,36,49,480,454,516,503,1019
YOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,13,6,85,87,98,93,191
YOTALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,9,4,52,46,61,50,111
YUNCHARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,1,45,30,46,31,77
YUNGUYO DE LITORAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,1,0,1,0,1
ZUDAÑEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,1,54,46,58,47,105
ACACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,8,45,47,48,55,103
ACHACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,46,27,203,218,249,245,494
ACHOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,12,20,86,89,98,109,207
AIQUILE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,29,29,224,213,253,242,495
ALALAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1,4,23,23,24,27,51
ALCALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,2,19,18,21,20,41
ALTO BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,5,96,68,105,73,178
ANCORAIMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,10,9,106,99,116,108,224
ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,3,31,29,34,32,66
ANTEQUERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1,1,25,25,26,26,52
ANZALDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,13,5,44,28,57,33,90
APOLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,8,9,169,152,177,161,338
ARAMPAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,6,33,22,36,28,64
ARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,16,16,94,117,110,133,243
ARBIETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,16,10,195,178,211,188,399
ARQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,14,3,108,109,122,112,234
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,75,66,80,75,155,141,296
ATOCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,11,6,111,110,122,116,238
AUCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,7,3,50,35,57,38,95
AYATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,10,5,63,48,73,53,126
AYO AYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,6,4,76,68,82,72,154
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,17,22,267,269,284,291,575
AZURDUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,8,6,93,73,101,79,180
BATALLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,11,10,149,125,160,135,295
BAURES,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,6,4,43,39,49,43,92
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,3,12,16,14,19,33
BELEN DE URMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,2,3,8,6,10,16
BELLA FLOR,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,4,5,16,20,20,25,45
BERMEJO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,148,159,187,164,335,323,658
BETANZOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,28,31,252,263,280,294,574
BOLIVAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,8,9,51,73,59,82,141
BOLPEBRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,0,21,11,21,11,32
BOYUIBE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,8,4,21,16,29,20,49
BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,11,8,93,100,104,108,212
CABEZAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,16,19,161,132,177,151,328
CAIROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,7,6,63,73,70,79,149
"CAIZA ""D""",control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,6,83,71,92,77,169
CAJUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,4,8,108,81,112,89,201
CALACOTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,4,3,35,31,39,34,73
CALAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,12,90,81,99,93,192
CAMARGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,25,22,106,135,131,157,288
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1,3,29,18,30,21,51
CAMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,54,43,315,304,369,347,716
CAPINOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,23,23,274,194,297,217,514
CAQUIAVIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,15,8,80,69,95,77,172
CARACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,21,15,159,189,180,204,384
CARANAVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,84,106,288,299,372,405,777
CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1,0,2,2,3,2,5
CARAPARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,16,15,132,122,148,137,285
CARIPUYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,6,84,63,87,69,156
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,11,12,11,12,22,24,46
CATACORA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,0,11,9,11,9,20
CHACARILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,1,7,4,9,5,14
CHALLAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,40,39,342,331,382,370,752
CHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,2,72,59,81,61,142
CHARAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,33,26,161,168,194,194,388
CHARAÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,1,10,14,12,15,27
CHAYANTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,17,17,104,108,121,125,246
CHIMORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,94,67,260,214,354,281,635
CHIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,2,14,13,17,15,32
CHOQUE COTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,1,5,8,5,9,14
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,5,5,30,15,35,20,55
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,25,22,122,111,147,133,280
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,13,12,62,54,75,66,141
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,5,11,67,54,72,65,137
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,17,12,117,143,134,155,289
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,65,52,212,166,277,218,495
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,97,94,559,484,656,578,1234
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,20,24,162,140,182,164,346
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1424,1345,3631,3429,5055,4774,9829
COIPASA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,0,8,10,8,10,18
COLCAPIRHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,85,78,333,334,418,412,830
"COLCHA ""K""",control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,12,122,115,131,127,258
COLLANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,1,22,32,22,33,55
COLOMI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,27,21,195,207,222,228,450
COLPA BELGICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,7,1,4,3,11,14
COLQUECHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,26,32,273,306,299,338,637
COLQUENCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,6,4,71,71,77,75,152
COLQUIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,14,17,115,103,129,120,249
COMANCHE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,3,21,18,21,21,42
COMARAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,16,17,117,141,133,158,291
COMBAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,6,13,15,22,21,43
CONCEPCION,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,18,16,128,152,146,168,314
COPACABANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,10,13,73,59,83,72,155
CORIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,13,16,156,143,169,159,328
CORO CORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,21,14,62,54,83,68,151
COROICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,36,29,117,104,153,133,286
CORQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,7,5,72,45,79,50,129
COTAGAITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,29,23,150,159,179,182,361
COTOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,86,95,345,356,431,451,882
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,21,28,52,65,73,93,166
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,2,4,7,6,9,15
CUEVO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,3,28,22,30,25,55
CULPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,13,12,164,147,177,159,336
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,4,60,37,63,41,104
CURVA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,3,26,18,28,21,49
DESAGUADERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,4,30,48,32,52,84
EL ALTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1537,1346,7282,6623,8819,7969,16788
EL CHORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,1,46,42,49,43,92
EL PUENTE(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,12,17,91,77,103,94,197
EL PUENTE(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,6,8,80,76,86,84,170
EL TORNO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,64,57,372,319,436,376,812
EL VILLAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,0,26,29,26,29,55
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,19,11,166,159,185,170,355
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,99,67,353,321,452,388,840
ESCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1,1,1,10,2,11,13
ESCOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,6,8,29,10,35,18,53
ESMERALDA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,0,3,2,3,2,5
EUCALIPTUS,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,3,41,34,50,37,87
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,1,1,9,7,10,8,18
EXALTACION,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,10,15,6,4,16,19,35
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,18,24,110,103,128,127,255
FILADELFIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,2,2,63,60,65,62,127
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,21,16,142,111,163,127,290
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,10,5,70,65,80,70,150
GUANAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,9,10,163,153,172,163,335
GUAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,3,32,42,32,45,77
GUAYARAMERIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,75,63,454,469,529,532,1061
GUTIERREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,21,19,119,117,140,136,276
HUACARETA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,11,9,90,72,101,81,182
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,5,4,28,25,33,29,62
HUACHACALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,0,1,9,11,9,12,21
HUANUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,33,31,211,233,244,264,508
HUARACAJE,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,5,31,27,34,32,66
HUARINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,3,50,32,53,35,88
HUATAJATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,7,6,23,29,30,35,65
HUAYLLAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,2,45,33,48,35,83
HUMANATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,4,1,27,25,31,26,57
ICHOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,3,3,21,24,24,27,51
ICLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,6,7,59,49,65,56,121
INCAHUASI,control de crecimiento infantil, control del nino menor de 1 ano,2014-04-01,15,15,107,107,122,122,244
