,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
YOTALA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,3,0,0,0,0,4,7,11
YUNCHARA,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,5,4,9
ZUDAÑEZ,otras vacunaciones,covid-19 dosis unica,2024-02-01,0,0,8,3,0,0,3,1,0,0,5,2,0,0,0,1,1,2,19,13,0,0,0,0,36,22,58
ACHACACHI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,3,4,1,0,0,0,2,0,0,0,0,0,1,7,10,2,1,3,8,0,0,0,1,16,27,43
ACHOCALLA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,0,0,0,1,7,10,17
AIQUILE,otras vacunaciones,covid-19 dosis unica,2024-03-01,5,4,14,10,0,0,3,2,0,0,5,1,0,0,10,13,5,5,14,19,0,0,1,1,57,55,112
ALALAY,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,0,4,3,2,1,0,0,0,0,1,0,3,1,0,2,0,5,4,3,0,0,0,1,17,16,33
ALCALA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0,0,0,0,0,0,4,11,15
ANTEQUERA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ANZALDO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,11,12,0,0,4,2,0,0,0,1,1,0,4,5,0,0,5,10,0,0,0,1,25,31,56
APOLO,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,1,25,14,0,0,1,1,2,0,2,1,1,2,0,1,8,9,6,2,0,0,0,0,48,31,79
ARAMPAMPA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,8,5,13
ARANI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,0,1,0,0,4,7,11
ARBIETO,otras vacunaciones,covid-19 dosis unica,2024-03-01,2,3,3,6,0,0,0,0,0,0,0,0,0,2,1,1,2,5,1,0,0,0,0,0,9,17,26
ARQUE,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,3,8,7,1,2,0,1,0,0,0,0,3,4,4,6,6,7,14,14,2,0,1,2,43,46,89
ATOCHA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,5,0,0,0,0,10,14,24
AUCAPATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,4,4,9,13
AYATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,8,3,0,0,0,2,0,0,1,0,0,0,2,1,1,1,9,5,0,0,3,4,24,16,40
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis unica,2024-03-01,5,5,51,47,1,1,5,5,2,2,4,0,1,2,3,8,12,23,16,13,2,1,9,5,111,112,223
AZURDUY,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,4,6,0,0,3,1,0,0,1,1,0,1,0,2,2,8,5,8,4,2,0,1,19,31,50
BAURES,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,6,1,7
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,5,10,0,0,1,1,0,0,7,3,0,0,2,4,3,2,0,3,0,0,0,0,18,23,41
BELEN DE URMIRI,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BERMEJO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,1,0,0,0,2,0,1,0,1,0,2,1,3,2,27,18,9,10,3,3,0,0,49,35,84
BETANZOS,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,5,6,7,0,0,3,3,0,0,1,0,0,0,29,34,7,12,13,10,1,2,3,7,64,80,144
BOLIVAR,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,6,1,0,0,2,0,0,0,1,0,0,0,8,6,0,1,0,0,0,0,2,0,19,8,27
BOLPEBRA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,1,0,1,0,0,3,1,0,1,0,0,0,3,6,9,1,4,3,2,1,0,3,3,18,25,43
CABEZAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,9,8,17
"CAIZA ""D""",otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,0,3,5,2,1,0,0,0,0,11,9,20
CAMARGO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,5,4,4,4,6,0,0,0,1,13,18,31
CAPINOTA,otras vacunaciones,covid-19 dosis unica,2024-03-01,5,4,30,18,1,0,8,2,0,0,8,3,0,0,2,2,17,4,8,11,0,0,0,1,79,45,124
CAQUIAVIRI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CARACOLLO,otras vacunaciones,covid-19 dosis unica,2024-03-01,5,17,1,2,2,0,0,0,0,0,0,0,33,7,0,0,39,17,5,1,0,0,0,0,85,44,129
CARANAVI,otras vacunaciones,covid-19 dosis unica,2024-03-01,17,11,20,19,0,1,8,7,1,1,4,5,17,11,26,30,33,47,46,44,4,3,11,9,187,188,375
CARAPARI,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,4,24,12,0,0,0,0,0,1,0,0,0,1,0,0,5,4,0,0,0,0,0,0,33,22,55
CARIPUYO,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,1,0,1,0,0,3,2,0,1,0,1,0,1,7,9,3,3,4,2,0,1,4,1,24,23,47
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis unica,2024-03-01,32,23,3,4,1,3,0,1,1,0,2,0,0,3,0,0,1,8,0,0,0,0,0,0,40,42,82
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,6,0,2,0,0,0,0,1,0,0,0,8,7,0,0,8,10,0,0,1,0,0,0,21,25,46
CHARAGUA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,15,9,0,0,2,4,0,0,2,2,0,0,0,0,2,0,7,8,0,0,8,10,36,33,69
CHAYANTA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,4,5,7,12
CHIMORE,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,4,27,22,3,0,1,2,0,0,0,0,3,0,9,10,7,8,19,29,2,0,0,1,75,76,151
CHIPAYA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,6,3,0,0,1,0,0,0,0,0,0,0,15,16,0,0,18,25,0,0,2,2,42,46,88
CHOQUE COTA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis unica,2024-03-01,1,0,0,0,0,0,0,1,0,0,0,1,3,10,30,35,35,28,41,44,13,4,23,7,146,130,276
CHUMA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,2,4,7,0,0,0,0,0,0,0,0,1,0,10,10,0,2,4,12,1,0,11,12,31,45,76
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0,4,8,12
CKOCHAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,6,0,0,0,2,4,1,1,1,0,3,7,8,11,8,2,14,16,1,1,14,10,58,52,110
CLIZA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,3,0,0,0,0,3,6,9
COBIJA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,3,9,8,9,0,0,0,1,17,19,36
COCAPATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,17,18,18,24,2,0,4,3,1,0,1,1,19,22,14,16,17,25,10,10,0,4,0,0,103,123,226
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2024-03-01,65,70,45,46,2,3,24,10,3,4,19,19,57,96,190,253,413,297,365,312,115,95,66,72,1364,1277,2641
COIPASA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,6
COLCAPIRHUA,otras vacunaciones,covid-19 dosis unica,2024-03-01,13,7,25,25,0,1,9,3,1,1,5,8,4,12,39,50,12,16,59,34,0,0,0,1,167,158,325
"COLCHA ""K""",otras vacunaciones,covid-19 dosis unica,2024-03-01,6,14,15,10,0,2,0,0,0,2,0,0,11,6,0,1,96,55,3,10,2,5,3,5,136,110,246
COLOMI,otras vacunaciones,covid-19 dosis unica,2024-03-01,8,3,1,6,0,0,0,0,0,0,0,0,5,1,4,0,11,10,9,8,1,1,1,0,40,29,69
COLPA BELGICA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6
COLQUECHACA,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,2,14,15,0,0,1,2,0,0,1,1,1,1,9,11,0,0,13,16,1,1,4,1,47,50,97
COMARAPA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,9,0,0,0,5,0,0,3,1,0,0,0,0,4,2,0,1,0,0,0,1,9,19,28
CONCEPCION,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,76,134,1,6,4,13,0,0,0,0,82,154,236
CORIPATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,11,0,8,0,0,7,1,14,21,35
CORO CORO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,4,6
COROICO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,9,18,22,27,0,2,3,3,48,71,119
CORQUE,otras vacunaciones,covid-19 dosis unica,2024-03-01,22,13,9,10,4,6,0,0,2,1,0,0,1,3,0,0,5,8,1,1,0,0,0,0,44,42,86
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2024-03-01,8,3,16,10,0,1,4,6,0,0,2,1,6,7,2,2,15,18,9,10,4,3,7,23,73,84,157
COTOCA,otras vacunaciones,covid-19 dosis unica,2024-03-01,26,27,6,7,7,3,0,0,1,4,0,1,14,10,6,2,36,36,31,16,0,0,0,0,127,106,233
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,6,0,0,0,0,11,7,18
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,42,6,0,0,1,0,46,10,56
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,5,6,11
CULPINA,otras vacunaciones,covid-19 dosis unica,2024-03-01,2,0,2,1,0,0,0,0,1,4,2,0,1,0,0,0,3,2,6,15,0,0,2,0,19,22,41
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,7,0,0,1,0,0,0,11,10,21
CURVA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,3,4,4,11,15
EL ALTO,otras vacunaciones,covid-19 dosis unica,2024-03-01,53,51,79,80,8,14,15,11,7,15,19,27,72,94,110,143,331,414,425,442,8,13,13,12,1140,1316,2456
EL CHORO,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,1,16,14,0,0,5,0,0,0,1,0,0,1,0,0,8,4,1,1,0,0,0,0,32,21,53
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,5,9
EL TORNO,otras vacunaciones,covid-19 dosis unica,2024-03-01,5,2,0,2,0,0,1,0,1,2,0,0,10,8,4,5,17,22,39,2,1,1,1,1,79,45,124
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,0,2,3,4,5,4,0,0,1,0,0,0,0,5,7,1,3,2,6,1,0,1,3,23,28,51
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,2,55,42,0,0,3,4,0,1,3,2,2,3,15,1,6,13,8,8,0,0,1,1,97,77,174
ESCARA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,3,3,0,0,5,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
ESMERALDA,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,0,7,11,18
EUCALIPTUS,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,0,0,1,1,6,11,17
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,5,0,0,0,1,0,0,1,1,0,0,2,3,2,1,3,3,0,0,0,0,10,14,24
EXALTACION,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,1,4,3,7
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,0,0,2,0,130,7,137
FILADELFIA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,19,19,0,0,1,2,0,0,1,3,1,1,7,5,1,7,15,34,0,0,5,9,50,80,130
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis unica,2024-03-01,26,28,4,11,6,7,1,0,0,3,1,1,9,4,2,3,13,13,2,0,6,9,3,2,73,81,154
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis unica,2024-03-01,2,3,3,3,0,1,0,0,1,0,0,0,1,2,34,10,5,4,9,11,2,2,1,3,58,39,97
GUANAY,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,11,5,1,0,0,2,0,0,1,4,7,12,17,20,8,14,27,39,3,0,3,0,78,96,174
GUAQUI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2024-03-01,5,1,7,3,0,1,0,0,1,0,0,4,0,5,2,0,14,20,1,0,0,0,0,0,30,34,64
GUTIERREZ,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,5,4,9
HUACHACALLA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
HUANUNI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
HUARINA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,3,4,7
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,6,4,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,10,16,26
ICLA,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,7,8,7,1,2,0,1,0,0,0,1,0,0,0,1,7,10,5,13,0,0,0,0,24,42,66
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,1,23,27,0,0,12,9,43,45,88
IXIAMAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,13,20,0,0,1,0,18,23,41
LA ASUNTA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,17,6,5,14,11,1,6,0,0,30,45,75
LA GUARDIA,otras vacunaciones,covid-19 dosis unica,2024-03-01,17,26,0,1,2,2,0,0,1,1,0,0,14,24,2,2,32,36,5,11,0,0,0,0,73,103,176
LA PAZ,otras vacunaciones,covid-19 dosis unica,2024-03-01,13,19,9,6,1,6,12,4,1,5,13,19,100,43,40,46,440,629,100,146,69,61,5,3,803,987,1790
LA RIVERA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,2,0,0,0,0,6,6,12
LAS CARRERAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5
LLALLAGUA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,2,5,7
MACHACAMARCA,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,2,0,0,3,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,7,9,16
MACHARETI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,5,0,0,0,0,6,7,13
MAIRANA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,3
MAPIRI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,27,22,0,0,0,0,0,0,27,39,66
MINEROS,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,3,64,49,0,0,14,23,0,0,13,8,1,2,1,2,9,17,7,22,1,2,1,2,112,130,242
MIZQUE,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,18,19,0,0,2,1,0,0,3,9,4,1,13,29,7,8,13,34,1,0,1,3,62,105,167
MOJINETE,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,4,2,6
MOJOCOYA,otras vacunaciones,covid-19 dosis unica,2024-03-01,2,2,11,13,0,0,5,0,0,0,0,0,0,0,0,3,2,4,0,1,0,0,0,0,20,23,43
MONTEAGUDO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,7,5,6,8,8,19,28,47
MONTERO,otras vacunaciones,covid-19 dosis unica,2024-03-01,6,3,39,47,0,0,9,22,0,0,5,9,0,10,19,75,16,31,39,57,5,4,11,6,149,264,413
MORO MORO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
MOROCHATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,6,5,7,7,2,0,1,0,35,22,57
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,7,14
OCURI,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,2,4
ORURO,otras vacunaciones,covid-19 dosis unica,2024-03-01,22,31,17,16,6,4,6,9,4,0,0,3,117,41,76,78,109,127,137,56,4,2,1,0,499,367,866
PADCAYA,otras vacunaciones,covid-19 dosis unica,2024-03-01,2,4,1,2,0,1,1,0,0,0,1,1,1,1,2,0,11,12,5,12,2,5,3,8,29,46,75
PADILLA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,7,13,2,6,0,0,1,0,12,26,38
PAILON,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,4,0,0,1,0,0,0,0,0,1,1,0,1,5,8,8,8,0,0,0,0,17,22,39
PALOS BLANCOS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,5,4,0,0,3,2,0,0,3,1,0,1,12,16,1,2,9,21,3,0,0,8,36,55,91
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,1,1,1,2,0,0,0,1,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,9,6,15
PASORAPA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,8,16
PELECHUCO,otras vacunaciones,covid-19 dosis unica,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2,3,9,8,17
POCOATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,4,2,14,16,0,0,2,4,0,0,0,1,3,0,14,7,3,1,1,8,1,1,6,8,48,48,96
POOPO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,4,10,14
POROMA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,3,6,0,0,0,0,0,0,0,1,0,0,19,18,3,1,1,0,0,0,0,0,26,26,52
PORONGO,otras vacunaciones,covid-19 dosis unica,2024-03-01,11,20,9,5,1,0,1,1,0,0,7,1,0,0,0,0,2,1,2,2,0,0,0,0,33,30,63
PORTACHUELO,otras vacunaciones,covid-19 dosis unica,2024-03-01,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,9,13
PORVENIR,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,8,1,2,15,14,1,0,5,3,26,30,56
POTOSI,otras vacunaciones,covid-19 dosis unica,2024-03-01,6,4,19,28,1,2,14,7,2,1,9,7,6,5,139,94,45,72,37,49,3,1,4,9,285,279,564
PRESTO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PUCARA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,9
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,7,7,0,0,3,1,0,0,0,1,2,4,2,5,6,8,7,15,4,4,1,0,32,46,78
PUERTO QUIJARRO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,7
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis unica,2024-03-01,9,5,30,31,1,2,1,3,0,3,2,3,4,5,5,1,24,21,25,21,0,0,0,0,101,95,196
PUNA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,2,4
PUNATA,otras vacunaciones,covid-19 dosis unica,2024-03-01,11,19,9,14,14,5,1,1,8,8,0,1,30,54,21,22,38,65,27,55,0,6,2,3,161,253,414
QUILLACOLLO,otras vacunaciones,covid-19 dosis unica,2024-03-01,11,14,36,26,2,4,2,2,5,4,9,4,48,11,52,83,92,97,46,71,1,3,5,2,309,321,630
QUIRUSILLAS,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,7
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,5,2,0,0,3,0,0,0,1,1,3,9,10,15,11,21,9,14,0,1,0,0,42,63,105
RAVELO,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,28,22,0,0,7,4,0,0,5,4,0,1,4,1,0,4,4,5,1,7,12,22,61,70,131
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,190,6,6,5,1,1,0,0,0,0,199,13,212
