,group,variable,month,TOTAL 17.7 (O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTAL 17.7 (O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
TOTORA(ORR),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,2,3,2,5
TRIGAL,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,0,3,0,3
TRINIDAD,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,179,3,179,3,182
TUPIZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,54,12,54,12,66
TURCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
UMALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,9,3,9,12
UNCIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,8,18,8,26
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,20,9,20,9,29
URUBICHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,7,2,7,2,9
UYUNI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,36,4,36,4,40
VACAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,6,8,6,8,14
VALLEGRANDE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,21,1,21,1,22
VIACHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,88,6,88,6,94
VILA VILA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
VILLA CHARCAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,16,11,16,11,27
VILLA MONTES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,61,16,61,16,77
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
VILLA RIVERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,18,1,18,1,19
VILLA SERRANO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,12,6,12,6,18
VILLA TUNARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,99,13,99,13,112
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,11,3,11,3,14
VILLAZON,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,61,7,61,7,68
VINTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,113,0,113,0,113
VITICHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,9,4,9,4,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,2,3,2,5
WARNES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,162,14,162,14,176
YACO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,4,1,4,1,5
YACUIBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,139,17,139,17,156
YAMPARAEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,8,2,8,2,10
YANACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,3,10,3,13
YAPACANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,92,16,92,16,108
YOCALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,10,2,10,2,12
YOTALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,5,3,5,8
YUNCHARA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,1,5,1,5,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-02-01,3,8,3,8,11
ACACIO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,3,2,3,5
ACHACACHI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,30,19,30,19,49
ACHOCALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,17,13,17,13,30
AIQUILE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,26,20,26,20,46
ALALAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,5,2,5,7
ALCALA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
ALTO BENI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,19,0,19,0,19
ANCORAIMES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,19,11,19,11,30
ANDAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,0,3,0,3,3
ANTEQUERA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,8,0,8,0,8
ANZALDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,6,2,6,8
APOLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,34,9,34,9,43
ARAMPAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,2,2,2,4
ARANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,29,0,29,0,29
ARBIETO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,13,10,13,10,23
ARQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,21,6,21,6,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,64,9,64,9,73
ATOCHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,16,4,16,4,20
AUCAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
AYATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,9,7,9,7,16
AYO AYO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,17,3,17,3,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,28,14,28,14,42
AZURDUY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,12,13,12,13,25
BATALLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,21,8,21,8,29
BAURES,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,9,0,9,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,1,3,1,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,36,32,36,32,68
BETANZOS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,26,18,26,18,44
BOLIVAR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,7,2,7,9
BOYUIBE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,11,1,11,1,12
BUENA VISTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,10,18,10,28
CABEZAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,40,15,40,15,55
CAIROMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,6,3,6,3,9
"CAIZA ""D""",vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,8,8,8,8,16
CAJUATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,1,18,1,19
CALACOTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,4,3,4,7
CALAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,15,3,15,3,18
CAMARGO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,24,5,24,5,29
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
CAMIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,52,4,52,4,56
CAPINOTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,36,5,36,5,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,8,3,8,3,11
CARACOLLO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,17,5,17,5,22
CARANAVI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,65,14,65,14,79
CARANGAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,22,10,22,10,32
CARIPUYO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,4,11,4,11,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,9,5,9,5,14
CHACARILLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,44,18,44,18,62
CHAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,12,6,12,6,18
CHARAGUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,54,18,54,72
CHARAÑA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,12,16,12,16,28
CHIMORE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,43,2,43,2,45
CHIPAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,22,11,22,11,33
CHUMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,8,4,8,4,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,13,1,13,1,14
CKOCHAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,15,7,15,7,22
CLIZA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,33,2,33,2,35
COBIJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,113,8,113,8,121
COCAPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,14,13,14,13,27
COCHABAMBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1264,40,1264,40,1304
COIPASA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,102,0,102,0,102
"COLCHA ""K""",vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,4,18,4,22
COLLANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,33,13,33,13,46
COLPA BELGICA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,10,2,10,2,12
COLQUECHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,30,37,30,37,67
COLQUENCHA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,13,2,13,2,15
COLQUIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,10,23,10,23,33
COMANCHE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,29,4,29,4,33
COMBAYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,7,2,7,9
CONCEPCION,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,39,10,39,10,49
COPACABANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,14,16,14,16,30
CORIPATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,25,0,25,0,25
CORO CORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,7,5,7,5,12
COROICO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,17,3,17,3,20
CORQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,6,2,6,2,8
COTAGAITA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,14,18,14,32
COTOCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,116,11,116,11,127
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,20,8,20,8,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,2,2,2,4
CULPINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,24,22,24,22,46
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
CURVA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,4,2,4,2,6
DESAGUADERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,11,2,11,2,13
EL ALTO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1560,220,1560,220,1780
EL CHORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,6,2,6,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,29,0,29,0,29
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,11,4,11,4,15
EL TORNO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,56,2,56,2,58
EL VILLAR,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,8,2,8,2,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,17,17,17,17,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,59,15,59,15,74
ESCOMA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,10,4,10,4,14
EUCALIPTUS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,5,1,5,1,6
EXALTACION,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,6,0,6,0,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,2,18,2,20
FILADELFIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,6,9,6,9,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,21,2,21,2,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,13,15,13,15,28
GUANAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,14,10,14,10,24
GUAQUI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,4,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,99,11,99,11,110
GUTIERREZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,17,24,17,24,41
HUACARETA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,15,3,15,3,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,39,0,39,0,39
HUARACAJE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,5,0,5,0,5
HUARINA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
HUATAJATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,6,1,6,1,7
HUMANATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,6,2,6,8
ICHOCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,4,3,4,3,7
ICLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,6,3,6,9
INCAHUASI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,10,18,10,28
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,1,1,1,2
INQUISIVI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,14,3,14,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,11,10,11,10,21
IXIAMAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,15,0,15,0,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,18,2,18,2,20
LA ASUNTA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,85,12,85,12,97
LA GUARDIA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,147,7,147,7,154
LA PAZ,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1216,39,1216,39,1255
LAGUNILLAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,7,7,7,7,14
LAJA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,23,10,23,10,33
LAS CARRERAS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,7,1,7,1,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
LLALLAGUA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,38,42,38,42,80
LLICA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,1,3,1,4
LORETO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,13,2,13,15
LURIBAY,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,7,6,7,6,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,4,3,4,3,7
MACHARETI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,11,3,11,3,14
MAGDALENA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,19,7,19,7,26
MAIRANA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,13,1,13,1,14
MALLA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,31,1,31,1,32
MECAPACA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,10,3,10,3,13
MINEROS,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,36,10,36,10,46
MIZQUE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,41,10,41,10,51
MOCOMOCO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,20,15,20,15,35
MOJINETE,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,3,5,3,5,8
MONTEAGUDO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,34,6,34,6,40
MONTERO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,250,3,250,3,253
MORO MORO,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,14,4,14,4,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,1,6,1,6,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,2,1,2,1,3
OCURI,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,13,25,13,25,38
OKINAWA,vacunaciones en menores de 1 ano,      (o.p.v.) antipoliomielitica 3ra dosis,2014-03-01,16,5,16,5,21
