,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,8,1,8,9
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,21,4,21,4,25
CLIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,19,9,19,9,28
COBIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,66,52,66,52,118
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,12,20,12,20,32
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1045,31,1045,31,1076
COIPASA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,68,5,68,5,73
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,18,14,18,14,32
COLLANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,2,2,2,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,22,10,22,32
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,12,1,12,13
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,24,46,24,46,70
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,2,1,2,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,29,3,29,32
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,0,3,0,3
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,22,7,22,7,29
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,34,17,34,17,51
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,9,10,9,19
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,20,17,20,37
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,4,1,4,5
COROICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,12,4,12,16
CORQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,3,6,3,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,14,12,14,12,26
COTOCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,121,21,121,21,142
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,32,12,32,12,44
CUEVO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,8,1,8,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,25,27,25,27,52
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,1,3,1,4
CURVA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,3,1,3,4
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,9,6,9,15
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1158,206,1158,206,1364
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,3,0,3,3
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,6,13,6,19
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,10,13,10,23
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,96,3,96,3,99
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,19,17,19,17,36
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,52,16,52,16,68
ESCARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,8,4,8,12
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,0,1,0,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,0,10,0,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,4,0,4,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,2,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,32,4,32,36
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,11,1,11,12
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,40,13,40,13,53
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,13,2,13,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,8,7,8,7,15
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,9,3,9,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,48,48,48,48,96
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,9,0,9,9
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,8,8,8,8,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,14,1,14,15
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,2,1,2,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,36,5,36,5,41
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,9,4,9,13
HUARINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,7,2,7,9
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,3,0,3,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,1,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,6,2,6,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,3,1,3,4
ICLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,18,6,18,24
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,17,5,17,22
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,8,6,8,14
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,12,15,12,27
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,14,8,14,8,22
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,14,3,14,3,17
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,51,30,51,30,81
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,169,17,169,17,186
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1027,39,1027,39,1066
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,6,3,6,9
LAJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,24,9,24,9,33
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,3,2,3,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,25,30,25,30,55
LLICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,2,10,2,12
LORETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,10,1,10,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,10,7,10,17
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,0,4,0,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,0,2,0,2
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,10,13,10,23
MALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,23,3,23,3,26
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,6,15,6,21
MINEROS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,51,17,51,17,68
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,19,25,19,25,44
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,16,4,16,20
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,3,3,3,6
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,42,4,42,4,46
MONTERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,244,16,244,16,260
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,2,2,2,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,11,4,11,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,26,7,26,33
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,15,17,15,32
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,467,4,467,4,471
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,8,10,8,18
PADILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,6,13,6,19
PAILON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,43,75,43,75,118
PALCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,20,10,20,10,30
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,29,24,29,24,53
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,3,3,3,6
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,2,13,2,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,6,1,6,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,6,1,6,7
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,16,17,16,33
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,11,9,11,9,20
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,12,2,12,14
POCOATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,30,1,30,31
POCONA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,6,0,6,6
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,5,10,5,15
POOPO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,3,10,3,13
PORCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,5,13,5,18
POROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,24,22,24,22,46
PORONGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,10,6,10,16
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,45,6,45,6,51
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,20,2,20,22
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,281,1,281,1,282
PRESTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,7,1,7,8
PUCARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,9,28,9,28,37
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,48,3,48,51
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,8,3,8,11
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,6,7,6,13
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,21,0,21,21
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,32,36,32,36,68
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,8,2,8,10
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,8,0,8,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,15,17,15,32
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,109,22,109,22,131
PUNA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,9,10,9,19
PUNATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,54,2,54,2,56
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,11,0,11,0,11
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,124,76,124,76,200
QUIME,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,23,5,23,28
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,12,16,12,16,28
REYES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,3,15,3,18
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,126,122,126,122,248
ROBORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,25,26,25,26,51
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,46,12,46,12,58
SABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,4,2,4,2,6
SACABA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,199,14,199,14,213
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,6,1,6,7
SACACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,27,19,27,19,46
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,15,0,15,15
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,10,10,10,20
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,19,5,19,24
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,11,9,11,9,20
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,1,3,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,9,6,9,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,4,7,4,11
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,44,23,44,23,67
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,8,7,8,7,15
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,42,20,42,20,62
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,26,6,26,6,32
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,61,29,61,29,90
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,5,6,5,11
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,31,11,31,11,42
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,12,3,12,15
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,27,5,27,5,32
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,20,5,20,5,25
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,65,37,65,37,102
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,7,0,7,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,36,6,36,6,42
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,12,16,12,16,28
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,24,0,24,0,24
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,5,17,5,22
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,8,15,8,23
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,12,35,12,35,47
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,6,3,6,9
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,11,6,11,17
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,15,10,15,25
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,16,18,16,18,34
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,46,17,46,17,63
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2406,53,2406,53,2459
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,9,36,9,36,45
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,25,15,25,15,40
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,2,4,2,4,6
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,9,0,9,9
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,7,0,7,7
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,9,0,9,0,9
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,6,1,6,7
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,3,5,3,8
SENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,3,6,3,9
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,43,5,43,5,48
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,22,12,22,12,34
SICAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,6,0,6,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,68,3,68,3,71
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,2,5,2,7
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,6,8,6,8,14
SORATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,30,15,30,45
SUCRE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,455,25,455,25,480
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,10,0,10,0,10
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,1,0,1,1
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,1,5,1,6
TAHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,0,3,0,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,20,18,20,18,38
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,8,14,8,14,22
TARACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,2,5,2,7
TARATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,0,17,0,17
TARIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,265,16,265,16,281
TARVITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,14,1,14,15
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,13,9,13,9,22
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,15,5,15,5,20
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,24,26,24,26,50
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,8,11,8,11,19
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,97,21,97,21,118
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,17,5,17,5,22
TOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,5,5,5,5,10
TOLATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,5,1,5,6
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,3,4,3,4,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,7,5,7,5,12
TOMINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,1,6,1,6,7
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-04-01,0,13,0,13,13
