,group,variable,month,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,8,2,8,10
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,421,56,421,56,477
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,42,3,42,3,45
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,13,2,13,2,15
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,16,3,16,3,19
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,2,2,2,4
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,21,8,21,8,29
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,0,3,0,3
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,0,6,0,6
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,2,1,2,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,33,5,33,5,38
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,0,12,0,12
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,26,5,26,5,31
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,473,75,473,75,548
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,13,2,13,2,15
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,1,12,1,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,99,3,99,3,102
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,3,3,3,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,27,19,27,19,46
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,209,1,209,1,210
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,3,12,3,15
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,0,3,0,3
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,0,5,0,5
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,39,6,39,6,45
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,2,5,2,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,2,3,2,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,11,3,11,3,14
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,0,6,0,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,2,4,2,6
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,9,0,9,9
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,2,4,2,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,8,1,8,1,9
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,1,4,1,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,14,1,14,1,15
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,30,0,30,0,30
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,319,29,319,29,348
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
LAJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,0,4,0,4
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,1,3,1,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,2,2,2,4
LORETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,5,2,5,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,2,7,2,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,8,0,8,0,8
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,7,5,7,12
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,33,4,33,4,37
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,15,6,15,6,21
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,28,9,28,9,37
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,101,10,101,10,111
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,10,9,10,9,19
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,10,1,10,11
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,18,14,18,14,32
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,5,3,5,8
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,343,0,343,0,343
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,15,2,15,2,17
PADILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,13,5,13,5,18
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,22,7,22,29
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,13,3,13,3,16
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,6,0,6,6
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,4,5,4,9
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,1,2,1,3
POROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,14,13,14,13,27
PORONGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,0,7,0,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,0,3,0,3
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,8,1,8,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,215,16,215,16,231
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,3,0,3,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,9,14,9,14,23
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,2,3,2,5
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,7,2,7,9
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,26,0,26,0,26
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,49,6,49,6,55
PUNA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,10,1,10,1,11
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,25,0,25,0,25
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,68,66,68,66,134
QUIME,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,0,3,0,3
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,0,3,0,3
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,18,1,18,1,19
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,77,1,77,1,78
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,18,6,18,24
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,36,0,36,0,36
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,136,6,136,6,142
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,1,1,1,2
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,13,1,13,14
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,9,18,9,18,27
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,11,4,11,4,15
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,2,4,2,6
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,6,5,6,11
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,8,3,8,3,11
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,40,7,40,7,47
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,0,6,0,6
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,32,4,32,36
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,26,2,26,2,28
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,54,8,54,8,62
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,23,13,23,13,36
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,3,7,3,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,16,0,16,0,16
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,18,0,18,0,18
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,8,11,8,11,19
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,9,18,9,18,27
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,26,2,26,2,28
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,0,12,0,12
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,2,2,2,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,2,12,2,14
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,12,5,12,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,31,25,31,25,56
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,12,11,12,11,23
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,953,88,953,88,1041
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,0,5,0,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,16,0,16,0,16
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,1,4,1,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,1,2,1,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,2,4,2,6
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,3,3,3,6
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,1,2,1,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,37,10,37,10,47
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,0,2,0,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,0,6,0,6
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,10,0,10,10
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,179,61,179,61,240
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,5,2,5,7
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,1,6,1,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,2,7,2,9
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,10,7,10,17
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,0,5,0,5
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,1,5,1,6
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,254,22,254,22,276
TARVITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,12,5,12,17
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,5,1,5,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,36,11,36,11,47
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,3,2,3,5
TOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,12,1,12,13
TOLATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,3,3,3,6
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,1,1,1,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,5,7,5,12
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,10,6,10,6,16
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,2,2,2,4
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,64,7,64,7,71
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,45,2,45,2,47
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,16,13,16,13,29
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,8,2,8,2,10
VACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,3,2,3,5
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,25,0,25,0,25
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,39,3,39,3,42
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,3,1,3,4
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,6,12,6,12,18
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,48,13,48,13,61
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,7,0,7,0,7
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,2,4,2,4,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,52,6,52,6,58
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,3,5,3,8
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,28,0,28,0,28
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,31,0,31,0,31
VITICHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,143,34,143,34,177
YACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,92,12,92,12,104
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,5,4,5,9
YOTALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,4,1,4,1,5
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,5,19,5,19,24
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-04-01,1,4,1,4,5
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,5,6,5,6,11
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,0,2,0,2,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,9,12,9,12,21
ALALAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,1,5,1,5,6
ALCALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,2,2,2,2,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,5,1,5,1,6
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,5,1,5,1,6
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,2,0,2,0,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,3,5,3,5,8
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,2,7,2,7,9
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,2,12,2,12,14
ARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,13,7,13,7,20
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,9,3,9,3,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,27,32,27,32,59
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,2,11,2,11,13
AYATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,6,0,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,8,10,8,10,18
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,4,6,4,6,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,6,3,6,3,9
BAURES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,2,0,2,0,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-05-01,1,0,1,0,1
