,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
MAIRANA,vih,total no de personas con prueba rapida,2015-11-01,1,2,3
MAPIRI,vih,total no de personas con prueba rapida,2015-11-01,2,0,2
MIZQUE,vih,total no de personas con prueba rapida,2015-11-01,25,47,72
MOJOCOYA,vih,total no de personas con prueba rapida,2015-11-01,0,2,2
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-11-01,14,32,46
MONTERO,vih,total no de personas con prueba rapida,2015-11-01,976,1983,2959
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-11-01,13,5,18
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-11-01,8,5,13
OCURI,vih,total no de personas con prueba rapida,2015-11-01,0,15,15
ORURO,vih,total no de personas con prueba rapida,2015-11-01,52,152,204
PADCAYA,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
PADILLA,vih,total no de personas con prueba rapida,2015-11-01,0,2,2
PAILON,vih,total no de personas con prueba rapida,2015-11-01,11,58,69
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-11-01,1,1,2
PASORAPA,vih,total no de personas con prueba rapida,2015-11-01,0,3,3
PATACAMAYA,vih,total no de personas con prueba rapida,2015-11-01,2,0,2
POCOATA,vih,total no de personas con prueba rapida,2015-11-01,1,4,5
POCONA,vih,total no de personas con prueba rapida,2015-11-01,1,1,2
POJO (CBBA),vih,total no de personas con prueba rapida,2015-11-01,1,2,3
PORCO,vih,total no de personas con prueba rapida,2015-11-01,0,6,6
PORONGO,vih,total no de personas con prueba rapida,2015-11-01,1,8,9
PORTACHUELO,vih,total no de personas con prueba rapida,2015-11-01,11,59,70
POTOSI,vih,total no de personas con prueba rapida,2015-11-01,57,137,194
PRESTO,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
PUCARANI,vih,total no de personas con prueba rapida,2015-11-01,1,2,3
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-11-01,2,31,33
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-11-01,11,28,39
PUERTO RICO,vih,total no de personas con prueba rapida,2015-11-01,2,9,11
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-11-01,3,0,3
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-11-01,69,108,177
PUNA,vih,total no de personas con prueba rapida,2015-11-01,1,3,4
PUNATA,vih,total no de personas con prueba rapida,2015-11-01,19,175,194
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-11-01,0,59,59
QUIME,vih,total no de personas con prueba rapida,2015-11-01,2,1,3
REYES,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-11-01,8,60,68
ROBORE,vih,total no de personas con prueba rapida,2015-11-01,1,1,2
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-11-01,22,52,74
SABAYA,vih,total no de personas con prueba rapida,2015-11-01,15,12,27
SACABA,vih,total no de personas con prueba rapida,2015-11-01,84,107,191
SACABAMBA,vih,total no de personas con prueba rapida,2015-11-01,0,27,27
SACACA,vih,total no de personas con prueba rapida,2015-11-01,1,5,6
SAN BORJA,vih,total no de personas con prueba rapida,2015-11-01,2,2,4
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-11-01,5,6,11
SAN CARLOS,vih,total no de personas con prueba rapida,2015-11-01,14,78,92
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-11-01,1,2,3
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-11-01,40,38,78
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-11-01,1,20,21
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-11-01,11,4,15
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-11-01,56,46,102
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-11-01,0,1,1
SAN LUCAS,vih,total no de personas con prueba rapida,2015-11-01,4,25,29
SAN MATIAS,vih,total no de personas con prueba rapida,2015-11-01,3,33,36
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-11-01,1,1,2
SAN PEDRO,vih,total no de personas con prueba rapida,2015-11-01,12,14,26
SAN PEDRO(PND),vih,total no de personas con prueba rapida,2015-11-01,0,1,1
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
SANTA ANA,vih,total no de personas con prueba rapida,2015-11-01,4,2,6
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-11-01,735,1624,2359
SANTA ROSA,vih,total no de personas con prueba rapida,2015-11-01,1,1,2
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-11-01,0,21,21
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-11-01,20,21,41
SANTUARIO DE QUILLACAS,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
SENA,vih,total no de personas con prueba rapida,2015-11-01,6,7,13
SHINAOTA,vih,total no de personas con prueba rapida,2015-11-01,32,7,39
SICAYA,vih,total no de personas con prueba rapida,2015-11-01,0,6,6
SIPE SIPE,vih,total no de personas con prueba rapida,2015-11-01,1,16,17
SORACACHI,vih,total no de personas con prueba rapida,2015-11-01,1,5,6
SORATA,vih,total no de personas con prueba rapida,2015-11-01,1,4,5
SUCRE,vih,total no de personas con prueba rapida,2015-11-01,158,277,435
TAPACARI,vih,total no de personas con prueba rapida,2015-11-01,2,5,7
TARABUCO,vih,total no de personas con prueba rapida,2015-11-01,7,29,36
TARATA,vih,total no de personas con prueba rapida,2015-11-01,0,2,2
TARIJA,vih,total no de personas con prueba rapida,2015-11-01,71,99,170
TARVITA,vih,total no de personas con prueba rapida,2015-11-01,6,37,43
TEOPONTE,vih,total no de personas con prueba rapida,2015-11-01,0,7,7
TIAWANACU,vih,total no de personas con prueba rapida,2015-11-01,1,5,6
TIPUANI,vih,total no de personas con prueba rapida,2015-11-01,0,1,1
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-11-01,39,71,110
TOCO,vih,total no de personas con prueba rapida,2015-11-01,2,0,2
TODOS SANTOS,vih,total no de personas con prueba rapida,2015-11-01,4,11,15
TOLATA,vih,total no de personas con prueba rapida,2015-11-01,3,0,3
TOLEDO,vih,total no de personas con prueba rapida,2015-11-01,11,1,12
TOMINA,vih,total no de personas con prueba rapida,2015-11-01,5,10,15
TORO TORO,vih,total no de personas con prueba rapida,2015-11-01,1,0,1
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-11-01,7,15,22
TRINIDAD,vih,total no de personas con prueba rapida,2015-11-01,45,88,133
TUPIZA,vih,total no de personas con prueba rapida,2015-11-01,19,34,53
UYUNI,vih,total no de personas con prueba rapida,2015-11-01,4,27,31
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-11-01,53,25,78
VIACHA,vih,total no de personas con prueba rapida,2015-11-01,4,4,8
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-11-01,2,5,7
VILLA MONTES,vih,total no de personas con prueba rapida,2015-11-01,38,43,81
VILLA RIVERO,vih,total no de personas con prueba rapida,2015-11-01,1,16,17
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-11-01,1,15,16
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-11-01,54,210,264
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-11-01,70,2,72
VILLAZON,vih,total no de personas con prueba rapida,2015-11-01,72,97,169
VINTO,vih,total no de personas con prueba rapida,2015-11-01,4,55,59
WARNES,vih,total no de personas con prueba rapida,2015-11-01,48,21,69
YACUIBA,vih,total no de personas con prueba rapida,2015-11-01,13,38,51
YAMPARAEZ,vih,total no de personas con prueba rapida,2015-11-01,5,27,32
YANACACHI,vih,total no de personas con prueba rapida,2015-11-01,21,13,34
YAPACANI,vih,total no de personas con prueba rapida,2015-11-01,9,34,43
YOTALA,vih,total no de personas con prueba rapida,2015-11-01,5,9,14
YUNCHARA,vih,total no de personas con prueba rapida,2015-11-01,2,0,2
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-11-01,13,10,23
ACHACACHI,vih,total no de personas con prueba rapida,2015-12-01,23,38,61
AIQUILE,vih,total no de personas con prueba rapida,2015-12-01,5,15,20
ALCALA,vih,total no de personas con prueba rapida,2015-12-01,3,0,3
ANCORAIMES,vih,total no de personas con prueba rapida,2015-12-01,1,0,1
ANDAMARCA,vih,total no de personas con prueba rapida,2015-12-01,2,1,3
ANTEQUERA,vih,total no de personas con prueba rapida,2015-12-01,0,29,29
APOLO,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
ARBIETO,vih,total no de personas con prueba rapida,2015-12-01,1,0,1
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-12-01,89,194,283
ATOCHA,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-12-01,16,23,39
AZURDUY,vih,total no de personas con prueba rapida,2015-12-01,18,49,67
BETANZOS,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
BOLPEBRA,vih,total no de personas con prueba rapida,2015-12-01,16,9,25
BOYUIBE,vih,total no de personas con prueba rapida,2015-12-01,75,10,85
CABEZAS,vih,total no de personas con prueba rapida,2015-12-01,3,4,7
CALAMARCA,vih,total no de personas con prueba rapida,2015-12-01,8,14,22
CAMARGO,vih,total no de personas con prueba rapida,2015-12-01,0,42,42
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-12-01,0,3,3
CAMIRI,vih,total no de personas con prueba rapida,2015-12-01,31,25,56
CAPINOTA,vih,total no de personas con prueba rapida,2015-12-01,16,19,35
CARANAVI,vih,total no de personas con prueba rapida,2015-12-01,53,33,86
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-12-01,9,10,19
CHALLAPATA,vih,total no de personas con prueba rapida,2015-12-01,10,122,132
CHAQUI,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
CHARAGUA,vih,total no de personas con prueba rapida,2015-12-01,1,10,11
CHIMORE,vih,total no de personas con prueba rapida,2015-12-01,1,10,11
CHOQUE COTA,vih,total no de personas con prueba rapida,2015-12-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-12-01,50,21,71
CHUMA,vih,total no de personas con prueba rapida,2015-12-01,27,29,56
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de personas con prueba rapida,2015-12-01,0,9,9
CLIZA,vih,total no de personas con prueba rapida,2015-12-01,0,3,3
COBIJA,vih,total no de personas con prueba rapida,2015-12-01,54,101,155
COCHABAMBA,vih,total no de personas con prueba rapida,2015-12-01,110,128,238
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-12-01,9,6,15
COLQUECHACA,vih,total no de personas con prueba rapida,2015-12-01,1,5,6
COMARAPA,vih,total no de personas con prueba rapida,2015-12-01,6,9,15
CONCEPCION,vih,total no de personas con prueba rapida,2015-12-01,0,39,39
CORIPATA,vih,total no de personas con prueba rapida,2015-12-01,1,0,1
COROICO,vih,total no de personas con prueba rapida,2015-12-01,2,0,2
COTOCA,vih,total no de personas con prueba rapida,2015-12-01,15,8,23
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-12-01,5,56,61
EL ALTO,vih,total no de personas con prueba rapida,2015-12-01,140,754,894
EL CHORO,vih,total no de personas con prueba rapida,2015-12-01,2,1,3
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-12-01,40,83,123
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-12-01,0,1,1
EL TORNO,vih,total no de personas con prueba rapida,2015-12-01,50,179,229
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-12-01,7,7,14
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-12-01,7,24,31
ESCOMA,vih,total no de personas con prueba rapida,2015-12-01,1,2,3
FILADELFIA,vih,total no de personas con prueba rapida,2015-12-01,0,8,8
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-12-01,3,37,40
GUANAY,vih,total no de personas con prueba rapida,2015-12-01,2,2,4
GUAQUI,vih,total no de personas con prueba rapida,2015-12-01,3,3,6
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-12-01,59,96,155
GUTIERREZ,vih,total no de personas con prueba rapida,2015-12-01,0,2,2
HUACARETA,vih,total no de personas con prueba rapida,2015-12-01,0,2,2
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-12-01,0,6,6
HUANUNI,vih,total no de personas con prueba rapida,2015-12-01,14,65,79
INCAHUASI,vih,total no de personas con prueba rapida,2015-12-01,4,10,14
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-12-01,6,13,19
IXIAMAS,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
LA ASUNTA,vih,total no de personas con prueba rapida,2015-12-01,7,5,12
LA GUARDIA,vih,total no de personas con prueba rapida,2015-12-01,20,35,55
LA PAZ,vih,total no de personas con prueba rapida,2015-12-01,596,354,950
LAJA,vih,total no de personas con prueba rapida,2015-12-01,0,4,4
LLALLAGUA,vih,total no de personas con prueba rapida,2015-12-01,10,0,10
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-12-01,28,47,75
MACHARETI,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
MAIRANA,vih,total no de personas con prueba rapida,2015-12-01,1,3,4
MIZQUE,vih,total no de personas con prueba rapida,2015-12-01,12,16,28
MOJOCOYA,vih,total no de personas con prueba rapida,2015-12-01,2,3,5
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-12-01,9,39,48
MONTERO,vih,total no de personas con prueba rapida,2015-12-01,2017,3095,5112
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-12-01,15,0,15
OCURI,vih,total no de personas con prueba rapida,2015-12-01,0,9,9
OMEREQUE,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
ORURO,vih,total no de personas con prueba rapida,2015-12-01,97,416,513
PADCAYA,vih,total no de personas con prueba rapida,2015-12-01,0,2,2
PADILLA,vih,total no de personas con prueba rapida,2015-12-01,9,18,27
PAILON,vih,total no de personas con prueba rapida,2015-12-01,17,50,67
PASORAPA,vih,total no de personas con prueba rapida,2015-12-01,0,2,2
PAZÑA,vih,total no de personas con prueba rapida,2015-12-01,54,66,120
POCOATA,vih,total no de personas con prueba rapida,2015-12-01,6,22,28
PORVENIR,vih,total no de personas con prueba rapida,2015-12-01,6,13,19
POSTRER VALLE,vih,total no de personas con prueba rapida,2015-12-01,0,39,39
POTOSI,vih,total no de personas con prueba rapida,2015-12-01,194,308,502
PUCARANI,vih,total no de personas con prueba rapida,2015-12-01,3,4,7
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-12-01,22,23,45
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-12-01,1,5,6
PUERTO RICO,vih,total no de personas con prueba rapida,2015-12-01,0,3,3
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-12-01,2,0,2
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-12-01,82,174,256
PUNA,vih,total no de personas con prueba rapida,2015-12-01,1,0,1
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-12-01,22,93,115
QUIME,vih,total no de personas con prueba rapida,2015-12-01,8,12,20
RAVELO,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-12-01,7,58,65
ROBORE,vih,total no de personas con prueba rapida,2015-12-01,6,3,9
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-12-01,9,33,42
SABAYA,vih,total no de personas con prueba rapida,2015-12-01,7,3,10
SACABA,vih,total no de personas con prueba rapida,2015-12-01,19,109,128
SACACA,vih,total no de personas con prueba rapida,2015-12-01,17,11,28
SAIPINA,vih,total no de personas con prueba rapida,2015-12-01,3,0,3
SALINAS DE GARCI MENDOZA,vih,total no de personas con prueba rapida,2015-12-01,58,16,74
SAMAIPATA,vih,total no de personas con prueba rapida,2015-12-01,48,64,112
SAN BORJA,vih,total no de personas con prueba rapida,2015-12-01,6,2,8
SAN CARLOS,vih,total no de personas con prueba rapida,2015-12-01,12,30,42
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-12-01,4,0,4
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-12-01,35,35,70
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-12-01,14,9,23
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-12-01,21,49,70
SAN JULIAN,vih,total no de personas con prueba rapida,2015-12-01,1,21,22
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-12-01,0,14,14
SAN LUCAS,vih,total no de personas con prueba rapida,2015-12-01,7,23,30
SAN MATIAS,vih,total no de personas con prueba rapida,2015-12-01,1,28,29
SAN PEDRO,vih,total no de personas con prueba rapida,2015-12-01,39,92,131
SAN PEDRO DE BUENA VISTA,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
SAN PEDRO(PND),vih,total no de personas con prueba rapida,2015-12-01,0,1,1
SAN RAFAEL,vih,total no de personas con prueba rapida,2015-12-01,14,25,39
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-12-01,1,3,4
SANTA ANA,vih,total no de personas con prueba rapida,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-12-01,520,1632,2152
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
SANTIAGO DE HUARI,vih,total no de personas con prueba rapida,2015-12-01,2,2,4
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
SENA,vih,total no de personas con prueba rapida,2015-12-01,4,7,11
SHINAOTA,vih,total no de personas con prueba rapida,2015-12-01,79,8,87
SICAYA,vih,total no de personas con prueba rapida,2015-12-01,5,6,11
SIPE SIPE,vih,total no de personas con prueba rapida,2015-12-01,5,19,24
SOPACHUY,vih,total no de personas con prueba rapida,2015-12-01,8,36,44
SUCRE,vih,total no de personas con prueba rapida,2015-12-01,85,169,254
TAPACARI,vih,total no de personas con prueba rapida,2015-12-01,3,6,9
TARABUCO,vih,total no de personas con prueba rapida,2015-12-01,22,26,48
TARIJA,vih,total no de personas con prueba rapida,2015-12-01,183,126,309
TARVITA,vih,total no de personas con prueba rapida,2015-12-01,44,60,104
TEOPONTE,vih,total no de personas con prueba rapida,2015-12-01,0,12,12
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-12-01,47,126,173
TOCO,vih,total no de personas con prueba rapida,2015-12-01,3,1,4
TOLATA,vih,total no de personas con prueba rapida,2015-12-01,3,5,8
TOMINA,vih,total no de personas con prueba rapida,2015-12-01,3,4,7
TORO TORO,vih,total no de personas con prueba rapida,2015-12-01,0,1,1
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-12-01,9,17,26
TOTORA(ORR),vih,total no de personas con prueba rapida,2015-12-01,1,0,1
TRINIDAD,vih,total no de personas con prueba rapida,2015-12-01,218,79,297
TUPIZA,vih,total no de personas con prueba rapida,2015-12-01,21,23,44
UNCIA,vih,total no de personas con prueba rapida,2015-12-01,0,41,41
URUBICHA,vih,total no de personas con prueba rapida,2015-12-01,46,62,108
UYUNI,vih,total no de personas con prueba rapida,2015-12-01,3,40,43
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-12-01,29,11,40
VIACHA,vih,total no de personas con prueba rapida,2015-12-01,18,147,165
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-12-01,1,11,12
VILLA MONTES,vih,total no de personas con prueba rapida,2015-12-01,19,26,45
VILLA NUEVA (LOMA ALTA),vih,total no de personas con prueba rapida,2015-12-01,0,1,1
VILLA RIVERO,vih,total no de personas con prueba rapida,2015-12-01,0,12,12
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-12-01,0,9,9
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-12-01,48,323,371
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-12-01,34,8,42
VILLAZON,vih,total no de personas con prueba rapida,2015-12-01,21,23,44
VINTO,vih,total no de personas con prueba rapida,2015-12-01,5,57,62
WARNES,vih,total no de personas con prueba rapida,2015-12-01,11,10,21
YACUIBA,vih,total no de personas con prueba rapida,2015-12-01,43,63,106
YAMPARAEZ,vih,total no de personas con prueba rapida,2015-12-01,0,3,3
YANACACHI,vih,total no de personas con prueba rapida,2015-12-01,2,0,2
YAPACANI,vih,total no de personas con prueba rapida,2015-12-01,14,40,54
YOTALA,vih,total no de personas con prueba rapida,2015-12-01,0,8,8
YUNCHARA,vih,total no de personas con prueba rapida,2015-12-01,0,2,2
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-12-01,1,4,5
