,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,18,72,18,72,90
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,1,0,1,1
BOLPEBRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,2,0,2,2
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,12,1,12,13
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,39,1,39,40
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,37,151,37,151,188
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,11,2,11,13
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,25,2,25,27
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,16,10,16,10,26
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,6,1,6,7
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,4,2,4,6
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,15,11,15,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,5,1,5,6
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,29,57,29,57,86
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,12,17,12,17,29
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,20,1,20,21
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,30,0,30,30
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,86,76,86,76,162
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,27,10,27,37
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,22,1,22,23
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,17,3,17,20
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,0,2,0,2
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,2,2,2,4
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,15,76,15,76,91
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,15,0,15,15
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,24,92,24,92,116
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,7,0,7,7
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,35,6,35,41
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,24,6,24,6,30
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,12,0,12,0,12
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,9,8,9,17
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,29,11,29,40
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,101,33,101,33,134
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,801,161,801,161,962
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,27,5,27,5,32
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,7,10,7,17
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,21,6,21,27
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,119,5,119,124
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,18,0,18,18
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,64,6,64,70
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,0,2,0,2
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,34,42,34,42,76
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,5,0,5,5
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,31,75,31,75,106
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,5,8,5,13
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,23,5,23,28
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,21,10,21,31
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,3,1,3,4
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,34,56,34,56,90
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,63,145,63,145,208
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,25,101,25,101,126
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,1,0,1,1
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,3,0,3,3
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,15,16,15,16,31
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,4,0,4,4
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1422,516,1422,516,1938
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,10,1,10,11
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,25,9,25,9,34
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,2,0,2,2
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,86,45,86,45,131
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,6,6,6,12
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,14,5,14,19
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,14,52,14,52,66
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,22,10,22,32
EUREKA (SANTOS MERCADO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,0,1,0,1
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,24,10,24,34
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,1,2,1,3
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,21,31,21,31,52
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,10,1,10,11
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,19,11,19,30
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,0,5,0,5
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,49,3,49,52
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,21,11,21,32
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,1,0,1,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,2,10,2,12
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,29,1,29,30
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,7,10,7,10,17
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,18,1,18,19
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,20,6,20,26
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,12,13,12,13,25
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,3,0,3,3
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,47,5,47,52
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,9,10,9,19
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,6,4,6,10
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,16,10,16,10,26
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,133,69,133,69,202
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,640,359,640,359,999
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,7,10,7,10,17
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,15,0,15,15
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,6,0,6,6
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,1,1,1,2
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,109,11,109,120
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,0,4,0,4
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,8,1,8,9
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,8,2,8,10
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,12,10,12,22
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,7,12,7,12,19
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,25,10,25,35
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,20,36,20,36,56
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,3,0,3,3
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,12,41,12,41,53
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,6,2,6,8
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,44,58,44,58,102
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,32,43,32,43,75
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,19,4,19,23
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,3,4,3,7
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,45,35,45,35,80
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,219,144,219,144,363
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,5,2,5,7
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,29,29,29,29,58
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,3,5,3,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,2,0,2,2
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,40,5,40,45
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,27,54,27,54,81
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,23,1,23,24
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,250,342,250,342,592
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,29,3,29,32
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,13,4,13,4,17
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,18,111,18,111,129
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,13,5,13,18
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,33,5,33,38
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,6,1,6,7
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,17,11,17,28
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,1,3,1,4
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,1,0,1,1
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,23,25,23,25,48
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,7,4,7,11
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,31,5,31,36
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,70,4,70,74
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,35,1,35,36
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,9,25,9,25,34
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,25,2,25,27
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,72,6,72,78
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,26,8,26,34
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,34,3,34,37
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,47,76,47,76,123
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,6,0,6,6
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,3,4,3,7
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,261,200,261,200,461
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,16,3,16,19
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,1,0,1,1
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,4,0,4,4
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,27,4,27,31
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,6,1,6,7
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,2,0,2,2
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,20,85,20,85,105
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,10,0,10,10
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,24,59,24,59,83
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,63,134,63,134,197
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,31,89,31,89,120
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,20,13,20,13,33
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,6,3,6,9
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,66,46,66,46,112
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,30,2,30,32
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,0,1,0,1
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,16,44,16,44,60
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,13,11,13,11,24
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,188,100,188,100,288
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,14,31,14,31,45
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,15,8,15,8,23
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,4,3,4,7
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,78,64,78,64,142
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,27,5,27,32
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,43,5,43,48
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,22,1,22,23
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,12,3,12,15
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,19,4,19,23
SAN AGUSTIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,0,4,0,4
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,15,35,15,35,50
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,13,6,13,19
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,2,0,2,2
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,29,105,29,105,134
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,11,21,11,21,32
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,26,46,26,46,72
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,15,25,15,25,40
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,134,62,134,62,196
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,6,0,6,6
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,29,32,29,32,61
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,26,4,26,30
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,37,3,37,3,40
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,10,29,10,29,39
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,32,243,32,243,275
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,5,2,5,7
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,61,8,61,69
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,9,25,9,25,34
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,18,46,18,46,64
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,13,0,13,0,13
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,9,8,9,17
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,25,17,25,17,42
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,33,6,33,39
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,12,2,12,14
SAN PEDRO DE QUEMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,0,8,0,8
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,8,11,8,11,19
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,15,18,15,18,33
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,1,7,1,7,8
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,38,0,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2573,1462,2573,1462,4035
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,19,33,19,33,52
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,7,0,7,7
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,10,0,10,10
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,0,10,0,10,10
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,1,2,1,3
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,4,16,4,16,20
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,3,25,3,25,28
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,13,2,13,15
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,10,2,10,12
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,2,34,2,34,36
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,9,20,9,20,29
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,237,151,237,151,388
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,6,7,6,7,13
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,5,27,5,27,32
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-04-01,7,3,7,3,10
