municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
CAPINOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,6,6
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,48,48
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,275,275
CARANAVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,72,72
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,107,107
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,131,131
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,14,14
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,105,105
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,198,198
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,148,148
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,80,80
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,138,138
CHUA COCANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,27,27
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,91,91
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,65,65
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,131,131
CLIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,36,36
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,104,104
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,27,27
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,184,184
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,106,106
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,164,164
COLOMI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,15,15
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,6,6
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,39,39
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,38,38
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,45,45
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,367,367
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,169,169
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,25,25
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,152,152
COROICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,328,328
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,114,114
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,222,222
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,82,82
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,248,248
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,7,7
CUEVO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,10,10
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,140,140
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,112,112
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,6,6
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,31,31
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,1759,1759
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,101,101
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,554,554
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,256,256
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,127,127
EL VILLAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,381,381
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,14,14
EUCALIPTUS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,101,101
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,86,86
FILADELFIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,9,9
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,61,61
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,118,118
GIA-TIM,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,50,50
GUAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,11,11
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,345,345
HUACARAJE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,86,86
HUACARETA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,171,171
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,29,29
HUANUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,87,87
HUARINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,41,41
HUATAJATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,54,54
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,77,77
HUMANATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,20,20
ICHOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,5,5
ICLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,245,245
INCAHUASI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,125,125
INQUISIVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,47,47
IXIAMAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,2,2
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,75,75
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,127,127
LA PAZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,107,107
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,159,159
LAJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,62,62
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,178,178
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,143,143
LLICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,37,37
LORETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,22,22
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,103,103
MACHARETI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,206,206
MAGDALENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,30,30
MAIRANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,25,25
MECAPACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,2,2
MINEROS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,48,48
MIZQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,424,424
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,239,239
MOJINETE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,41,41
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,181,181
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,156,156
MONTERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,73,73
MORO MORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,10,10
MOROCHATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,87,87
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,17,17
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,20,20
OCURI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,83,83
OKINAWA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,50,50
ORURO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,652,652
