municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
VITICHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,77,77
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,3,3
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,465,465
YACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,145,145
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,43,43
YANACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,22,22
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,481,481
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,41,41
YOTALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,99,99
YUNCHARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,136,136
ACACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,17,17
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,31,31
AIQUILE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,18,18
ALALAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,32,32
ALCALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,8,8
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,20,20
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,11,11
ARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,20,20
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,360,360
ARQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,48,48
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,4,4
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,49,49
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,70,70
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,85,85
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,14,14
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,14,14
BERMEJO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,15,15
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,67,67
BOYUIBE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,111,111
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,122,122
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,55,55
CAIROMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,63,63
CAJUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,8,8
CAMARGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,8,8
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,5,5
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,106,106
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,17,17
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,117,117
CARANAVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,9,9
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,63,63
CARIPUYO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,30,30
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,12,12
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,125,125
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,35,35
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,34,34
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,69,69
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,110,110
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,48,48
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,33,33
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,36,36
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,139,139
COCAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,7,7
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,145,145
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,429,429
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,156,156
COLOMI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,11,11
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,17,17
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,6,6
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,101,101
COMBAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,3,3
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,36,36
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,10,10
COROICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,35,35
CORQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,143,143
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,50,50
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,196,196
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,73,73
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,63,63
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,1311,1311
EL CHORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,9,9
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,52,52
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,206,206
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,86,86
EL VILLAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,42,42
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,64,64
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,35,35
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,53,53
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,11,11
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,350,350
HUACARETA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,43,43
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,13,13
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,40,40
HUARINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,20,20
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,55,55
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,23,23
ICLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,66,66
INCAHUASI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,135,135
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,30,30
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,8,8
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,37,37
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,18,18
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,93,93
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,60,60
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,33,33
LLICA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,116,116
LORETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-05-01,60,60
