,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
SORACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,2,0,2,2
TAPACARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,12,6,12,6,18
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,7,11,0,2,7,13,20
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,6,6,6,6,12
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,3,5,6,8,9,17
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,12,17,7,10,19,27,46
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,4,5,6,8,10,13,23
UYUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,10,45,26,64,36,109,145
VACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,10,13,10,13,23
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,5,1,6,4,11,15
VIACHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,1,21,29,22,30,52
VILA VILA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,7,9,8,9,17
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,5,2,0,0,5,2,7
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,1,0,1,1
VILLA RIVERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,18,16,20,17,38,55
VILLA TUNARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,7,4,7,4,11
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
VINTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,0,2,0,2,2
VITICHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,0,1,3,1,3,4
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,3,5,0,1,3,6,9
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,9,1,3,1,12,13
YANACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-09-01,19,35,4,3,23,38,61
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,2,0,0,0,2,2
ALTO BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,2,0,0,1,2,3
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,4,2,4,3,7
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,5,5,16,5,21,26
ATOCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,9,19,15,23,24,42,66
BELLA FLOR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,1,0,1,0,1
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,6,17,6,18,24
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,3,9,151,0,154,9,163
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,6,10,3,5,9,15,24
CARACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,1,0,1,1
CARANAVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,4,3,10,12,14,15,29
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,2,7,2,7,9
CHIMORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,17,11,17,11,28
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,5,5,0,0,5,5,10
CHUMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,2,3,8,13,10,16,26
COCAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,18,19,19,20,39
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,55,104,6,12,61,116,177
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,2,0,3,1,4
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,3,3,6,9,9,12,21
COPACABANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,0,0,1,1,2
CORQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,3,0,3,3
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,10,38,1,9,11,47,58
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,2,9,5,5,7,14,21
CUEVO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,0,1,1,2,3
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,116,135,12,41,128,176,304
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,11,12,3,0,14,12,26
FERNANDEZ ALONSO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,3,11,14,11,17,28
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,1,5,1,5,6
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,7,0,8,1,9
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,0,0,0,1,1
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,3,1,16,36,19,37,56
HUARACAJE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,4,14,4,14,18
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,2,5,4,5,6,10,16
LA ASUNTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,9,18,44,26,53,44,97
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,27,61,199,333,226,394,620
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,85,134,104,138,189,272,461
LAGUNILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,0,0,0,1,0,1
LLALLAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,10,13,10,13,23
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,0,0,0,1,1
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,3,8,26,35,29,43,72
MORO MORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,1,0,1,1
MOROCHATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,48,42,48,42,90
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,7,14,4,24,11,38,49
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,4,3,4,4,8
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,2,5,2,5,4,9
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,5,9,5,9,14
PORONGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,0,2,1,3,4
POSTRER VALLE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,0,0,2,1,2,3
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,4,4,0,1,4,5,9
PUERTO RICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,1,4,1,4,5
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,5,17,0,2,5,19,24
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,30,0,0,0,30,0,30
REYES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,0,0,0,1,0,1
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,2,0,0,1,2,1,3
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,19,56,11,11,30,67,97
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,41,94,433,724,474,818,1292
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,0,0,1,1,1,2
SAN BORJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,6,5,5,3,11,8,19
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,2,0,0,1,2,3
SAN JUAN DE YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,5,4,1,5,6,9,15
SAN JULIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,2,3,2,3,5
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,2,0,2,2
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,3,0,0,0,3,0,3
SAN MATIAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,2,0,0,0,2,2
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,2,0,0,2,2,2,4
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,3,1,3,1,4
SAN RAFAEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,5,9,5,9,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,189,223,44,39,233,262,495
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,4,3,6,3,10,13
SIPE SIPE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,3,0,0,0,3,3
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,10,15,10,16,26
TIQUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,7,38,7,38,45
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,0,2,0,2,2
TOLEDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,4,8,4,8,12
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,2,4,1,8,3,12,15
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,15,85,15,21,30,106,136
URUBICHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,1,1,1,1,2
UYUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,4,15,0,0,4,15,19
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,3,5,3,6,9
VIACHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,1,0,1,0,2,2
VILA VILA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,0,2,2,2,2,4
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,1,2,0,0,1,2,3
VILLA TUNARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,74,69,1,1,75,70,145
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-10-01,4,1,0,0,4,1,5
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,8,13,8,13,21
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,2,0,0,1,2,3
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,7,26,7,26,33
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,1,1,1,2
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,2,2,2,2,4
BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,2,1,2,3
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,10,0,8,0,18,18
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,1,0,0,1,1,2
CARACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,2,2,2,2,4
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,2,0,84,33,86,33,119
CHALLAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,28,0,28,0,28
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,2,11,15,12,17,23,40
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,10,20,0,0,10,20,30
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,48,30,48,30,78
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,1,0,0,1,1,2
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,2,0,25,49,27,49,76
CORQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,1,0,1,1
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,5,0,0,0,5,5
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,31,56,13,26,44,82,126
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,3,0,0,0,3,3
EUCALIPTUS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,2,3,2,3,5
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,1,0,1,1
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,2,1,2,3
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,18,2,0,2,18,20
HUARACAJE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,1,17,6,17,7,24
INQUISIVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,1,13,13,13,14,27
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,6,31,35,14,41,45,86
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,41,62,28,9,69,71,140
LAGUNILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,3,1,3,1,4
MACHACAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,2,0,2,2
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,12,21,12,21,33
MAPIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,2,0,2,2
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,7,16,11,42,18,58,76
MOROCHATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,5,20,13,20,18,38
OKINAWA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,0,2,3,3,3,6
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,11,15,112,32,123,47,170
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,1,1,1,2
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,11,6,11,6,17
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,3,1,3,4
PORTACHUELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,10,10,0,0,10,10,20
PORVENIR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,13,14,13,14,27
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,4,0,0,0,4,4
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,0,0,0,1,0,1
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,4,2,4,2,6
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,5,5,5,5,10
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,3,6,8,7,11,18
SABAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,2,2,2,2,4
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,6,13,243,276,249,289,538
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,1,5,0,5,1,6
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,1,0,1,1
SAN CARLOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,1,4,5,4,6,10
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,12,10,5,11,17,21,38
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,1,6,12,7,13,20
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,3,0,3,3
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,105,167,70,50,175,217,392
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,3,0,3,3
SORATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,1,1,1,2
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,3,4,19,23,22,27,49
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,2,9,10,9,12,21
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,44,91,9,14,53,105,158
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,0,2,0,2,2
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,1,5,6,0,7,5,12
VILA VILA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,1,0,1,0,1
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,0,0,3,0,3,0,3
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,9,18,11,20,20,38,58
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-11-01,6,9,21,20,27,29,56
ACHOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,0,1,0,1,1
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,1,2,15,2,16,18
ATOCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,0,4,4,5,4,9
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,2,4,2,4,6
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,2,0,0,0,2,0,2
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,10,10,23,13,33,23,56
COLLANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,1,2,1,2,3
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,4,0,0,1,4,5
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,12,13,0,0,12,13,25
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,4,8,0,0,4,8,12
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,0,3,0,3,3
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,22,28,13,10,35,38,73
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,0,1,0,1,1
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,2,10,2,10,12
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,1,0,0,0,1,1
IXIAMAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,41,39,41,39,80
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,10,42,3,3,13,45,58
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,31,37,24,22,55,59,114
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,2,4,2,4,6
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,6,8,10,21,16,29,45
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,8,1,113,43,121,44,165
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,5,5,5,5,10
PORTACHUELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,15,2,0,0,15,2,17
PORVENIR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,1,2,3,2,4,6
POSTRER VALLE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,2,2,0,3,2,5
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,3,1,5,2,8,10
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,1,1,1,2,2,4
RAVELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,4,2,2,0,6,2,8
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,5,0,0,0,5,5
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,11,0,11,0,11
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,23,0,0,0,23,23
SAN CARLOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,1,0,0,1,1,2
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,20,17,20,17,37
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,84,71,12,25,96,96,192
SORATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,1,0,3,0,4,0,4
TACOBAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,1,2,1,2,3
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,2,0,1,2,3,2,5
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,1,17,21,17,22,39
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,8,10,13,13,21,23,44
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,0,0,1,15,1,15,16
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-12-01,2,0,5,3,7,3,10
