,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,26,39,0,0,26,39,65
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,10,0,0,2,10,12
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,3,0,0,2,3,5
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,24,0,0,1,24,25
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,1,0,0,4,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,3,0,0,2,3,5
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,13,0,0,10,13,23
APOLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,26,0,0,12,26,38
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,10,0,0,0,10,10
ARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,9,0,0,10,9,19
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,6,0,0,7,6,13
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,10,0,0,19,10,29
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,64,8,0,0,64,8,72
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,2,0,0,19,2,21
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,10,0,0,0,10,10
AYATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,14,0,0,4,14,18
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,9,0,0,5,9,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,17,57,0,0,17,57,74
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,28,22,0,0,28,22,50
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,18,0,0,8,18,26
BAURES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,1,0,0,6,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,3,0,0,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,3,0,0,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,2,0,0,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,38,16,0,0,38,16,54
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,25,49,0,0,25,49,74
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,9,0,0,5,9,14
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,11,0,0,0,11,11
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,1,0,0,2,1,3
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,15,9,0,0,15,9,24
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,80,0,0,19,80,99
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,19,0,0,1,19,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,14,0,0,4,14,18
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,6,0,0,10,6,16
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,13,0,0,2,13,15
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,16,12,0,0,16,12,28
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,13,0,0,10,13,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,4,0,0,4,4,8
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,44,10,0,0,44,10,54
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,15,0,0,19,15,34
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,13,0,0,6,13,19
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,23,30,0,0,23,30,53
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,69,65,0,0,69,65,134
CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,0,0,0,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,9,0,0,8,9,17
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,11,0,0,3,11,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,12,0,0,2,12,14
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,2,0,0,0,2,2
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,3,0,0,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,65,0,0,19,65,84
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,4,0,0,5,4,9
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,76,0,0,18,76,94
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,1,0,0,3,1,4
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,20,0,0,12,20,32
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,26,4,0,0,26,4,30
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,21,0,0,10,21,31
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,8,0,0,3,8,11
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,17,9,0,0,17,9,26
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,65,13,0,0,65,13,78
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1263,61,0,0,1263,61,1324
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,108,20,0,0,108,20,128
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,9,16,0,0,9,16,25
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,20,18,0,0,20,18,38
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,1,0,0,12,1,13
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,26,96,0,0,26,96,122
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,6,0,0,2,6,8
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,46,0,0,12,46,58
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,2,0,0,0,2,2
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,17,0,0,18,17,35
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,7,0,0,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,20,14,0,0,20,14,34
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,20,0,0,7,20,27
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,11,0,0,18,11,29
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,5,0,0,3,5,8
COROICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,21,0,0,7,21,28
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,7,0,0,3,7,10
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,32,0,0,6,32,38
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,78,56,0,0,78,56,134
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,9,11,0,0,9,11,20
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,0,0,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,2,0,0,3,2,5
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,34,0,0,19,34,53
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,7,0,0,4,7,11
CURVA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,4,0,0,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,7,0,0,5,7,12
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1421,157,0,0,1421,157,1578
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,8,0,0,2,8,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,14,9,0,0,14,9,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,12,0,0,4,12,16
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,72,14,0,0,72,14,86
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,3,0,0,7,3,10
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,20,4,0,0,20,4,24
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,13,13,0,0,13,13,26
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,1,0,0,0,1,1
ESMERALDA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,4,0,0,8,4,12
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,4,0,0,0,4,4
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,3,0,0,4,3,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,7,0,0,12,7,19
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,17,0,0,1,17,18
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,5,0,0,10,5,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,15,0,0,4,15,19
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,11,10,0,0,11,10,21
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,14,0,0,3,14,17
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,76,29,0,0,76,29,105
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,11,29,0,0,11,29,40
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,13,5,0,0,13,5,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,0,0,0,5,0,5
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,31,34,0,0,31,34,65
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,0,0,0,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,8,0,0,3,8,11
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,9,0,0,0,9,9
ICLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,9,16,0,0,9,16,25
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,20,38,0,0,20,38,58
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,22,0,0,6,22,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,17,0,0,7,17,24
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,0,0,0,7,0,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,9,0,0,8,9,17
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,50,35,0,0,50,35,85
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,111,20,0,0,111,20,131
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1307,58,0,0,1307,58,1365
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,9,0,0,6,9,15
LAJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,22,0,0,10,22,32
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,4,0,0,2,4,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,2,0,0,3,2,5
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,22,76,0,0,22,76,98
LLICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,3,0,0,3,3,6
LORETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,13,0,0,0,13,13
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,15,0,0,3,15,18
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,2,0,0,1,2,3
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,1,0,0,12,1,13
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,14,0,0,5,14,19
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,17,2,0,0,17,2,19
MALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,2,0,0,3,2,5
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,16,8,0,0,16,8,24
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,14,15,0,0,14,15,29
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,34,4,0,0,34,4,38
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,55,0,0,18,55,73
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,39,0,0,6,39,45
MOJINETE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,0,0,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,7,0,0,7,7,14
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,25,16,0,0,25,16,41
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,152,22,0,0,152,22,174
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,1,0,0,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,20,58,0,0,20,58,78
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,3,0,0,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,4,0,0,1,4,5
OCURI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,22,31,0,0,22,31,53
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,17,12,0,0,17,12,29
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,9,0,0,4,9,13
ORURO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,443,90,0,0,443,90,533
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,14,0,0,5,14,19
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,13,12,0,0,13,12,25
PAILON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,43,10,0,0,43,10,53
PALCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,24,0,0,6,24,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,40,23,0,0,40,23,63
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,1,0,0,2,1,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,6,0,0,8,6,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,9,0,0,3,9,12
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,3,0,0,4,3,7
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,21,19,0,0,21,19,40
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,7,0,0,8,7,15
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,13,0,0,1,13,14
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,40,0,0,5,40,45
POCONA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,13,30,0,0,13,30,43
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,24,9,0,0,24,9,33
POOPO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,11,0,0,7,11,18
PORCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,10,0,0,18,10,28
POROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,32,0,0,18,32,50
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,8,0,0,8,8,16
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,29,7,0,0,29,7,36
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,7,5,0,0,7,5,12
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,2,0,0,2,2,4
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,348,104,0,0,348,104,452
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,25,0,0,6,25,31
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,4,0,0,3,4,7
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,13,32,0,0,13,32,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,11,40,0,0,11,40,51
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,5,36,0,0,5,36,41
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,8,0,0,0,8,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,11,0,0,0,11,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,16,19,0,0,16,19,35
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,9,2,0,0,9,2,11
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,1,0,0,1,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,17,12,0,0,17,12,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,75,23,0,0,75,23,98
PUNA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,22,56,0,0,22,56,78
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,37,9,0,0,37,9,46
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,155,74,0,0,155,74,229
QUIME,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,13,0,0,3,13,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,0,0,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,54,0,0,18,54,72
REYES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,11,0,0,10,11,21
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,183,55,0,0,183,55,238
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,11,15,0,0,11,15,26
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,22,27,0,0,22,27,49
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,8,0,0,3,8,11
SACABA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,135,54,0,0,135,54,189
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,9,0,0,1,9,10
SACACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,9,43,0,0,9,43,52
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,2,0,0,2,2,4
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,13,0,0,6,13,19
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,7,0,0,8,7,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,1,0,0,3,1,4
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,17,23,0,0,17,23,40
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,6,0,0,0,6,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,8,6,0,0,8,6,14
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,6,0,0,10,6,16
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,57,28,0,0,57,28,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,8,0,0,12,8,20
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,24,9,0,0,24,9,33
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,38,22,0,0,38,22,60
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,80,50,0,0,80,50,130
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,0,3,0,0,0,3,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,25,17,0,0,25,17,42
SAN JOAQUIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,9,3,0,0,9,3,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,19,8,0,0,19,8,27
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,13,4,0,0,13,4,17
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,26,54,0,0,26,54,80
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,3,4,0,0,3,4,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,12,19,0,0,12,19,31
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,33,64,0,0,33,64,97
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,22,15,0,0,22,15,37
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,18,7,0,0,18,7,25
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,6,4,0,0,6,4,10
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,22,0,0,0,22,0,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,10,64,0,0,10,64,74
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,8,0,0,2,8,10
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,2,0,0,2,2,4
