,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,8,2,10
UNCIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,4,0,4
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,1,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,0,3,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,12,2,14
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,15,6,21
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,1,2
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,7,5,12
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,11,1,12
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,3,0,3
YOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-11-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,2,3
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,15,15
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,5,7
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,8,10
BAURES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,3,3
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,3,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,4,5
CHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,10,10
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,5,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,13,2,15
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,32,19,51
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
COLLANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,3,3
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,1,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,2,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,45,38,83
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,4,6
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,4,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,2,4
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,14,6,20
ICLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,3,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,5,22,27
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,3,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,7,1,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,64,1,65
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,5,7
LLICA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
LORETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,7,7
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,1,3
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
MOJINETE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,6,0,6
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,15,16
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,29,33,62
OCURI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,4,5
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,15,19,34
PADILLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,3,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,22,0,22
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,4,5,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,2,4
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,2,3
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,6,49,55
POROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,6,8,14
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,6,0,6
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,12,13,25
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,1,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,4,14,18
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,6,3,9
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,5,3,8
RAVELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,6,6
REYES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,15,0,15
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,8,3,11
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,5,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,2,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,4,0,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,22,0,22
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,0,3
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,32,23,55
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,6,8
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,217,75,292
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,1,3
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,6,6
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,7,23,30
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,49,14,63
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,3,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,3,6
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,4,4
TOLATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,13,1,14
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,8,1,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,13,7,20
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,3,1,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,1,1,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-12-01,0,1,1
