municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
CORO CORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,6,6
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,210,210
CUATRO CAÑADAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,8,8
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,558,558
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,12,12
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,19,19
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
EXALTACION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,7,7
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
GUAQUI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,216,216
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
HUARINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
HUATAJATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,6,6
INQUISIVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
JESUS DE MACHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,47,47
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3158,3158
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,11,11
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
MECAPACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
MOCOMOCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,7,7
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,259,259
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,9,9
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,455,455
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
PAMPA GRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
PAPEL PAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
PAZÑA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
POCOATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
POCONA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,64,64
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
PUERTO PEREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,61,61
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,6,6
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,32,32
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,29,29
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,12,12
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,27,27
SAN JAVIER(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
SAN JULIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,6,6
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,8,8
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
SAN PEDRO DE BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1802,1802
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
SANTUARIO DE QUILLACAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,10,10
SICA SICA (VILLA AROMA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SIPE SIPE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
SORATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,149,149
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,180,180
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
TIAHUANACU,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,486,486
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,69,69
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
UYUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,10,10
VALLEGRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
VILLA NUEVA (LOMA ALTA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,2,2
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,7,7
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,23,23
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,4,4
YANACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,5,5
YUNGUYO DE LITORAL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-11-01,3,3
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
APOLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,15,15
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,65,65
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,6,6
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,9,9
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,6,6
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,18,18
CHULUMANI (V. DE LA LIBERTAD),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,48,48
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,446,446
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
COLOMI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
COLPA BELGICA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,6,6
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,218,218
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,7,7
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,456,456
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,7,7
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,24,24
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
EUCALIPTUS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,9,9
FILADELFIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
GUAQUI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,167,167
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,15,15
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
IRUPANA (VILLA DE LANZA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,42,42
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2664,2664
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
MECAPACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
MOCOMOCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,163,163
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,10,10
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,517,517
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
PAMPA GRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
POCONA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,27,27
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
PUERTO CARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
PUERTO PEREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
PUERTO RICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
PUNA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,52,52
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,7,7
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,37,37
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,24,24
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
SAN BORJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,20,20
SAN IGNACIO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
SAN JULIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,7,7
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,6,6
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
SAN PEDRO DE BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1376,1376
SANTUARIO DE QUILLACAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,12,12
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,4,4
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,103,103
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,9,9
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,55,55
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
TOLATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,1,1
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
TOTORA(CBBA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,449,449
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,19,19
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,17,17
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,2,2
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,9,9
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,3,3
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,13,13
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-12-01,5,5
