,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
SANTA ROSA,consultas prenatales, repetidas,2014-04-01,72,2,74
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-04-01,103,1,104
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-04-01,4,8,12
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-04-01,35,1,36
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-04-01,23,0,23
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-04-01,21,1,22
SANTIVAÑES,consultas prenatales, repetidas,2014-04-01,31,0,31
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-04-01,16,0,16
SAPAHAQUI,consultas prenatales, repetidas,2014-04-01,28,8,36
SENA,consultas prenatales, repetidas,2014-04-01,32,0,32
SHINAOTA,consultas prenatales, repetidas,2014-04-01,328,0,328
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-04-01,94,4,98
SICAYA,consultas prenatales, repetidas,2014-04-01,19,0,19
SIPE SIPE,consultas prenatales, repetidas,2014-04-01,415,0,415
SOPACHUY,consultas prenatales, repetidas,2014-04-01,33,9,42
SORACACHI,consultas prenatales, repetidas,2014-04-01,28,4,32
SORATA,consultas prenatales, repetidas,2014-04-01,66,8,74
SUCRE,consultas prenatales, repetidas,2014-04-01,3267,15,3282
TACACHI,consultas prenatales, repetidas,2014-04-01,3,0,3
TACACOMA,consultas prenatales, repetidas,2014-04-01,21,0,21
TACOBAMBA,consultas prenatales, repetidas,2014-04-01,24,15,39
TACOPAYA,consultas prenatales, repetidas,2014-04-01,31,0,31
TAHUA,consultas prenatales, repetidas,2014-04-01,3,1,4
TAPACARI,consultas prenatales, repetidas,2014-04-01,86,11,97
TARABUCO,consultas prenatales, repetidas,2014-04-01,62,19,81
TARACO,consultas prenatales, repetidas,2014-04-01,11,2,13
TARATA,consultas prenatales, repetidas,2014-04-01,67,1,68
TARIJA,consultas prenatales, repetidas,2014-04-01,1957,17,1974
TARVITA,consultas prenatales, repetidas,2014-04-01,64,28,92
TEOPONTE,consultas prenatales, repetidas,2014-04-01,81,5,86
TIAWANACU,consultas prenatales, repetidas,2014-04-01,59,1,60
TINGUIPAYA,consultas prenatales, repetidas,2014-04-01,52,10,62
TIPUANI,consultas prenatales, repetidas,2014-04-01,54,0,54
TIQUIPAYA,consultas prenatales, repetidas,2014-04-01,482,1,483
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-04-01,96,3,99
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-04-01,7,0,7
TOCO,consultas prenatales, repetidas,2014-04-01,26,0,26
TOLATA,consultas prenatales, repetidas,2014-04-01,34,0,34
TOLEDO,consultas prenatales, repetidas,2014-04-01,20,2,22
TOMAVE,consultas prenatales, repetidas,2014-04-01,49,17,66
TOMINA,consultas prenatales, repetidas,2014-04-01,60,2,62
TORO TORO,consultas prenatales, repetidas,2014-04-01,37,8,45
TOTORA(CBBA),consultas prenatales, repetidas,2014-04-01,144,2,146
TOTORA(ORR),consultas prenatales, repetidas,2014-04-01,15,3,18
TRIGAL,consultas prenatales, repetidas,2014-04-01,3,0,3
TRINIDAD,consultas prenatales, repetidas,2014-04-01,1229,31,1260
TUPIZA,consultas prenatales, repetidas,2014-04-01,334,80,414
TURCO,consultas prenatales, repetidas,2014-04-01,19,0,19
UMALA,consultas prenatales, repetidas,2014-04-01,22,8,30
UNCIA,consultas prenatales, repetidas,2014-04-01,123,12,135
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-04-01,129,1,130
URUBICHA,consultas prenatales, repetidas,2014-04-01,49,0,49
UYUNI,consultas prenatales, repetidas,2014-04-01,299,4,303
VACAS,consultas prenatales, repetidas,2014-04-01,32,1,33
VALLEGRANDE,consultas prenatales, repetidas,2014-04-01,115,1,116
VIACHA,consultas prenatales, repetidas,2014-04-01,355,0,355
VILA VILA,consultas prenatales, repetidas,2014-04-01,14,0,14
VILLA CHARCAS,consultas prenatales, repetidas,2014-04-01,66,27,93
VILLA MONTES,consultas prenatales, repetidas,2014-04-01,365,3,368
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-04-01,5,1,6
VILLA RIVERO,consultas prenatales, repetidas,2014-04-01,72,4,76
VILLA SERRANO,consultas prenatales, repetidas,2014-04-01,55,19,74
VILLA TUNARI,consultas prenatales, repetidas,2014-04-01,668,2,670
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-04-01,54,5,59
VILLAZON,consultas prenatales, repetidas,2014-04-01,375,10,385
VINTO,consultas prenatales, repetidas,2014-04-01,276,0,276
VITICHI,consultas prenatales, repetidas,2014-04-01,43,6,49
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-04-01,7,2,9
WARNES,consultas prenatales, repetidas,2014-04-01,816,0,816
YACO,consultas prenatales, repetidas,2014-04-01,14,4,18
YACUIBA,consultas prenatales, repetidas,2014-04-01,563,1,564
YAMPARAEZ,consultas prenatales, repetidas,2014-04-01,34,6,40
YANACACHI,consultas prenatales, repetidas,2014-04-01,24,0,24
YAPACANI,consultas prenatales, repetidas,2014-04-01,355,4,359
YOCALLA,consultas prenatales, repetidas,2014-04-01,21,5,26
YOTALA,consultas prenatales, repetidas,2014-04-01,40,1,41
YUNCHARA,consultas prenatales, repetidas,2014-04-01,12,26,38
ZUDAÑEZ,consultas prenatales, repetidas,2014-04-01,46,7,53
ACACIO,consultas prenatales, repetidas,2014-05-01,19,2,21
ACHACACHI,consultas prenatales, repetidas,2014-05-01,229,1,230
ACHOCALLA,consultas prenatales, repetidas,2014-05-01,68,26,94
AIQUILE,consultas prenatales, repetidas,2014-05-01,184,5,189
ALALAY,consultas prenatales, repetidas,2014-05-01,4,6,10
ALCALA,consultas prenatales, repetidas,2014-05-01,25,1,26
ALTO BENI,consultas prenatales, repetidas,2014-05-01,40,0,40
ANCORAIMES,consultas prenatales, repetidas,2014-05-01,44,2,46
ANDAMARCA,consultas prenatales, repetidas,2014-05-01,10,5,15
ANTEQUERA,consultas prenatales, repetidas,2014-05-01,9,6,15
ANZALDO,consultas prenatales, repetidas,2014-05-01,17,1,18
APOLO,consultas prenatales, repetidas,2014-05-01,134,16,150
ARAMPAMPA,consultas prenatales, repetidas,2014-05-01,10,14,24
ARANI,consultas prenatales, repetidas,2014-05-01,105,2,107
ARBIETO,consultas prenatales, repetidas,2014-05-01,97,0,97
ARQUE,consultas prenatales, repetidas,2014-05-01,43,1,44
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-05-01,207,3,210
ATOCHA,consultas prenatales, repetidas,2014-05-01,67,1,68
AUCAPATA,consultas prenatales, repetidas,2014-05-01,12,10,22
AYATA,consultas prenatales, repetidas,2014-05-01,35,3,38
AYO AYO,consultas prenatales, repetidas,2014-05-01,33,0,33
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-05-01,126,10,136
AZURDUY,consultas prenatales, repetidas,2014-05-01,40,26,66
BATALLAS,consultas prenatales, repetidas,2014-05-01,84,4,88
BAURES,consultas prenatales, repetidas,2014-05-01,25,0,25
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-05-01,6,7,13
BELEN DE URMIRI,consultas prenatales, repetidas,2014-05-01,4,5,9
BELLA FLOR,consultas prenatales, repetidas,2014-05-01,20,0,20
BERMEJO,consultas prenatales, repetidas,2014-05-01,326,3,329
BETANZOS,consultas prenatales, repetidas,2014-05-01,144,20,164
BOLIVAR,consultas prenatales, repetidas,2014-05-01,14,3,17
BOLPEBRA,consultas prenatales, repetidas,2014-05-01,5,0,5
BOYUIBE,consultas prenatales, repetidas,2014-05-01,12,2,14
BUENA VISTA,consultas prenatales, repetidas,2014-05-01,46,0,46
CABEZAS,consultas prenatales, repetidas,2014-05-01,153,0,153
CAIROMA,consultas prenatales, repetidas,2014-05-01,35,0,35
"CAIZA ""D""",consultas prenatales, repetidas,2014-05-01,54,4,58
CAJUATA,consultas prenatales, repetidas,2014-05-01,52,1,53
CALACOTO,consultas prenatales, repetidas,2014-05-01,8,3,11
CALAMARCA,consultas prenatales, repetidas,2014-05-01,54,4,58
CAMARGO,consultas prenatales, repetidas,2014-05-01,91,6,97
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-05-01,9,2,11
CAMIRI,consultas prenatales, repetidas,2014-05-01,332,8,340
CAPINOTA,consultas prenatales, repetidas,2014-05-01,176,2,178
CAQUIAVIRI,consultas prenatales, repetidas,2014-05-01,29,2,31
CARACOLLO,consultas prenatales, repetidas,2014-05-01,134,1,135
CARANAVI,consultas prenatales, repetidas,2014-05-01,399,3,402
CARAPARI,consultas prenatales, repetidas,2014-05-01,90,5,95
CARIPUYO,consultas prenatales, repetidas,2014-05-01,30,9,39
CARMEN RIVERO TORREZ,consultas prenatales, repetidas,2014-05-01,33,0,33
CATACORA,consultas prenatales, repetidas,2014-05-01,2,1,3
CHACARILLA,consultas prenatales, repetidas,2014-05-01,3,1,4
CHALLAPATA,consultas prenatales, repetidas,2014-05-01,222,20,242
CHAQUI,consultas prenatales, repetidas,2014-05-01,32,2,34
CHARAGUA,consultas prenatales, repetidas,2014-05-01,192,9,201
CHARAÑA,consultas prenatales, repetidas,2014-05-01,2,0,2
CHAYANTA,consultas prenatales, repetidas,2014-05-01,72,13,85
CHIMORE,consultas prenatales, repetidas,2014-05-01,103,10,113
CHIPAYA,consultas prenatales, repetidas,2014-05-01,7,0,7
CHOQUE COTA,consultas prenatales, repetidas,2014-05-01,7,0,7
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-05-01,150,0,150
CHUMA,consultas prenatales, repetidas,2014-05-01,29,3,32
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-05-01,49,0,49
CKOCHAS,consultas prenatales, repetidas,2014-05-01,65,8,73
CLIZA,consultas prenatales, repetidas,2014-05-01,299,4,303
COBIJA,consultas prenatales, repetidas,2014-05-01,631,1,632
COCAPATA,consultas prenatales, repetidas,2014-05-01,22,24,46
COCHABAMBA,consultas prenatales, repetidas,2014-05-01,7399,6,7405
COIPASA,consultas prenatales, repetidas,2014-05-01,7,0,7
COLCAPIRHUA,consultas prenatales, repetidas,2014-05-01,359,0,359
"COLCHA ""K""",consultas prenatales, repetidas,2014-05-01,76,2,78
COLLANA,consultas prenatales, repetidas,2014-05-01,12,0,12
COLOMI,consultas prenatales, repetidas,2014-05-01,156,0,156
COLPA BELGICA,consultas prenatales, repetidas,2014-05-01,41,0,41
COLQUECHACA,consultas prenatales, repetidas,2014-05-01,103,40,143
COLQUENCHA,consultas prenatales, repetidas,2014-05-01,47,1,48
COLQUIRI,consultas prenatales, repetidas,2014-05-01,57,29,86
COMANCHE,consultas prenatales, repetidas,2014-05-01,6,3,9
COMARAPA,consultas prenatales, repetidas,2014-05-01,190,0,190
COMBAYA,consultas prenatales, repetidas,2014-05-01,6,3,9
CONCEPCION,consultas prenatales, repetidas,2014-05-01,128,6,134
COPACABANA,consultas prenatales, repetidas,2014-05-01,67,4,71
CORIPATA,consultas prenatales, repetidas,2014-05-01,102,0,102
CORO CORO,consultas prenatales, repetidas,2014-05-01,27,3,30
COROICO,consultas prenatales, repetidas,2014-05-01,160,0,160
CORQUE,consultas prenatales, repetidas,2014-05-01,17,6,23
COTAGAITA,consultas prenatales, repetidas,2014-05-01,96,35,131
COTOCA,consultas prenatales, repetidas,2014-05-01,403,0,403
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-05-01,169,1,170
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-05-01,4,1,5
CUEVO,consultas prenatales, repetidas,2014-05-01,17,2,19
CULPINA,consultas prenatales, repetidas,2014-05-01,93,16,109
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-05-01,25,0,25
CURVA,consultas prenatales, repetidas,2014-05-01,13,0,13
DESAGUADERO,consultas prenatales, repetidas,2014-05-01,33,0,33
EL ALTO,consultas prenatales, repetidas,2014-05-01,6262,324,6586
EL CHORO,consultas prenatales, repetidas,2014-05-01,16,9,25
EL PUENTE(STC),consultas prenatales, repetidas,2014-05-01,61,1,62
EL PUENTE(TJA),consultas prenatales, repetidas,2014-05-01,55,15,70
EL TORNO,consultas prenatales, repetidas,2014-05-01,574,0,574
EL VILLAR,consultas prenatales, repetidas,2014-05-01,23,5,28
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-05-01,138,14,152
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-05-01,217,0,217
ESCARA,consultas prenatales, repetidas,2014-05-01,1,0,1
ESCOMA,consultas prenatales, repetidas,2014-05-01,37,0,37
ESMERALDA,consultas prenatales, repetidas,2014-05-01,1,0,1
EUCALIPTUS,consultas prenatales, repetidas,2014-05-01,29,0,29
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-05-01,3,2,5
EXALTACION,consultas prenatales, repetidas,2014-05-01,8,0,8
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-05-01,67,1,68
FILADELFIA,consultas prenatales, repetidas,2014-05-01,30,3,33
GENERAL SAAVEDRA,consultas prenatales, repetidas,2014-05-01,73,0,73
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-05-01,42,8,50
GUANAY,consultas prenatales, repetidas,2014-05-01,94,6,100
GUAQUI,consultas prenatales, repetidas,2014-05-01,24,4,28
GUAYARAMERIN,consultas prenatales, repetidas,2014-05-01,523,3,526
GUTIERREZ,consultas prenatales, repetidas,2014-05-01,69,13,82
HUACARETA,consultas prenatales, repetidas,2014-05-01,42,8,50
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-05-01,16,3,19
HUACHACALLA,consultas prenatales, repetidas,2014-05-01,2,0,2
HUANUNI,consultas prenatales, repetidas,2014-05-01,223,2,225
HUARACAJE,consultas prenatales, repetidas,2014-05-01,26,0,26
HUARINA,consultas prenatales, repetidas,2014-05-01,25,1,26
HUATAJATA,consultas prenatales, repetidas,2014-05-01,12,0,12
HUAYLLAMARCA,consultas prenatales, repetidas,2014-05-01,7,0,7
HUMANATA,consultas prenatales, repetidas,2014-05-01,11,5,16
ICHOCA,consultas prenatales, repetidas,2014-05-01,6,4,10
ICLA,consultas prenatales, repetidas,2014-05-01,38,10,48
INCAHUASI,consultas prenatales, repetidas,2014-05-01,29,32,61
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-05-01,7,3,10
INQUISIVI,consultas prenatales, repetidas,2014-05-01,31,11,42
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-05-01,105,3,108
IXIAMAS,consultas prenatales, repetidas,2014-05-01,37,0,37
JESUS DE MACHACA,consultas prenatales, repetidas,2014-05-01,91,1,92
LA ASUNTA,consultas prenatales, repetidas,2014-05-01,349,7,356
LA GUARDIA,consultas prenatales, repetidas,2014-05-01,579,1,580
LA PAZ,consultas prenatales, repetidas,2014-05-01,7383,1,7384
LA RIVERA,consultas prenatales, repetidas,2014-05-01,1,0,1
LAGUNILLAS,consultas prenatales, repetidas,2014-05-01,37,0,37
LAJA,consultas prenatales, repetidas,2014-05-01,61,0,61
LAS CARRERAS,consultas prenatales, repetidas,2014-05-01,30,0,30
LICOMA PAMPA,consultas prenatales, repetidas,2014-05-01,5,0,5
LLALLAGUA,consultas prenatales, repetidas,2014-05-01,334,7,341
LLICA,consultas prenatales, repetidas,2014-05-01,13,1,14
LORETO,consultas prenatales, repetidas,2014-05-01,7,4,11
LURIBAY,consultas prenatales, repetidas,2014-05-01,23,1,24
MACHACAMARCA,consultas prenatales, repetidas,2014-05-01,2,0,2
MACHARETI,consultas prenatales, repetidas,2014-05-01,47,2,49
MAGDALENA,consultas prenatales, repetidas,2014-05-01,121,4,125
MAIRANA,consultas prenatales, repetidas,2014-05-01,99,0,99
MALLA,consultas prenatales, repetidas,2014-05-01,4,1,5
MAPIRI,consultas prenatales, repetidas,2014-05-01,114,3,117
MECAPACA,consultas prenatales, repetidas,2014-05-01,47,6,53
MINEROS,consultas prenatales, repetidas,2014-05-01,169,0,169
MIZQUE,consultas prenatales, repetidas,2014-05-01,198,1,199
MOCOMOCO,consultas prenatales, repetidas,2014-05-01,29,6,35
MOJINETE,consultas prenatales, repetidas,2014-05-01,7,0,7
MOJOCOYA,consultas prenatales, repetidas,2014-05-01,31,6,37
MONTEAGUDO,consultas prenatales, repetidas,2014-05-01,271,2,273
MONTERO,consultas prenatales, repetidas,2014-05-01,985,1,986
MORO MORO,consultas prenatales, repetidas,2014-05-01,9,6,15
MOROCHATA,consultas prenatales, repetidas,2014-05-01,52,11,63
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-05-01,22,0,22
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-05-01,14,8,22
OCURI,consultas prenatales, repetidas,2014-05-01,54,25,79
OKINAWA,consultas prenatales, repetidas,2014-05-01,115,0,115
OMEREQUE,consultas prenatales, repetidas,2014-05-01,20,5,25
ORURO,consultas prenatales, repetidas,2014-05-01,2943,0,2943
PADCAYA,consultas prenatales, repetidas,2014-05-01,113,4,117
PADILLA,consultas prenatales, repetidas,2014-05-01,54,10,64
PAILON,consultas prenatales, repetidas,2014-05-01,144,12,156
PALCA,consultas prenatales, repetidas,2014-05-01,86,1,87
PALOS BLANCOS,consultas prenatales, repetidas,2014-05-01,243,0,243
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-05-01,27,2,29
PAMPA GRANDE,consultas prenatales, repetidas,2014-05-01,50,0,50
PAPEL PAMPA,consultas prenatales, repetidas,2014-05-01,20,4,24
PASORAPA,consultas prenatales, repetidas,2014-05-01,18,1,19
PATACAMAYA,consultas prenatales, repetidas,2014-05-01,213,0,213
PAZÑA,consultas prenatales, repetidas,2014-05-01,27,7,34
PELECHUCO,consultas prenatales, repetidas,2014-05-01,24,0,24
POCOATA,consultas prenatales, repetidas,2014-05-01,69,54,123
POCONA,consultas prenatales, repetidas,2014-05-01,63,1,64
POJO (CBBA),consultas prenatales, repetidas,2014-05-01,60,0,60
POOPO,consultas prenatales, repetidas,2014-05-01,21,0,21
PORCO,consultas prenatales, repetidas,2014-05-01,87,0,87
POROMA,consultas prenatales, repetidas,2014-05-01,59,23,82
PORONGO,consultas prenatales, repetidas,2014-05-01,32,1,33
PORTACHUELO,consultas prenatales, repetidas,2014-05-01,226,1,227
PORVENIR,consultas prenatales, repetidas,2014-05-01,26,0,26
POSTRER VALLE,consultas prenatales, repetidas,2014-05-01,3,2,5
POTOSI,consultas prenatales, repetidas,2014-05-01,1775,0,1775
PRESTO,consultas prenatales, repetidas,2014-05-01,36,13,49
PUCARA,consultas prenatales, repetidas,2014-05-01,2,0,2
PUCARANI,consultas prenatales, repetidas,2014-05-01,140,14,154
PUERTO ACOSTA,consultas prenatales, repetidas,2014-05-01,25,10,35
PUERTO CARABUCO,consultas prenatales, repetidas,2014-05-01,26,6,32
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-05-01,31,4,35
PUERTO PEREZ,consultas prenatales, repetidas,2014-05-01,6,1,7
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-05-01,47,0,47
PUERTO RICO,consultas prenatales, repetidas,2014-05-01,65,8,73
PUERTO SILES,consultas prenatales, repetidas,2014-05-01,2,0,2
PUERTO SUAREZ,consultas prenatales, repetidas,2014-05-01,161,0,161
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-05-01,569,0,569
PUNA,consultas prenatales, repetidas,2014-05-01,83,20,103
PUNATA,consultas prenatales, repetidas,2014-05-01,240,4,244
QUIABAYA,consultas prenatales, repetidas,2014-05-01,16,0,16
QUILLACOLLO,consultas prenatales, repetidas,2014-05-01,975,51,1026
QUIME,consultas prenatales, repetidas,2014-05-01,70,0,70
QUIRUSILLAS,consultas prenatales, repetidas,2014-05-01,9,0,9
RAVELO,consultas prenatales, repetidas,2014-05-01,16,58,74
REYES,consultas prenatales, repetidas,2014-05-01,85,9,94
RIBERALTA,consultas prenatales, repetidas,2014-05-01,1239,43,1282
ROBORE,consultas prenatales, repetidas,2014-05-01,98,0,98
RURRENABAQUE,consultas prenatales, repetidas,2014-05-01,145,0,145
SABAYA,consultas prenatales, repetidas,2014-05-01,6,2,8
SACABA,consultas prenatales, repetidas,2014-05-01,1222,3,1225
SACABAMBA,consultas prenatales, repetidas,2014-05-01,12,3,15
SACACA,consultas prenatales, repetidas,2014-05-01,92,17,109
SAIPINA,consultas prenatales, repetidas,2014-05-01,68,1,69
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-05-01,57,31,88
SAMAIPATA,consultas prenatales, repetidas,2014-05-01,67,1,68
SAN AGUSTIN,consultas prenatales, repetidas,2014-05-01,9,0,9
SAN ANDRES,consultas prenatales, repetidas,2014-05-01,46,3,49
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-05-01,8,3,11
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-05-01,3,0,3
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-05-01,19,17,36
SAN BENITO,consultas prenatales, repetidas,2014-05-01,75,1,76
SAN BORJA,consultas prenatales, repetidas,2014-05-01,286,2,288
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-05-01,91,1,92
SAN CARLOS,consultas prenatales, repetidas,2014-05-01,175,0,175
SAN IGNACIO,consultas prenatales, repetidas,2014-05-01,175,2,177
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-05-01,322,22,344
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-05-01,10,3,13
SAN JAVIER(STC),consultas prenatales, repetidas,2014-05-01,131,0,131
SAN JOAQUIN,consultas prenatales, repetidas,2014-05-01,31,10,41
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-05-01,96,0,96
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-05-01,60,1,61
SAN JULIAN,consultas prenatales, repetidas,2014-05-01,395,8,403
SAN LORENZO(PND),consultas prenatales, repetidas,2014-05-01,16,15,31
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-05-01,162,11,173
SAN LUCAS,consultas prenatales, repetidas,2014-05-01,134,43,177
SAN MATIAS,consultas prenatales, repetidas,2014-05-01,116,0,116
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-05-01,82,10,92
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-05-01,18,0,18
SAN PEDRO,consultas prenatales, repetidas,2014-05-01,91,0,91
