,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
HUANUNI,consulta externa,personas de 60 anos y mas,2008-05-01,36,29,8,39,44,68,112
HUARACAJE,consulta externa,personas de 60 anos y mas,2008-05-01,24,9,10,7,34,16,50
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2008-05-01,25,30,1,3,26,33,59
ICHOCA,consulta externa,personas de 60 anos y mas,2008-05-01,8,31,1,0,9,31,40
ICLA,consulta externa,personas de 60 anos y mas,2008-05-01,24,51,0,0,24,51,75
INCAHUASI,consulta externa,personas de 60 anos y mas,2008-05-01,66,100,0,2,66,102,168
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2008-05-01,9,2,0,0,9,2,11
INQUISIVI,consulta externa,personas de 60 anos y mas,2008-05-01,46,25,1,0,47,25,72
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2008-05-01,83,106,20,10,103,116,219
IXIAMAS,consulta externa,personas de 60 anos y mas,2008-05-01,7,11,0,1,7,12,19
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2008-05-01,147,196,40,46,187,242,429
LA ASUNTA,consulta externa,personas de 60 anos y mas,2008-05-01,30,16,0,0,30,16,46
LA GUARDIA,consulta externa,personas de 60 anos y mas,2008-05-01,77,76,7,9,84,85,169
LA PAZ,consulta externa,personas de 60 anos y mas,2008-05-01,8966,9996,9174,10567,18140,20563,38703
LA RIVERA,consulta externa,personas de 60 anos y mas,2008-05-01,3,3,0,0,3,3,6
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2008-05-01,24,18,0,0,24,18,42
LAJA,consulta externa,personas de 60 anos y mas,2008-05-01,34,38,8,2,42,40,82
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2008-05-01,25,48,4,10,29,58,87
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2008-05-01,18,11,1,0,19,11,30
LLALLAGUA,consulta externa,personas de 60 anos y mas,2008-05-01,93,292,68,82,161,374,535
LLICA,consulta externa,personas de 60 anos y mas,2008-05-01,37,24,2,0,39,24,63
LORETO,consulta externa,personas de 60 anos y mas,2008-05-01,11,14,19,41,30,55,85
LURIBAY,consulta externa,personas de 60 anos y mas,2008-05-01,57,90,2,11,59,101,160
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2008-05-01,49,44,17,26,66,70,136
MACHARETI,consulta externa,personas de 60 anos y mas,2008-05-01,55,62,15,9,70,71,141
MAGDALENA,consulta externa,personas de 60 anos y mas,2008-05-01,34,25,56,73,90,98,188
MAIRANA,consulta externa,personas de 60 anos y mas,2008-05-01,42,55,0,0,42,55,97
MALLA,consulta externa,personas de 60 anos y mas,2008-05-01,10,9,0,0,10,9,19
MAPIRI,consulta externa,personas de 60 anos y mas,2008-05-01,38,30,3,0,41,30,71
MECAPACA,consulta externa,personas de 60 anos y mas,2008-05-01,56,30,8,5,64,35,99
MINEROS,consulta externa,personas de 60 anos y mas,2008-05-01,15,6,0,0,15,6,21
MIZQUE,consulta externa,personas de 60 anos y mas,2008-05-01,19,29,3,11,22,40,62
MOCOMOCO,consulta externa,personas de 60 anos y mas,2008-05-01,70,69,1,8,71,77,148
MOJINETE,consulta externa,personas de 60 anos y mas,2008-05-01,8,15,1,0,9,15,24
MOJOCOYA,consulta externa,personas de 60 anos y mas,2008-05-01,31,56,2,4,33,60,93
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2008-05-01,256,349,115,126,371,475,846
MONTERO,consulta externa,personas de 60 anos y mas,2008-05-01,682,486,278,182,960,668,1628
MORO MORO,consulta externa,personas de 60 anos y mas,2008-05-01,19,42,0,1,19,43,62
MOROCHATA,consulta externa,personas de 60 anos y mas,2008-05-01,29,32,0,0,29,32,61
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2008-05-01,18,7,1,0,19,7,26
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2008-05-01,6,7,0,0,6,7,13
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2008-05-01,3,5,1,1,4,6,10
OCURI,consulta externa,personas de 60 anos y mas,2008-05-01,35,53,2,1,37,54,91
OKINAWA,consulta externa,personas de 60 anos y mas,2008-05-01,59,89,6,2,65,91,156
OMEREQUE,consulta externa,personas de 60 anos y mas,2008-05-01,13,19,2,4,15,23,38
ORURO,consulta externa,personas de 60 anos y mas,2008-05-01,3080,3475,1666,1911,4746,5386,10132
PADCAYA,consulta externa,personas de 60 anos y mas,2008-05-01,37,46,4,3,41,49,90
PADILLA,consulta externa,personas de 60 anos y mas,2008-05-01,116,170,10,14,126,184,310
PAILON,consulta externa,personas de 60 anos y mas,2008-05-01,25,21,0,1,25,22,47
PALCA,consulta externa,personas de 60 anos y mas,2008-05-01,38,41,9,3,47,44,91
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2008-05-01,119,61,15,2,134,63,197
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2008-05-01,7,6,0,1,7,7,14
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2008-05-01,17,28,3,10,20,38,58
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2008-05-01,34,28,1,0,35,28,63
PASORAPA,consulta externa,personas de 60 anos y mas,2008-05-01,26,27,0,0,26,27,53
PATACAMAYA,consulta externa,personas de 60 anos y mas,2008-05-01,62,39,1,0,63,39,102
PAZÑA,consulta externa,personas de 60 anos y mas,2008-05-01,29,47,18,32,47,79,126
PELECHUCO,consulta externa,personas de 60 anos y mas,2008-05-01,15,16,0,0,15,16,31
POCOATA,consulta externa,personas de 60 anos y mas,2008-05-01,53,76,2,2,55,78,133
POCONA,consulta externa,personas de 60 anos y mas,2008-05-01,36,65,6,2,42,67,109
POJO (CBBA),consulta externa,personas de 60 anos y mas,2008-05-01,21,16,0,0,21,16,37
POOPO,consulta externa,personas de 60 anos y mas,2008-05-01,36,47,7,9,43,56,99
PORCO,consulta externa,personas de 60 anos y mas,2008-05-01,22,39,2,7,24,46,70
POROMA,consulta externa,personas de 60 anos y mas,2008-05-01,80,87,13,7,93,94,187
PORONGO,consulta externa,personas de 60 anos y mas,2008-05-01,29,25,0,0,29,25,54
PORTACHUELO,consulta externa,personas de 60 anos y mas,2008-05-01,128,122,53,41,181,163,344
PORVENIR,consulta externa,personas de 60 anos y mas,2008-05-01,17,15,0,0,17,15,32
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2008-05-01,17,32,2,1,19,33,52
POTOSI,consulta externa,personas de 60 anos y mas,2008-05-01,1558,1761,1192,1199,2750,2960,5710
PRESTO,consulta externa,personas de 60 anos y mas,2008-05-01,38,75,0,1,38,76,114
PUCARA,consulta externa,personas de 60 anos y mas,2008-05-01,35,36,9,15,44,51,95
PUCARANI,consulta externa,personas de 60 anos y mas,2008-05-01,42,34,4,3,46,37,83
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2008-05-01,142,102,36,12,178,114,292
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2008-05-01,65,60,4,3,69,63,132
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2008-05-01,22,17,4,1,26,18,44
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2008-05-01,37,40,7,7,44,47,91
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2008-05-01,73,49,0,4,73,53,126
PUERTO RICO,consulta externa,personas de 60 anos y mas,2008-05-01,31,20,3,0,34,20,54
PUERTO SILES,consulta externa,personas de 60 anos y mas,2008-05-01,6,3,0,1,6,4,10
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2008-05-01,118,102,3,4,121,106,227
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2008-05-01,49,35,8,5,57,40,97
PUNA,consulta externa,personas de 60 anos y mas,2008-05-01,186,274,5,16,191,290,481
PUNATA,consulta externa,personas de 60 anos y mas,2008-05-01,130,242,54,70,184,312,496
QUIABAYA,consulta externa,personas de 60 anos y mas,2008-05-01,5,7,0,0,5,7,12
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2008-05-01,419,609,219,459,638,1068,1706
QUIME,consulta externa,personas de 60 anos y mas,2008-05-01,28,22,4,0,32,22,54
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2008-05-01,16,26,6,9,22,35,57
RAVELO,consulta externa,personas de 60 anos y mas,2008-05-01,60,108,0,0,60,108,168
REYES,consulta externa,personas de 60 anos y mas,2008-05-01,78,128,66,71,144,199,343
RIBERALTA,consulta externa,personas de 60 anos y mas,2008-05-01,491,508,41,34,532,542,1074
ROBORE,consulta externa,personas de 60 anos y mas,2008-05-01,178,180,25,32,203,212,415
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2008-05-01,97,109,57,60,154,169,323
SABAYA,consulta externa,personas de 60 anos y mas,2008-05-01,32,41,0,1,32,42,74
SACABA,consulta externa,personas de 60 anos y mas,2008-05-01,170,237,129,135,299,372,671
SACABAMBA,consulta externa,personas de 60 anos y mas,2008-05-01,10,42,0,3,10,45,55
SACACA,consulta externa,personas de 60 anos y mas,2008-05-01,31,78,0,1,31,79,110
SAIPINA,consulta externa,personas de 60 anos y mas,2008-05-01,36,60,12,16,48,76,124
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2008-05-01,34,48,2,4,36,52,88
SAMAIPATA,consulta externa,personas de 60 anos y mas,2008-05-01,151,139,3,1,154,140,294
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2008-05-01,15,19,0,0,15,19,34
SAN ANDRES,consulta externa,personas de 60 anos y mas,2008-05-01,25,13,4,9,29,22,51
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2008-05-01,54,76,2,6,56,82,138
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2008-05-01,3,5,0,0,3,5,8
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2008-05-01,23,23,3,1,26,24,50
SAN BENITO,consulta externa,personas de 60 anos y mas,2008-05-01,27,34,6,6,33,40,73
SAN BORJA,consulta externa,personas de 60 anos y mas,2008-05-01,85,86,66,63,151,149,300
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2008-05-01,90,81,12,13,102,94,196
SAN CARLOS,consulta externa,personas de 60 anos y mas,2008-05-01,91,137,10,14,101,151,252
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2008-05-01,147,170,40,66,187,236,423
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2008-05-01,246,282,36,42,282,324,606
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2008-05-01,5,8,0,0,5,8,13
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2008-05-01,48,59,8,14,56,73,129
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2008-05-01,189,224,115,146,304,370,674
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2008-05-01,83,107,4,4,87,111,198
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2008-05-01,20,23,15,10,35,33,68
SAN JULIAN,consulta externa,personas de 60 anos y mas,2008-05-01,115,97,4,7,119,104,223
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2008-05-01,4,8,0,0,4,8,12
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2008-05-01,31,83,2,4,33,87,120
SAN LUCAS,consulta externa,personas de 60 anos y mas,2008-05-01,190,336,23,38,213,374,587
SAN MATIAS,consulta externa,personas de 60 anos y mas,2008-05-01,37,56,0,1,37,57,94
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2008-05-01,30,46,52,73,82,119,201
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2008-05-01,10,16,3,0,13,16,29
SAN PEDRO,consulta externa,personas de 60 anos y mas,2008-05-01,92,73,7,9,99,82,181
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-05-01,41,81,0,3,41,84,125
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2008-05-01,31,28,7,5,38,33,71
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2008-05-01,13,6,5,4,18,10,28
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2008-05-01,22,27,8,4,30,31,61
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2008-05-01,12,10,2,2,14,12,26
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2008-05-01,13,12,0,7,13,19,32
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-05-01,17,20,5,8,22,28,50
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-05-01,154,174,0,10,154,184,338
SANTA ANA,consulta externa,personas de 60 anos y mas,2008-05-01,166,208,0,1,166,209,375
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2008-05-01,6213,8260,2736,4995,8949,13255,22204
SANTA ROSA,consulta externa,personas de 60 anos y mas,2008-05-01,76,99,0,0,76,99,175
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2008-05-01,47,33,0,2,47,35,82
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2008-05-01,19,15,0,1,19,16,35
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2008-05-01,74,85,15,23,89,108,197
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2008-05-01,19,27,0,0,19,27,46
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2008-05-01,43,50,5,12,48,62,110
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2008-05-01,14,6,4,0,18,6,24
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2008-05-01,37,31,3,2,40,33,73
SENA,consulta externa,personas de 60 anos y mas,2008-05-01,2,3,0,0,2,3,5
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2008-05-01,52,37,0,1,52,38,90
SICAYA,consulta externa,personas de 60 anos y mas,2008-05-01,5,8,0,1,5,9,14
SIPE SIPE,consulta externa,personas de 60 anos y mas,2008-05-01,27,40,6,17,33,57,90
SOPACHUY,consulta externa,personas de 60 anos y mas,2008-05-01,33,37,0,1,33,38,71
SORACACHI,consulta externa,personas de 60 anos y mas,2008-05-01,19,21,1,9,20,30,50
SORATA,consulta externa,personas de 60 anos y mas,2008-05-01,79,54,3,0,82,54,136
SUCRE,consulta externa,personas de 60 anos y mas,2008-05-01,2227,3164,1660,2100,3887,5264,9151
TACACHI,consulta externa,personas de 60 anos y mas,2008-05-01,4,10,1,5,5,15,20
TACACOMA,consulta externa,personas de 60 anos y mas,2008-05-01,11,7,6,6,17,13,30
TACOBAMBA,consulta externa,personas de 60 anos y mas,2008-05-01,31,61,0,0,31,61,92
TACOPAYA,consulta externa,personas de 60 anos y mas,2008-05-01,20,26,0,0,20,26,46
TAHUA,consulta externa,personas de 60 anos y mas,2008-05-01,10,4,1,0,11,4,15
TAPACARI,consulta externa,personas de 60 anos y mas,2008-05-01,41,52,0,1,41,53,94
TARABUCO,consulta externa,personas de 60 anos y mas,2008-05-01,57,73,17,37,74,110,184
TARACO,consulta externa,personas de 60 anos y mas,2008-05-01,34,22,0,0,34,22,56
TARATA,consulta externa,personas de 60 anos y mas,2008-05-01,19,22,1,1,20,23,43
TARIJA,consulta externa,personas de 60 anos y mas,2008-05-01,2340,2531,2218,1693,4558,4224,8782
TARVITA,consulta externa,personas de 60 anos y mas,2008-05-01,106,145,3,8,109,153,262
TEOPONTE,consulta externa,personas de 60 anos y mas,2008-05-01,65,45,19,8,84,53,137
TIAWANACU,consulta externa,personas de 60 anos y mas,2008-05-01,29,24,2,1,31,25,56
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2008-05-01,39,60,0,0,39,60,99
TIPUANI,consulta externa,personas de 60 anos y mas,2008-05-01,22,18,18,13,40,31,71
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2008-05-01,30,89,9,13,39,102,141
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2008-05-01,58,75,4,10,62,85,147
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2008-05-01,9,21,1,6,10,27,37
TOCO,consulta externa,personas de 60 anos y mas,2008-05-01,8,18,0,0,8,18,26
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2008-05-01,4,5,0,0,4,5,9
TOLATA,consulta externa,personas de 60 anos y mas,2008-05-01,15,52,0,8,15,60,75
TOLEDO,consulta externa,personas de 60 anos y mas,2008-05-01,20,22,2,1,22,23,45
TOMAVE,consulta externa,personas de 60 anos y mas,2008-05-01,66,91,7,11,73,102,175
TOMINA,consulta externa,personas de 60 anos y mas,2008-05-01,66,80,4,3,70,83,153
TORO TORO,consulta externa,personas de 60 anos y mas,2008-05-01,38,63,0,0,38,63,101
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2008-05-01,15,19,1,0,16,19,35
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2008-05-01,16,30,3,2,19,32,51
TRIGAL,consulta externa,personas de 60 anos y mas,2008-05-01,27,47,1,9,28,56,84
TRINIDAD,consulta externa,personas de 60 anos y mas,2008-05-01,413,394,177,190,590,584,1174
TUPIZA,consulta externa,personas de 60 anos y mas,2008-05-01,326,379,167,76,493,455,948
TURCO,consulta externa,personas de 60 anos y mas,2008-05-01,23,20,0,0,23,20,43
UMALA,consulta externa,personas de 60 anos y mas,2008-05-01,4,8,0,0,4,8,12
UNCIA,consulta externa,personas de 60 anos y mas,2008-05-01,133,205,36,46,169,251,420
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2008-05-01,23,50,0,3,23,53,76
URUBICHA,consulta externa,personas de 60 anos y mas,2008-05-01,19,32,2,0,21,32,53
UYUNI,consulta externa,personas de 60 anos y mas,2008-05-01,232,224,43,38,275,262,537
VACAS,consulta externa,personas de 60 anos y mas,2008-05-01,40,74,8,32,48,106,154
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2008-05-01,169,198,230,330,399,528,927
VIACHA,consulta externa,personas de 60 anos y mas,2008-05-01,306,276,138,190,444,466,910
VILA VILA,consulta externa,personas de 60 anos y mas,2008-05-01,7,7,0,0,7,7,14
VILLA MONTES,consulta externa,personas de 60 anos y mas,2008-05-01,143,141,86,78,229,219,448
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2008-05-01,12,4,0,2,12,6,18
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2008-05-01,13,16,3,11,16,27,43
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2008-05-01,60,89,1,4,61,93,154
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2008-05-01,107,87,16,7,123,94,217
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2008-05-01,63,81,1,2,64,83,147
VILLAZON,consulta externa,personas de 60 anos y mas,2008-05-01,226,213,47,62,273,275,548
VINTO,consulta externa,personas de 60 anos y mas,2008-05-01,74,98,37,60,111,158,269
VITICHI,consulta externa,personas de 60 anos y mas,2008-05-01,65,119,7,11,72,130,202
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2008-05-01,11,16,0,3,11,19,30
WARNES,consulta externa,personas de 60 anos y mas,2008-05-01,132,149,113,139,245,288,533
YACO,consulta externa,personas de 60 anos y mas,2008-05-01,70,68,7,8,77,76,153
YACUIBA,consulta externa,personas de 60 anos y mas,2008-05-01,582,733,169,312,751,1045,1796
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2008-05-01,52,83,9,11,61,94,155
YANACACHI,consulta externa,personas de 60 anos y mas,2008-05-01,34,14,5,0,39,14,53
YAPACANI,consulta externa,personas de 60 anos y mas,2008-05-01,214,207,28,30,242,237,479
YOCALLA,consulta externa,personas de 60 anos y mas,2008-05-01,54,95,2,3,56,98,154
YOTALA,consulta externa,personas de 60 anos y mas,2008-05-01,35,59,7,13,42,72,114
YUNCHARA,consulta externa,personas de 60 anos y mas,2008-05-01,9,23,1,1,10,24,34
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2008-05-01,105,149,2,1,107,150,257
ACACIO,consulta externa,personas de 60 anos y mas,2008-06-01,20,33,1,2,21,35,56
ACHACACHI,consulta externa,personas de 60 anos y mas,2008-06-01,376,345,51,42,427,387,814
ACHOCALLA,consulta externa,personas de 60 anos y mas,2008-06-01,23,20,0,0,23,20,43
AIQUILE,consulta externa,personas de 60 anos y mas,2008-06-01,122,117,32,37,154,154,308
ALALAY,consulta externa,personas de 60 anos y mas,2008-06-01,7,4,0,0,7,4,11
ALCALA,consulta externa,personas de 60 anos y mas,2008-06-01,21,19,1,0,22,19,41
ANCORAIMES,consulta externa,personas de 60 anos y mas,2008-06-01,76,111,7,12,83,123,206
ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-06-01,30,38,6,3,36,41,77
ANTEQUERA,consulta externa,personas de 60 anos y mas,2008-06-01,7,22,0,1,7,23,30
ANZALDO,consulta externa,personas de 60 anos y mas,2008-06-01,18,19,2,0,20,19,39
APOLO,consulta externa,personas de 60 anos y mas,2008-06-01,46,52,5,12,51,64,115
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2008-06-01,16,18,0,1,16,19,35
ARANI,consulta externa,personas de 60 anos y mas,2008-06-01,13,13,0,2,13,15,28
ARBIETO,consulta externa,personas de 60 anos y mas,2008-06-01,35,60,2,6,37,66,103
ARQUE,consulta externa,personas de 60 anos y mas,2008-06-01,22,22,0,3,22,25,47
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2008-06-01,40,40,8,9,48,49,97
ATOCHA,consulta externa,personas de 60 anos y mas,2008-06-01,71,121,29,73,100,194,294
AUCAPATA,consulta externa,personas de 60 anos y mas,2008-06-01,11,23,2,2,13,25,38
AYATA,consulta externa,personas de 60 anos y mas,2008-06-01,29,48,3,6,32,54,86
AYO AYO,consulta externa,personas de 60 anos y mas,2008-06-01,27,17,2,2,29,19,48
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2008-06-01,64,82,1,12,65,94,159
AZURDUY,consulta externa,personas de 60 anos y mas,2008-06-01,87,89,1,0,88,89,177
BATALLAS,consulta externa,personas de 60 anos y mas,2008-06-01,59,37,3,3,62,40,102
BAURES,consulta externa,personas de 60 anos y mas,2008-06-01,29,46,4,4,33,50,83
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-06-01,15,19,0,4,15,23,38
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2008-06-01,14,15,3,2,17,17,34
BELLA FLOR,consulta externa,personas de 60 anos y mas,2008-06-01,15,12,3,0,18,12,30
BERMEJO,consulta externa,personas de 60 anos y mas,2008-06-01,373,503,73,60,446,563,1009
