,group,variable,month,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
CHAQUI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,5,7
CHARAGUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,4,13
CHARAÑA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,2,5
CHIMORE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,46,12,58
CHIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,29,5,34
CHUMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,9,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,4,12
CKOCHAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,1,7
CLIZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,21,11,32
COBIJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,35,4,39
COCAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,21,30
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,921,6,927
COIPASA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,63,0,63
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,18,1,19
COLLANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,0,2
COLOMI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,34,6,40
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,0,8
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,18,10,28
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,0,8
COLQUIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,37,45
COMANCHE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,1,4
COMARAPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,33,8,41
COMBAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,16,1,17
COPACABANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,6,20
CORIPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,22,8,30
CORO CORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,2,10
COROICO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,4,15
CORQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,3,9
COTAGAITA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,8,19
COTOCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,99,10,109
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,12,4,16
CUEVO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,13,4,17
CULPINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,23,19,42
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,2,7
CURVA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,4,5
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,3,10
EL ALTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,799,23,822
EL CHORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,5,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,26,1,27
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,5,10
EL TORNO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,90,0,90
EL VILLAR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,15,9,24
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,57,10,67
ESCOMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,0,5
EXALTACION,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,12,3,15
FILADELFIA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,19,4,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,12,16
GUANAY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,13,15,28
GUAQUI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,3,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,27,9,36
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,24,11,35
HUACARETA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,6,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,43,7,50
HUARACAJE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,13,0,13
HUARINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,3,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,0,4
HUMANATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,5,7
ICHOCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,9,9
ICLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,6,11
INCAHUASI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,15,13,28
INQUISIVI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,15,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,11,25
IXIAMAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,20,0,20
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,18,3,21
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,74,12,86
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,146,9,155
LA PAZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,799,18,817
LA RIVERA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,3,8
LAJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,19,3,22
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,7,10
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,53,14,67
LLICA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
LORETO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,0,5
LURIBAY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,4,9
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,2,6
MACHARETI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,5,16
MAGDALENA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,0,6
MAIRANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,15,1,16
MALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,28,7,35
MECAPACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,6,13
MINEROS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,23,13,36
MIZQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,46,15,61
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,7,21
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,44,6,50
MONTERO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,197,4,201
MORO MORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,18,25
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,0,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,0,2
OCURI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,6,14
OKINAWA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,6,17
OMEREQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,6,10
ORURO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,168,0,168
PADCAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,7,16
PADILLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,5,8
PAILON,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,31,17,48
PALCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,12,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,57,2,59
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,6,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,8,12
PASORAPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,26,7,33
PAZÑA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,2,11
PELECHUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,10,0,10
POCOATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,18,27
POCONA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,5,16
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,21,4,25
POOPO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,3,10
PORCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,17,0,17
POROMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,12,10,22
PORONGO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,10,11,21
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,19,0,19
PORVENIR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,1,1
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,0,3
POTOSI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,121,1,122
PRESTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,12,20
PUCARANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,37,13,50
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,18,26
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,9,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,2,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,3,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,19,7,26
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,20,6,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,94,18,112
PUNA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,18,3,21
PUNATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,88,1,89
QUIABAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,1,10
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,131,6,137
QUIME,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,13,9,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,1,3
RAVELO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,3,9
REYES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,11,14
RIBERALTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,49,4,53
ROBORE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,1,9
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,2,16
SABAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,0,4
SACABA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,170,24,194
SACABAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,8,15
SACACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,7,4,11
SAIPINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,7,18
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,11,5,16
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,12,7,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,3,9
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,3,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,9,14
SAN BENITO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,10,5,15
SAN BORJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,59,22,81
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,5,13
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,51,0,51
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,25,5,30
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,102,31,133
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,0,5
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,4,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,25,14,39
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,0,9
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,74,21,95
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,17,3,20
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,23,32,55
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,20,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,17,1,18
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,28,0,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,25,15,40
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,7,9
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,4,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,7,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,9,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,17,0,17
