,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
LICOMA PAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,25,3,28
LURIBAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
MACHACAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
MACHARETI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,7,12
MAGDALENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
MAIRANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,2,10
MALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,4,12
MECAPACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,5,7
MINEROS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,5,13
MIZQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,9,8,17
MOCOMOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
MOJOCOYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,16,13,29
MONTERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,73,97,170
MORO MORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
MOROCHATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
OCURI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,5,9
OKINAWA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
OMEREQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
ORURO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,79,61,140
PADCAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,14,18
PADILLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,3,11
PAILON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,12,17,29
PALCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,19,10,29
PAMPA AULLAGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,3,5
PAMPA GRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
PASORAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
PATACAMAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,4,8
PAZÑA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,0,3
POCOATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,6,9
POCONA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
POJO (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
POOPO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
PORCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
POROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,11,9,20
PORONGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,6,13
PORVENIR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,80,34,114
PRESTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,6,13
PUCARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
PUCARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,13,11,24
PUERTO ACOSTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,7,12
PUERTO RICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,2,9
PUERTO SILES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,1,9
PUERTO VILLARROEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,44,29,73
PUNA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,6,7
PUNATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,14,12,26
QUIABAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,33,36,69
QUIME,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
RAVELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,4,7
REYES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
RIBERALTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,33,15,48
ROBORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,0,6
RURRENABAQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,1,6
SACABA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,37,51,88
SACABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,4,7
SACACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,3,6
SAIPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
SAMAIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,3,6
SAN AGUSTIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,4,5
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
SAN BENITO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
SAN BORJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,19,23,42
SAN BUENA VENTURA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
SAN CARLOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,9,14
SAN IGNACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,11,19
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,9,14
SAN JAVIER(BNI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,7,12
SAN JOAQUIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,3,6
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,34,20,54
SAN LORENZO(PND),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,4,8
SAN LUCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,11,21
SAN MATIAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
SAN PEDRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,9,12
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,7,8
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
SAN RAFAEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,0,5
SANTA ANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,0,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,478,432,910
SANTA ROSA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,9,4,13
SANTIAGO DE HUARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,3,3
SANTIAGO DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,3,7
SANTIVAÑES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
SAPAHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
SENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,0,3
SHINAOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,14,15,29
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
SICAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,9,12
SOPACHUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,5,7
SORACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,4,8
SORATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,16,26
SUCRE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,123,187,310
TACACOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
TACOBAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
TACOPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
TAPACARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,6,16
TARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,15,25
TARACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,1,6
TARATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
TARIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,73,68,141
TARVITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,4,8
TEOPONTE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,4,11
TIAWANACU,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
TINGUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,3,5
TIPUANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,25,15,40
TIQUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,20,19,39
TIRAQUE (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,1,4
TOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
TOLATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,4,7
TOLEDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
TOMAVE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,0,3
TOMINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,6,11
TORO TORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,5,6
TOTORA(CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,3,5
TOTORA(ORR),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,2,6
TRIGAL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,55,21,76
TUPIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,63,3,66
UNCIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,5,10
URUBICHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
UYUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,6,10
VACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
VALLEGRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,4,5
VIACHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,18,9,27
VILA VILA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,6,10
VILLA MONTES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,28,17,45
VILLA RIVERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
VILLA SERRANO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,45,39,84
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
VILLAZON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,9,15,24
VINTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,11,4,15
VITICHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
WARNES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,31,42,73
YACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
YACUIBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,89,81,170
YAMPARAEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,5,11
YANACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,87,43,130
YOTALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,7,7
YUNCHARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,3,4
ZUDAÑEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,3,7
ACACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,5,1,6
ACHACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,9,9,18
ACHOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,0,1
AIQUILE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,3,4,7
ALALAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,0,1
ALCALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,2,3
ALTO BENI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,13,10,23
ANCORAIMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,4,2,6
ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,0,3,3
ANTEQUERA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,0,1
ANZALDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,0,1,1
APOLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,3,5,8
ARAMPAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,1,2
ARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,3,0,3
ARBIETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,7,12,19
ARQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,6,3,9
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,17,8,25
ATOCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,2,4
AUCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,0,3,3
AYATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,4,6
AYO AYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,12,7,19
AZURDUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,6,8
BATALLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,7,9,16
BELEN DE ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,0,2
BELEN DE URMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,37,31,68
BETANZOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,6,9,15
BOLIVAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,3,5
BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,9,1,10
CABEZAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,5,5,10
"CAIZA ""D""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,3,5
CAJUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,2,0,2
CALACOTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,12,11,23
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,3,3,6
CAMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,13,6,19
CAPINOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,10,22,32
CAQUIAVIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,4,2,6
CARACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,3,6,9
CARANAVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,65,54,119
CARANGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,0,1
CARAPARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,10,9,19
CARIPUYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,1,5,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-06-01,0,6,6
