,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
PUERTO RICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,4,8
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,3,7
QUIME,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,6,0,6
SACACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SAIPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SAN ANDRES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,3,5
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,0,2
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SANTA ANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,61,63,124
SAPAHAQUI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SENA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
SOPACHUY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,0,3
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,3,7
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
TAPACARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,5,7,12
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,5,1,6
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,0,4
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,3,2,5
VILLA CHARCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,9,4,13
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,1,0,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,2,4,6
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,5,3,8
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-12-01,4,4,8
