,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TUPIZA,estado nutricional,talla baja,2010-03-01,20,12,39,29,63,48,122,89,211
TURCO,estado nutricional,talla baja,2010-03-01,1,2,14,4,7,5,22,11,33
UMALA,estado nutricional,talla baja,2010-03-01,0,0,1,0,1,0,2,0,2
UNCIA,estado nutricional,talla baja,2010-03-01,34,19,47,41,68,63,149,123,272
URIONDO (A. CONCEPCION),estado nutricional,talla baja,2010-03-01,3,4,9,6,15,6,27,16,43
UYUNI,estado nutricional,talla baja,2010-03-01,27,20,37,34,37,22,101,76,177
VACAS,estado nutricional,talla baja,2010-03-01,9,6,9,15,15,12,33,33,66
VALLEGRANDE,estado nutricional,talla baja,2010-03-01,1,1,2,1,5,2,8,4,12
VIACHA,estado nutricional,talla baja,2010-03-01,22,15,39,27,15,23,76,65,141
VILA VILA,estado nutricional,talla baja,2010-03-01,1,1,3,3,12,6,16,10,26
VILLA CHARCAS,estado nutricional,talla baja,2010-03-01,34,18,45,36,86,89,165,143,308
VILLA MONTES,estado nutricional,talla baja,2010-03-01,3,1,16,17,17,26,36,44,80
VILLA NUEVA (LOMA ALTA),estado nutricional,talla baja,2010-03-01,0,0,1,2,3,4,4,6,10
VILLA RIVERO,estado nutricional,talla baja,2010-03-01,1,0,10,8,2,4,13,12,25
VILLA SERRANO,estado nutricional,talla baja,2010-03-01,16,11,28,6,84,40,128,57,185
VILLA TUNARI,estado nutricional,talla baja,2010-03-01,24,39,60,59,88,70,172,168,340
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla baja,2010-03-01,5,6,4,7,20,21,29,34,63
VILLAZON,estado nutricional,talla baja,2010-03-01,30,19,59,38,51,30,140,87,227
VINTO,estado nutricional,talla baja,2010-03-01,2,7,9,17,5,5,16,29,45
VITICHI,estado nutricional,talla baja,2010-03-01,4,1,6,2,6,18,16,21,37
WALDO BALLIVIAN,estado nutricional,talla baja,2010-03-01,0,0,0,1,1,5,1,6,7
WARNES,estado nutricional,talla baja,2010-03-01,2,3,1,2,4,1,7,6,13
YACO,estado nutricional,talla baja,2010-03-01,4,4,5,10,22,20,31,34,65
YACUIBA,estado nutricional,talla baja,2010-03-01,25,50,33,43,34,44,92,137,229
YAMPARAEZ,estado nutricional,talla baja,2010-03-01,6,4,27,13,86,74,119,91,210
YANACACHI,estado nutricional,talla baja,2010-03-01,1,0,2,3,3,2,6,5,11
YAPACANI,estado nutricional,talla baja,2010-03-01,6,17,31,31,38,33,75,81,156
YOCALLA,estado nutricional,talla baja,2010-03-01,5,6,6,5,10,5,21,16,37
YOTALA,estado nutricional,talla baja,2010-03-01,2,3,16,11,39,42,57,56,113
YUNCHARA,estado nutricional,talla baja,2010-03-01,13,9,23,13,62,28,98,50,148
ZUDAÑEZ,estado nutricional,talla baja,2010-03-01,9,3,26,23,82,72,117,98,215
ACACIO,estado nutricional,talla baja,2010-04-01,22,6,24,34,43,38,89,78,167
ACHACACHI,estado nutricional,talla baja,2010-04-01,12,7,29,6,13,7,54,20,74
ACHOCALLA,estado nutricional,talla baja,2010-04-01,4,1,8,5,5,4,17,10,27
AIQUILE,estado nutricional,talla baja,2010-04-01,19,11,25,25,69,55,113,91,204
ALALAY,estado nutricional,talla baja,2010-04-01,4,6,13,12,19,25,36,43,79
ALCALA,estado nutricional,talla baja,2010-04-01,5,3,5,3,28,27,38,33,71
ALTO BENI,estado nutricional,talla baja,2010-04-01,3,2,7,7,5,11,15,20,35
ANCORAIMES,estado nutricional,talla baja,2010-04-01,18,3,14,15,25,14,57,32,89
ANDAMARCA,estado nutricional,talla baja,2010-04-01,3,3,6,9,27,26,36,38,74
ANTEQUERA,estado nutricional,talla baja,2010-04-01,4,0,3,1,5,1,12,2,14
ANZALDO,estado nutricional,talla baja,2010-04-01,13,18,20,30,13,21,46,69,115
APOLO,estado nutricional,talla baja,2010-04-01,3,3,18,9,12,25,33,37,70
ARAMPAMPA,estado nutricional,talla baja,2010-04-01,4,2,7,7,15,11,26,20,46
ARANI,estado nutricional,talla baja,2010-04-01,8,1,2,1,2,3,12,5,17
ARBIETO,estado nutricional,talla baja,2010-04-01,5,5,9,5,5,9,19,19,38
ARQUE,estado nutricional,talla baja,2010-04-01,23,14,38,42,62,53,123,109,232
ASCENCION DE GUARAYOS,estado nutricional,talla baja,2010-04-01,17,16,19,20,36,51,72,87,159
ATOCHA,estado nutricional,talla baja,2010-04-01,4,4,10,9,14,13,28,26,54
AUCAPATA,estado nutricional,talla baja,2010-04-01,1,2,2,7,6,5,9,14,23
AYATA,estado nutricional,talla baja,2010-04-01,15,5,16,17,23,14,54,36,90
AYO AYO,estado nutricional,talla baja,2010-04-01,16,7,14,12,6,7,36,26,62
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla baja,2010-04-01,22,10,37,22,41,31,100,63,163
AZURDUY,estado nutricional,talla baja,2010-04-01,26,31,40,43,124,112,190,186,376
BATALLAS,estado nutricional,talla baja,2010-04-01,9,5,14,11,10,11,33,27,60
BAURES,estado nutricional,talla baja,2010-04-01,4,4,4,3,5,5,13,12,25
BELEN DE ANDAMARCA,estado nutricional,talla baja,2010-04-01,1,0,2,2,4,11,7,13,20
BELEN DE URMIRI,estado nutricional,talla baja,2010-04-01,1,0,4,4,4,6,9,10,19
BELLA FLOR,estado nutricional,talla baja,2010-04-01,0,0,0,2,1,3,1,5,6
BERMEJO,estado nutricional,talla baja,2010-04-01,2,1,6,2,1,9,9,12,21
BETANZOS,estado nutricional,talla baja,2010-04-01,52,42,113,61,72,93,237,196,433
BOLIVAR,estado nutricional,talla baja,2010-04-01,12,11,22,17,25,20,59,48,107
BOLPEBRA,estado nutricional,talla baja,2010-04-01,1,1,1,2,9,1,11,4,15
BOYUIBE,estado nutricional,talla baja,2010-04-01,3,2,1,3,1,3,5,8,13
BUENA VISTA,estado nutricional,talla baja,2010-04-01,2,2,0,0,2,0,4,2,6
CABEZAS,estado nutricional,talla baja,2010-04-01,6,8,3,7,11,13,20,28,48
CAIROMA,estado nutricional,talla baja,2010-04-01,11,7,10,8,19,17,40,32,72
"CAIZA ""D""",estado nutricional,talla baja,2010-04-01,9,3,23,12,16,20,48,35,83
CAJUATA,estado nutricional,talla baja,2010-04-01,1,1,1,1,3,3,5,5,10
CALACOTO,estado nutricional,talla baja,2010-04-01,6,3,7,3,11,11,24,17,41
CALAMARCA,estado nutricional,talla baja,2010-04-01,15,8,21,17,17,9,53,34,87
CAMARGO,estado nutricional,talla baja,2010-04-01,19,14,28,30,64,70,111,114,225
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla baja,2010-04-01,1,0,8,4,9,9,18,13,31
CAMIRI,estado nutricional,talla baja,2010-04-01,2,4,13,6,15,13,30,23,53
CAPINOTA,estado nutricional,talla baja,2010-04-01,16,24,41,34,36,26,93,84,177
CAQUIAVIRI,estado nutricional,talla baja,2010-04-01,12,5,7,11,18,16,37,32,69
CARACOLLO,estado nutricional,talla baja,2010-04-01,29,14,41,31,13,28,83,73,156
CARANAVI,estado nutricional,talla baja,2010-04-01,11,23,34,38,52,76,97,137,234
CARANGAS,estado nutricional,talla baja,2010-04-01,0,0,0,0,0,2,0,2,2
CARAPARI,estado nutricional,talla baja,2010-04-01,9,4,7,1,16,14,32,19,51
CARIPUYO,estado nutricional,talla baja,2010-04-01,26,20,39,25,94,69,159,114,273
CARMEN RIVERO TORREZ,estado nutricional,talla baja,2010-04-01,1,2,0,0,0,0,1,2,3
CATACORA,estado nutricional,talla baja,2010-04-01,0,1,2,1,4,3,6,5,11
CHACARILLA,estado nutricional,talla baja,2010-04-01,0,0,0,0,3,1,3,1,4
CHALLAPATA,estado nutricional,talla baja,2010-04-01,27,19,56,34,47,33,130,86,216
CHAQUI,estado nutricional,talla baja,2010-04-01,5,5,14,19,21,22,40,46,86
CHARAGUA,estado nutricional,talla baja,2010-04-01,14,7,17,14,5,11,36,32,68
CHARAÑA,estado nutricional,talla baja,2010-04-01,0,0,0,2,2,3,2,5,7
CHAYANTA,estado nutricional,talla baja,2010-04-01,24,20,48,44,56,44,128,108,236
CHIMORE,estado nutricional,talla baja,2010-04-01,1,3,6,11,23,20,30,34,64
CHIPAYA,estado nutricional,talla baja,2010-04-01,0,0,3,4,14,13,17,17,34
CHOQUE COTA,estado nutricional,talla baja,2010-04-01,1,0,0,0,0,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla baja,2010-04-01,2,3,5,4,7,4,14,11,25
CHUMA,estado nutricional,talla baja,2010-04-01,6,3,12,12,25,27,43,42,85
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla baja,2010-04-01,11,8,16,9,14,10,41,27,68
CKOCHAS,estado nutricional,talla baja,2010-04-01,7,5,7,2,9,4,23,11,34
CLIZA,estado nutricional,talla baja,2010-04-01,16,5,11,15,8,10,35,30,65
COBIJA,estado nutricional,talla baja,2010-04-01,18,4,21,14,18,10,57,28,85
COCAPATA,estado nutricional,talla baja,2010-04-01,29,40,50,51,51,54,130,145,275
COCHABAMBA,estado nutricional,talla baja,2010-04-01,108,124,181,158,167,178,456,460,916
COIPASA,estado nutricional,talla baja,2010-04-01,1,0,0,0,0,0,1,0,1
COLCAPIRHUA,estado nutricional,talla baja,2010-04-01,8,8,17,13,25,9,50,30,80
"COLCHA ""K""",estado nutricional,talla baja,2010-04-01,10,9,10,3,14,10,34,22,56
COLLANA,estado nutricional,talla baja,2010-04-01,1,1,2,1,0,3,3,5,8
COLOMI,estado nutricional,talla baja,2010-04-01,10,9,18,25,32,24,60,58,118
COLPA BELGICA,estado nutricional,talla baja,2010-04-01,1,0,0,1,1,0,2,1,3
COLQUECHACA,estado nutricional,talla baja,2010-04-01,76,57,140,121,70,76,286,254,540
COLQUENCHA,estado nutricional,talla baja,2010-04-01,11,8,8,12,18,10,37,30,67
COLQUIRI,estado nutricional,talla baja,2010-04-01,6,12,22,15,27,31,55,58,113
COMANCHE,estado nutricional,talla baja,2010-04-01,4,1,20,5,4,10,28,16,44
COMARAPA,estado nutricional,talla baja,2010-04-01,3,2,5,8,19,4,27,14,41
COMBAYA,estado nutricional,talla baja,2010-04-01,0,0,4,0,1,1,5,1,6
COPACABANA,estado nutricional,talla baja,2010-04-01,3,6,14,8,5,3,22,17,39
CORIPATA,estado nutricional,talla baja,2010-04-01,1,0,3,1,9,8,13,9,22
CORO CORO,estado nutricional,talla baja,2010-04-01,6,5,14,10,13,12,33,27,60
COROICO,estado nutricional,talla baja,2010-04-01,3,1,11,9,17,20,31,30,61
CORQUE,estado nutricional,talla baja,2010-04-01,4,2,12,8,19,15,35,25,60
COTAGAITA,estado nutricional,talla baja,2010-04-01,32,14,62,38,57,61,151,113,264
COTOCA,estado nutricional,talla baja,2010-04-01,7,3,12,13,9,8,28,24,52
CUATRO CAÑADAS,estado nutricional,talla baja,2010-04-01,2,3,5,4,15,12,22,19,41
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla baja,2010-04-01,0,3,0,1,0,0,0,4,4
CUEVO,estado nutricional,talla baja,2010-04-01,4,4,8,4,10,8,22,16,38
CULPINA,estado nutricional,talla baja,2010-04-01,21,12,30,35,54,58,105,105,210
CURAHUARA DE CARANGAS,estado nutricional,talla baja,2010-04-01,4,1,14,8,1,7,19,16,35
CURVA,estado nutricional,talla baja,2010-04-01,8,10,4,4,12,10,24,24,48
DESAGUADERO,estado nutricional,talla baja,2010-04-01,3,3,5,5,4,3,12,11,23
EL ALTO,estado nutricional,talla baja,2010-04-01,519,297,702,427,429,369,1650,1093,2743
EL CHORO,estado nutricional,talla baja,2010-04-01,3,0,1,2,1,1,5,3,8
EL PUENTE(STC),estado nutricional,talla baja,2010-04-01,9,0,8,8,19,21,36,29,65
EL PUENTE(TJA),estado nutricional,talla baja,2010-04-01,9,10,28,18,32,26,69,54,123
EL TORNO,estado nutricional,talla baja,2010-04-01,3,7,10,7,16,12,29,26,55
EL VILLAR,estado nutricional,talla baja,2010-04-01,6,3,10,8,33,32,49,43,92
ENTRE RIOS TRJ,estado nutricional,talla baja,2010-04-01,14,4,19,22,23,21,56,47,103
ENTRE RIOS CBBA,estado nutricional,talla baja,2010-04-01,3,6,20,15,25,22,48,43,91
ESCARA,estado nutricional,talla baja,2010-04-01,0,0,0,0,0,1,0,1,1
ESCOMA,estado nutricional,talla baja,2010-04-01,1,2,1,2,1,0,3,4,7
EUCALIPTUS,estado nutricional,talla baja,2010-04-01,4,2,17,11,9,16,30,29,59
EUREKA (SANTOS MERCADO),estado nutricional,talla baja,2010-04-01,0,0,1,1,0,1,1,2,3
EXALTACION,estado nutricional,talla baja,2010-04-01,2,1,2,1,2,1,6,3,9
FERNANDEZ ALONSO,estado nutricional,talla baja,2010-04-01,0,1,7,2,4,1,11,4,15
FILADELFIA,estado nutricional,talla baja,2010-04-01,0,1,1,2,3,1,4,4,8
GENERAL SAAVEDRA,estado nutricional,talla baja,2010-04-01,7,3,7,3,9,8,23,14,37
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla baja,2010-04-01,5,5,12,9,10,12,27,26,53
GUANAY,estado nutricional,talla baja,2010-04-01,10,5,13,5,23,10,46,20,66
GUAQUI,estado nutricional,talla baja,2010-04-01,7,4,11,3,11,0,29,7,36
GUAYARAMERIN,estado nutricional,talla baja,2010-04-01,23,21,14,15,16,11,53,47,100
GUTIERREZ,estado nutricional,talla baja,2010-04-01,12,10,18,14,23,10,53,34,87
HUACARETA,estado nutricional,talla baja,2010-04-01,7,5,6,11,14,19,27,35,62
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla baja,2010-04-01,3,2,2,3,11,8,16,13,29
HUACHACALLA,estado nutricional,talla baja,2010-04-01,0,0,5,1,2,5,7,6,13
HUANUNI,estado nutricional,talla baja,2010-04-01,23,15,24,16,18,16,65,47,112
HUARACAJE,estado nutricional,talla baja,2010-04-01,0,0,2,1,2,0,4,1,5
HUARINA,estado nutricional,talla baja,2010-04-01,2,1,7,6,4,10,13,17,30
HUAYLLAMARCA,estado nutricional,talla baja,2010-04-01,0,0,3,6,10,9,13,15,28
HUMANATA,estado nutricional,talla baja,2010-04-01,4,2,17,13,6,6,27,21,48
ICHOCA,estado nutricional,talla baja,2010-04-01,10,13,9,14,35,22,54,49,103
ICLA,estado nutricional,talla baja,2010-04-01,22,12,50,32,143,151,215,195,410
INCAHUASI,estado nutricional,talla baja,2010-04-01,16,4,30,26,51,62,97,92,189
INGAVI (HUMAITA),estado nutricional,talla baja,2010-04-01,1,0,0,0,1,0,2,0,2
INQUISIVI,estado nutricional,talla baja,2010-04-01,4,3,13,13,19,16,36,32,68
IRUPANA (VILLA DE LANZA),estado nutricional,talla baja,2010-04-01,2,4,7,2,4,6,13,12,25
IXIAMAS,estado nutricional,talla baja,2010-04-01,3,1,6,4,9,12,18,17,35
JESUS DE MACHACA,estado nutricional,talla baja,2010-04-01,7,4,12,10,16,18,35,32,67
LA ASUNTA,estado nutricional,talla baja,2010-04-01,10,13,13,15,3,16,26,44,70
LA GUARDIA,estado nutricional,talla baja,2010-04-01,25,19,11,26,21,16,57,61,118
LA PAZ,estado nutricional,talla baja,2010-04-01,373,260,436,305,416,346,1225,911,2136
LAGUNILLAS,estado nutricional,talla baja,2010-04-01,0,3,1,4,11,11,12,18,30
LAJA,estado nutricional,talla baja,2010-04-01,2,4,8,3,7,7,17,14,31
LAS CARRERAS,estado nutricional,talla baja,2010-04-01,0,0,9,3,14,3,23,6,29
LICOMA PAMPA,estado nutricional,talla baja,2010-04-01,1,0,1,1,5,1,7,2,9
LLALLAGUA,estado nutricional,talla baja,2010-04-01,51,47,86,61,52,54,189,162,351
LLICA,estado nutricional,talla baja,2010-04-01,6,3,2,2,3,9,11,14,25
LORETO,estado nutricional,talla baja,2010-04-01,2,0,5,1,2,4,9,5,14
LURIBAY,estado nutricional,talla baja,2010-04-01,3,2,6,6,10,18,19,26,45
MACHACAMARCA,estado nutricional,talla baja,2010-04-01,3,1,1,4,5,2,9,7,16
MACHARETI,estado nutricional,talla baja,2010-04-01,2,1,13,7,7,7,22,15,37
MAGDALENA,estado nutricional,talla baja,2010-04-01,0,3,1,0,1,1,2,4,6
MAIRANA,estado nutricional,talla baja,2010-04-01,2,3,3,3,11,6,16,12,28
MALLA,estado nutricional,talla baja,2010-04-01,3,0,4,7,10,6,17,13,30
MAPIRI,estado nutricional,talla baja,2010-04-01,26,5,8,8,22,19,56,32,88
MECAPACA,estado nutricional,talla baja,2010-04-01,2,2,9,6,9,10,20,18,38
MINEROS,estado nutricional,talla baja,2010-04-01,11,4,21,10,8,11,40,25,65
MIZQUE,estado nutricional,talla baja,2010-04-01,11,12,9,23,27,25,47,60,107
MOCOMOCO,estado nutricional,talla baja,2010-04-01,10,13,18,8,21,22,49,43,92
MOJINETE,estado nutricional,talla baja,2010-04-01,3,0,3,1,1,1,7,2,9
MOJOCOYA,estado nutricional,talla baja,2010-04-01,2,4,6,6,14,15,22,25,47
MONTEAGUDO,estado nutricional,talla baja,2010-04-01,6,5,23,11,49,33,78,49,127
MONTERO,estado nutricional,talla baja,2010-04-01,27,28,31,19,24,20,82,67,149
MORO MORO,estado nutricional,talla baja,2010-04-01,0,0,3,1,2,4,5,5,10
MOROCHATA,estado nutricional,talla baja,2010-04-01,14,11,16,22,34,39,64,72,136
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla baja,2010-04-01,0,0,0,0,1,0,1,0,1
NAZACARA DE PACAJES,estado nutricional,talla baja,2010-04-01,1,0,0,2,1,3,2,5,7
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla baja,2010-04-01,0,0,2,0,0,3,2,3,5
OCURI,estado nutricional,talla baja,2010-04-01,39,21,65,46,67,55,171,122,293
OKINAWA,estado nutricional,talla baja,2010-04-01,0,0,2,1,9,0,11,1,12
OMEREQUE,estado nutricional,talla baja,2010-04-01,0,0,0,1,1,2,1,3,4
ORURO,estado nutricional,talla baja,2010-04-01,195,129,250,148,170,136,615,413,1028
PADCAYA,estado nutricional,talla baja,2010-04-01,13,7,12,8,10,7,35,22,57
PADILLA,estado nutricional,talla baja,2010-04-01,10,6,21,11,65,78,96,95,191
PAILON,estado nutricional,talla baja,2010-04-01,0,0,4,2,3,4,7,6,13
PALCA,estado nutricional,talla baja,2010-04-01,10,9,15,12,14,18,39,39,78
PALOS BLANCOS,estado nutricional,talla baja,2010-04-01,4,2,18,5,25,31,47,38,85
PAMPA AULLAGAS,estado nutricional,talla baja,2010-04-01,2,3,15,2,10,12,27,17,44
PAMPA GRANDE,estado nutricional,talla baja,2010-04-01,1,2,5,6,1,2,7,10,17
PAPEL PAMPA,estado nutricional,talla baja,2010-04-01,0,0,1,2,0,1,1,3,4
PASORAPA,estado nutricional,talla baja,2010-04-01,1,0,0,2,10,4,11,6,17
PATACAMAYA,estado nutricional,talla baja,2010-04-01,15,4,14,11,2,3,31,18,49
PAZÑA,estado nutricional,talla baja,2010-04-01,7,3,15,7,31,34,53,44,97
PELECHUCO,estado nutricional,talla baja,2010-04-01,3,5,10,12,14,7,27,24,51
POCOATA,estado nutricional,talla baja,2010-04-01,43,35,98,74,60,72,201,181,382
POCONA,estado nutricional,talla baja,2010-04-01,8,9,9,11,22,24,39,44,83
POJO (CBBA),estado nutricional,talla baja,2010-04-01,3,2,7,8,9,10,19,20,39
POOPO,estado nutricional,talla baja,2010-04-01,6,2,8,4,9,14,23,20,43
PORCO,estado nutricional,talla baja,2010-04-01,15,14,17,19,16,16,48,49,97
POROMA,estado nutricional,talla baja,2010-04-01,29,15,48,47,77,96,154,158,312
PORONGO,estado nutricional,talla baja,2010-04-01,2,1,1,0,0,0,3,1,4
PORTACHUELO,estado nutricional,talla baja,2010-04-01,1,3,2,1,4,4,7,8,15
PORVENIR,estado nutricional,talla baja,2010-04-01,0,1,1,0,0,0,1,1,2
POSTRER VALLE,estado nutricional,talla baja,2010-04-01,1,0,0,2,1,1,2,3,5
POTOSI,estado nutricional,talla baja,2010-04-01,163,86,241,140,171,143,575,369,944
PRESTO,estado nutricional,talla baja,2010-04-01,15,9,38,12,56,48,109,69,178
PUCARA,estado nutricional,talla baja,2010-04-01,0,2,0,0,5,3,5,5,10
PUCARANI,estado nutricional,talla baja,2010-04-01,18,13,33,22,15,11,66,46,112
PUERTO ACOSTA,estado nutricional,talla baja,2010-04-01,7,3,1,2,2,4,10,9,19
PUERTO CARABUCO,estado nutricional,talla baja,2010-04-01,9,5,11,9,22,12,42,26,68
PUERTO GONZALO MORENO,estado nutricional,talla baja,2010-04-01,3,6,23,4,30,19,56,29,85
PUERTO PEREZ,estado nutricional,talla baja,2010-04-01,0,0,1,2,0,1,1,3,4
PUERTO QUIJARRO,estado nutricional,talla baja,2010-04-01,1,1,0,0,0,0,1,1,2
PUERTO RICO,estado nutricional,talla baja,2010-04-01,1,1,8,2,9,8,18,11,29
PUERTO SILES,estado nutricional,talla baja,2010-04-01,0,1,0,8,6,1,6,10,16
PUERTO SUAREZ,estado nutricional,talla baja,2010-04-01,7,4,5,1,3,2,15,7,22
PUERTO VILLARROEL,estado nutricional,talla baja,2010-04-01,37,28,67,54,67,54,171,136,307
PUNA,estado nutricional,talla baja,2010-04-01,4,4,8,4,2,4,14,12,26
PUNATA,estado nutricional,talla baja,2010-04-01,7,4,19,11,10,4,36,19,55
QUIABAYA,estado nutricional,talla baja,2010-04-01,6,4,8,5,21,18,35,27,62
QUILLACOLLO,estado nutricional,talla baja,2010-04-01,17,27,43,30,35,23,95,80,175
QUIME,estado nutricional,talla baja,2010-04-01,3,2,16,4,23,21,42,27,69
RAVELO,estado nutricional,talla baja,2010-04-01,47,29,74,84,127,133,248,246,494
REYES,estado nutricional,talla baja,2010-04-01,6,2,13,12,7,7,26,21,47
RIBERALTA,estado nutricional,talla baja,2010-04-01,33,26,84,53,53,39,170,118,288
ROBORE,estado nutricional,talla baja,2010-04-01,2,3,4,2,5,3,11,8,19
RURRENABAQUE,estado nutricional,talla baja,2010-04-01,4,4,11,2,9,10,24,16,40
SABAYA,estado nutricional,talla baja,2010-04-01,1,1,2,1,3,2,6,4,10
SACABA,estado nutricional,talla baja,2010-04-01,34,23,62,52,53,47,149,122,271
SACABAMBA,estado nutricional,talla baja,2010-04-01,3,0,4,3,2,4,9,7,16
SACACA,estado nutricional,talla baja,2010-04-01,82,47,80,85,73,66,235,198,433
SAIPINA,estado nutricional,talla baja,2010-04-01,0,1,1,2,1,0,2,3,5
SALINAS DE GARCI MENDOZA,estado nutricional,talla baja,2010-04-01,2,1,5,11,18,13,25,25,50
SAMAIPATA,estado nutricional,talla baja,2010-04-01,3,1,5,1,1,7,9,9,18
SAN AGUSTIN,estado nutricional,talla baja,2010-04-01,1,0,1,1,0,2,2,3,5
SAN ANDRES,estado nutricional,talla baja,2010-04-01,1,4,1,1,4,6,6,11,17
SAN ANDRES DE MACHACA,estado nutricional,talla baja,2010-04-01,1,2,1,1,2,0,4,3,7
SAN ANTONIO DE ESMORUCO,estado nutricional,talla baja,2010-04-01,2,2,3,7,6,8,11,17,28
SAN BENITO,estado nutricional,talla baja,2010-04-01,3,7,17,9,11,13,31,29,60
SAN BORJA,estado nutricional,talla baja,2010-04-01,31,41,58,43,62,74,151,158,309
SAN BUENA VENTURA,estado nutricional,talla baja,2010-04-01,2,0,5,4,8,3,15,7,22
SAN CARLOS,estado nutricional,talla baja,2010-04-01,0,1,3,5,3,4,6,10,16
SAN IGNACIO,estado nutricional,talla baja,2010-04-01,3,5,9,5,13,8,25,18,43
SAN IGNACIO DE VELASCO,estado nutricional,talla baja,2010-04-01,46,44,48,42,63,73,157,159,316
SAN JAVIER(BNI),estado nutricional,talla baja,2010-04-01,1,0,1,2,2,0,4,2,6
SAN JAVIER(STC),estado nutricional,talla baja,2010-04-01,3,8,11,18,5,7,19,33,52
SAN JOSE DE CHIQUITOS,estado nutricional,talla baja,2010-04-01,4,0,1,2,1,4,6,6,12
SAN JUAN DE YAPACANI,estado nutricional,talla baja,2010-04-01,8,2,1,0,6,3,15,5,20
SAN JULIAN,estado nutricional,talla baja,2010-04-01,10,8,8,19,7,12,25,39,64
SAN LORENZO(PND),estado nutricional,talla baja,2010-04-01,5,1,5,3,10,6,20,10,30
SAN LORENZO(TJA),estado nutricional,talla baja,2010-04-01,8,3,26,20,16,17,50,40,90
SAN LUCAS,estado nutricional,talla baja,2010-04-01,78,53,172,140,316,320,566,513,1079
SAN MATIAS,estado nutricional,talla baja,2010-04-01,0,1,2,1,2,3,4,5,9
SAN MIGUEL DE VELASCO,estado nutricional,talla baja,2010-04-01,8,8,7,10,14,8,29,26,55
SAN PABLO DE LIPEZ,estado nutricional,talla baja,2010-04-01,2,6,7,3,6,12,15,21,36
SAN PEDRO,estado nutricional,talla baja,2010-04-01,1,0,5,2,7,10,13,12,25
SAN PEDRO DE BUENA VISTA,estado nutricional,talla baja,2010-04-01,54,33,79,59,87,78,220,170,390
SAN PEDRO DE CURAHUARA,estado nutricional,talla baja,2010-04-01,1,2,6,4,4,1,11,7,18
SAN PEDRO DE TIQUINA,estado nutricional,talla baja,2010-04-01,2,3,1,1,1,0,4,4,8
SAN PEDRO(PND),estado nutricional,talla baja,2010-04-01,0,0,2,0,2,1,4,1,5
SAN RAFAEL,estado nutricional,talla baja,2010-04-01,1,6,1,0,0,1,2,7,9
SAN RAMON BENI,estado nutricional,talla baja,2010-04-01,1,1,3,1,4,1,8,3,11
SANTA ANA,estado nutricional,talla baja,2010-04-01,1,1,3,6,2,4,6,11,17
SANTA CRUZ DE LA SIERRA,estado nutricional,talla baja,2010-04-01,254,115,186,174,168,155,608,444,1052
SANTA ROSA,estado nutricional,talla baja,2010-04-01,2,0,5,3,5,6,12,9,21
SANTA ROSA DEL SARA,estado nutricional,talla baja,2010-04-01,2,2,6,8,13,12,21,22,43
SANTIAGO DE CALLAPA,estado nutricional,talla baja,2010-04-01,2,2,2,5,6,7,10,14,24
SANTIAGO DE HUARI,estado nutricional,talla baja,2010-04-01,5,9,15,9,16,14,36,32,68
SANTIAGO DE HUATA,estado nutricional,talla baja,2010-04-01,4,0,7,1,2,1,13,2,15
SANTIAGO DE MACHACA,estado nutricional,talla baja,2010-04-01,1,1,4,5,3,1,8,7,15
SANTIVAÑES,estado nutricional,talla baja,2010-04-01,0,0,1,5,4,3,5,8,13
SANTUARIO DE QUILLACAS,estado nutricional,talla baja,2010-04-01,5,1,7,6,22,16,34,23,57
SAPAHAQUI,estado nutricional,talla baja,2010-04-01,4,4,5,15,24,21,33,40,73
SENA,estado nutricional,talla baja,2010-04-01,0,1,0,0,2,0,2,1,3
SHINAOTA,estado nutricional,talla baja,2010-04-01,9,10,23,24,36,52,68,86,154
SICA SICA (VILLA AROMA),estado nutricional,talla baja,2010-04-01,15,12,24,24,14,23,53,59,112
SICAYA,estado nutricional,talla baja,2010-04-01,4,0,6,7,10,5,20,12,32
SIPE SIPE,estado nutricional,talla baja,2010-04-01,11,9,21,25,19,25,51,59,110
SOPACHUY,estado nutricional,talla baja,2010-04-01,10,7,23,21,96,93,129,121,250
