,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COTOCA,estado nutricional,talla normal,2010-04-01,339,357,200,220,207,210,746,787,1533
CUATRO CAÑADAS,estado nutricional,talla normal,2010-04-01,108,122,83,107,175,181,366,410,776
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla normal,2010-04-01,10,2,6,6,7,0,23,8,31
CUEVO,estado nutricional,talla normal,2010-04-01,38,31,30,27,46,58,114,116,230
CULPINA,estado nutricional,talla normal,2010-04-01,103,110,84,95,127,145,314,350,664
CURAHUARA DE CARANGAS,estado nutricional,talla normal,2010-04-01,50,36,36,27,23,26,109,89,198
CURVA,estado nutricional,talla normal,2010-04-01,18,7,9,6,3,4,30,17,47
DESAGUADERO,estado nutricional,talla normal,2010-04-01,34,30,19,17,16,21,69,68,137
EL ALTO,estado nutricional,talla normal,2010-04-01,6141,5628,4109,3738,2969,2667,13219,12033,25252
EL CHORO,estado nutricional,talla normal,2010-04-01,25,41,31,50,35,24,91,115,206
EL PUENTE(STC),estado nutricional,talla normal,2010-04-01,97,95,81,71,138,106,316,272,588
EL PUENTE(TJA),estado nutricional,talla normal,2010-04-01,103,83,66,73,90,106,259,262,521
EL TORNO,estado nutricional,talla normal,2010-04-01,309,194,241,185,164,162,714,541,1255
EL VILLAR,estado nutricional,talla normal,2010-04-01,29,28,27,31,67,67,123,126,249
ENTRE RIOS TRJ,estado nutricional,talla normal,2010-04-01,169,159,164,140,157,162,490,461,951
ENTRE RIOS CBBA,estado nutricional,talla normal,2010-04-01,248,197,185,116,196,181,629,494,1123
ESCARA,estado nutricional,talla normal,2010-04-01,2,0,1,2,3,0,6,2,8
ESCOMA,estado nutricional,talla normal,2010-04-01,14,19,3,12,11,17,28,48,76
ESMERALDA,estado nutricional,talla normal,2010-04-01,1,1,0,0,0,3,1,4,5
EUCALIPTUS,estado nutricional,talla normal,2010-04-01,71,72,51,42,43,30,165,144,309
EUREKA (SANTOS MERCADO),estado nutricional,talla normal,2010-04-01,8,5,6,4,9,11,23,20,43
EXALTACION,estado nutricional,talla normal,2010-04-01,11,11,17,17,32,18,60,46,106
FERNANDEZ ALONSO,estado nutricional,talla normal,2010-04-01,96,82,85,53,89,70,270,205,475
FILADELFIA,estado nutricional,talla normal,2010-04-01,30,21,24,12,20,17,74,50,124
GENERAL SAAVEDRA,estado nutricional,talla normal,2010-04-01,97,93,101,86,87,113,285,292,577
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla normal,2010-04-01,62,55,35,33,48,34,145,122,267
GUANAY,estado nutricional,talla normal,2010-04-01,129,118,78,76,78,97,285,291,576
GUAQUI,estado nutricional,talla normal,2010-04-01,35,36,20,39,40,33,95,108,203
GUAYARAMERIN,estado nutricional,talla normal,2010-04-01,367,354,235,200,213,245,815,799,1614
GUTIERREZ,estado nutricional,talla normal,2010-04-01,100,101,105,89,33,65,238,255,493
HUACARETA,estado nutricional,talla normal,2010-04-01,90,74,68,60,93,104,251,238,489
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla normal,2010-04-01,10,4,14,12,50,51,74,67,141
HUACHACALLA,estado nutricional,talla normal,2010-04-01,10,12,1,6,9,6,20,24,44
HUANUNI,estado nutricional,talla normal,2010-04-01,173,147,73,91,70,52,316,290,606
HUARACAJE,estado nutricional,talla normal,2010-04-01,28,21,18,17,15,13,61,51,112
HUARINA,estado nutricional,talla normal,2010-04-01,25,18,30,16,16,25,71,59,130
HUAYLLAMARCA,estado nutricional,talla normal,2010-04-01,46,39,11,27,30,39,87,105,192
HUMANATA,estado nutricional,talla normal,2010-04-01,29,25,14,16,21,13,64,54,118
ICHOCA,estado nutricional,talla normal,2010-04-01,21,38,19,13,29,33,69,84,153
ICLA,estado nutricional,talla normal,2010-04-01,61,60,37,53,138,141,236,254,490
INCAHUASI,estado nutricional,talla normal,2010-04-01,112,90,70,53,69,105,251,248,499
INGAVI (HUMAITA),estado nutricional,talla normal,2010-04-01,7,12,14,13,16,16,37,41,78
INQUISIVI,estado nutricional,talla normal,2010-04-01,50,61,29,27,62,52,141,140,281
IRUPANA (VILLA DE LANZA),estado nutricional,talla normal,2010-04-01,89,93,69,61,95,108,253,262,515
IXIAMAS,estado nutricional,talla normal,2010-04-01,73,84,39,47,44,39,156,170,326
JESUS DE MACHACA,estado nutricional,talla normal,2010-04-01,68,84,54,51,58,57,180,192,372
LA ASUNTA,estado nutricional,talla normal,2010-04-01,274,244,186,163,146,121,606,528,1134
LA GUARDIA,estado nutricional,talla normal,2010-04-01,751,654,358,315,414,445,1523,1414,2937
LA PAZ,estado nutricional,talla normal,2010-04-01,4157,3911,2759,2804,3052,3169,9968,9884,19852
LA RIVERA,estado nutricional,talla normal,2010-04-01,1,0,0,2,1,0,2,2,4
LAGUNILLAS,estado nutricional,talla normal,2010-04-01,65,49,53,52,110,79,228,180,408
LAJA,estado nutricional,talla normal,2010-04-01,66,71,53,64,51,57,170,192,362
LAS CARRERAS,estado nutricional,talla normal,2010-04-01,24,28,31,18,65,65,120,111,231
LICOMA PAMPA,estado nutricional,talla normal,2010-04-01,22,24,8,17,19,27,49,68,117
LLALLAGUA,estado nutricional,talla normal,2010-04-01,258,240,151,156,95,92,504,488,992
LLICA,estado nutricional,talla normal,2010-04-01,28,34,23,14,23,21,74,69,143
LORETO,estado nutricional,talla normal,2010-04-01,14,13,15,13,22,27,51,53,104
LURIBAY,estado nutricional,talla normal,2010-04-01,53,50,54,57,65,77,172,184,356
MACHACAMARCA,estado nutricional,talla normal,2010-04-01,48,44,43,39,52,57,143,140,283
MACHARETI,estado nutricional,talla normal,2010-04-01,37,38,54,43,105,82,196,163,359
MAGDALENA,estado nutricional,talla normal,2010-04-01,82,63,43,32,89,51,214,146,360
MAIRANA,estado nutricional,talla normal,2010-04-01,85,79,51,49,44,49,180,177,357
MALLA,estado nutricional,talla normal,2010-04-01,21,12,8,11,12,10,41,33,74
MAPIRI,estado nutricional,talla normal,2010-04-01,45,33,19,17,44,68,108,118,226
MECAPACA,estado nutricional,talla normal,2010-04-01,82,59,53,53,60,54,195,166,361
MINEROS,estado nutricional,talla normal,2010-04-01,155,155,138,128,105,111,398,394,792
MIZQUE,estado nutricional,talla normal,2010-04-01,125,110,71,74,100,90,296,274,570
MOCOMOCO,estado nutricional,talla normal,2010-04-01,65,64,37,47,50,49,152,160,312
MOJINETE,estado nutricional,talla normal,2010-04-01,3,6,1,5,3,1,7,12,19
MOJOCOYA,estado nutricional,talla normal,2010-04-01,51,61,43,30,92,99,186,190,376
MONTEAGUDO,estado nutricional,talla normal,2010-04-01,218,237,176,167,276,279,670,683,1353
MONTERO,estado nutricional,talla normal,2010-04-01,1040,953,596,611,585,538,2221,2102,4323
MORO MORO,estado nutricional,talla normal,2010-04-01,16,15,11,12,15,18,42,45,87
MOROCHATA,estado nutricional,talla normal,2010-04-01,90,119,104,58,47,42,241,219,460
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla normal,2010-04-01,18,17,5,11,9,5,32,33,65
NAZACARA DE PACAJES,estado nutricional,talla normal,2010-04-01,5,3,0,2,3,1,8,6,14
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla normal,2010-04-01,18,8,8,15,13,24,39,47,86
OCURI,estado nutricional,talla normal,2010-04-01,167,168,117,122,83,86,367,376,743
OKINAWA,estado nutricional,talla normal,2010-04-01,93,74,49,60,72,84,214,218,432
OMEREQUE,estado nutricional,talla normal,2010-04-01,20,17,14,15,9,12,43,44,87
ORURO,estado nutricional,talla normal,2010-04-01,1705,1740,1080,1170,781,748,3566,3658,7224
PADCAYA,estado nutricional,talla normal,2010-04-01,160,152,137,151,153,156,450,459,909
PADILLA,estado nutricional,talla normal,2010-04-01,74,85,69,59,172,181,315,325,640
PAILON,estado nutricional,talla normal,2010-04-01,195,129,100,87,131,101,426,317,743
PALCA,estado nutricional,talla normal,2010-04-01,73,68,36,51,60,61,169,180,349
PALOS BLANCOS,estado nutricional,talla normal,2010-04-01,238,218,177,151,215,188,630,557,1187
PAMPA AULLAGAS,estado nutricional,talla normal,2010-04-01,17,19,12,22,15,14,44,55,99
PAMPA GRANDE,estado nutricional,talla normal,2010-04-01,62,46,23,24,28,23,113,93,206
PAPEL PAMPA,estado nutricional,talla normal,2010-04-01,16,17,6,11,7,13,29,41,70
PASORAPA,estado nutricional,talla normal,2010-04-01,19,7,15,16,41,35,75,58,133
PATACAMAYA,estado nutricional,talla normal,2010-04-01,177,157,122,89,72,64,371,310,681
PAZÑA,estado nutricional,talla normal,2010-04-01,62,45,42,42,69,69,173,156,329
PELECHUCO,estado nutricional,talla normal,2010-04-01,27,30,21,16,22,17,70,63,133
POCOATA,estado nutricional,talla normal,2010-04-01,151,163,106,116,76,63,333,342,675
POCONA,estado nutricional,talla normal,2010-04-01,63,69,39,46,51,36,153,151,304
POJO (CBBA),estado nutricional,talla normal,2010-04-01,114,101,74,63,72,73,260,237,497
POOPO,estado nutricional,talla normal,2010-04-01,43,43,40,28,27,35,110,106,216
PORCO,estado nutricional,talla normal,2010-04-01,75,80,45,29,25,39,145,148,293
POROMA,estado nutricional,talla normal,2010-04-01,141,127,76,101,156,171,373,399,772
PORONGO,estado nutricional,talla normal,2010-04-01,61,62,40,44,59,51,160,157,317
PORTACHUELO,estado nutricional,talla normal,2010-04-01,93,103,45,55,56,81,194,239,433
PORVENIR,estado nutricional,talla normal,2010-04-01,56,61,43,37,49,53,148,151,299
POSTRER VALLE,estado nutricional,talla normal,2010-04-01,6,9,8,9,14,15,28,33,61
POTOSI,estado nutricional,talla normal,2010-04-01,1119,1085,648,616,552,560,2319,2261,4580
PRESTO,estado nutricional,talla normal,2010-04-01,72,52,49,49,83,74,204,175,379
PUCARA,estado nutricional,talla normal,2010-04-01,6,12,3,10,22,11,31,33,64
PUCARANI,estado nutricional,talla normal,2010-04-01,217,200,145,166,122,118,484,484,968
PUERTO ACOSTA,estado nutricional,talla normal,2010-04-01,32,22,24,33,12,20,68,75,143
PUERTO CARABUCO,estado nutricional,talla normal,2010-04-01,74,51,44,47,48,28,166,126,292
PUERTO GONZALO MORENO,estado nutricional,talla normal,2010-04-01,35,42,28,29,39,57,102,128,230
PUERTO PEREZ,estado nutricional,talla normal,2010-04-01,35,31,32,23,24,27,91,81,172
PUERTO QUIJARRO,estado nutricional,talla normal,2010-04-01,129,113,59,63,12,16,200,192,392
PUERTO RICO,estado nutricional,talla normal,2010-04-01,46,35,29,30,41,21,116,86,202
PUERTO SILES,estado nutricional,talla normal,2010-04-01,7,19,11,18,35,26,53,63,116
PUERTO SUAREZ,estado nutricional,talla normal,2010-04-01,110,117,41,56,52,45,203,218,421
PUERTO VILLARROEL,estado nutricional,talla normal,2010-04-01,411,391,294,208,292,271,997,870,1867
PUNA,estado nutricional,talla normal,2010-04-01,13,16,12,10,13,5,38,31,69
PUNATA,estado nutricional,talla normal,2010-04-01,297,298,158,190,125,121,580,609,1189
QUIABAYA,estado nutricional,talla normal,2010-04-01,12,14,3,3,11,11,26,28,54
QUILLACOLLO,estado nutricional,talla normal,2010-04-01,829,670,500,444,381,305,1710,1419,3129
QUIME,estado nutricional,talla normal,2010-04-01,88,61,48,48,47,57,183,166,349
QUIRUSILLAS,estado nutricional,talla normal,2010-04-01,14,8,11,13,13,16,38,37,75
RAVELO,estado nutricional,talla normal,2010-04-01,107,106,56,53,95,69,258,228,486
REYES,estado nutricional,talla normal,2010-04-01,90,126,59,76,73,76,222,278,500
RIBERALTA,estado nutricional,talla normal,2010-04-01,1260,1159,816,757,727,603,2803,2519,5322
ROBORE,estado nutricional,talla normal,2010-04-01,108,97,100,75,99,85,307,257,564
RURRENABAQUE,estado nutricional,talla normal,2010-04-01,132,134,76,73,78,80,286,287,573
SABAYA,estado nutricional,talla normal,2010-04-01,17,18,17,14,16,16,50,48,98
SACABA,estado nutricional,talla normal,2010-04-01,953,937,645,591,375,440,1973,1968,3941
SACABAMBA,estado nutricional,talla normal,2010-04-01,25,17,23,11,44,26,92,54,146
SACACA,estado nutricional,talla normal,2010-04-01,80,122,56,70,56,49,192,241,433
SAIPINA,estado nutricional,talla normal,2010-04-01,62,44,35,44,28,43,125,131,256
SALINAS DE GARCI MENDOZA,estado nutricional,talla normal,2010-04-01,60,58,68,80,108,82,236,220,456
SAMAIPATA,estado nutricional,talla normal,2010-04-01,62,57,44,33,40,37,146,127,273
SAN AGUSTIN,estado nutricional,talla normal,2010-04-01,8,9,7,10,14,12,29,31,60
SAN ANDRES,estado nutricional,talla normal,2010-04-01,70,63,46,40,91,74,207,177,384
SAN ANDRES DE MACHACA,estado nutricional,talla normal,2010-04-01,16,17,5,6,16,20,37,43,80
SAN ANTONIO DE ESMORUCO,estado nutricional,talla normal,2010-04-01,8,10,10,10,10,10,28,30,58
SAN BENITO,estado nutricional,talla normal,2010-04-01,153,128,99,73,100,107,352,308,660
SAN BORJA,estado nutricional,talla normal,2010-04-01,416,406,243,254,291,317,950,977,1927
SAN BUENA VENTURA,estado nutricional,talla normal,2010-04-01,92,90,58,40,50,55,200,185,385
SAN CARLOS,estado nutricional,talla normal,2010-04-01,145,141,94,76,92,103,331,320,651
SAN IGNACIO,estado nutricional,talla normal,2010-04-01,64,91,52,61,60,57,176,209,385
SAN IGNACIO DE VELASCO,estado nutricional,talla normal,2010-04-01,631,534,308,342,532,497,1471,1373,2844
SAN JAVIER(BNI),estado nutricional,talla normal,2010-04-01,10,18,19,5,20,16,49,39,88
SAN JAVIER(STC),estado nutricional,talla normal,2010-04-01,108,102,58,34,88,85,254,221,475
SAN JOSE DE CHIQUITOS,estado nutricional,talla normal,2010-04-01,98,100,56,79,80,96,234,275,509
SAN JUAN DE YAPACANI,estado nutricional,talla normal,2010-04-01,18,30,56,58,58,53,132,141,273
SAN JULIAN,estado nutricional,talla normal,2010-04-01,159,118,103,125,136,127,398,370,768
SAN LORENZO(PND),estado nutricional,talla normal,2010-04-01,36,25,21,24,26,35,83,84,167
SAN LORENZO(TJA),estado nutricional,talla normal,2010-04-01,210,170,144,136,112,129,466,435,901
SAN LUCAS,estado nutricional,talla normal,2010-04-01,296,322,197,218,449,456,942,996,1938
SAN MATIAS,estado nutricional,talla normal,2010-04-01,68,97,44,44,44,46,156,187,343
SAN MIGUEL DE VELASCO,estado nutricional,talla normal,2010-04-01,101,91,67,71,79,91,247,253,500
SAN PABLO DE LIPEZ,estado nutricional,talla normal,2010-04-01,17,16,12,17,14,7,43,40,83
SAN PEDRO,estado nutricional,talla normal,2010-04-01,132,116,90,92,120,106,342,314,656
SAN PEDRO DE BUENA VISTA,estado nutricional,talla normal,2010-04-01,139,141,90,91,102,79,331,311,642
SAN PEDRO DE CURAHUARA,estado nutricional,talla normal,2010-04-01,37,28,25,30,22,13,84,71,155
SAN PEDRO DE QUEMES,estado nutricional,talla normal,2010-04-01,2,0,1,2,2,3,5,5,10
SAN PEDRO DE TIQUINA,estado nutricional,talla normal,2010-04-01,23,24,13,20,18,12,54,56,110
SAN PEDRO(PND),estado nutricional,talla normal,2010-04-01,5,5,2,2,6,10,13,17,30
SAN RAFAEL,estado nutricional,talla normal,2010-04-01,64,84,41,53,91,75,196,212,408
SAN RAMON BENI,estado nutricional,talla normal,2010-04-01,20,15,25,14,32,28,77,57,134
SANTA ANA,estado nutricional,talla normal,2010-04-01,183,141,109,76,77,78,369,295,664
SANTA CRUZ DE LA SIERRA,estado nutricional,talla normal,2010-04-01,7473,5321,3178,2972,2448,2418,13099,10711,23810
SANTA ROSA,estado nutricional,talla normal,2010-04-01,70,78,45,63,66,70,181,211,392
SANTA ROSA DEL SARA,estado nutricional,talla normal,2010-04-01,147,170,130,114,137,154,414,438,852
SANTIAGO DE CALLAPA,estado nutricional,talla normal,2010-04-01,28,28,24,34,17,22,69,84,153
SANTIAGO DE HUARI,estado nutricional,talla normal,2010-04-01,62,49,52,47,73,80,187,176,363
SANTIAGO DE HUATA,estado nutricional,talla normal,2010-04-01,24,24,12,13,20,31,56,68,124
SANTIAGO DE MACHACA,estado nutricional,talla normal,2010-04-01,19,14,13,16,4,15,36,45,81
SANTIVAÑES,estado nutricional,talla normal,2010-04-01,4,4,5,6,5,3,14,13,27
SANTUARIO DE QUILLACAS,estado nutricional,talla normal,2010-04-01,19,18,8,17,23,26,50,61,111
SAPAHAQUI,estado nutricional,talla normal,2010-04-01,49,43,25,40,40,39,114,122,236
SENA,estado nutricional,talla normal,2010-04-01,36,32,17,20,14,18,67,70,137
SHINAOTA,estado nutricional,talla normal,2010-04-01,378,298,268,183,262,271,908,752,1660
SICA SICA (VILLA AROMA),estado nutricional,talla normal,2010-04-01,146,133,69,87,101,107,316,327,643
SICAYA,estado nutricional,talla normal,2010-04-01,17,12,12,13,9,14,38,39,77
SIPE SIPE,estado nutricional,talla normal,2010-04-01,305,280,184,149,134,134,623,563,1186
SOPACHUY,estado nutricional,talla normal,2010-04-01,46,69,45,55,70,72,161,196,357
SORACACHI,estado nutricional,talla normal,2010-04-01,96,94,66,76,91,69,253,239,492
SORATA,estado nutricional,talla normal,2010-04-01,144,107,93,89,97,76,334,272,606
SUCRE,estado nutricional,talla normal,2010-04-01,1977,1867,1383,1340,1674,1724,5034,4931,9965
TACACHI,estado nutricional,talla normal,2010-04-01,10,4,3,5,5,2,18,11,29
TACACOMA,estado nutricional,talla normal,2010-04-01,46,33,29,17,31,20,106,70,176
TACOBAMBA,estado nutricional,talla normal,2010-04-01,83,55,46,38,32,33,161,126,287
TACOPAYA,estado nutricional,talla normal,2010-04-01,71,82,56,56,62,77,189,215,404
TAHUA,estado nutricional,talla normal,2010-04-01,7,11,6,7,3,5,16,23,39
TAPACARI,estado nutricional,talla normal,2010-04-01,180,189,113,101,109,103,402,393,795
TARABUCO,estado nutricional,talla normal,2010-04-01,166,147,111,92,193,196,470,435,905
TARACO,estado nutricional,talla normal,2010-04-01,22,23,27,19,17,17,66,59,125
TARATA,estado nutricional,talla normal,2010-04-01,12,14,12,6,22,7,46,27,73
TARIJA,estado nutricional,talla normal,2010-04-01,1621,1361,1052,1095,734,474,3407,2930,6337
TARVITA,estado nutricional,talla normal,2010-04-01,100,96,80,97,151,173,331,366,697
TEOPONTE,estado nutricional,talla normal,2010-04-01,83,63,53,56,42,59,178,178,356
TIAWANACU,estado nutricional,talla normal,2010-04-01,100,84,67,85,48,64,215,233,448
TINGUIPAYA,estado nutricional,talla normal,2010-04-01,89,98,39,41,45,43,173,182,355
TIPUANI,estado nutricional,talla normal,2010-04-01,91,77,58,52,72,67,221,196,417
TIQUIPAYA,estado nutricional,talla normal,2010-04-01,499,509,361,331,404,389,1264,1229,2493
TIRAQUE (CBBA),estado nutricional,talla normal,2010-04-01,124,117,98,98,87,67,309,282,591
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla normal,2010-04-01,4,10,4,5,10,9,18,24,42
TOCO,estado nutricional,talla normal,2010-04-01,41,42,58,45,89,81,188,168,356
TODOS SANTOS,estado nutricional,talla normal,2010-04-01,3,1,3,3,6,7,12,11,23
TOLATA,estado nutricional,talla normal,2010-04-01,463,44,44,45,42,42,549,131,680
TOLEDO,estado nutricional,talla normal,2010-04-01,52,43,32,39,43,44,127,126,253
TOMAVE,estado nutricional,talla normal,2010-04-01,58,63,37,38,43,41,138,142,280
TOMINA,estado nutricional,talla normal,2010-04-01,84,62,46,58,125,153,255,273,528
TORO TORO,estado nutricional,talla normal,2010-04-01,61,78,33,40,51,58,145,176,321
TOTORA(CBBA),estado nutricional,talla normal,2010-04-01,22,30,13,27,27,23,62,80,142
TOTORA(ORR),estado nutricional,talla normal,2010-04-01,33,26,17,19,30,24,80,69,149
TRIGAL,estado nutricional,talla normal,2010-04-01,10,7,13,8,9,13,32,28,60
TRINIDAD,estado nutricional,talla normal,2010-04-01,642,612,281,290,302,299,1225,1201,2426
TUPIZA,estado nutricional,talla normal,2010-04-01,246,266,169,170,227,227,642,663,1305
TURCO,estado nutricional,talla normal,2010-04-01,43,41,29,36,27,28,99,105,204
UMALA,estado nutricional,talla normal,2010-04-01,41,48,64,45,57,45,162,138,300
UNCIA,estado nutricional,talla normal,2010-04-01,105,102,53,63,53,46,211,211,422
URIONDO (A. CONCEPCION),estado nutricional,talla normal,2010-04-01,144,170,104,126,142,137,390,433,823
URUBICHA,estado nutricional,talla normal,2010-04-01,63,55,67,75,209,229,339,359,698
UYUNI,estado nutricional,talla normal,2010-04-01,181,207,116,131,76,92,373,430,803
VACAS,estado nutricional,talla normal,2010-04-01,68,48,41,50,35,46,144,144,288
VALLEGRANDE,estado nutricional,talla normal,2010-04-01,101,83,57,64,70,49,228,196,424
VIACHA,estado nutricional,talla normal,2010-04-01,272,240,166,155,103,130,541,525,1066
VILA VILA,estado nutricional,talla normal,2010-04-01,27,25,14,17,30,24,71,66,137
VILLA CHARCAS,estado nutricional,talla normal,2010-04-01,113,92,74,62,84,97,271,251,522
VILLA MONTES,estado nutricional,talla normal,2010-04-01,325,278,231,205,181,192,737,675,1412
VILLA NUEVA (LOMA ALTA),estado nutricional,talla normal,2010-04-01,13,14,19,19,24,38,56,71,127
VILLA RIVERO,estado nutricional,talla normal,2010-04-01,58,33,41,32,42,53,141,118,259
VILLA SERRANO,estado nutricional,talla normal,2010-04-01,96,79,68,51,112,125,276,255,531
VILLA TUNARI,estado nutricional,talla normal,2010-04-01,565,494,456,406,524,520,1545,1420,2965
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla normal,2010-04-01,79,54,51,44,160,161,290,259,549
VILLAZON,estado nutricional,talla normal,2010-04-01,307,290,253,231,176,172,736,693,1429
VINTO,estado nutricional,talla normal,2010-04-01,293,327,198,203,125,102,616,632,1248
