,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
SORACACHI,consulta externa, menores de 5 anos,2014-04-01,194,191,4,6,198,197,395
SORATA,consulta externa, menores de 5 anos,2014-04-01,258,230,24,26,282,256,538
SUCRE,consulta externa, menores de 5 anos,2014-04-01,9895,9352,3211,3193,13106,12545,25651
TACACHI,consulta externa, menores de 5 anos,2014-04-01,21,24,6,13,27,37,64
TACACOMA,consulta externa, menores de 5 anos,2014-04-01,157,151,15,26,172,177,349
TACOBAMBA,consulta externa, menores de 5 anos,2014-04-01,201,162,1,1,202,163,365
TACOPAYA,consulta externa, menores de 5 anos,2014-04-01,131,121,2,6,133,127,260
TAHUA,consulta externa, menores de 5 anos,2014-04-01,14,28,0,0,14,28,42
TAPACARI,consulta externa, menores de 5 anos,2014-04-01,640,588,22,11,662,599,1261
TARABUCO,consulta externa, menores de 5 anos,2014-04-01,358,337,8,7,366,344,710
TARACO,consulta externa, menores de 5 anos,2014-04-01,59,38,21,18,80,56,136
TARATA,consulta externa, menores de 5 anos,2014-04-01,129,100,29,18,158,118,276
TARIJA,consulta externa, menores de 5 anos,2014-04-01,6183,5585,1162,1126,7345,6711,14056
TARVITA,consulta externa, menores de 5 anos,2014-04-01,607,579,13,6,620,585,1205
TEOPONTE,consulta externa, menores de 5 anos,2014-04-01,293,260,11,13,304,273,577
TIAWANACU,consulta externa, menores de 5 anos,2014-04-01,214,191,25,17,239,208,447
TINGUIPAYA,consulta externa, menores de 5 anos,2014-04-01,379,368,4,4,383,372,755
TIPUANI,consulta externa, menores de 5 anos,2014-04-01,264,202,48,44,312,246,558
TIQUIPAYA,consulta externa, menores de 5 anos,2014-04-01,1443,1341,403,345,1846,1686,3532
TIRAQUE (CBBA),consulta externa, menores de 5 anos,2014-04-01,240,278,42,36,282,314,596
TITO YUPANQUI (PARQUIPUJIO),consulta externa, menores de 5 anos,2014-04-01,14,11,16,11,30,22,52
TOCO,consulta externa, menores de 5 anos,2014-04-01,104,112,52,51,156,163,319
TODOS SANTOS,consulta externa, menores de 5 anos,2014-04-01,9,2,1,0,10,2,12
TOLATA,consulta externa, menores de 5 anos,2014-04-01,116,77,22,19,138,96,234
TOLEDO,consulta externa, menores de 5 anos,2014-04-01,95,66,7,3,102,69,171
TOMAVE,consulta externa, menores de 5 anos,2014-04-01,239,232,7,6,246,238,484
TOMINA,consulta externa, menores de 5 anos,2014-04-01,277,297,8,9,285,306,591
TORO TORO,consulta externa, menores de 5 anos,2014-04-01,275,250,3,5,278,255,533
TOTORA(CBBA),consulta externa, menores de 5 anos,2014-04-01,231,191,29,13,260,204,464
TOTORA(ORR),consulta externa, menores de 5 anos,2014-04-01,69,73,3,6,72,79,151
TRIGAL,consulta externa, menores de 5 anos,2014-04-01,43,31,5,3,48,34,82
TRINIDAD,consulta externa, menores de 5 anos,2014-04-01,3068,2739,901,737,3969,3476,7445
TUPIZA,consulta externa, menores de 5 anos,2014-04-01,1107,1023,31,53,1138,1076,2214
TURCO,consulta externa, menores de 5 anos,2014-04-01,51,67,3,1,54,68,122
UMALA,consulta externa, menores de 5 anos,2014-04-01,118,114,10,13,128,127,255
UNCIA,consulta externa, menores de 5 anos,2014-04-01,385,353,6,0,391,353,744
URIONDO (A. CONCEPCION),consulta externa, menores de 5 anos,2014-04-01,438,430,80,89,518,519,1037
URUBICHA,consulta externa, menores de 5 anos,2014-04-01,126,129,6,8,132,137,269
UYUNI,consulta externa, menores de 5 anos,2014-04-01,476,468,27,31,503,499,1002
VACAS,consulta externa, menores de 5 anos,2014-04-01,202,134,31,30,233,164,397
VALLEGRANDE,consulta externa, menores de 5 anos,2014-04-01,253,237,53,60,306,297,603
VIACHA,consulta externa, menores de 5 anos,2014-04-01,1003,901,370,324,1373,1225,2598
VILA VILA,consulta externa, menores de 5 anos,2014-04-01,85,83,0,0,85,83,168
VILLA CHARCAS,consulta externa, menores de 5 anos,2014-04-01,320,276,8,2,328,278,606
VILLA MONTES,consulta externa, menores de 5 anos,2014-04-01,1107,1075,124,98,1231,1173,2404
VILLA NUEVA (LOMA ALTA),consulta externa, menores de 5 anos,2014-04-01,103,94,1,1,104,95,199
VILLA RIVERO,consulta externa, menores de 5 anos,2014-04-01,263,221,33,50,296,271,567
VILLA SERRANO,consulta externa, menores de 5 anos,2014-04-01,441,442,39,13,480,455,935
VILLA TUNARI,consulta externa, menores de 5 anos,2014-04-01,3202,2916,109,114,3311,3030,6341
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, menores de 5 anos,2014-04-01,198,155,37,28,235,183,418
VILLAZON,consulta externa, menores de 5 anos,2014-04-01,1038,899,65,85,1103,984,2087
VINTO,consulta externa, menores de 5 anos,2014-04-01,419,368,577,546,996,914,1910
VITICHI,consulta externa, menores de 5 anos,2014-04-01,162,137,8,2,170,139,309
WALDO BALLIVIAN,consulta externa, menores de 5 anos,2014-04-01,9,13,0,0,9,13,22
WARNES,consulta externa, menores de 5 anos,2014-04-01,2743,2330,176,137,2919,2467,5386
YACO,consulta externa, menores de 5 anos,2014-04-01,115,137,18,16,133,153,286
YACUIBA,consulta externa, menores de 5 anos,2014-04-01,2779,2488,268,199,3047,2687,5734
YAMPARAEZ,consulta externa, menores de 5 anos,2014-04-01,111,109,4,5,115,114,229
YANACACHI,consulta externa, menores de 5 anos,2014-04-01,206,113,9,8,215,121,336
YAPACANI,consulta externa, menores de 5 anos,2014-04-01,751,743,49,37,800,780,1580
YOCALLA,consulta externa, menores de 5 anos,2014-04-01,139,116,4,3,143,119,262
YOTALA,consulta externa, menores de 5 anos,2014-04-01,179,150,22,8,201,158,359
YUNCHARA,consulta externa, menores de 5 anos,2014-04-01,207,157,14,9,221,166,387
YUNGUYO DE LITORAL,consulta externa, menores de 5 anos,2014-04-01,5,1,0,0,5,1,6
ZUDAÑEZ,consulta externa, menores de 5 anos,2014-04-01,228,185,2,4,230,189,419
ACACIO,consulta externa, menores de 5 anos,2014-05-01,192,165,3,0,195,165,360
ACHACACHI,consulta externa, menores de 5 anos,2014-05-01,397,317,216,216,613,533,1146
ACHOCALLA,consulta externa, menores de 5 anos,2014-05-01,316,248,48,38,364,286,650
AIQUILE,consulta externa, menores de 5 anos,2014-05-01,482,440,54,51,536,491,1027
ALALAY,consulta externa, menores de 5 anos,2014-05-01,43,43,0,0,43,43,86
ALCALA,consulta externa, menores de 5 anos,2014-05-01,84,77,0,0,84,77,161
ALTO BENI,consulta externa, menores de 5 anos,2014-05-01,557,452,11,5,568,457,1025
ANCORAIMES,consulta externa, menores de 5 anos,2014-05-01,511,158,6,5,517,163,680
ANDAMARCA,consulta externa, menores de 5 anos,2014-05-01,49,70,3,3,52,73,125
ANTEQUERA,consulta externa, menores de 5 anos,2014-05-01,72,56,1,2,73,58,131
ANZALDO,consulta externa, menores de 5 anos,2014-05-01,95,74,96,100,191,174,365
APOLO,consulta externa, menores de 5 anos,2014-05-01,471,430,119,107,590,537,1127
ARAMPAMPA,consulta externa, menores de 5 anos,2014-05-01,131,102,1,1,132,103,235
ARANI,consulta externa, menores de 5 anos,2014-05-01,161,149,27,22,188,171,359
ARBIETO,consulta externa, menores de 5 anos,2014-05-01,295,270,24,17,319,287,606
ARQUE,consulta externa, menores de 5 anos,2014-05-01,499,472,14,16,513,488,1001
ASCENCION DE GUARAYOS,consulta externa, menores de 5 anos,2014-05-01,599,606,7,25,606,631,1237
ATOCHA,consulta externa, menores de 5 anos,2014-05-01,463,395,54,40,517,435,952
AUCAPATA,consulta externa, menores de 5 anos,2014-05-01,96,102,3,3,99,105,204
AYATA,consulta externa, menores de 5 anos,2014-05-01,160,137,10,3,170,140,310
AYO AYO,consulta externa, menores de 5 anos,2014-05-01,96,88,3,0,99,88,187
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, menores de 5 anos,2014-05-01,645,577,15,20,660,597,1257
AZURDUY,consulta externa, menores de 5 anos,2014-05-01,443,415,4,12,447,427,874
BATALLAS,consulta externa, menores de 5 anos,2014-05-01,220,188,1,5,221,193,414
BAURES,consulta externa, menores de 5 anos,2014-05-01,200,122,11,4,211,126,337
BELEN DE ANDAMARCA,consulta externa, menores de 5 anos,2014-05-01,31,22,2,4,33,26,59
BELEN DE URMIRI,consulta externa, menores de 5 anos,2014-05-01,35,29,4,2,39,31,70
BELLA FLOR,consulta externa, menores de 5 anos,2014-05-01,111,101,0,2,111,103,214
BERMEJO,consulta externa, menores de 5 anos,2014-05-01,2357,1503,265,160,2622,1663,4285
BETANZOS,consulta externa, menores de 5 anos,2014-05-01,630,569,31,20,661,589,1250
BOLIVAR,consulta externa, menores de 5 anos,2014-05-01,171,161,3,0,174,161,335
BOLPEBRA,consulta externa, menores de 5 anos,2014-05-01,71,47,1,3,72,50,122
BOYUIBE,consulta externa, menores de 5 anos,2014-05-01,120,106,3,6,123,112,235
BUENA VISTA,consulta externa, menores de 5 anos,2014-05-01,303,316,5,5,308,321,629
CABEZAS,consulta externa, menores de 5 anos,2014-05-01,925,765,36,35,961,800,1761
CAIROMA,consulta externa, menores de 5 anos,2014-05-01,216,159,24,15,240,174,414
"CAIZA ""D""",consulta externa, menores de 5 anos,2014-05-01,161,164,103,61,264,225,489
CAJUATA,consulta externa, menores de 5 anos,2014-05-01,315,244,4,2,319,246,565
CALACOTO,consulta externa, menores de 5 anos,2014-05-01,68,67,2,0,70,67,137
CALAMARCA,consulta externa, menores de 5 anos,2014-05-01,320,289,31,25,351,314,665
CAMARGO,consulta externa, menores de 5 anos,2014-05-01,378,329,12,6,390,335,725
CAMATAQUI (C. VILLA ABECIA),consulta externa, menores de 5 anos,2014-05-01,69,47,5,0,74,47,121
CAMIRI,consulta externa, menores de 5 anos,2014-05-01,1003,979,128,98,1131,1077,2208
CAPINOTA,consulta externa, menores de 5 anos,2014-05-01,437,406,52,47,489,453,942
CAQUIAVIRI,consulta externa, menores de 5 anos,2014-05-01,96,90,1,0,97,90,187
CARACOLLO,consulta externa, menores de 5 anos,2014-05-01,387,324,18,21,405,345,750
CARANAVI,consulta externa, menores de 5 anos,2014-05-01,1091,1023,210,162,1301,1185,2486
CARANGAS,consulta externa, menores de 5 anos,2014-05-01,4,0,1,0,5,0,5
CARAPARI,consulta externa, menores de 5 anos,2014-05-01,494,430,32,21,526,451,977
CARIPUYO,consulta externa, menores de 5 anos,2014-05-01,162,149,1,0,163,149,312
CARMEN RIVERO TORREZ,consulta externa, menores de 5 anos,2014-05-01,51,50,17,16,68,66,134
CATACORA,consulta externa, menores de 5 anos,2014-05-01,20,16,1,1,21,17,38
CHACARILLA,consulta externa, menores de 5 anos,2014-05-01,28,28,0,0,28,28,56
CHALLAPATA,consulta externa, menores de 5 anos,2014-05-01,563,435,26,20,589,455,1044
CHAQUI,consulta externa, menores de 5 anos,2014-05-01,174,119,4,3,178,122,300
CHARAGUA,consulta externa, menores de 5 anos,2014-05-01,1058,927,34,28,1092,955,2047
CHARAÑA,consulta externa, menores de 5 anos,2014-05-01,30,24,2,2,32,26,58
CHAYANTA,consulta externa, menores de 5 anos,2014-05-01,246,276,9,19,255,295,550
CHIMORE,consulta externa, menores de 5 anos,2014-05-01,931,842,84,74,1015,916,1931
CHIPAYA,consulta externa, menores de 5 anos,2014-05-01,22,13,0,1,22,14,36
CHOQUE COTA,consulta externa, menores de 5 anos,2014-05-01,11,16,0,1,11,17,28
CHUA COCANI,consulta externa, menores de 5 anos,2014-05-01,22,2,0,0,22,2,24
CHULUMANI (V. DE LA LIBERTAD),consulta externa, menores de 5 anos,2014-05-01,409,329,48,26,457,355,812
CHUMA,consulta externa, menores de 5 anos,2014-05-01,131,82,8,5,139,87,226
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, menores de 5 anos,2014-05-01,149,128,0,0,149,128,277
CKOCHAS,consulta externa, menores de 5 anos,2014-05-01,352,330,7,4,359,334,693
CLIZA,consulta externa, menores de 5 anos,2014-05-01,331,310,96,91,427,401,828
COBIJA,consulta externa, menores de 5 anos,2014-05-01,1612,1403,72,79,1684,1482,3166
COCAPATA,consulta externa, menores de 5 anos,2014-05-01,332,302,103,74,435,376,811
COCHABAMBA,consulta externa, menores de 5 anos,2014-05-01,13782,12430,6183,5959,19965,18389,38354
COIPASA,consulta externa, menores de 5 anos,2014-05-01,45,43,1,0,46,43,89
COLCAPIRHUA,consulta externa, menores de 5 anos,2014-05-01,370,356,570,533,940,889,1829
"COLCHA ""K""",consulta externa, menores de 5 anos,2014-05-01,335,286,33,42,368,328,696
COLLANA,consulta externa, menores de 5 anos,2014-05-01,26,17,8,10,34,27,61
COLOMI,consulta externa, menores de 5 anos,2014-05-01,364,280,8,2,372,282,654
COLPA BELGICA,consulta externa, menores de 5 anos,2014-05-01,311,255,34,26,345,281,626
COLQUECHACA,consulta externa, menores de 5 anos,2014-05-01,857,731,4,7,861,738,1599
COLQUENCHA,consulta externa, menores de 5 anos,2014-05-01,130,120,13,7,143,127,270
COLQUIRI,consulta externa, menores de 5 anos,2014-05-01,376,247,9,24,385,271,656
COMANCHE,consulta externa, menores de 5 anos,2014-05-01,26,19,0,1,26,20,46
COMARAPA,consulta externa, menores de 5 anos,2014-05-01,401,358,49,26,450,384,834
COMBAYA,consulta externa, menores de 5 anos,2014-05-01,37,38,0,0,37,38,75
CONCEPCION,consulta externa, menores de 5 anos,2014-05-01,323,317,239,226,562,543,1105
COPACABANA,consulta externa, menores de 5 anos,2014-05-01,129,116,8,7,137,123,260
CORIPATA,consulta externa, menores de 5 anos,2014-05-01,320,280,29,29,349,309,658
CORO CORO,consulta externa, menores de 5 anos,2014-05-01,148,133,8,7,156,140,296
COROICO,consulta externa, menores de 5 anos,2014-05-01,346,212,79,71,425,283,708
CORQUE,consulta externa, menores de 5 anos,2014-05-01,159,145,8,8,167,153,320
COTAGAITA,consulta externa, menores de 5 anos,2014-05-01,688,600,29,25,717,625,1342
COTOCA,consulta externa, menores de 5 anos,2014-05-01,1456,1298,94,82,1550,1380,2930
CRUZ DE MACHACAMARCA,consulta externa, menores de 5 anos,2014-05-01,3,3,0,0,3,3,6
CUATRO CAÑADAS,consulta externa, menores de 5 anos,2014-05-01,406,391,71,78,477,469,946
CUCHUMUELA (V. G. VILLARROEL),consulta externa, menores de 5 anos,2014-05-01,20,27,0,1,20,28,48
CUEVO,consulta externa, menores de 5 anos,2014-05-01,129,101,6,7,135,108,243
CULPINA,consulta externa, menores de 5 anos,2014-05-01,435,407,234,221,669,628,1297
CURAHUARA DE CARANGAS,consulta externa, menores de 5 anos,2014-05-01,99,90,5,4,104,94,198
CURVA,consulta externa, menores de 5 anos,2014-05-01,47,58,4,1,51,59,110
DESAGUADERO,consulta externa, menores de 5 anos,2014-05-01,46,27,0,2,46,29,75
EL ALTO,consulta externa, menores de 5 anos,2014-05-01,18669,16613,5054,4502,23723,21115,44838
EL CHORO,consulta externa, menores de 5 anos,2014-05-01,99,64,2,1,101,65,166
EL PUENTE(STC),consulta externa, menores de 5 anos,2014-05-01,423,386,1,2,424,388,812
EL PUENTE(TJA),consulta externa, menores de 5 anos,2014-05-01,325,270,25,25,350,295,645
EL TORNO,consulta externa, menores de 5 anos,2014-05-01,1328,1276,69,49,1397,1325,2722
EL VILLAR,consulta externa, menores de 5 anos,2014-05-01,89,74,1,8,90,82,172
ENTRE RIOS TRJ,consulta externa, menores de 5 anos,2014-05-01,561,562,2,9,563,571,1134
ENTRE RIOS CBBA,consulta externa, menores de 5 anos,2014-05-01,1125,1033,56,46,1181,1079,2260
ESCARA,consulta externa, menores de 5 anos,2014-05-01,8,9,0,1,8,10,18
ESCOMA,consulta externa, menores de 5 anos,2014-05-01,48,68,55,63,103,131,234
ESMERALDA,consulta externa, menores de 5 anos,2014-05-01,0,0,11,6,11,6,17
EUCALIPTUS,consulta externa, menores de 5 anos,2014-05-01,97,95,6,13,103,108,211
EUREKA (SANTOS MERCADO),consulta externa, menores de 5 anos,2014-05-01,76,53,5,3,81,56,137
EXALTACION,consulta externa, menores de 5 anos,2014-05-01,68,57,5,3,73,60,133
FERNANDEZ ALONSO,consulta externa, menores de 5 anos,2014-05-01,486,439,95,86,581,525,1106
FILADELFIA,consulta externa, menores de 5 anos,2014-05-01,239,230,2,4,241,234,475
GENERAL SAAVEDRA,consulta externa, menores de 5 anos,2014-05-01,512,453,105,71,617,524,1141
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, menores de 5 anos,2014-05-01,216,175,8,2,224,177,401
GUANAY,consulta externa, menores de 5 anos,2014-05-01,492,398,3,7,495,405,900
GUAQUI,consulta externa, menores de 5 anos,2014-05-01,86,89,2,1,88,90,178
GUAYARAMERIN,consulta externa, menores de 5 anos,2014-05-01,1405,1161,216,192,1621,1353,2974
GUTIERREZ,consulta externa, menores de 5 anos,2014-05-01,504,549,114,124,618,673,1291
HUACARETA,consulta externa, menores de 5 anos,2014-05-01,285,244,17,7,302,251,553
HUACAYA (VILLA DE HUACAYA),consulta externa, menores de 5 anos,2014-05-01,112,113,20,19,132,132,264
HUACHACALLA,consulta externa, menores de 5 anos,2014-05-01,9,24,1,2,10,26,36
HUANUNI,consulta externa, menores de 5 anos,2014-05-01,606,598,127,99,733,697,1430
HUARACAJE,consulta externa, menores de 5 anos,2014-05-01,87,75,2,2,89,77,166
HUARINA,consulta externa, menores de 5 anos,2014-05-01,60,56,9,11,69,67,136
HUATAJATA,consulta externa, menores de 5 anos,2014-05-01,55,61,38,38,93,99,192
HUAYLLAMARCA,consulta externa, menores de 5 anos,2014-05-01,53,61,3,6,56,67,123
HUMANATA,consulta externa, menores de 5 anos,2014-05-01,21,14,1,0,22,14,36
ICHOCA,consulta externa, menores de 5 anos,2014-05-01,70,60,1,2,71,62,133
ICLA,consulta externa, menores de 5 anos,2014-05-01,339,329,7,9,346,338,684
INCAHUASI,consulta externa, menores de 5 anos,2014-05-01,425,388,6,6,431,394,825
INGAVI (HUMAITA),consulta externa, menores de 5 anos,2014-05-01,70,69,10,3,80,72,152
INQUISIVI,consulta externa, menores de 5 anos,2014-05-01,194,184,1,0,195,184,379
IRUPANA (VILLA DE LANZA),consulta externa, menores de 5 anos,2014-05-01,434,489,10,13,444,502,946
IXIAMAS,consulta externa, menores de 5 anos,2014-05-01,347,285,7,1,354,286,640
JESUS DE MACHACA,consulta externa, menores de 5 anos,2014-05-01,220,234,58,52,278,286,564
LA ASUNTA,consulta externa, menores de 5 anos,2014-05-01,1179,1047,198,173,1377,1220,2597
LA GUARDIA,consulta externa, menores de 5 anos,2014-05-01,2087,1980,158,152,2245,2132,4377
LA PAZ,consulta externa, menores de 5 anos,2014-05-01,19724,15786,4019,3998,23743,19784,43527
LA RIVERA,consulta externa, menores de 5 anos,2014-05-01,6,15,1,0,7,15,22
LAGUNILLAS,consulta externa, menores de 5 anos,2014-05-01,241,206,5,4,246,210,456
LAJA,consulta externa, menores de 5 anos,2014-05-01,205,180,5,7,210,187,397
LAS CARRERAS,consulta externa, menores de 5 anos,2014-05-01,109,95,3,4,112,99,211
LICOMA PAMPA,consulta externa, menores de 5 anos,2014-05-01,40,21,0,0,40,21,61
LLALLAGUA,consulta externa, menores de 5 anos,2014-05-01,948,956,36,39,984,995,1979
LLICA,consulta externa, menores de 5 anos,2014-05-01,70,75,2,4,72,79,151
LORETO,consulta externa, menores de 5 anos,2014-05-01,55,75,3,7,58,82,140
LURIBAY,consulta externa, menores de 5 anos,2014-05-01,147,202,5,6,152,208,360
MACHACAMARCA,consulta externa, menores de 5 anos,2014-05-01,83,78,10,3,93,81,174
MACHARETI,consulta externa, menores de 5 anos,2014-05-01,366,325,14,11,380,336,716
MAGDALENA,consulta externa, menores de 5 anos,2014-05-01,254,243,7,12,261,255,516
MAIRANA,consulta externa, menores de 5 anos,2014-05-01,173,224,14,30,187,254,441
MALLA,consulta externa, menores de 5 anos,2014-05-01,62,41,0,1,62,42,104
MAPIRI,consulta externa, menores de 5 anos,2014-05-01,322,307,12,9,334,316,650
MECAPACA,consulta externa, menores de 5 anos,2014-05-01,239,225,18,14,257,239,496
MINEROS,consulta externa, menores de 5 anos,2014-05-01,415,330,1,4,416,334,750
MIZQUE,consulta externa, menores de 5 anos,2014-05-01,757,631,22,30,779,661,1440
MOCOMOCO,consulta externa, menores de 5 anos,2014-05-01,105,106,10,3,115,109,224
MOJINETE,consulta externa, menores de 5 anos,2014-05-01,20,24,2,1,22,25,47
MOJOCOYA,consulta externa, menores de 5 anos,2014-05-01,177,150,45,56,222,206,428
MONTEAGUDO,consulta externa, menores de 5 anos,2014-05-01,850,817,42,34,892,851,1743
MONTERO,consulta externa, menores de 5 anos,2014-05-01,3543,3088,478,398,4021,3486,7507
MORO MORO,consulta externa, menores de 5 anos,2014-05-01,48,48,7,1,55,49,104
MOROCHATA,consulta externa, menores de 5 anos,2014-05-01,199,175,57,66,256,241,497
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, menores de 5 anos,2014-05-01,143,110,4,3,147,113,260
NAZACARA DE PACAJES,consulta externa, menores de 5 anos,2014-05-01,16,6,1,0,17,6,23
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, menores de 5 anos,2014-05-01,96,57,1,2,97,59,156
OCURI,consulta externa, menores de 5 anos,2014-05-01,413,351,1,0,414,351,765
OKINAWA,consulta externa, menores de 5 anos,2014-05-01,436,371,21,23,457,394,851
OMEREQUE,consulta externa, menores de 5 anos,2014-05-01,152,153,6,7,158,160,318
ORURO,consulta externa, menores de 5 anos,2014-05-01,6594,5873,718,748,7312,6621,13933
PADCAYA,consulta externa, menores de 5 anos,2014-05-01,590,566,43,19,633,585,1218
PADILLA,consulta externa, menores de 5 anos,2014-05-01,307,333,9,7,316,340,656
PAILON,consulta externa, menores de 5 anos,2014-05-01,370,279,18,20,388,299,687
PALCA,consulta externa, menores de 5 anos,2014-05-01,435,332,38,20,473,352,825
PALOS BLANCOS,consulta externa, menores de 5 anos,2014-05-01,920,856,68,59,988,915,1903
PAMPA AULLAGAS,consulta externa, menores de 5 anos,2014-05-01,49,51,2,4,51,55,106
PAMPA GRANDE,consulta externa, menores de 5 anos,2014-05-01,192,200,14,15,206,215,421
