,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,52,52,17,29,69,81,150
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,7,6,9,7,16
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,31,37,8,11,39,48,87
VINTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,45,38,1,2,46,40,86
VITICHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,3,2,2,7,5,12
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,2,1,2,0,4,1,5
WARNES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,135,101,48,28,183,129,312
YACO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,8,6,7,9,15,24
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,50,56,38,29,88,85,173
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,3,3,0,8,3,11
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,4,3,1,3,5,6,11
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,38,50,26,23,64,73,137
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,6,5,3,5,9,10,19
YOTALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,5,3,6,4,11,7,18
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,1,7,6,10,7,17
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-04-01,3,0,2,4,5,4,9
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,3,4,4,6,10
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,14,15,4,6,18,21,39
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,13,3,6,6,19,9,28
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,13,10,12,6,25,16,41
ALALAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,1,1,1,1,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,6,1,0,4,6,10
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,8,1,3,9,11,20
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,3,4,3,10,6,16
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,5,3,3,8,8,16
APOLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,12,6,13,8,21
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,2,3,2,3,5
ARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,7,7,0,2,7,9,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,9,10,5,18,14,32
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,4,6,2,8,6,14
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,32,38,2,1,34,39,73
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,0,3,0,4,0,4
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,0,0,2,1,2,3
AYATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,5,1,3,1,8,9
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,2,6,2,8,4,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,9,9,15,14,24,23,47
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,2,3,2,4,6
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,5,4,1,7,6,13
BAURES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,10,8,0,9,10,19
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,1,0,2,1,3,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,22,26,11,16,33,42,75
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,17,18,13,19,30,37,67
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,7,6,7,6,13
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,3,0,0,2,3,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,4,1,4,1,8,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,6,8,6,13,12,25
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,11,10,12,14,23,24,47
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,4,0,2,5,6,11
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,5,7,5,7,12
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,1,5,2,7,9
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,1,1,1,1,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,0,0,1,2,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,15,15,2,1,17,16,33
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,1,2,1,5,2,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,25,28,9,17,34,45,79
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,10,8,4,16,14,30
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,0,0,0,4,0,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,5,3,2,7,7,14
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,43,41,15,14,58,55,113
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,4,15,17,20,21,41
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,2,0,2,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,3,3,3,3,6
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,23,14,5,5,28,19,47
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,7,4,4,8,11,19
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,9,14,19,31,28,45,73
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,1,3,2,4,3,7
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,26,22,5,1,31,23,54
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,19,14,4,6,23,20,43
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,5,7,1,9,6,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,7,2,0,5,7,12
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,7,4,6,7,13,11,24
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,13,7,3,13,16,29
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,43,42,13,15,56,57,113
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,10,12,10,13,23
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,517,551,10,9,527,560,1087
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,30,29,2,2,32,31,63
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,23,8,3,5,26,13,39
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,12,7,1,4,13,11,24
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,5,3,5,6,10,16
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,11,27,23,32,34,66
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,1,1,4,4,5,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,12,11,12,11,23
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,3,0,0,1,3,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,12,8,3,2,15,10,25
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,22,27,0,5,22,32,54
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,8,1,4,6,12,18
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,10,9,0,0,10,9,19
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,4,4,4,5,9
COROICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,6,9,6,14,12,26
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,2,4,2,5,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,1,4,10,10,11,21
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,25,23,9,5,34,28,62
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,14,18,4,3,18,21,39
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,0,2,7,4,7,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,9,5,11,13,20,33
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,3,2,4,4,8
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,4,5,4,6,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,573,583,111,115,684,698,1382
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,10,11,19,13,29,24,53
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,6,7,3,11,9,20
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,32,45,4,3,36,48,84
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,1,2,1,4,2,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,10,8,17,7,27,15,42
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,33,36,2,0,35,36,71
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,2,0,4,4,6,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,7,2,5,5,12,7,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,3,23,18,23,21,44
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,11,10,0,0,11,10,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,5,9,7,17,12,29
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,8,5,4,11,12,23
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,4,1,0,1,4,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,24,18,23,18,47,36,83
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,2,6,5,9,7,16
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,7,2,1,5,8,13
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,12,21,1,0,13,21,34
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,6,1,3,7,9,16
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,2,1,2,1,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,3,0,3,1,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,3,2,3,3,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,2,2,1,4,3,7
ICLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,3,4,1,9,4,13
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,4,8,12,10,16,26
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,2,2,2,2,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,0,5,5,7,5,12
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,8,8,4,12,12,24
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,10,11,11,19,21,40
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,10,1,2,5,12,17
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,39,28,11,10,50,38,88
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,70,70,5,3,75,73,148
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,512,482,6,1,518,483,1001
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,7,4,1,5,8,13
LAJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,6,3,7,6,13,19
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,2,2,2,2,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,11,8,25,19,36,27,63
LLICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,2,0,0,2,2,4
LORETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,2,2,1,2,3,5
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,1,4,5,6,6,12
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,1,0,3,1,4,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,3,4,8,5,11,16
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,5,0,0,5,5,10
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,6,0,0,8,6,14
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,12,11,2,0,14,11,25
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,7,3,4,2,11,5,16
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,4,2,2,2,6,8
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,20,11,17,18,37,29,66
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,1,5,4,6,5,11
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,2,0,0,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,9,3,4,4,13,17
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,18,18,3,12,21,30,51
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,114,111,3,3,117,114,231
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,5,6,5,7,12
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,4,0,0,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,0,1,1,2,1,3
OCURI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,2,10,13,13,15,28
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,9,6,2,4,11,10,21
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,0,4,0,4,4
ORURO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,221,229,4,1,225,230,455
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,9,6,4,2,13,8,21
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,6,1,0,7,6,13
PAILON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,15,16,11,16,26,32,58
PALCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,13,13,3,2,16,15,31
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,14,18,8,4,22,22,44
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,0,1,1,4,1,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,6,0,0,5,6,11
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,2,2,3,4,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,1,1,0,3,1,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,18,8,5,4,23,12,35
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,1,2,1,2,3
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,4,4,1,7,5,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,15,13,15,13,28
POCONA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,0,9,13,9,13,22
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,4,8,6,10,10,20
POOPO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,1,2,1,4,2,6
PORCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,2,8,2,10,4,14
POROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,5,2,4,2,9,4,13
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,3,0,3,4,6,4,10
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,15,26,9,3,24,29,53
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,1,1,3,3,4,7
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,1,0,2,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,159,139,7,8,166,147,313
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,6,2,3,3,9,5,14
PUCARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,0,2,0,0,0,2,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,19,17,6,7,25,24,49
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,1,2,8,7,9,9,18
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,2,0,3,3,5,3,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,4,2,2,1,6,3,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-05-01,8,5,6,6,14,11,25
