,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,8,20,22,25,30,55
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,184,196,35,50,219,246,465
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,38,21,13,16,51,37,88
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,120,118,20,14,140,132,272
VINTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,200,168,16,20,216,188,404
VITICHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,32,23,19,13,51,36,87
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,1,0,9,3,10,3,13
WARNES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,284,294,26,28,310,322,632
YACO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,4,4,20,24,24,28,52
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,234,201,105,98,339,299,638
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,9,4,7,10,16,14,30
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,19,5,16,18,35,53
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,102,109,86,74,188,183,371
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,25,29,3,1,28,30,58
YOTALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,5,5,28,18,33,23,56
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,13,8,31,24,44,32,76
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,0,0,1,0,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-06-01,11,15,25,30,36,45,81
ACACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,1,1,4,2,6
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,25,31,33,30,58,61,119
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,17,13,18,24,35,37,72
ALALAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,2,4,10,4,12,16
ALCALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,0,0,1,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,27,23,2,9,29,32,61
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,1,3,4,9,5,14
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,2,0,0,1,2,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,17,9,23,21,40,30,70
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,23,23,13,11,36,34,70
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,3,0,6,1,7
ARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,20,15,6,16,26,31,57
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,16,10,12,18,28,46
ARQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,19,14,17,9,36,23,59
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,49,43,18,14,67,57,124
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,15,15,6,5,21,20,41
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,1,4,1,4,5
AYATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,6,0,3,6,9,15
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,1,1,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,27,20,23,23,50,43,93
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,4,7,2,14,6,20
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,5,0,4,5,9,14
BAURES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,11,0,0,7,11,18
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,0,3,1,8,1,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,34,29,9,17,43,46,89
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,2,3,0,4,2,6
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,3,7,3,7,10
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,1,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,2,3,0,5,2,7
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,17,6,4,16,21,37
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,20,19,7,24,27,43,70
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,3,7,4,10,7,17
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,4,2,1,6,5,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,2,2,2,6,4,10
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,4,0,1,0,5,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,8,6,4,13,12,25
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,15,21,5,5,20,26,46
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,35,32,6,6,41,38,79
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,16,23,5,7,21,30,51
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,8,0,0,10,8,18
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,19,18,10,7,29,25,54
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,38,35,17,27,55,62,117
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,0,12,7,13,7,20
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,1,0,0,6,1,7
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,30,39,17,11,47,50,97
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,1,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,8,33,23,37,31,68
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,1,0,0,2,1,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,11,22,11,22,33
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,25,24,14,8,39,32,71
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,0,3,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,21,22,0,0,21,22,43
CHUMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,9,2,0,10,9,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,9,19,8,24,17,41
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,14,18,21,23,35,58
CLIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,27,25,99,84,126,109,235
COBIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,66,72,11,13,77,85,162
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,19,13,31,22,50,35,85
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,640,656,153,158,793,814,1607
COIPASA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,3,1,0,2,3,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,121,97,95,105,216,202,418
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,13,24,8,2,21,26,47
COLLANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,1,0,1,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,30,28,19,26,49,54,103
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,12,0,1,6,13,19
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,28,26,46,49,74,75,149
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,16,16,2,2,18,18,36
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,4,12,14,17,18,35
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,21,16,5,6,26,22,48
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,40,26,6,5,46,31,77
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,6,1,4,6,10,16
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,24,16,1,2,25,18,43
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,5,1,1,8,6,14
COROICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,13,4,2,14,15,29
CORQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,0,1,1,4,1,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,4,1,3,11,7,18
COTOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,94,92,31,44,125,136,261
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,21,17,11,14,32,31,63
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,2,0,0,3,2,5
CUEVO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,3,5,4,9,7,16
CULPINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,36,48,34,39,70,87,157
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,2,2,3,5,5,10
CURVA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,1,10,6,12,7,19
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,9,1,1,6,10,16
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,716,741,224,238,940,979,1919
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,0,2,0,2,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,17,21,0,1,17,22,39
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,7,2,3,6,10,16
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,92,133,7,22,99,155,254
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,6,2,5,7,11,18
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,20,11,9,10,29,21,50
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,107,151,10,12,117,163,280
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,2,4,3,4,5,9
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,0,2,0,2,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,9,0,0,3,9,12
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,23,22,0,0,23,22,45
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,7,8,1,14,8,22
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,9,0,0,6,9,15
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,6,3,1,8,7,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,9,12,2,2,11,14,25
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,16,12,16,12,28
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,120,167,14,12,134,179,313
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,15,14,5,6,20,20,40
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,5,2,5,2,7
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,27,22,15,19,42,41,83
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,2,0,0,3,2,5
HUARINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,7,4,10,5,15
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,2,1,5,3,7,10
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,6,1,2,3,8,11
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,2,3,4,4,6,10
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,3,23,19,24,22,46
ICLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,0,1,3,2,3,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,10,2,4,10,14,24
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,10,5,12,7,22,29
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,10,5,5,13,15,28
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,5,0,0,10,5,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,3,1,1,6,4,10
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,64,78,19,31,83,109,192
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,111,140,26,26,137,166,303
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,541,582,20,21,561,603,1164
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,3,1,1,2,4,6
LAJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,16,17,0,3,16,20,36
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,4,4,2,5,6,11
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,114,142,222,257,336,399,735
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,8,17,11,18,29
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,7,0,0,2,7,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,1,3,2,3,3,6
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,22,17,0,0,22,17,39
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,16,0,0,7,16,23
MALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,3,4,3,4,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,20,4,6,15,26,41
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,9,2,3,5,12,7,19
MINEROS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,3,3,4,6,7,13
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,17,22,7,7,24,29,53
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,8,5,1,10,9,19
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,34,17,5,5,39,22,61
MONTERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,167,141,11,6,178,147,325
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,4,0,4,0,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,9,2,27,15,36,17,53
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,2,6,2,10,4,14
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,1,0,0,5,1,6
OCURI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,9,19,27,27,36,63
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,23,10,1,4,24,14,38
