municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,18,18
SAN PABLO DE LIPEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,36,36
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
SAN PEDRO DE QUEMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
SAN PEDRO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
SAN RAMON BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
SANTA ANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4479,4479
SANTA ROSA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
SANTA ROSA DEL SARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,63,63
SANTIAGO DE CALLAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
SANTIAGO DE HUARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
SANTIAGO DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
SANTIVAÑES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,23,23
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,29,29
SICAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,40,40
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,17,17
SORACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,29,29
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1602,1602
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
TACOBAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,2,2
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,11,11
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,23,23
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,17,17
TARATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,16,16
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,648,648
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,16,16
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
TIAWANACU,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,9,9
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,56,56
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
TOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
TODOS SANTOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
TOLATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
TOLEDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,3,3
TOMAVE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
TOMINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,17,17
TORO TORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
TOTORA(CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
TOTORA(ORR),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
TRIGAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,4,4
TRINIDAD,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,393,393
TUPIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,225,225
TURCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
UMALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,1,1
UNCIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,41,41
URIONDO (A. CONCEPCION),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,50,50
URUBICHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,16,16
UYUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,14,14
VACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,18,18
VALLEGRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,36,36
VIACHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,171,171
VILLA CHARCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
VILLA MONTES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,51,51
VILLA NUEVA (LOMA ALTA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,6,6
VILLA RIVERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,18,18
VILLA SERRANO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,8,8
VILLA TUNARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,64,64
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
VILLAZON,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,242,242
VINTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,47,47
VITICHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,5,5
WARNES,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,137,137
YACUIBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,120,120
YAMPARAEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,18,18
YANACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,10,10
YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,79,79
YOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,24,24
YOTALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,21,21
YUNCHARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,9,9
ZUDAÑEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-03-01,7,7
ACACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,40,40
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,26,26
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,40,40
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,7,7
ALTO BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,2,2
ANCORAIMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,3,3
ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,4,4
ANTEQUERA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,4,4
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,2,2
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,4,4
ARAMPAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
ARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,8,8
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,14,14
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,6,6
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,29,29
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,130,130
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,4,4
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,33,33
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,3,3
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,16,16
BELEN DE ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,127,127
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,37,37
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,11,11
BOLPEBRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,2,2
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,9,9
BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,36,36
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,38,38
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,3,3
"CAIZA ""D""",referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,2,2
CAJUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,5,5
CALAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,25,25
CAMARGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,22,22
CAMATAQUI (C. VILLA ABECIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,8,8
CAMIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,63,63
CAPINOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,45,45
CAQUIAVIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
CARACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,23,23
CARANAVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,31,31
CARANGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
CARAPARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,48,48
CARIPUYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,8,8
CARMEN RIVERO TORREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,6,6
CATACORA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
CHALLAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,52,52
CHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,10,10
CHARAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,40,40
CHAYANTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
CHIMORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,25,25
CHIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,2,2
CHUA COCANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,2,2
CHUMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,1,1
CKOCHAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,18,18
CLIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,21,21
COBIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,172,172
COCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,18,18
COCHABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,334,334
COLCAPIRHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,26,26
"COLCHA ""K""",referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,10,10
COLLANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,10,10
COLOMI,referencias y retornos, pacientes referidos a otros establecimientos,2014-04-01,25,25
