,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
URIONDO (A. CONCEPCION),estado nutricional,l talla normal,2012-04-01,92,76,91,59,87,80,270,215,485
URUBICHA,estado nutricional,l talla normal,2012-04-01,76,75,72,59,106,102,254,236,490
UYUNI,estado nutricional,l talla normal,2012-04-01,25,33,18,37,8,16,51,86,137
VACAS,estado nutricional,l talla normal,2012-04-01,93,74,62,67,53,50,208,191,399
VALLEGRANDE,estado nutricional,l talla normal,2012-04-01,60,46,26,32,20,21,106,99,205
VIACHA,estado nutricional,l talla normal,2012-04-01,363,373,284,248,422,481,1069,1102,2171
VILA VILA,estado nutricional,l talla normal,2012-04-01,38,42,33,35,76,79,147,156,303
VILLA CHARCAS,estado nutricional,l talla normal,2012-04-01,150,132,95,95,96,94,341,321,662
VILLA MONTES,estado nutricional,l talla normal,2012-04-01,202,235,150,180,149,165,501,580,1081
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla normal,2012-04-01,19,12,14,25,24,19,57,56,113
VILLA RIVERO,estado nutricional,l talla normal,2012-04-01,90,65,86,78,63,49,239,192,431
VILLA SERRANO,estado nutricional,l talla normal,2012-04-01,89,83,92,96,136,119,317,298,615
VILLA TUNARI,estado nutricional,l talla normal,2012-04-01,1086,936,771,678,827,740,2684,2354,5038
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla normal,2012-04-01,84,65,62,62,104,90,250,217,467
VILLAZON,estado nutricional,l talla normal,2012-04-01,209,238,168,189,112,90,489,517,1006
VINTO,estado nutricional,l talla normal,2012-04-01,265,180,161,112,122,128,548,420,968
VITICHI,estado nutricional,l talla normal,2012-04-01,8,4,9,11,11,13,28,28,56
WALDO BALLIVIAN,estado nutricional,l talla normal,2012-04-01,15,11,7,10,8,7,30,28,58
WARNES,estado nutricional,l talla normal,2012-04-01,281,252,202,238,176,185,659,675,1334
YACO,estado nutricional,l talla normal,2012-04-01,71,56,48,65,41,39,160,160,320
YACUIBA,estado nutricional,l talla normal,2012-04-01,431,449,360,327,299,302,1090,1078,2168
YAMPARAEZ,estado nutricional,l talla normal,2012-04-01,45,57,41,39,84,98,170,194,364
YANACACHI,estado nutricional,l talla normal,2012-04-01,75,53,40,39,62,75,177,167,344
YAPACANI,estado nutricional,l talla normal,2012-04-01,440,415,305,324,321,336,1066,1075,2141
YOCALLA,estado nutricional,l talla normal,2012-04-01,70,52,46,59,47,42,163,153,316
YOTALA,estado nutricional,l talla normal,2012-04-01,70,59,46,47,129,122,245,228,473
YUNCHARA,estado nutricional,l talla normal,2012-04-01,25,33,29,32,57,51,111,116,227
YUNGUYO DE LITORAL,estado nutricional,l talla normal,2012-04-01,2,0,0,0,0,2,2,2,4
ZUDAÑEZ,estado nutricional,l talla normal,2012-04-01,47,41,41,45,89,81,177,167,344
ACACIO,estado nutricional,l talla normal,2012-05-01,42,47,37,38,30,36,109,121,230
ACHACACHI,estado nutricional,l talla normal,2012-05-01,272,281,252,242,217,256,741,779,1520
ACHOCALLA,estado nutricional,l talla normal,2012-05-01,101,124,81,75,82,65,264,264,528
AIQUILE,estado nutricional,l talla normal,2012-05-01,275,234,190,172,163,184,628,590,1218
ALALAY,estado nutricional,l talla normal,2012-05-01,20,32,36,19,19,30,75,81,156
ALCALA,estado nutricional,l talla normal,2012-05-01,27,19,25,32,54,45,106,96,202
ALTO BENI,estado nutricional,l talla normal,2012-05-01,92,85,57,78,64,66,213,229,442
ANCORAIMES,estado nutricional,l talla normal,2012-05-01,88,63,64,79,61,57,213,199,412
ANDAMARCA,estado nutricional,l talla normal,2012-05-01,26,18,18,35,42,49,86,102,188
ANTEQUERA,estado nutricional,l talla normal,2012-05-01,34,24,26,23,27,41,87,88,175
ANZALDO,estado nutricional,l talla normal,2012-05-01,76,65,47,49,60,66,183,180,363
APOLO,estado nutricional,l talla normal,2012-05-01,221,203,152,139,181,170,554,512,1066
ARAMPAMPA,estado nutricional,l talla normal,2012-05-01,26,21,15,16,18,21,59,58,117
ARANI,estado nutricional,l talla normal,2012-05-01,21,18,24,19,26,12,71,49,120
ARBIETO,estado nutricional,l talla normal,2012-05-01,128,157,112,128,154,136,394,421,815
ARQUE,estado nutricional,l talla normal,2012-05-01,153,120,98,112,112,110,363,342,705
ASCENCION DE GUARAYOS,estado nutricional,l talla normal,2012-05-01,160,142,73,84,61,69,294,295,589
ATOCHA,estado nutricional,l talla normal,2012-05-01,111,101,68,54,109,97,288,252,540
AUCAPATA,estado nutricional,l talla normal,2012-05-01,29,46,24,30,33,29,86,105,191
AYATA,estado nutricional,l talla normal,2012-05-01,95,72,60,77,36,37,191,186,377
AYO AYO,estado nutricional,l talla normal,2012-05-01,48,47,28,41,22,19,98,107,205
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-05-01,290,255,201,144,211,183,702,582,1284
AZURDUY,estado nutricional,l talla normal,2012-05-01,84,98,98,80,100,117,282,295,577
BATALLAS,estado nutricional,l talla normal,2012-05-01,151,125,82,92,67,70,300,287,587
BAURES,estado nutricional,l talla normal,2012-05-01,30,46,33,23,44,41,107,110,217
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-05-01,15,14,7,15,18,19,40,48,88
BELEN DE URMIRI,estado nutricional,l talla normal,2012-05-01,9,16,3,10,5,10,17,36,53
BELLA FLOR,estado nutricional,l talla normal,2012-05-01,32,29,35,29,48,49,115,107,222
BERMEJO,estado nutricional,l talla normal,2012-05-01,251,224,197,178,151,166,599,568,1167
BETANZOS,estado nutricional,l talla normal,2012-05-01,258,278,175,232,215,210,648,720,1368
BOLIVAR,estado nutricional,l talla normal,2012-05-01,68,71,112,40,76,73,256,184,440
BOLPEBRA,estado nutricional,l talla normal,2012-05-01,4,6,7,6,8,4,19,16,35
BOYUIBE,estado nutricional,l talla normal,2012-05-01,26,24,21,22,40,37,87,83,170
BUENA VISTA,estado nutricional,l talla normal,2012-05-01,113,114,105,60,80,70,298,244,542
CABEZAS,estado nutricional,l talla normal,2012-05-01,132,100,80,78,85,86,297,264,561
CAIROMA,estado nutricional,l talla normal,2012-05-01,80,95,65,66,59,57,204,218,422
"CAIZA ""D""",estado nutricional,l talla normal,2012-05-01,85,62,72,78,67,63,224,203,427
CAJUATA,estado nutricional,l talla normal,2012-05-01,99,93,85,88,80,87,264,268,532
CALACOTO,estado nutricional,l talla normal,2012-05-01,28,35,25,34,27,26,80,95,175
CALAMARCA,estado nutricional,l talla normal,2012-05-01,79,97,60,70,43,56,182,223,405
CAMARGO,estado nutricional,l talla normal,2012-05-01,122,111,80,82,113,129,315,322,637
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-05-01,36,25,24,16,38,41,98,82,180
CAMIRI,estado nutricional,l talla normal,2012-05-01,273,796,224,218,209,217,706,1231,1937
CAPINOTA,estado nutricional,l talla normal,2012-05-01,118,81,101,85,72,53,291,219,510
CAQUIAVIRI,estado nutricional,l talla normal,2012-05-01,71,50,51,57,32,31,154,138,292
CARACOLLO,estado nutricional,l talla normal,2012-05-01,152,196,143,124,155,125,450,445,895
CARANAVI,estado nutricional,l talla normal,2012-05-01,437,412,341,277,269,265,1047,954,2001
CARANGAS,estado nutricional,l talla normal,2012-05-01,1,1,1,1,3,1,5,3,8
CARAPARI,estado nutricional,l talla normal,2012-05-01,133,128,134,119,154,142,421,389,810
CARIPUYO,estado nutricional,l talla normal,2012-05-01,58,70,31,46,56,64,145,180,325
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-05-01,43,33,28,17,32,28,103,78,181
CATACORA,estado nutricional,l talla normal,2012-05-01,12,12,5,5,8,3,25,20,45
CHACARILLA,estado nutricional,l talla normal,2012-05-01,4,5,8,4,6,3,18,12,30
CHALLAPATA,estado nutricional,l talla normal,2012-05-01,347,95,321,185,239,210,907,490,1397
CHAQUI,estado nutricional,l talla normal,2012-05-01,55,43,41,41,31,37,127,121,248
CHARAGUA,estado nutricional,l talla normal,2012-05-01,242,226,168,151,211,202,621,579,1200
CHARAÑA,estado nutricional,l talla normal,2012-05-01,21,15,17,11,17,23,55,49,104
CHAYANTA,estado nutricional,l talla normal,2012-05-01,122,113,75,83,56,69,253,265,518
CHIMORE,estado nutricional,l talla normal,2012-05-01,70,74,67,56,76,87,213,217,430
CHIPAYA,estado nutricional,l talla normal,2012-05-01,16,10,14,13,9,17,39,40,79
CHOQUE COTA,estado nutricional,l talla normal,2012-05-01,10,9,9,11,19,16,38,36,74
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-05-01,75,101,57,58,80,66,212,225,437
CHUMA,estado nutricional,l talla normal,2012-05-01,95,76,53,72,45,34,193,182,375
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-05-01,76,49,37,36,26,26,139,111,250
CKOCHAS,estado nutricional,l talla normal,2012-05-01,121,101,68,89,63,59,252,249,501
CLIZA,estado nutricional,l talla normal,2012-05-01,207,209,155,102,148,119,510,430,940
COBIJA,estado nutricional,l talla normal,2012-05-01,347,341,211,220,185,163,743,724,1467
COCAPATA,estado nutricional,l talla normal,2012-05-01,154,162,114,124,135,116,403,402,805
COCHABAMBA,estado nutricional,l talla normal,2012-05-01,3971,3506,2522,2232,1580,1598,8073,7336,15409
COIPASA,estado nutricional,l talla normal,2012-05-01,8,2,5,8,9,9,22,19,41
COLCAPIRHUA,estado nutricional,l talla normal,2012-05-01,471,378,371,272,313,271,1155,921,2076
"COLCHA ""K""",estado nutricional,l talla normal,2012-05-01,106,115,69,85,56,82,231,282,513
COLLANA,estado nutricional,l talla normal,2012-05-01,19,19,21,23,31,26,71,68,139
COLOMI,estado nutricional,l talla normal,2012-05-01,186,171,108,114,78,104,372,389,761
COLPA BELGICA,estado nutricional,l talla normal,2012-05-01,4,3,0,2,2,1,6,6,12
COLQUECHACA,estado nutricional,l talla normal,2012-05-01,269,274,210,220,80,94,559,588,1147
COLQUENCHA,estado nutricional,l talla normal,2012-05-01,66,58,56,71,42,32,164,161,325
COLQUIRI,estado nutricional,l talla normal,2012-05-01,165,177,83,104,108,109,356,390,746
COMANCHE,estado nutricional,l talla normal,2012-05-01,16,14,23,24,4,11,43,49,92
COMARAPA,estado nutricional,l talla normal,2012-05-01,137,120,86,114,29,47,252,281,533
COMBAYA,estado nutricional,l talla normal,2012-05-01,16,28,17,11,24,20,57,59,116
CONCEPCION,estado nutricional,l talla normal,2012-05-01,73,96,42,37,20,28,135,161,296
COPACABANA,estado nutricional,l talla normal,2012-05-01,109,84,45,51,81,78,235,213,448
CORIPATA,estado nutricional,l talla normal,2012-05-01,206,141,146,107,181,180,533,428,961
CORO CORO,estado nutricional,l talla normal,2012-05-01,63,61,49,48,45,72,157,181,338
COROICO,estado nutricional,l talla normal,2012-05-01,152,116,101,92,122,141,375,349,724
CORQUE,estado nutricional,l talla normal,2012-05-01,76,56,43,49,78,58,197,163,360
COTAGAITA,estado nutricional,l talla normal,2012-05-01,179,162,112,138,256,261,547,561,1108
COTOCA,estado nutricional,l talla normal,2012-05-01,361,323,184,168,117,90,662,581,1243
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-05-01,2,0,2,1,2,2,6,3,9
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-05-01,152,123,131,132,133,142,416,397,813
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-05-01,16,12,17,10,16,11,49,33,82
CUEVO,estado nutricional,l talla normal,2012-05-01,31,53,30,25,53,53,114,131,245
CULPINA,estado nutricional,l talla normal,2012-05-01,165,164,152,160,186,181,503,505,1008
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-05-01,35,43,28,34,51,36,114,113,227
CURVA,estado nutricional,l talla normal,2012-05-01,16,20,14,18,16,13,46,51,97
DESAGUADERO,estado nutricional,l talla normal,2012-05-01,33,34,33,25,16,22,82,81,163
EL ALTO,estado nutricional,l talla normal,2012-05-01,5461,5177,4069,3776,2797,2651,12327,11604,23931
EL CHORO,estado nutricional,l talla normal,2012-05-01,45,73,48,42,60,61,153,176,329
EL PUENTE(STC),estado nutricional,l talla normal,2012-05-01,86,97,86,78,52,64,224,239,463
EL PUENTE(TJA),estado nutricional,l talla normal,2012-05-01,72,74,55,54,71,76,198,204,402
EL TORNO,estado nutricional,l talla normal,2012-05-01,423,409,276,284,195,196,894,889,1783
EL VILLAR,estado nutricional,l talla normal,2012-05-01,27,26,27,24,62,72,116,122,238
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-05-01,190,171,139,164,202,174,531,509,1040
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-05-01,356,338,273,233,255,252,884,823,1707
ESCARA,estado nutricional,l talla normal,2012-05-01,0,1,1,0,1,3,2,4,6
ESCOMA,estado nutricional,l talla normal,2012-05-01,32,21,19,28,23,21,74,70,144
ESMERALDA,estado nutricional,l talla normal,2012-05-01,2,0,1,0,1,3,4,3,7
EUCALIPTUS,estado nutricional,l talla normal,2012-05-01,67,59,51,39,71,49,189,147,336
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-05-01,16,9,16,3,10,13,42,25,67
EXALTACION,estado nutricional,l talla normal,2012-05-01,19,27,18,12,43,45,80,84,164
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-05-01,102,106,99,74,89,77,290,257,547
FILADELFIA,estado nutricional,l talla normal,2012-05-01,49,47,19,33,33,24,101,104,205
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-05-01,135,112,137,93,133,123,405,328,733
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-05-01,92,90,55,62,55,75,202,227,429
GUANAY,estado nutricional,l talla normal,2012-05-01,181,151,120,139,128,134,429,424,853
GUAQUI,estado nutricional,l talla normal,2012-05-01,33,41,30,28,20,37,83,106,189
GUAYARAMERIN,estado nutricional,l talla normal,2012-05-01,394,416,283,246,192,217,869,879,1748
GUTIERREZ,estado nutricional,l talla normal,2012-05-01,154,160,133,144,191,184,478,488,966
HUACARETA,estado nutricional,l talla normal,2012-05-01,72,62,90,80,119,97,281,239,520
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-05-01,22,22,24,21,59,41,105,84,189
HUACHACALLA,estado nutricional,l talla normal,2012-05-01,3,2,8,7,9,16,20,25,45
HUANUNI,estado nutricional,l talla normal,2012-05-01,237,249,120,118,154,150,511,517,1028
HUARACAJE,estado nutricional,l talla normal,2012-05-01,48,43,28,25,20,32,96,100,196
HUARINA,estado nutricional,l talla normal,2012-05-01,28,31,23,28,13,22,64,81,145
HUAYLLAMARCA,estado nutricional,l talla normal,2012-05-01,27,25,28,25,32,26,87,76,163
HUMANATA,estado nutricional,l talla normal,2012-05-01,25,26,16,19,24,27,65,72,137
ICHOCA,estado nutricional,l talla normal,2012-05-01,32,20,20,20,28,22,80,62,142
ICLA,estado nutricional,l talla normal,2012-05-01,60,71,40,51,115,138,215,260,475
INCAHUASI,estado nutricional,l talla normal,2012-05-01,93,99,77,74,114,138,284,311,595
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-05-01,1,5,5,4,6,10,12,19,31
INQUISIVI,estado nutricional,l talla normal,2012-05-01,89,76,69,73,77,74,235,223,458
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-05-01,39,66,62,51,45,35,146,152,298
IXIAMAS,estado nutricional,l talla normal,2012-05-01,70,84,61,49,61,70,192,203,395
JESUS DE MACHACA,estado nutricional,l talla normal,2012-05-01,81,111,84,59,98,104,263,274,537
LA ASUNTA,estado nutricional,l talla normal,2012-05-01,404,366,271,244,281,258,956,868,1824
LA GUARDIA,estado nutricional,l talla normal,2012-05-01,619,603,203,261,270,245,1092,1109,2201
LA PAZ,estado nutricional,l talla normal,2012-05-01,4239,3873,2995,2871,3109,2853,10343,9597,19940
LA RIVERA,estado nutricional,l talla normal,2012-05-01,2,3,2,5,2,2,6,10,16
LAGUNILLAS,estado nutricional,l talla normal,2012-05-01,59,59,48,43,96,72,203,174,377
LAJA,estado nutricional,l talla normal,2012-05-01,120,116,110,96,77,71,307,283,590
LAS CARRERAS,estado nutricional,l talla normal,2012-05-01,30,33,20,28,54,44,104,105,209
LICOMA PAMPA,estado nutricional,l talla normal,2012-05-01,27,23,21,19,17,15,65,57,122
LLALLAGUA,estado nutricional,l talla normal,2012-05-01,346,340,248,241,136,174,730,755,1485
LLICA,estado nutricional,l talla normal,2012-05-01,24,29,20,20,13,17,57,66,123
LORETO,estado nutricional,l talla normal,2012-05-01,38,38,34,31,43,40,115,109,224
LURIBAY,estado nutricional,l talla normal,2012-05-01,59,57,40,43,65,34,164,134,298
MACHACAMARCA,estado nutricional,l talla normal,2012-05-01,33,55,41,40,31,57,105,152,257
MACHARETI,estado nutricional,l talla normal,2012-05-01,58,68,78,65,128,101,264,234,498
MAGDALENA,estado nutricional,l talla normal,2012-05-01,107,96,51,51,56,56,214,203,417
MAIRANA,estado nutricional,l talla normal,2012-05-01,63,74,59,60,23,22,145,156,301
MALLA,estado nutricional,l talla normal,2012-05-01,13,9,16,8,10,15,39,32,71
MAPIRI,estado nutricional,l talla normal,2012-05-01,166,148,78,79,98,129,342,356,698
MECAPACA,estado nutricional,l talla normal,2012-05-01,211,105,82,85,75,82,368,272,640
MINEROS,estado nutricional,l talla normal,2012-05-01,143,132,118,101,114,102,375,335,710
MIZQUE,estado nutricional,l talla normal,2012-05-01,394,341,283,240,242,257,919,838,1757
MOCOMOCO,estado nutricional,l talla normal,2012-05-01,78,53,56,74,72,71,206,198,404
MOJINETE,estado nutricional,l talla normal,2012-05-01,3,10,0,4,12,9,15,23,38
MOJOCOYA,estado nutricional,l talla normal,2012-05-01,58,50,46,60,82,80,186,190,376
MONTEAGUDO,estado nutricional,l talla normal,2012-05-01,262,218,229,198,231,238,722,654,1376
MONTERO,estado nutricional,l talla normal,2012-05-01,1158,1213,755,766,730,688,2643,2667,5310
MORO MORO,estado nutricional,l talla normal,2012-05-01,20,16,18,17,10,11,48,44,92
MOROCHATA,estado nutricional,l talla normal,2012-05-01,112,114,68,88,72,73,252,275,527
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-05-01,22,15,11,8,4,9,37,32,69
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-05-01,7,3,6,1,4,7,17,11,28
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-05-01,25,21,36,12,45,49,106,82,188
OCURI,estado nutricional,l talla normal,2012-05-01,105,107,74,54,58,52,237,213,450
OKINAWA,estado nutricional,l talla normal,2012-05-01,87,85,73,72,90,100,250,257,507
OMEREQUE,estado nutricional,l talla normal,2012-05-01,96,65,73,53,85,95,254,213,467
ORURO,estado nutricional,l talla normal,2012-05-01,1659,1634,1137,1060,737,767,3533,3461,6994
PADCAYA,estado nutricional,l talla normal,2012-05-01,128,131,118,102,155,129,401,362,763
PADILLA,estado nutricional,l talla normal,2012-05-01,71,98,68,87,154,139,293,324,617
PAILON,estado nutricional,l talla normal,2012-05-01,213,176,142,114,159,145,514,435,949
PALCA,estado nutricional,l talla normal,2012-05-01,139,102,77,257,98,89,314,448,762
PALOS BLANCOS,estado nutricional,l talla normal,2012-05-01,280,278,237,203,255,229,772,710,1482
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-05-01,18,24,16,15,15,12,49,51,100
PAMPA GRANDE,estado nutricional,l talla normal,2012-05-01,68,79,58,65,38,45,164,189,353
PAPEL PAMPA,estado nutricional,l talla normal,2012-05-01,53,42,50,34,48,51,151,127,278
PASORAPA,estado nutricional,l talla normal,2012-05-01,33,26,23,32,48,25,104,83,187
PATACAMAYA,estado nutricional,l talla normal,2012-05-01,150,170,121,99,59,78,330,347,677
PAZÑA,estado nutricional,l talla normal,2012-05-01,65,51,43,58,95,82,203,191,394
PELECHUCO,estado nutricional,l talla normal,2012-05-01,67,52,34,32,61,28,162,112,274
POCOATA,estado nutricional,l talla normal,2012-05-01,176,199,140,125,164,159,480,483,963
POCONA,estado nutricional,l talla normal,2012-05-01,126,93,88,74,91,78,305,245,550
POJO (CBBA),estado nutricional,l talla normal,2012-05-01,125,142,107,93,116,108,348,343,691
POOPO,estado nutricional,l talla normal,2012-05-01,49,51,32,35,31,30,112,116,228
PORCO,estado nutricional,l talla normal,2012-05-01,111,121,61,61,47,64,219,246,465
POROMA,estado nutricional,l talla normal,2012-05-01,138,150,108,116,181,174,427,440,867
PORONGO,estado nutricional,l talla normal,2012-05-01,49,57,48,42,37,35,134,134,268
PORTACHUELO,estado nutricional,l talla normal,2012-05-01,94,121,61,65,58,76,213,262,475
PORVENIR,estado nutricional,l talla normal,2012-05-01,56,53,33,45,51,41,140,139,279
POSTRER VALLE,estado nutricional,l talla normal,2012-05-01,9,12,8,10,4,2,21,24,45
POTOSI,estado nutricional,l talla normal,2012-05-01,1038,1116,558,573,364,354,1960,2043,4003
PRESTO,estado nutricional,l talla normal,2012-05-01,68,65,44,50,85,82,197,197,394
PUCARA,estado nutricional,l talla normal,2012-05-01,9,8,11,20,8,17,28,45,73
PUCARANI,estado nutricional,l talla normal,2012-05-01,236,258,184,183,140,158,560,599,1159
PUERTO ACOSTA,estado nutricional,l talla normal,2012-05-01,52,51,46,47,52,49,150,147,297
PUERTO CARABUCO,estado nutricional,l talla normal,2012-05-01,84,69,62,56,64,78,210,203,413
PUERTO GONZALO MORENO,estado nutricional,l talla normal,2012-05-01,101,95,48,69,72,86,221,250,471
PUERTO PEREZ,estado nutricional,l talla normal,2012-05-01,60,40,28,34,37,45,125,119,244
