,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COLLANA,estado nutricional,l talla baja,2012-05-01,5,0,3,5,6,10,14,15,29
COLOMI,estado nutricional,l talla baja,2012-05-01,14,8,22,20,28,27,64,55,119
COLQUECHACA,estado nutricional,l talla baja,2012-05-01,84,72,154,141,96,91,334,304,638
COLQUENCHA,estado nutricional,l talla baja,2012-05-01,15,6,21,16,7,11,43,33,76
COLQUIRI,estado nutricional,l talla baja,2012-05-01,16,15,30,24,33,23,79,62,141
COMANCHE,estado nutricional,l talla baja,2012-05-01,3,1,6,4,1,2,10,7,17
COMARAPA,estado nutricional,l talla baja,2012-05-01,6,1,10,6,4,6,20,13,33
COMBAYA,estado nutricional,l talla baja,2012-05-01,0,0,5,3,9,10,14,13,27
CONCEPCION,estado nutricional,l talla baja,2012-05-01,3,1,2,0,2,0,7,1,8
COPACABANA,estado nutricional,l talla baja,2012-05-01,5,2,5,1,10,5,20,8,28
CORIPATA,estado nutricional,l talla baja,2012-05-01,2,2,8,6,7,9,17,17,34
CORO CORO,estado nutricional,l talla baja,2012-05-01,9,3,16,6,12,8,37,17,54
COROICO,estado nutricional,l talla baja,2012-05-01,2,2,15,7,14,17,31,26,57
CORQUE,estado nutricional,l talla baja,2012-05-01,8,5,20,12,21,9,49,26,75
COTAGAITA,estado nutricional,l talla baja,2012-05-01,31,10,56,31,108,91,195,132,327
COTOCA,estado nutricional,l talla baja,2012-05-01,3,6,9,11,8,5,20,22,42
CUATRO CAÑADAS,estado nutricional,l talla baja,2012-05-01,4,6,5,1,6,5,15,12,27
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla baja,2012-05-01,2,0,4,2,0,3,6,5,11
CUEVO,estado nutricional,l talla baja,2012-05-01,4,2,6,8,11,8,21,18,39
CULPINA,estado nutricional,l talla baja,2012-05-01,26,19,51,42,54,66,131,127,258
CURAHUARA DE CARANGAS,estado nutricional,l talla baja,2012-05-01,8,5,9,14,20,11,37,30,67
CURVA,estado nutricional,l talla baja,2012-05-01,6,1,10,6,17,7,33,14,47
DESAGUADERO,estado nutricional,l talla baja,2012-05-01,10,5,7,1,5,5,22,11,33
EL ALTO,estado nutricional,l talla baja,2012-05-01,425,266,633,359,288,294,1346,919,2265
EL CHORO,estado nutricional,l talla baja,2012-05-01,3,3,7,8,16,8,26,19,45
EL PUENTE(STC),estado nutricional,l talla baja,2012-05-01,0,2,5,1,3,2,8,5,13
EL PUENTE(TJA),estado nutricional,l talla baja,2012-05-01,9,3,15,10,16,12,40,25,65
EL TORNO,estado nutricional,l talla baja,2012-05-01,6,3,6,6,7,3,19,12,31
EL VILLAR,estado nutricional,l talla baja,2012-05-01,2,0,3,5,11,9,16,14,30
ENTRE RIOS TRJ,estado nutricional,l talla baja,2012-05-01,5,5,13,5,22,13,40,23,63
ENTRE RIOS CBBA,estado nutricional,l talla baja,2012-05-01,7,3,13,10,22,22,42,35,77
ESCARA,estado nutricional,l talla baja,2012-05-01,0,0,1,0,1,2,2,2,4
ESCOMA,estado nutricional,l talla baja,2012-05-01,1,1,2,1,2,4,5,6,11
ESMERALDA,estado nutricional,l talla baja,2012-05-01,0,0,0,0,2,1,2,1,3
EUCALIPTUS,estado nutricional,l talla baja,2012-05-01,3,4,7,13,5,15,15,32,47
EUREKA (SANTOS MERCADO),estado nutricional,l talla baja,2012-05-01,0,0,2,1,0,7,2,8,10
EXALTACION,estado nutricional,l talla baja,2012-05-01,2,1,8,3,6,4,16,8,24
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-05-01,5,1,6,5,5,1,16,7,23
FILADELFIA,estado nutricional,l talla baja,2012-05-01,0,0,3,2,3,3,6,5,11
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-05-01,3,0,2,2,6,0,11,2,13
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-05-01,8,3,22,15,24,29,54,47,101
GUANAY,estado nutricional,l talla baja,2012-05-01,2,0,9,7,13,20,24,27,51
GUAQUI,estado nutricional,l talla baja,2012-05-01,3,2,2,2,7,1,12,5,17
GUAYARAMERIN,estado nutricional,l talla baja,2012-05-01,18,14,25,17,18,15,61,46,107
GUTIERREZ,estado nutricional,l talla baja,2012-05-01,9,6,22,24,46,41,77,71,148
HUACARETA,estado nutricional,l talla baja,2012-05-01,2,4,10,1,10,7,22,12,34
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-05-01,1,1,5,2,11,13,17,16,33
HUACHACALLA,estado nutricional,l talla baja,2012-05-01,1,0,4,4,6,1,11,5,16
HUANUNI,estado nutricional,l talla baja,2012-05-01,33,18,54,23,32,27,119,68,187
HUARACAJE,estado nutricional,l talla baja,2012-05-01,0,0,4,2,0,1,4,3,7
HUARINA,estado nutricional,l talla baja,2012-05-01,2,1,6,5,5,4,13,10,23
HUAYLLAMARCA,estado nutricional,l talla baja,2012-05-01,4,1,6,3,11,10,21,14,35
HUMANATA,estado nutricional,l talla baja,2012-05-01,7,9,12,6,16,12,35,27,62
ICHOCA,estado nutricional,l talla baja,2012-05-01,5,2,10,6,16,13,31,21,52
ICLA,estado nutricional,l talla baja,2012-05-01,8,5,28,23,96,94,132,122,254
INCAHUASI,estado nutricional,l talla baja,2012-05-01,30,17,55,28,47,54,132,99,231
INQUISIVI,estado nutricional,l talla baja,2012-05-01,7,6,8,11,17,18,32,35,67
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-05-01,1,1,4,3,4,0,9,4,13
IXIAMAS,estado nutricional,l talla baja,2012-05-01,2,2,3,1,10,12,15,15,30
JESUS DE MACHACA,estado nutricional,l talla baja,2012-05-01,5,2,8,13,9,7,22,22,44
LA ASUNTA,estado nutricional,l talla baja,2012-05-01,15,13,19,28,27,43,61,84,145
LA GUARDIA,estado nutricional,l talla baja,2012-05-01,9,3,13,12,9,5,31,20,51
LA PAZ,estado nutricional,l talla baja,2012-05-01,355,234,417,300,306,287,1078,821,1899
LAGUNILLAS,estado nutricional,l talla baja,2012-05-01,6,4,6,8,9,9,21,21,42
LAJA,estado nutricional,l talla baja,2012-05-01,15,11,20,9,3,3,38,23,61
LAS CARRERAS,estado nutricional,l talla baja,2012-05-01,1,0,5,1,14,9,20,10,30
LICOMA PAMPA,estado nutricional,l talla baja,2012-05-01,1,1,3,1,3,2,7,4,11
LLALLAGUA,estado nutricional,l talla baja,2012-05-01,29,28,76,60,35,38,140,126,266
LLICA,estado nutricional,l talla baja,2012-05-01,3,0,6,4,2,2,11,6,17
LORETO,estado nutricional,l talla baja,2012-05-01,1,1,2,1,7,5,10,7,17
LURIBAY,estado nutricional,l talla baja,2012-05-01,5,5,10,7,15,17,30,29,59
MACHACAMARCA,estado nutricional,l talla baja,2012-05-01,8,4,9,0,1,1,18,5,23
MACHARETI,estado nutricional,l talla baja,2012-05-01,2,2,4,4,15,11,21,17,38
MAGDALENA,estado nutricional,l talla baja,2012-05-01,3,4,3,3,2,0,8,7,15
MAIRANA,estado nutricional,l talla baja,2012-05-01,1,1,7,3,3,2,11,6,17
MALLA,estado nutricional,l talla baja,2012-05-01,5,8,9,15,14,16,28,39,67
MAPIRI,estado nutricional,l talla baja,2012-05-01,5,9,5,5,19,18,29,32,61
MECAPACA,estado nutricional,l talla baja,2012-05-01,7,5,17,18,20,31,44,54,98
MINEROS,estado nutricional,l talla baja,2012-05-01,7,5,11,6,20,14,38,25,63
MIZQUE,estado nutricional,l talla baja,2012-05-01,16,10,25,28,33,38,74,76,150
MOCOMOCO,estado nutricional,l talla baja,2012-05-01,8,2,11,10,7,10,26,22,48
MOJINETE,estado nutricional,l talla baja,2012-05-01,1,0,1,1,1,4,3,5,8
MOJOCOYA,estado nutricional,l talla baja,2012-05-01,3,3,13,5,30,27,46,35,81
MONTEAGUDO,estado nutricional,l talla baja,2012-05-01,4,7,10,13,10,19,24,39,63
MONTERO,estado nutricional,l talla baja,2012-05-01,20,12,29,20,26,16,75,48,123
MORO MORO,estado nutricional,l talla baja,2012-05-01,0,1,2,0,0,0,2,1,3
MOROCHATA,estado nutricional,l talla baja,2012-05-01,26,10,45,35,53,56,124,101,225
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-05-01,0,0,3,0,0,1,3,1,4
NAZACARA DE PACAJES,estado nutricional,l talla baja,2012-05-01,1,0,1,1,0,4,2,5,7
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-05-01,0,0,3,0,4,8,7,8,15
OCURI,estado nutricional,l talla baja,2012-05-01,37,27,85,56,60,56,182,139,321
OKINAWA,estado nutricional,l talla baja,2012-05-01,0,2,1,0,1,0,2,2,4
OMEREQUE,estado nutricional,l talla baja,2012-05-01,3,0,11,4,14,9,28,13,41
ORURO,estado nutricional,l talla baja,2012-05-01,178,132,314,237,145,150,637,519,1156
PADCAYA,estado nutricional,l talla baja,2012-05-01,3,2,11,8,8,5,22,15,37
PADILLA,estado nutricional,l talla baja,2012-05-01,3,2,27,12,35,27,65,41,106
PAILON,estado nutricional,l talla baja,2012-05-01,1,0,7,1,4,1,12,2,14
PALCA,estado nutricional,l talla baja,2012-05-01,7,8,19,20,14,20,40,48,88
PALOS BLANCOS,estado nutricional,l talla baja,2012-05-01,8,4,20,12,24,23,52,39,91
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-05-01,3,2,5,7,3,6,11,15,26
PAMPA GRANDE,estado nutricional,l talla baja,2012-05-01,6,0,11,4,6,5,23,9,32
PAPEL PAMPA,estado nutricional,l talla baja,2012-05-01,1,1,7,2,5,4,13,7,20
PASORAPA,estado nutricional,l talla baja,2012-05-01,1,3,2,4,2,2,5,9,14
PATACAMAYA,estado nutricional,l talla baja,2012-05-01,10,7,22,13,25,9,57,29,86
PAZÑA,estado nutricional,l talla baja,2012-05-01,8,7,16,9,17,25,41,41,82
PELECHUCO,estado nutricional,l talla baja,2012-05-01,1,1,16,10,6,3,23,14,37
POCOATA,estado nutricional,l talla baja,2012-05-01,24,27,72,51,80,87,176,165,341
POCONA,estado nutricional,l talla baja,2012-05-01,12,3,19,19,19,16,50,38,88
POJO (CBBA),estado nutricional,l talla baja,2012-05-01,6,3,19,6,16,11,41,20,61
POOPO,estado nutricional,l talla baja,2012-05-01,6,4,6,9,8,10,20,23,43
PORCO,estado nutricional,l talla baja,2012-05-01,21,16,44,18,19,20,84,54,138
POROMA,estado nutricional,l talla baja,2012-05-01,15,12,67,43,86,97,168,152,320
PORONGO,estado nutricional,l talla baja,2012-05-01,0,1,0,0,1,1,1,2,3
PORTACHUELO,estado nutricional,l talla baja,2012-05-01,2,9,5,4,3,6,10,19,29
PORVENIR,estado nutricional,l talla baja,2012-05-01,4,2,2,1,1,2,7,5,12
POSTRER VALLE,estado nutricional,l talla baja,2012-05-01,0,0,3,2,0,0,3,2,5
POTOSI,estado nutricional,l talla baja,2012-05-01,148,86,210,133,103,101,461,320,781
PRESTO,estado nutricional,l talla baja,2012-05-01,8,9,38,25,63,50,109,84,193
PUCARA,estado nutricional,l talla baja,2012-05-01,2,0,0,2,2,1,4,3,7
PUCARANI,estado nutricional,l talla baja,2012-05-01,22,6,32,15,17,16,71,37,108
PUERTO ACOSTA,estado nutricional,l talla baja,2012-05-01,6,2,15,7,6,0,27,9,36
PUERTO CARABUCO,estado nutricional,l talla baja,2012-05-01,1,4,13,3,17,16,31,23,54
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-05-01,10,15,19,8,27,26,56,49,105
PUERTO PEREZ,estado nutricional,l talla baja,2012-05-01,6,1,4,2,2,5,12,8,20
PUERTO RICO,estado nutricional,l talla baja,2012-05-01,1,0,6,5,5,9,12,14,26
PUERTO SILES,estado nutricional,l talla baja,2012-05-01,1,0,0,0,0,0,1,0,1
PUERTO SUAREZ,estado nutricional,l talla baja,2012-05-01,3,3,3,0,1,0,7,3,10
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-05-01,15,13,29,17,31,28,75,58,133
PUNA,estado nutricional,l talla baja,2012-05-01,13,12,51,33,40,37,104,82,186
PUNATA,estado nutricional,l talla baja,2012-05-01,6,8,10,12,5,5,21,25,46
QUIABAYA,estado nutricional,l talla baja,2012-05-01,0,1,5,1,9,15,14,17,31
QUILLACOLLO,estado nutricional,l talla baja,2012-05-01,21,11,39,40,19,32,79,83,162
QUIME,estado nutricional,l talla baja,2012-05-01,3,1,20,2,13,7,36,10,46
QUIRUSILLAS,estado nutricional,l talla baja,2012-05-01,0,0,2,0,0,0,2,0,2
RAVELO,estado nutricional,l talla baja,2012-05-01,34,33,67,76,111,106,212,215,427
REYES,estado nutricional,l talla baja,2012-05-01,6,3,8,2,8,6,22,11,33
RIBERALTA,estado nutricional,l talla baja,2012-05-01,35,33,75,60,45,43,155,136,291
ROBORE,estado nutricional,l talla baja,2012-05-01,0,0,1,1,0,2,1,3,4
RURRENABAQUE,estado nutricional,l talla baja,2012-05-01,4,3,5,9,5,7,14,19,33
SABAYA,estado nutricional,l talla baja,2012-05-01,2,0,2,1,2,8,6,9,15
SACABA,estado nutricional,l talla baja,2012-05-01,43,30,124,73,84,91,251,194,445
SACABAMBA,estado nutricional,l talla baja,2012-05-01,6,3,18,9,11,24,35,36,71
SACACA,estado nutricional,l talla baja,2012-05-01,48,28,92,59,80,83,220,170,390
SAIPINA,estado nutricional,l talla baja,2012-05-01,1,0,0,0,2,5,3,5,8
SALINAS DE GARCI MENDOZA,estado nutricional,l talla baja,2012-05-01,6,7,29,9,25,33,60,49,109
SAMAIPATA,estado nutricional,l talla baja,2012-05-01,5,1,2,0,1,1,8,2,10
SAN AGUSTIN,estado nutricional,l talla baja,2012-05-01,1,1,1,2,0,1,2,4,6
SAN ANDRES,estado nutricional,l talla baja,2012-05-01,3,1,1,1,3,2,7,4,11
SAN ANDRES DE MACHACA,estado nutricional,l talla baja,2012-05-01,2,1,5,3,3,0,10,4,14
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla baja,2012-05-01,1,3,4,8,6,5,11,16,27
SAN ANTONIO DE LOMERIO,estado nutricional,l talla baja,2012-05-01,4,2,5,8,2,13,11,23,34
SAN BENITO,estado nutricional,l talla baja,2012-05-01,8,9,15,2,11,7,34,18,52
SAN BORJA,estado nutricional,l talla baja,2012-05-01,26,16,48,30,53,62,127,108,235
SAN BUENA VENTURA,estado nutricional,l talla baja,2012-05-01,3,3,9,6,9,7,21,16,37
SAN CARLOS,estado nutricional,l talla baja,2012-05-01,5,5,12,6,16,2,33,13,46
SAN IGNACIO,estado nutricional,l talla baja,2012-05-01,14,13,32,17,34,26,80,56,136
SAN IGNACIO DE VELASCO,estado nutricional,l talla baja,2012-05-01,26,22,33,25,30,22,89,69,158
SAN JAVIER(BNI),estado nutricional,l talla baja,2012-05-01,0,0,0,0,1,1,1,1,2
SAN JAVIER(STC),estado nutricional,l talla baja,2012-05-01,4,1,2,6,2,2,8,9,17
SAN JOAQUIN,estado nutricional,l talla baja,2012-05-01,2,2,2,0,1,1,5,3,8
SAN JOSE DE CHIQUITOS,estado nutricional,l talla baja,2012-05-01,9,0,7,1,4,3,20,4,24
SAN JUAN DE YAPACANI,estado nutricional,l talla baja,2012-05-01,1,0,1,1,4,2,6,3,9
SAN JULIAN,estado nutricional,l talla baja,2012-05-01,0,4,5,7,14,12,19,23,42
SAN LORENZO(PND),estado nutricional,l talla baja,2012-05-01,3,0,5,4,10,8,18,12,30
SAN LORENZO(TJA),estado nutricional,l talla baja,2012-05-01,4,7,13,10,14,7,31,24,55
SAN LUCAS,estado nutricional,l talla baja,2012-05-01,26,19,56,65,149,158,231,242,473
SAN MATIAS,estado nutricional,l talla baja,2012-05-01,4,1,2,2,1,6,7,9,16
SAN MIGUEL DE VELASCO,estado nutricional,l talla baja,2012-05-01,12,9,27,13,7,5,46,27,73
SAN PABLO DE LIPEZ,estado nutricional,l talla baja,2012-05-01,2,2,4,1,1,2,7,5,12
SAN PEDRO,estado nutricional,l talla baja,2012-05-01,2,2,4,2,2,1,8,5,13
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla baja,2012-05-01,56,40,111,72,105,98,272,210,482
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-05-01,1,0,2,3,5,5,8,8,16
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-05-01,3,0,0,1,2,1,5,2,7
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-05-01,1,1,0,0,5,3,6,4,10
SAN PEDRO(PND),estado nutricional,l talla baja,2012-05-01,1,0,1,1,0,0,2,1,3
SAN RAFAEL,estado nutricional,l talla baja,2012-05-01,5,3,4,3,4,6,13,12,25
SAN RAMON BENI,estado nutricional,l talla baja,2012-05-01,0,0,2,1,1,1,3,2,5
SAN RAMON SCZ,estado nutricional,l talla baja,2012-05-01,2,1,1,2,2,1,5,4,9
SANTA ANA,estado nutricional,l talla baja,2012-05-01,3,3,5,0,1,3,9,6,15
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla baja,2012-05-01,78,80,79,68,72,59,229,207,436
SANTA ROSA,estado nutricional,l talla baja,2012-05-01,2,0,4,0,0,4,6,4,10
SANTA ROSA DEL SARA,estado nutricional,l talla baja,2012-05-01,1,1,2,0,3,1,6,2,8
SANTIAGO DE CALLAPA,estado nutricional,l talla baja,2012-05-01,0,6,2,6,2,0,4,12,16
SANTIAGO DE HUARI,estado nutricional,l talla baja,2012-05-01,8,10,30,10,27,26,65,46,111
SANTIAGO DE HUATA,estado nutricional,l talla baja,2012-05-01,4,2,6,4,7,1,17,7,24
SANTIAGO DE MACHACA,estado nutricional,l talla baja,2012-05-01,3,3,14,9,4,4,21,16,37
SANTIVAÑES,estado nutricional,l talla baja,2012-05-01,0,0,12,9,18,9,30,18,48
SANTUARIO DE QUILLACAS,estado nutricional,l talla baja,2012-05-01,2,1,21,2,12,14,35,17,52
SAPAHAQUI,estado nutricional,l talla baja,2012-05-01,11,8,11,11,20,14,42,33,75
SENA,estado nutricional,l talla baja,2012-05-01,0,0,2,1,1,1,3,2,5
SHINAOTA,estado nutricional,l talla baja,2012-05-01,4,5,21,19,16,24,41,48,89
SICA SICA (VILLA AROMA),estado nutricional,l talla baja,2012-05-01,22,11,33,27,28,25,83,63,146
SICAYA,estado nutricional,l talla baja,2012-05-01,2,7,27,7,23,24,52,38,90
SIPE SIPE,estado nutricional,l talla baja,2012-05-01,23,23,44,39,45,35,112,97,209
SOPACHUY,estado nutricional,l talla baja,2012-05-01,6,5,25,10,47,52,78,67,145
SORACACHI,estado nutricional,l talla baja,2012-05-01,16,7,25,23,22,29,63,59,122
SORATA,estado nutricional,l talla baja,2012-05-01,10,3,13,9,29,17,52,29,81
SUCRE,estado nutricional,l talla baja,2012-05-01,101,52,209,143,157,158,467,353,820
TACACHI,estado nutricional,l talla baja,2012-05-01,0,1,0,0,1,1,1,2,3
TACACOMA,estado nutricional,l talla baja,2012-05-01,4,3,7,6,14,12,25,21,46
TACOBAMBA,estado nutricional,l talla baja,2012-05-01,13,4,26,10,19,17,58,31,89
TACOPAYA,estado nutricional,l talla baja,2012-05-01,15,14,40,22,70,63,125,99,224
TAHUA,estado nutricional,l talla baja,2012-05-01,0,0,0,2,0,0,0,2,2
TAPACARI,estado nutricional,l talla baja,2012-05-01,34,21,47,33,85,72,166,126,292
TARABUCO,estado nutricional,l talla baja,2012-05-01,51,18,72,42,166,158,289,218,507
TARACO,estado nutricional,l talla baja,2012-05-01,1,2,4,1,3,1,8,4,12
TARATA,estado nutricional,l talla baja,2012-05-01,2,4,9,7,16,14,27,25,52
TARIJA,estado nutricional,l talla baja,2012-05-01,34,19,50,43,52,78,136,140,276
TARVITA,estado nutricional,l talla baja,2012-05-01,15,9,57,41,123,135,195,185,380
TEOPONTE,estado nutricional,l talla baja,2012-05-01,1,1,9,1,4,4,14,6,20
TIAWANACU,estado nutricional,l talla baja,2012-05-01,10,6,14,6,6,9,30,21,51
TINGUIPAYA,estado nutricional,l talla baja,2012-05-01,47,30,70,55,40,45,157,130,287
TIPUANI,estado nutricional,l talla baja,2012-05-01,3,4,9,3,6,6,18,13,31
TIQUIPAYA,estado nutricional,l talla baja,2012-05-01,13,16,30,51,65,56,108,123,231
TIRAQUE (CBBA),estado nutricional,l talla baja,2012-05-01,17,23,34,44,20,17,71,84,155
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla baja,2012-05-01,0,0,2,2,3,1,5,3,8
TOCO,estado nutricional,l talla baja,2012-05-01,3,0,3,7,10,6,16,13,29
TOLATA,estado nutricional,l talla baja,2012-05-01,2,1,1,3,5,3,8,7,15
TOLEDO,estado nutricional,l talla baja,2012-05-01,3,1,10,2,8,3,21,6,27
TOMAVE,estado nutricional,l talla baja,2012-05-01,16,7,27,18,23,13,66,38,104
TOMINA,estado nutricional,l talla baja,2012-05-01,10,7,18,29,79,61,107,97,204
TORO TORO,estado nutricional,l talla baja,2012-05-01,16,4,34,25,56,51,106,80,186
TOTORA(CBBA),estado nutricional,l talla baja,2012-05-01,6,1,12,8,5,2,23,11,34
TOTORA(ORR),estado nutricional,l talla baja,2012-05-01,6,1,8,1,7,4,21,6,27
TRIGAL,estado nutricional,l talla baja,2012-05-01,0,0,2,0,0,0,2,0,2
TRINIDAD,estado nutricional,l talla baja,2012-05-01,10,9,6,10,7,12,23,31,54
TUPIZA,estado nutricional,l talla baja,2012-05-01,21,13,27,21,31,37,79,71,150
TURCO,estado nutricional,l talla baja,2012-05-01,4,4,6,4,4,8,14,16,30
UMALA,estado nutricional,l talla baja,2012-05-01,1,0,7,8,7,5,15,13,28
UNCIA,estado nutricional,l talla baja,2012-05-01,30,10,64,39,43,30,137,79,216
URIONDO (A. CONCEPCION),estado nutricional,l talla baja,2012-05-01,4,3,2,4,4,5,10,12,22
URUBICHA,estado nutricional,l talla baja,2012-05-01,3,3,4,2,0,0,7,5,12
UYUNI,estado nutricional,l talla baja,2012-05-01,10,32,24,16,16,9,50,57,107
VACAS,estado nutricional,l talla baja,2012-05-01,11,9,27,22,28,29,66,60,126
VALLEGRANDE,estado nutricional,l talla baja,2012-05-01,3,1,2,4,2,2,7,7,14
VIACHA,estado nutricional,l talla baja,2012-05-01,20,17,42,26,21,11,83,54,137
VILA VILA,estado nutricional,l talla baja,2012-05-01,4,6,12,11,15,46,31,63,94
VILLA CHARCAS,estado nutricional,l talla baja,2012-05-01,25,18,40,57,109,84,174,159,333
VILLA MONTES,estado nutricional,l talla baja,2012-05-01,13,6,7,8,4,15,24,29,53
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla baja,2012-05-01,1,1,4,1,1,9,6,11,17
VILLA RIVERO,estado nutricional,l talla baja,2012-05-01,6,2,14,15,14,8,34,25,59
VILLA SERRANO,estado nutricional,l talla baja,2012-05-01,9,4,23,12,48,40,80,56,136
VILLA TUNARI,estado nutricional,l talla baja,2012-05-01,17,20,64,59,68,96,149,175,324
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla baja,2012-05-01,3,2,6,5,9,10,18,17,35
VILLAZON,estado nutricional,l talla baja,2012-05-01,31,19,77,36,46,27,154,82,236
VINTO,estado nutricional,l talla baja,2012-05-01,5,5,23,11,7,9,35,25,60
VITICHI,estado nutricional,l talla baja,2012-05-01,9,8,20,14,24,19,53,41,94
WALDO BALLIVIAN,estado nutricional,l talla baja,2012-05-01,2,1,6,1,1,2,9,4,13
WARNES,estado nutricional,l talla baja,2012-05-01,14,8,11,9,13,11,38,28,66
YACO,estado nutricional,l talla baja,2012-05-01,12,6,11,15,10,18,33,39,72
YACUIBA,estado nutricional,l talla baja,2012-05-01,10,5,13,8,6,11,29,24,53
YAMPARAEZ,estado nutricional,l talla baja,2012-05-01,5,2,23,15,65,76,93,93,186
YANACACHI,estado nutricional,l talla baja,2012-05-01,1,0,1,3,2,2,4,5,9
YAPACANI,estado nutricional,l talla baja,2012-05-01,0,1,4,0,6,3,10,4,14
YOCALLA,estado nutricional,l talla baja,2012-05-01,8,5,22,5,18,10,48,20,68
YOTALA,estado nutricional,l talla baja,2012-05-01,1,1,8,10,33,12,42,23,65
YUNCHARA,estado nutricional,l talla baja,2012-05-01,6,4,9,7,37,30,52,41,93
ZUDAÑEZ,estado nutricional,l talla baja,2012-05-01,6,6,12,9,65,47,83,62,145
ACACIO,estado nutricional,l talla baja,2012-06-01,8,16,22,27,31,35,61,78,139
ACHACACHI,estado nutricional,l talla baja,2012-06-01,8,11,43,15,19,9,70,35,105
ACHOCALLA,estado nutricional,l talla baja,2012-06-01,28,6,10,9,3,13,41,28,69
AIQUILE,estado nutricional,l talla baja,2012-06-01,19,12,34,31,26,36,79,79,158
ALALAY,estado nutricional,l talla baja,2012-06-01,3,3,11,17,14,11,28,31,59
ALCALA,estado nutricional,l talla baja,2012-06-01,1,0,9,3,17,9,27,12,39
ALTO BENI,estado nutricional,l talla baja,2012-06-01,3,0,0,3,5,3,8,6,14
ANCORAIMES,estado nutricional,l talla baja,2012-06-01,9,5,20,13,9,6,38,24,62
ANDAMARCA,estado nutricional,l talla baja,2012-06-01,1,1,10,2,20,22,31,25,56
ANTEQUERA,estado nutricional,l talla baja,2012-06-01,5,0,5,6,6,3,16,9,25
ANZALDO,estado nutricional,l talla baja,2012-06-01,9,2,13,18,15,15,37,35,72
APOLO,estado nutricional,l talla baja,2012-06-01,14,12,21,16,38,51,73,79,152
ARAMPAMPA,estado nutricional,l talla baja,2012-06-01,4,5,15,11,15,19,34,35,69
ARANI,estado nutricional,l talla baja,2012-06-01,4,6,21,21,15,15,40,42,82
ARBIETO,estado nutricional,l talla baja,2012-06-01,1,1,7,11,9,13,17,25,42
ARQUE,estado nutricional,l talla baja,2012-06-01,21,18,84,61,75,83,180,162,342
ASCENCION DE GUARAYOS,estado nutricional,l talla baja,2012-06-01,15,16,26,34,37,47,78,97,175
ATOCHA,estado nutricional,l talla baja,2012-06-01,6,8,18,7,14,25,38,40,78
AUCAPATA,estado nutricional,l talla baja,2012-06-01,2,2,15,6,10,15,27,23,50
AYATA,estado nutricional,l talla baja,2012-06-01,23,3,17,20,35,23,75,46,121
AYO AYO,estado nutricional,l talla baja,2012-06-01,10,8,27,11,5,5,42,24,66
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla baja,2012-06-01,37,17,67,50,66,59,170,126,296
AZURDUY,estado nutricional,l talla baja,2012-06-01,6,9,32,32,72,80,110,121,231
BATALLAS,estado nutricional,l talla baja,2012-06-01,10,4,14,4,9,7,33,15,48
BAURES,estado nutricional,l talla baja,2012-06-01,1,0,4,3,2,3,7,6,13
BELEN DE ANDAMARCA,estado nutricional,l talla baja,2012-06-01,0,0,6,3,0,5,6,8,14
BELEN DE URMIRI,estado nutricional,l talla baja,2012-06-01,8,1,5,8,7,6,20,15,35
BELLA FLOR,estado nutricional,l talla baja,2012-06-01,0,0,0,2,0,1,0,3,3
BERMEJO,estado nutricional,l talla baja,2012-06-01,4,1,8,8,4,11,16,20,36
BETANZOS,estado nutricional,l talla baja,2012-06-01,39,29,86,74,116,91,241,194,435
