,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
ANZALDO,estado nutricional,l 9.1 talla normal,2011-05-01,71,66,56,52,80,75,207,193,400
APOLO,estado nutricional,l 9.1 talla normal,2011-05-01,181,142,130,107,142,149,453,398,851
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-05-01,24,26,18,16,30,26,72,68,140
ARANI,estado nutricional,l 9.1 talla normal,2011-05-01,113,85,58,76,54,45,225,206,431
ARBIETO,estado nutricional,l 9.1 talla normal,2011-05-01,111,128,102,82,112,111,325,321,646
ARQUE,estado nutricional,l 9.1 talla normal,2011-05-01,174,164,98,96,130,142,402,402,804
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-05-01,76,70,20,23,18,16,114,109,223
ATOCHA,estado nutricional,l 9.1 talla normal,2011-05-01,108,102,66,68,101,98,275,268,543
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-05-01,33,39,39,26,20,28,92,93,185
AYATA,estado nutricional,l 9.1 talla normal,2011-05-01,96,77,75,93,76,69,247,239,486
AYO AYO,estado nutricional,l 9.1 talla normal,2011-05-01,54,57,46,37,35,29,135,123,258
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-05-01,258,227,227,181,218,191,703,599,1302
AZURDUY,estado nutricional,l 9.1 talla normal,2011-05-01,107,77,51,75,130,118,288,270,558
BATALLAS,estado nutricional,l 9.1 talla normal,2011-05-01,140,127,75,120,75,75,290,322,612
BAURES,estado nutricional,l 9.1 talla normal,2011-05-01,38,32,28,20,53,41,119,93,212
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-05-01,14,14,10,23,13,9,37,46,83
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-05-01,12,23,7,9,10,10,29,42,71
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-05-01,19,29,8,21,30,30,57,80,137
BERMEJO,estado nutricional,l 9.1 talla normal,2011-05-01,228,205,193,168,110,135,531,508,1039
BETANZOS,estado nutricional,l 9.1 talla normal,2011-05-01,234,263,213,215,270,217,717,695,1412
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-05-01,75,78,40,50,46,55,161,183,344
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-05-01,8,16,9,11,15,13,32,40,72
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-05-01,28,14,22,12,31,31,81,57,138
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-05-01,111,91,61,66,66,81,238,238,476
CABEZAS,estado nutricional,l 9.1 talla normal,2011-05-01,124,142,92,79,88,85,304,306,610
CAIROMA,estado nutricional,l 9.1 talla normal,2011-05-01,78,78,49,59,86,66,213,203,416
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-05-01,95,99,70,64,62,66,227,229,456
CAJUATA,estado nutricional,l 9.1 talla normal,2011-05-01,89,77,50,42,68,53,207,172,379
CALACOTO,estado nutricional,l 9.1 talla normal,2011-05-01,42,40,37,33,31,32,110,105,215
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-05-01,86,83,57,65,48,58,191,206,397
CAMARGO,estado nutricional,l 9.1 talla normal,2011-05-01,99,98,88,81,113,110,300,289,589
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.1 talla normal,2011-05-01,35,31,41,20,49,40,125,91,216
CAMIRI,estado nutricional,l 9.1 talla normal,2011-05-01,248,252,152,159,196,226,596,637,1233
CAPINOTA,estado nutricional,l 9.1 talla normal,2011-05-01,138,133,88,81,66,56,292,270,562
CAQUIAVIRI,estado nutricional,l 9.1 talla normal,2011-05-01,48,76,55,40,44,39,147,155,302
CARACOLLO,estado nutricional,l 9.1 talla normal,2011-05-01,203,163,111,138,125,133,439,434,873
CARANAVI,estado nutricional,l 9.1 talla normal,2011-05-01,461,462,353,319,258,279,1072,1060,2132
CARANGAS,estado nutricional,l 9.1 talla normal,2011-05-01,0,1,0,1,2,0,2,2,4
CARAPARI,estado nutricional,l 9.1 talla normal,2011-05-01,136,121,105,120,96,110,337,351,688
CARIPUYO,estado nutricional,l 9.1 talla normal,2011-05-01,79,77,52,40,57,65,188,182,370
CARMEN RIVERO TORREZ,estado nutricional,l 9.1 talla normal,2011-05-01,28,28,34,28,39,41,101,97,198
CATACORA,estado nutricional,l 9.1 talla normal,2011-05-01,6,3,3,0,5,8,14,11,25
CHACARILLA,estado nutricional,l 9.1 talla normal,2011-05-01,8,5,4,8,9,5,21,18,39
CHALLAPATA,estado nutricional,l 9.1 talla normal,2011-05-01,338,330,206,205,170,167,714,702,1416
CHAQUI,estado nutricional,l 9.1 talla normal,2011-05-01,63,46,33,47,45,46,141,139,280
CHARAGUA,estado nutricional,l 9.1 talla normal,2011-05-01,241,209,156,147,261,296,658,652,1310
CHARAÑA,estado nutricional,l 9.1 talla normal,2011-05-01,17,10,14,16,24,21,55,47,102
CHAYANTA,estado nutricional,l 9.1 talla normal,2011-05-01,96,89,31,55,39,38,166,182,348
CHIMORE,estado nutricional,l 9.1 talla normal,2011-05-01,193,163,125,130,140,173,458,466,924
CHIPAYA,estado nutricional,l 9.1 talla normal,2011-05-01,20,13,11,8,16,11,47,32,79
CHOQUE COTA,estado nutricional,l 9.1 talla normal,2011-05-01,16,7,9,7,11,9,36,23,59
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.1 talla normal,2011-05-01,113,132,98,77,76,80,287,289,576
CHUMA,estado nutricional,l 9.1 talla normal,2011-05-01,65,95,44,41,46,34,155,170,325
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.1 talla normal,2011-05-01,44,47,35,27,26,26,105,100,205
CKOCHAS,estado nutricional,l 9.1 talla normal,2011-05-01,94,84,60,74,68,70,222,228,450
CLIZA,estado nutricional,l 9.1 talla normal,2011-05-01,183,168,109,117,117,87,409,372,781
COBIJA,estado nutricional,l 9.1 talla normal,2011-05-01,538,513,289,293,233,213,1060,1019,2079
COCAPATA,estado nutricional,l 9.1 talla normal,2011-05-01,138,127,103,96,127,143,368,366,734
COCHABAMBA,estado nutricional,l 9.1 talla normal,2011-05-01,3257,2861,2281,2058,1754,2272,7292,7191,14483
COIPASA,estado nutricional,l 9.1 talla normal,2011-05-01,0,0,0,0,0,3,0,3,3
COLCAPIRHUA,estado nutricional,l 9.1 talla normal,2011-05-01,358,285,202,188,164,163,724,636,1360
"COLCHA ""K""",estado nutricional,l 9.1 talla normal,2011-05-01,78,96,45,60,66,62,189,218,407
COLLANA,estado nutricional,l 9.1 talla normal,2011-05-01,24,17,18,14,15,13,57,44,101
COLOMI,estado nutricional,l 9.1 talla normal,2011-05-01,203,162,119,103,97,70,419,335,754
COLPA BELGICA,estado nutricional,l 9.1 talla normal,2011-05-01,18,13,4,4,1,2,23,19,42
COLQUECHACA,estado nutricional,l 9.1 talla normal,2011-05-01,264,280,185,215,80,99,529,594,1123
COLQUENCHA,estado nutricional,l 9.1 talla normal,2011-05-01,61,76,34,53,29,20,124,149,273
COLQUIRI,estado nutricional,l 9.1 talla normal,2011-05-01,133,132,57,65,90,100,280,297,577
COMANCHE,estado nutricional,l 9.1 talla normal,2011-05-01,20,30,10,17,18,13,48,60,108
COMARAPA,estado nutricional,l 9.1 talla normal,2011-05-01,257,231,97,83,82,88,436,402,838
COMBAYA,estado nutricional,l 9.1 talla normal,2011-05-01,21,16,12,14,34,24,67,54,121
CONCEPCION,estado nutricional,l 9.1 talla normal,2011-05-01,123,119,49,61,60,75,232,255,487
COPACABANA,estado nutricional,l 9.1 talla normal,2011-05-01,57,78,61,60,61,67,179,205,384
CORIPATA,estado nutricional,l 9.1 talla normal,2011-05-01,158,168,116,134,129,149,403,451,854
CORO CORO,estado nutricional,l 9.1 talla normal,2011-05-01,74,75,44,57,44,46,162,178,340
COROICO,estado nutricional,l 9.1 talla normal,2011-05-01,125,104,107,75,106,113,338,292,630
CORQUE,estado nutricional,l 9.1 talla normal,2011-05-01,86,44,49,47,63,64,198,155,353
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-05-01,131,158,122,133,168,166,421,457,878
COTOCA,estado nutricional,l 9.1 talla normal,2011-05-01,426,343,208,176,207,213,841,732,1573
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-05-01,129,117,86,48,83,104,298,269,567
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-05-01,23,15,11,6,14,8,48,29,77
CUEVO,estado nutricional,l 9.1 talla normal,2011-05-01,36,28,33,35,63,51,132,114,246
CULPINA,estado nutricional,l 9.1 talla normal,2011-05-01,206,197,116,110,181,186,503,493,996
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-05-01,41,57,39,27,38,27,118,111,229
CURVA,estado nutricional,l 9.1 talla normal,2011-05-01,15,17,13,10,3,8,31,35,66
DESAGUADERO,estado nutricional,l 9.1 talla normal,2011-05-01,49,29,21,25,36,33,106,87,193
EL ALTO,estado nutricional,l 9.1 talla normal,2011-05-01,5631,5414,3649,3643,3039,2915,12319,11972,24291
EL CHORO,estado nutricional,l 9.1 talla normal,2011-05-01,48,76,39,57,53,55,140,188,328
EL PUENTE(STC),estado nutricional,l 9.1 talla normal,2011-05-01,97,103,67,45,55,48,219,196,415
EL PUENTE(TJA),estado nutricional,l 9.1 talla normal,2011-05-01,86,77,87,66,84,78,257,221,478
EL TORNO,estado nutricional,l 9.1 talla normal,2011-05-01,386,355,172,165,183,161,741,681,1422
EL VILLAR,estado nutricional,l 9.1 talla normal,2011-05-01,33,30,31,28,67,76,131,134,265
ENTRE RIOS TRJ,estado nutricional,l 9.1 talla normal,2011-05-01,194,201,198,159,220,207,612,567,1179
ENTRE RIOS CBBA,estado nutricional,l 9.1 talla normal,2011-05-01,244,142,153,146,149,158,546,446,992
ESCARA,estado nutricional,l 9.1 talla normal,2011-05-01,1,2,2,1,4,3,7,6,13
ESCOMA,estado nutricional,l 9.1 talla normal,2011-05-01,32,30,20,23,19,16,71,69,140
EUCALIPTUS,estado nutricional,l 9.1 talla normal,2011-05-01,57,52,41,39,39,31,137,122,259
EUREKA (SANTOS MERCADO),estado nutricional,l 9.1 talla normal,2011-05-01,17,10,23,20,20,22,60,52,112
EXALTACION,estado nutricional,l 9.1 talla normal,2011-05-01,7,11,8,15,7,1,22,27,49
FERNANDEZ ALONSO,estado nutricional,l 9.1 talla normal,2011-05-01,74,60,57,59,78,62,209,181,390
FILADELFIA,estado nutricional,l 9.1 talla normal,2011-05-01,52,38,33,27,41,28,126,93,219
GENERAL SAAVEDRA,estado nutricional,l 9.1 talla normal,2011-05-01,167,133,111,118,124,128,402,379,781
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.1 talla normal,2011-05-01,72,60,46,68,47,42,165,170,335
GUANAY,estado nutricional,l 9.1 talla normal,2011-05-01,110,131,81,91,103,90,294,312,606
GUAQUI,estado nutricional,l 9.1 talla normal,2011-05-01,42,43,27,37,24,33,93,113,206
GUAYARAMERIN,estado nutricional,l 9.1 talla normal,2011-05-01,450,384,184,220,209,207,843,811,1654
GUTIERREZ,estado nutricional,l 9.1 talla normal,2011-05-01,129,138,87,96,153,137,369,371,740
HUACARETA,estado nutricional,l 9.1 talla normal,2011-05-01,70,89,69,63,100,122,239,274,513
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.1 talla normal,2011-05-01,20,15,10,11,29,39,59,65,124
HUACHACALLA,estado nutricional,l 9.1 talla normal,2011-05-01,5,5,1,1,8,9,14,15,29
HUANUNI,estado nutricional,l 9.1 talla normal,2011-05-01,186,178,98,93,75,80,359,351,710
HUARACAJE,estado nutricional,l 9.1 talla normal,2011-05-01,32,29,12,22,19,27,63,78,141
HUARINA,estado nutricional,l 9.1 talla normal,2011-05-01,33,31,24,21,15,22,72,74,146
HUAYLLAMARCA,estado nutricional,l 9.1 talla normal,2011-05-01,26,39,33,29,42,31,101,99,200
HUMANATA,estado nutricional,l 9.1 talla normal,2011-05-01,24,19,27,15,9,8,60,42,102
ICHOCA,estado nutricional,l 9.1 talla normal,2011-05-01,18,17,14,16,16,17,48,50,98
ICLA,estado nutricional,l 9.1 talla normal,2011-05-01,58,66,53,46,121,148,232,260,492
INCAHUASI,estado nutricional,l 9.1 talla normal,2011-05-01,107,119,69,65,78,100,254,284,538
INGAVI (HUMAITA),estado nutricional,l 9.1 talla normal,2011-05-01,8,13,15,8,11,10,34,31,65
INQUISIVI,estado nutricional,l 9.1 talla normal,2011-05-01,87,88,60,68,104,90,251,246,497
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.1 talla normal,2011-05-01,114,121,84,90,96,140,294,351,645
IXIAMAS,estado nutricional,l 9.1 talla normal,2011-05-01,88,77,45,48,50,44,183,169,352
JESUS DE MACHACA,estado nutricional,l 9.1 talla normal,2011-05-01,115,116,67,69,77,105,259,290,549
LA ASUNTA,estado nutricional,l 9.1 talla normal,2011-05-01,316,326,206,178,244,252,766,756,1522
LA GUARDIA,estado nutricional,l 9.1 talla normal,2011-05-01,578,539,249,236,281,294,1108,1069,2177
LA PAZ,estado nutricional,l 9.1 talla normal,2011-05-01,4300,3984,2782,2655,3017,2921,10099,9560,19659
LA RIVERA,estado nutricional,l 9.1 talla normal,2011-05-01,1,0,2,1,0,0,3,1,4
LAGUNILLAS,estado nutricional,l 9.1 talla normal,2011-05-01,62,52,54,46,120,92,236,190,426
LAJA,estado nutricional,l 9.1 talla normal,2011-05-01,154,124,84,80,46,62,284,266,550
LAS CARRERAS,estado nutricional,l 9.1 talla normal,2011-05-01,29,33,20,21,44,39,93,93,186
LICOMA PAMPA,estado nutricional,l 9.1 talla normal,2011-05-01,36,23,23,14,15,17,74,54,128
LLALLAGUA,estado nutricional,l 9.1 talla normal,2011-05-01,297,309,198,186,121,137,616,632,1248
LLICA,estado nutricional,l 9.1 talla normal,2011-05-01,35,23,20,37,31,19,86,79,165
LORETO,estado nutricional,l 9.1 talla normal,2011-05-01,37,34,30,20,59,42,126,96,222
LURIBAY,estado nutricional,l 9.1 talla normal,2011-05-01,60,53,61,43,53,70,174,166,340
MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-05-01,65,40,27,37,37,28,129,105,234
MACHARETI,estado nutricional,l 9.1 talla normal,2011-05-01,76,54,53,43,126,97,255,194,449
MAGDALENA,estado nutricional,l 9.1 talla normal,2011-05-01,98,95,59,41,74,66,231,202,433
MAIRANA,estado nutricional,l 9.1 talla normal,2011-05-01,110,119,43,54,38,44,191,217,408
MALLA,estado nutricional,l 9.1 talla normal,2011-05-01,17,13,11,9,17,22,45,44,89
MAPIRI,estado nutricional,l 9.1 talla normal,2011-05-01,115,84,67,52,33,23,215,159,374
MECAPACA,estado nutricional,l 9.1 talla normal,2011-05-01,99,99,63,53,55,58,217,210,427
MINEROS,estado nutricional,l 9.1 talla normal,2011-05-01,177,170,128,116,51,149,356,435,791
MIZQUE,estado nutricional,l 9.1 talla normal,2011-05-01,326,420,180,217,169,173,675,810,1485
MOCOMOCO,estado nutricional,l 9.1 talla normal,2011-05-01,73,98,61,68,48,58,182,224,406
MOJINETE,estado nutricional,l 9.1 talla normal,2011-05-01,3,4,4,3,6,1,13,8,21
MOJOCOYA,estado nutricional,l 9.1 talla normal,2011-05-01,56,62,54,51,85,84,195,197,392
MONTEAGUDO,estado nutricional,l 9.1 talla normal,2011-05-01,248,220,200,203,282,301,730,724,1454
MONTERO,estado nutricional,l 9.1 talla normal,2011-05-01,1107,1089,602,657,630,684,2339,2430,4769
MORO MORO,estado nutricional,l 9.1 talla normal,2011-05-01,21,18,10,23,13,12,44,53,97
MOROCHATA,estado nutricional,l 9.1 talla normal,2011-05-01,136,129,91,86,82,92,309,307,616
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.1 talla normal,2011-05-01,30,12,17,12,15,6,62,30,92
NAZACARA DE PACAJES,estado nutricional,l 9.1 talla normal,2011-05-01,6,5,8,1,0,4,14,10,24
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.1 talla normal,2011-05-01,36,15,26,13,50,49,112,77,189
OCURI,estado nutricional,l 9.1 talla normal,2011-05-01,151,127,122,106,74,69,347,302,649
OKINAWA,estado nutricional,l 9.1 talla normal,2011-05-01,121,111,57,84,98,68,276,263,539
OMEREQUE,estado nutricional,l 9.1 talla normal,2011-05-01,62,39,32,35,49,48,143,122,265
ORURO,estado nutricional,l 9.1 talla normal,2011-05-01,1952,1932,1221,1402,944,991,4117,4325,8442
PADCAYA,estado nutricional,l 9.1 talla normal,2011-05-01,156,140,153,134,172,183,481,457,938
PADILLA,estado nutricional,l 9.1 talla normal,2011-05-01,98,93,61,69,152,168,311,330,641
PAILON,estado nutricional,l 9.1 talla normal,2011-05-01,234,214,137,110,168,128,539,452,991
PALCA,estado nutricional,l 9.1 talla normal,2011-05-01,131,117,73,83,82,82,286,282,568
PALOS BLANCOS,estado nutricional,l 9.1 talla normal,2011-05-01,318,262,198,188,229,198,745,648,1393
PAMPA AULLAGAS,estado nutricional,l 9.1 talla normal,2011-05-01,17,16,9,12,9,15,35,43,78
PAMPA GRANDE,estado nutricional,l 9.1 talla normal,2011-05-01,61,61,41,31,22,26,124,118,242
PAPEL PAMPA,estado nutricional,l 9.1 talla normal,2011-05-01,34,21,33,23,32,54,99,98,197
PASORAPA,estado nutricional,l 9.1 talla normal,2011-05-01,32,29,23,19,51,15,106,63,169
PATACAMAYA,estado nutricional,l 9.1 talla normal,2011-05-01,207,128,109,98,60,41,376,267,643
PAZÑA,estado nutricional,l 9.1 talla normal,2011-05-01,68,68,50,53,92,76,210,197,407
PELECHUCO,estado nutricional,l 9.1 talla normal,2011-05-01,34,55,26,20,37,36,97,111,208
POCOATA,estado nutricional,l 9.1 talla normal,2011-05-01,180,166,125,149,109,148,414,463,877
POCONA,estado nutricional,l 9.1 talla normal,2011-05-01,109,87,107,89,61,68,277,244,521
POJO (CBBA),estado nutricional,l 9.1 talla normal,2011-05-01,122,124,99,84,97,110,318,318,636
POOPO,estado nutricional,l 9.1 talla normal,2011-05-01,48,62,33,49,39,47,120,158,278
PORCO,estado nutricional,l 9.1 talla normal,2011-05-01,112,97,39,46,39,35,190,178,368
POROMA,estado nutricional,l 9.1 talla normal,2011-05-01,147,140,122,103,160,167,429,410,839
PORONGO,estado nutricional,l 9.1 talla normal,2011-05-01,58,47,49,39,63,57,170,143,313
PORTACHUELO,estado nutricional,l 9.1 talla normal,2011-05-01,147,154,86,111,100,99,333,364,697
PORVENIR,estado nutricional,l 9.1 talla normal,2011-05-01,57,65,46,52,49,55,152,172,324
POSTRER VALLE,estado nutricional,l 9.1 talla normal,2011-05-01,17,20,5,15,11,17,33,52,85
POTOSI,estado nutricional,l 9.1 talla normal,2011-05-01,977,1005,495,581,444,420,1916,2006,3922
PRESTO,estado nutricional,l 9.1 talla normal,2011-05-01,68,73,48,54,91,76,207,203,410
PUCARA,estado nutricional,l 9.1 talla normal,2011-05-01,13,26,13,15,14,22,40,63,103
PUCARANI,estado nutricional,l 9.1 talla normal,2011-05-01,270,251,199,182,121,134,590,567,1157
PUERTO ACOSTA,estado nutricional,l 9.1 talla normal,2011-05-01,60,59,53,50,22,17,135,126,261
PUERTO CARABUCO,estado nutricional,l 9.1 talla normal,2011-05-01,92,71,71,59,63,68,226,198,424
PUERTO GONZALO MORENO,estado nutricional,l 9.1 talla normal,2011-05-01,65,85,70,66,80,103,215,254,469
PUERTO PEREZ,estado nutricional,l 9.1 talla normal,2011-05-01,28,40,37,33,22,33,87,106,193
PUERTO QUIJARRO,estado nutricional,l 9.1 talla normal,2011-05-01,134,124,44,66,41,35,219,225,444
PUERTO RICO,estado nutricional,l 9.1 talla normal,2011-05-01,84,73,62,59,43,31,189,163,352
PUERTO SILES,estado nutricional,l 9.1 talla normal,2011-05-01,9,8,5,14,13,14,27,36,63
PUERTO SUAREZ,estado nutricional,l 9.1 talla normal,2011-05-01,129,123,59,61,55,37,243,221,464
PUERTO VILLARROEL,estado nutricional,l 9.1 talla normal,2011-05-01,630,572,446,395,358,336,1434,1303,2737
PUNA,estado nutricional,l 9.1 talla normal,2011-05-01,223,172,126,147,155,165,504,484,988
PUNATA,estado nutricional,l 9.1 talla normal,2011-05-01,299,285,150,190,117,111,566,586,1152
QUIABAYA,estado nutricional,l 9.1 talla normal,2011-05-01,19,8,20,17,12,3,51,28,79
QUILLACOLLO,estado nutricional,l 9.1 talla normal,2011-05-01,753,695,575,470,429,377,1757,1542,3299
QUIME,estado nutricional,l 9.1 talla normal,2011-05-01,92,101,59,56,80,82,231,239,470
QUIRUSILLAS,estado nutricional,l 9.1 talla normal,2011-05-01,13,12,15,6,18,21,46,39,85
RAVELO,estado nutricional,l 9.1 talla normal,2011-05-01,128,138,84,89,114,99,326,326,652
REYES,estado nutricional,l 9.1 talla normal,2011-05-01,110,108,53,76,65,74,228,258,486
RIBERALTA,estado nutricional,l 9.1 talla normal,2011-05-01,1026,918,631,566,500,476,2157,1960,4117
ROBORE,estado nutricional,l 9.1 talla normal,2011-05-01,127,126,90,90,107,77,324,293,617
RURRENABAQUE,estado nutricional,l 9.1 talla normal,2011-05-01,146,130,64,82,44,64,254,276,530
SABAYA,estado nutricional,l 9.1 talla normal,2011-05-01,15,19,13,15,14,21,42,55,97
SACABA,estado nutricional,l 9.1 talla normal,2011-05-01,1292,1159,859,785,583,652,2734,2596,5330
SACABAMBA,estado nutricional,l 9.1 talla normal,2011-05-01,34,46,21,27,28,37,83,110,193
SACACA,estado nutricional,l 9.1 talla normal,2011-05-01,147,136,75,98,111,128,333,362,695
SAIPINA,estado nutricional,l 9.1 talla normal,2011-05-01,61,56,64,32,31,49,156,137,293
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.1 talla normal,2011-05-01,103,81,55,75,87,69,245,225,470
SAMAIPATA,estado nutricional,l 9.1 talla normal,2011-05-01,71,56,46,53,64,48,181,157,338
SAN AGUSTIN,estado nutricional,l 9.1 talla normal,2011-05-01,5,13,9,12,13,10,27,35,62
SAN ANDRES,estado nutricional,l 9.1 talla normal,2011-05-01,99,84,86,74,73,82,258,240,498
SAN ANDRES DE MACHACA,estado nutricional,l 9.1 talla normal,2011-05-01,26,25,11,14,14,14,51,53,104
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.1 talla normal,2011-05-01,17,16,8,6,17,11,42,33,75
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.1 talla normal,2011-05-01,40,40,39,44,86,100,165,184,349
SAN BENITO,estado nutricional,l 9.1 talla normal,2011-05-01,147,132,104,96,75,69,326,297,623
SAN BORJA,estado nutricional,l 9.1 talla normal,2011-05-01,455,410,274,275,317,296,1046,981,2027
SAN BUENA VENTURA,estado nutricional,l 9.1 talla normal,2011-05-01,111,89,57,62,79,59,247,210,457
SAN CARLOS,estado nutricional,l 9.1 talla normal,2011-05-01,245,213,122,148,115,117,482,478,960
SAN IGNACIO,estado nutricional,l 9.1 talla normal,2011-05-01,290,261,172,215,242,255,704,731,1435
SAN IGNACIO DE VELASCO,estado nutricional,l 9.1 talla normal,2011-05-01,798,683,410,403,493,547,1701,1633,3334
SAN JAVIER(BNI),estado nutricional,l 9.1 talla normal,2011-05-01,27,20,18,15,31,25,76,60,136
SAN JAVIER(STC),estado nutricional,l 9.1 talla normal,2011-05-01,113,94,57,42,72,60,242,196,438
SAN JOAQUIN,estado nutricional,l 9.1 talla normal,2011-05-01,41,8,22,16,22,20,85,44,129
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.1 talla normal,2011-05-01,112,114,44,68,68,76,224,258,482
SAN JUAN DE YAPACANI,estado nutricional,l 9.1 talla normal,2011-05-01,84,57,56,40,40,44,180,141,321
SAN JULIAN,estado nutricional,l 9.1 talla normal,2011-05-01,106,126,101,79,108,98,315,303,618
SAN LORENZO(PND),estado nutricional,l 9.1 talla normal,2011-05-01,38,39,31,33,27,41,96,113,209
SAN LORENZO(TJA),estado nutricional,l 9.1 talla normal,2011-05-01,201,190,179,156,159,154,539,500,1039
