,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TARATA,estado nutricional,l 9.2 talla baja,2011-04-01,1,2,3,4,2,2,6,8,14
TARIJA,estado nutricional,l 9.2 talla baja,2011-04-01,24,5,39,20,21,42,84,67,151
TARVITA,estado nutricional,l 9.2 talla baja,2011-04-01,28,18,67,29,170,163,265,210,475
TEOPONTE,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,7,4,3,6,10,10,20
TIAWANACU,estado nutricional,l 9.2 talla baja,2011-04-01,15,6,17,11,10,10,42,27,69
TINGUIPAYA,estado nutricional,l 9.2 talla baja,2011-04-01,45,37,46,39,32,16,123,92,215
TIPUANI,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,4,6,6,4,14,11,25
TIQUIPAYA,estado nutricional,l 9.2 talla baja,2011-04-01,13,14,39,46,58,52,110,112,222
TIRAQUE (CBBA),estado nutricional,l 9.2 talla baja,2011-04-01,7,16,41,38,22,23,70,77,147
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.2 talla baja,2011-04-01,0,0,3,1,2,2,5,3,8
TOCO,estado nutricional,l 9.2 talla baja,2011-04-01,3,3,9,3,6,4,18,10,28
TODOS SANTOS,estado nutricional,l 9.2 talla baja,2011-04-01,0,0,1,0,0,2,1,2,3
TOLATA,estado nutricional,l 9.2 talla baja,2011-04-01,2,1,3,1,4,2,9,4,13
TOLEDO,estado nutricional,l 9.2 talla baja,2011-04-01,4,4,17,7,3,3,24,14,38
TOMAVE,estado nutricional,l 9.2 talla baja,2011-04-01,7,14,30,18,21,26,58,58,116
TOMINA,estado nutricional,l 9.2 talla baja,2011-04-01,11,11,29,17,72,105,112,133,245
TORO TORO,estado nutricional,l 9.2 talla baja,2011-04-01,12,8,27,11,48,57,87,76,163
TOTORA(CBBA),estado nutricional,l 9.2 talla baja,2011-04-01,13,8,25,15,9,12,47,35,82
TOTORA(ORR),estado nutricional,l 9.2 talla baja,2011-04-01,0,3,10,2,7,7,17,12,29
TRINIDAD,estado nutricional,l 9.2 talla baja,2011-04-01,9,8,16,9,15,11,40,28,68
TUPIZA,estado nutricional,l 9.2 talla baja,2011-04-01,26,9,27,35,47,42,100,86,186
TURCO,estado nutricional,l 9.2 talla baja,2011-04-01,4,1,11,6,9,7,24,14,38
UMALA,estado nutricional,l 9.2 talla baja,2011-04-01,5,1,6,12,7,6,18,19,37
UNCIA,estado nutricional,l 9.2 talla baja,2011-04-01,20,11,44,14,19,12,83,37,120
URIONDO (A. CONCEPCION),estado nutricional,l 9.2 talla baja,2011-04-01,1,2,6,3,6,5,13,10,23
URUBICHA,estado nutricional,l 9.2 talla baja,2011-04-01,5,4,11,8,26,19,42,31,73
UYUNI,estado nutricional,l 9.2 talla baja,2011-04-01,19,7,25,18,21,15,65,40,105
VACAS,estado nutricional,l 9.2 talla baja,2011-04-01,18,10,25,15,11,9,54,34,88
VALLEGRANDE,estado nutricional,l 9.2 talla baja,2011-04-01,3,2,1,1,3,3,7,6,13
VIACHA,estado nutricional,l 9.2 talla baja,2011-04-01,23,26,34,17,20,21,77,64,141
VILA VILA,estado nutricional,l 9.2 talla baja,2011-04-01,6,10,17,13,29,35,52,58,110
VILLA CHARCAS,estado nutricional,l 9.2 talla baja,2011-04-01,31,17,75,36,104,90,210,143,353
VILLA MONTES,estado nutricional,l 9.2 talla baja,2011-04-01,4,7,5,8,12,14,21,29,50
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.2 talla baja,2011-04-01,4,2,6,7,5,8,15,17,32
VILLA RIVERO,estado nutricional,l 9.2 talla baja,2011-04-01,2,4,5,9,7,7,14,20,34
VILLA SERRANO,estado nutricional,l 9.2 talla baja,2011-04-01,12,8,25,18,79,47,116,73,189
VILLA TUNARI,estado nutricional,l 9.2 talla baja,2011-04-01,52,17,52,59,93,90,197,166,363
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.2 talla baja,2011-04-01,7,6,15,7,17,21,39,34,73
VILLAZON,estado nutricional,l 9.2 talla baja,2011-04-01,25,20,46,33,25,50,96,103,199
VINTO,estado nutricional,l 9.2 talla baja,2011-04-01,9,11,20,34,15,20,44,65,109
VITICHI,estado nutricional,l 9.2 talla baja,2011-04-01,10,6,23,11,29,37,62,54,116
WALDO BALLIVIAN,estado nutricional,l 9.2 talla baja,2011-04-01,3,1,0,2,2,4,5,7,12
WARNES,estado nutricional,l 9.2 talla baja,2011-04-01,7,1,9,6,7,4,23,11,34
YACO,estado nutricional,l 9.2 talla baja,2011-04-01,6,10,25,16,32,35,63,61,124
YACUIBA,estado nutricional,l 9.2 talla baja,2011-04-01,3,6,7,13,5,13,15,32,47
YAMPARAEZ,estado nutricional,l 9.2 talla baja,2011-04-01,6,2,21,22,70,71,97,95,192
YANACACHI,estado nutricional,l 9.2 talla baja,2011-04-01,2,2,4,2,7,3,13,7,20
YAPACANI,estado nutricional,l 9.2 talla baja,2011-04-01,8,1,12,10,6,11,26,22,48
YOCALLA,estado nutricional,l 9.2 talla baja,2011-04-01,6,4,10,5,12,10,28,19,47
YOTALA,estado nutricional,l 9.2 talla baja,2011-04-01,6,2,8,8,30,22,44,32,76
YUNCHARA,estado nutricional,l 9.2 talla baja,2011-04-01,6,3,7,5,21,13,34,21,55
ZUDAÑEZ,estado nutricional,l 9.2 talla baja,2011-04-01,9,2,18,13,82,80,109,95,204
ACACIO,estado nutricional,l 9.2 talla baja,2011-05-01,8,3,32,21,36,43,76,67,143
ACHACACHI,estado nutricional,l 9.2 talla baja,2011-05-01,21,24,39,23,12,21,72,68,140
ACHOCALLA,estado nutricional,l 9.2 talla baja,2011-05-01,4,5,11,12,11,8,26,25,51
AIQUILE,estado nutricional,l 9.2 talla baja,2011-05-01,24,21,60,42,71,68,155,131,286
ALALAY,estado nutricional,l 9.2 talla baja,2011-05-01,9,8,9,13,22,15,40,36,76
ALCALA,estado nutricional,l 9.2 talla baja,2011-05-01,3,0,6,5,24,20,33,25,58
ALTO BENI,estado nutricional,l 9.2 talla baja,2011-05-01,1,2,2,2,6,2,9,6,15
ANCORAIMES,estado nutricional,l 9.2 talla baja,2011-05-01,10,8,19,7,11,9,40,24,64
ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-05-01,6,0,8,5,28,24,42,29,71
ANTEQUERA,estado nutricional,l 9.2 talla baja,2011-05-01,4,2,5,4,6,11,15,17,32
ANZALDO,estado nutricional,l 9.2 talla baja,2011-05-01,12,8,10,19,17,21,39,48,87
APOLO,estado nutricional,l 9.2 talla baja,2011-05-01,9,9,26,10,19,21,54,40,94
ARAMPAMPA,estado nutricional,l 9.2 talla baja,2011-05-01,5,1,16,6,15,20,36,27,63
ARANI,estado nutricional,l 9.2 talla baja,2011-05-01,2,3,14,11,14,10,30,24,54
ARBIETO,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,3,4,4,23,8,28,36
ARQUE,estado nutricional,l 9.2 talla baja,2011-05-01,28,22,70,47,83,63,181,132,313
ASCENCION DE GUARAYOS,estado nutricional,l 9.2 talla baja,2011-05-01,5,7,2,3,2,3,9,13,22
ATOCHA,estado nutricional,l 9.2 talla baja,2011-05-01,6,4,10,5,14,13,30,22,52
AUCAPATA,estado nutricional,l 9.2 talla baja,2011-05-01,3,0,5,10,7,9,15,19,34
AYATA,estado nutricional,l 9.2 talla baja,2011-05-01,7,5,36,11,22,22,65,38,103
AYO AYO,estado nutricional,l 9.2 talla baja,2011-05-01,13,3,15,16,8,6,36,25,61
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.2 talla baja,2011-05-01,38,28,79,46,54,38,171,112,283
AZURDUY,estado nutricional,l 9.2 talla baja,2011-05-01,8,19,23,28,85,80,116,127,243
BATALLAS,estado nutricional,l 9.2 talla baja,2011-05-01,6,9,15,12,12,11,33,32,65
BAURES,estado nutricional,l 9.2 talla baja,2011-05-01,4,1,7,1,3,2,14,4,18
BELEN DE ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,2,0,2,6,5,7,12
BELEN DE URMIRI,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,6,3,5,4,13,8,21
BELLA FLOR,estado nutricional,l 9.2 talla baja,2011-05-01,3,0,4,2,3,4,10,6,16
BERMEJO,estado nutricional,l 9.2 talla baja,2011-05-01,6,1,7,2,5,2,18,5,23
BETANZOS,estado nutricional,l 9.2 talla baja,2011-05-01,42,31,105,81,135,115,282,227,509
BOLIVAR,estado nutricional,l 9.2 talla baja,2011-05-01,28,29,49,31,88,76,165,136,301
BOLPEBRA,estado nutricional,l 9.2 talla baja,2011-05-01,4,0,1,3,3,4,8,7,15
BOYUIBE,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,2,1,0,1,3,2,5
BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,1,0,4,1,6,2,8
CABEZAS,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,7,6,1,4,9,11,20
CAIROMA,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,8,8,17,34,28,44,72
"CAIZA ""D""",estado nutricional,l 9.2 talla baja,2011-05-01,11,10,16,12,29,25,56,47,103
CAJUATA,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,2,2,0,10,5,14,19
CALACOTO,estado nutricional,l 9.2 talla baja,2011-05-01,5,3,8,7,17,5,30,15,45
CALAMARCA,estado nutricional,l 9.2 talla baja,2011-05-01,8,14,29,20,19,19,56,53,109
CAMARGO,estado nutricional,l 9.2 talla baja,2011-05-01,12,13,37,20,56,57,105,90,195
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.2 talla baja,2011-05-01,0,0,4,1,10,6,14,7,21
CAMIRI,estado nutricional,l 9.2 talla baja,2011-05-01,2,4,6,3,9,12,17,19,36
CAPINOTA,estado nutricional,l 9.2 talla baja,2011-05-01,23,18,37,28,22,23,82,69,151
CAQUIAVIRI,estado nutricional,l 9.2 talla baja,2011-05-01,11,6,16,8,16,13,43,27,70
CARACOLLO,estado nutricional,l 9.2 talla baja,2011-05-01,32,10,51,30,35,46,118,86,204
CARANAVI,estado nutricional,l 9.2 talla baja,2011-05-01,38,27,68,75,95,92,201,194,395
CARANGAS,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,0,0,0,1,0,1,1
CARAPARI,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,7,3,3,1,11,4,15
CARIPUYO,estado nutricional,l 9.2 talla baja,2011-05-01,19,13,32,26,81,68,132,107,239
CARMEN RIVERO TORREZ,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,3,1,0,0,5,2,7
CATACORA,estado nutricional,l 9.2 talla baja,2011-05-01,3,1,6,5,2,4,11,10,21
CHACARILLA,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,4,1,2,2,6,3,9
CHALLAPATA,estado nutricional,l 9.2 talla baja,2011-05-01,57,25,68,43,68,56,193,124,317
CHAQUI,estado nutricional,l 9.2 talla baja,2011-05-01,13,5,13,11,15,13,41,29,70
CHARAGUA,estado nutricional,l 9.2 talla baja,2011-05-01,9,7,32,8,32,29,73,44,117
CHARAÑA,estado nutricional,l 9.2 talla baja,2011-05-01,0,2,5,2,3,1,8,5,13
CHAYANTA,estado nutricional,l 9.2 talla baja,2011-05-01,32,19,53,38,40,44,125,101,226
CHIMORE,estado nutricional,l 9.2 talla baja,2011-05-01,8,6,13,10,18,16,39,32,71
CHIPAYA,estado nutricional,l 9.2 talla baja,2011-05-01,2,2,1,0,7,14,10,16,26
CHOQUE COTA,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,0,1,1,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.2 talla baja,2011-05-01,3,2,6,4,6,3,15,9,24
CHUMA,estado nutricional,l 9.2 talla baja,2011-05-01,5,4,21,14,20,20,46,38,84
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.2 talla baja,2011-05-01,11,4,31,15,15,11,57,30,87
CKOCHAS,estado nutricional,l 9.2 talla baja,2011-05-01,44,35,65,40,91,67,200,142,342
CLIZA,estado nutricional,l 9.2 talla baja,2011-05-01,10,4,6,6,11,6,27,16,43
COBIJA,estado nutricional,l 9.2 talla baja,2011-05-01,38,20,26,5,27,18,91,43,134
COCAPATA,estado nutricional,l 9.2 talla baja,2011-05-01,20,15,35,33,53,43,108,91,199
COCHABAMBA,estado nutricional,l 9.2 talla baja,2011-05-01,91,87,178,177,164,147,433,411,844
COLCAPIRHUA,estado nutricional,l 9.2 talla baja,2011-05-01,13,7,12,13,22,11,47,31,78
"COLCHA ""K""",estado nutricional,l 9.2 talla baja,2011-05-01,8,7,20,9,19,11,47,27,74
COLLANA,estado nutricional,l 9.2 talla baja,2011-05-01,2,4,4,2,9,4,15,10,25
COLOMI,estado nutricional,l 9.2 talla baja,2011-05-01,7,9,25,24,25,15,57,48,105
COLPA BELGICA,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,1,0,0,0,3,1,4
COLQUECHACA,estado nutricional,l 9.2 talla baja,2011-05-01,92,66,152,124,77,72,321,262,583
COLQUENCHA,estado nutricional,l 9.2 talla baja,2011-05-01,17,13,17,12,7,8,41,33,74
COLQUIRI,estado nutricional,l 9.2 talla baja,2011-05-01,12,12,24,22,44,36,80,70,150
COMANCHE,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,4,3,4,4,11,9,20
COMARAPA,estado nutricional,l 9.2 talla baja,2011-05-01,21,15,20,12,18,11,59,38,97
COMBAYA,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,4,5,2,3,7,9,16
CONCEPCION,estado nutricional,l 9.2 talla baja,2011-05-01,10,6,6,5,5,8,21,19,40
COPACABANA,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,5,2,6,1,13,4,17
CORIPATA,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,9,2,5,3,17,7,24
CORO CORO,estado nutricional,l 9.2 talla baja,2011-05-01,17,2,10,12,9,7,36,21,57
COROICO,estado nutricional,l 9.2 talla baja,2011-05-01,5,6,16,14,14,23,35,43,78
CORQUE,estado nutricional,l 9.2 talla baja,2011-05-01,3,3,10,7,12,13,25,23,48
COTAGAITA,estado nutricional,l 9.2 talla baja,2011-05-01,18,13,44,37,73,69,135,119,254
COTOCA,estado nutricional,l 9.2 talla baja,2011-05-01,0,3,2,2,2,3,4,8,12
CUATRO CAÑADAS,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,4,1,1,3,6,5,11
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.2 talla baja,2011-05-01,2,1,2,1,1,2,5,4,9
CUEVO,estado nutricional,l 9.2 talla baja,2011-05-01,1,3,6,3,6,8,13,14,27
CULPINA,estado nutricional,l 9.2 talla baja,2011-05-01,34,18,51,34,73,75,158,127,285
CURAHUARA DE CARANGAS,estado nutricional,l 9.2 talla baja,2011-05-01,5,5,14,5,5,11,24,21,45
CURVA,estado nutricional,l 9.2 talla baja,2011-05-01,8,2,18,6,14,7,40,15,55
DESAGUADERO,estado nutricional,l 9.2 talla baja,2011-05-01,3,0,5,4,2,4,10,8,18
EL ALTO,estado nutricional,l 9.2 talla baja,2011-05-01,422,268,579,354,416,388,1417,1010,2427
EL CHORO,estado nutricional,l 9.2 talla baja,2011-05-01,3,0,4,0,9,10,16,10,26
EL PUENTE(STC),estado nutricional,l 9.2 talla baja,2011-05-01,3,6,7,3,9,10,19,19,38
EL PUENTE(TJA),estado nutricional,l 9.2 talla baja,2011-05-01,6,10,21,15,20,17,47,42,89
EL TORNO,estado nutricional,l 9.2 talla baja,2011-05-01,5,4,5,5,7,10,17,19,36
EL VILLAR,estado nutricional,l 9.2 talla baja,2011-05-01,0,3,3,1,18,13,21,17,38
ENTRE RIOS TRJ,estado nutricional,l 9.2 talla baja,2011-05-01,6,4,16,12,21,31,43,47,90
ENTRE RIOS CBBA,estado nutricional,l 9.2 talla baja,2011-05-01,5,2,8,13,17,21,30,36,66
ESCARA,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,0,0,0,1,1,1,2
ESCOMA,estado nutricional,l 9.2 talla baja,2011-05-01,2,3,0,1,4,2,6,6,12
EUCALIPTUS,estado nutricional,l 9.2 talla baja,2011-05-01,7,5,13,8,12,11,32,24,56
EUREKA (SANTOS MERCADO),estado nutricional,l 9.2 talla baja,2011-05-01,3,0,1,1,2,2,6,3,9
EXALTACION,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,1,1,0,0,1,1,2
FERNANDEZ ALONSO,estado nutricional,l 9.2 talla baja,2011-05-01,61,44,39,39,47,39,147,122,269
FILADELFIA,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,7,2,3,4,11,6,17
GENERAL SAAVEDRA,estado nutricional,l 9.2 talla baja,2011-05-01,4,0,8,9,8,18,20,27,47
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.2 talla baja,2011-05-01,8,7,16,12,12,16,36,35,71
GUANAY,estado nutricional,l 9.2 talla baja,2011-05-01,6,1,7,6,11,17,24,24,48
GUAQUI,estado nutricional,l 9.2 talla baja,2011-05-01,5,2,10,4,8,4,23,10,33
GUAYARAMERIN,estado nutricional,l 9.2 talla baja,2011-05-01,28,21,36,18,27,28,91,67,158
GUTIERREZ,estado nutricional,l 9.2 talla baja,2011-05-01,15,10,31,20,62,50,108,80,188
HUACARETA,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,4,2,12,8,19,12,31
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.2 talla baja,2011-05-01,4,0,8,2,10,6,22,8,30
HUACHACALLA,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,1,3,3,5,4,8,12
HUANUNI,estado nutricional,l 9.2 talla baja,2011-05-01,44,19,42,35,23,21,109,75,184
HUARACAJE,estado nutricional,l 9.2 talla baja,2011-05-01,0,1,1,3,2,1,3,5,8
HUARINA,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,2,2,2,4,7,8,15
HUAYLLAMARCA,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,6,8,11,8,19,17,36
HUMANATA,estado nutricional,l 9.2 talla baja,2011-05-01,8,4,20,9,7,4,35,17,52
ICHOCA,estado nutricional,l 9.2 talla baja,2011-05-01,4,8,10,11,16,14,30,33,63
ICLA,estado nutricional,l 9.2 talla baja,2011-05-01,10,8,24,16,124,126,158,150,308
INCAHUASI,estado nutricional,l 9.2 talla baja,2011-05-01,19,15,38,19,65,55,122,89,211
INGAVI (HUMAITA),estado nutricional,l 9.2 talla baja,2011-05-01,0,1,9,4,0,0,9,5,14
INQUISIVI,estado nutricional,l 9.2 talla baja,2011-05-01,4,9,21,9,19,18,44,36,80
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.2 talla baja,2011-05-01,4,0,3,1,3,7,10,8,18
IXIAMAS,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,6,3,2,5,10,9,19
JESUS DE MACHACA,estado nutricional,l 9.2 talla baja,2011-05-01,6,2,12,11,16,14,34,27,61
LA ASUNTA,estado nutricional,l 9.2 talla baja,2011-05-01,6,11,25,25,25,17,56,53,109
LA GUARDIA,estado nutricional,l 9.2 talla baja,2011-05-01,10,16,8,15,10,18,28,49,77
LA PAZ,estado nutricional,l 9.2 talla baja,2011-05-01,363,295,427,279,310,310,1100,884,1984
LAGUNILLAS,estado nutricional,l 9.2 talla baja,2011-05-01,0,2,5,9,13,11,18,22,40
LAJA,estado nutricional,l 9.2 talla baja,2011-05-01,7,3,7,10,5,4,19,17,36
LAS CARRERAS,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,2,1,6,2,8,3,11
LICOMA PAMPA,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,4,7,3,5,7,12,19
LLALLAGUA,estado nutricional,l 9.2 talla baja,2011-05-01,39,31,61,37,51,41,151,109,260
LLICA,estado nutricional,l 9.2 talla baja,2011-05-01,3,0,5,8,6,6,14,14,28
LORETO,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,2,1,3,2,5,3,8
LURIBAY,estado nutricional,l 9.2 talla baja,2011-05-01,6,5,5,9,4,15,15,29,44
MACHACAMARCA,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,2,0,0,3,4,4,8
MACHARETI,estado nutricional,l 9.2 talla baja,2011-05-01,5,3,4,6,14,6,23,15,38
MAGDALENA,estado nutricional,l 9.2 talla baja,2011-05-01,0,2,1,3,1,2,2,7,9
MAIRANA,estado nutricional,l 9.2 talla baja,2011-05-01,9,2,16,11,10,11,35,24,59
MALLA,estado nutricional,l 9.2 talla baja,2011-05-01,4,4,11,2,10,10,25,16,41
MAPIRI,estado nutricional,l 9.2 talla baja,2011-05-01,9,4,6,6,3,7,18,17,35
MECAPACA,estado nutricional,l 9.2 talla baja,2011-05-01,6,1,10,4,18,19,34,24,58
MINEROS,estado nutricional,l 9.2 talla baja,2011-05-01,11,4,21,4,9,11,41,19,60
MIZQUE,estado nutricional,l 9.2 talla baja,2011-05-01,36,22,67,67,50,40,153,129,282
MOCOMOCO,estado nutricional,l 9.2 talla baja,2011-05-01,6,3,18,13,9,11,33,27,60
MOJINETE,estado nutricional,l 9.2 talla baja,2011-05-01,0,2,3,1,3,2,6,5,11
MOJOCOYA,estado nutricional,l 9.2 talla baja,2011-05-01,4,3,5,7,11,13,20,23,43
MONTEAGUDO,estado nutricional,l 9.2 talla baja,2011-05-01,8,7,8,18,31,29,47,54,101
MONTERO,estado nutricional,l 9.2 talla baja,2011-05-01,22,15,31,14,20,21,73,50,123
MORO MORO,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,2,2,1,0,6,4,10
MOROCHATA,estado nutricional,l 9.2 talla baja,2011-05-01,16,17,41,31,43,30,100,78,178
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.2 talla baja,2011-05-01,0,0,0,2,1,0,1,2,3
NAZACARA DE PACAJES,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,2,0,0,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.2 talla baja,2011-05-01,0,1,0,1,3,4,3,6,9
OCURI,estado nutricional,l 9.2 talla baja,2011-05-01,36,25,71,62,76,85,183,172,355
OKINAWA,estado nutricional,l 9.2 talla baja,2011-05-01,1,2,2,1,4,3,7,6,13
OMEREQUE,estado nutricional,l 9.2 talla baja,2011-05-01,3,1,3,7,6,5,12,13,25
ORURO,estado nutricional,l 9.2 talla baja,2011-05-01,243,176,349,237,186,181,778,594,1372
PADCAYA,estado nutricional,l 9.2 talla baja,2011-05-01,5,6,12,7,12,7,29,20,49
PADILLA,estado nutricional,l 9.2 talla baja,2011-05-01,8,4,17,8,47,46,72,58,130
PAILON,estado nutricional,l 9.2 talla baja,2011-05-01,1,3,1,0,3,6,5,9,14
PALCA,estado nutricional,l 9.2 talla baja,2011-05-01,8,3,19,16,19,18,46,37,83
PALOS BLANCOS,estado nutricional,l 9.2 talla baja,2011-05-01,6,4,17,15,16,17,39,36,75
PAMPA AULLAGAS,estado nutricional,l 9.2 talla baja,2011-05-01,2,5,11,3,12,6,25,14,39
PAMPA GRANDE,estado nutricional,l 9.2 talla baja,2011-05-01,5,0,7,2,7,6,19,8,27
PAPEL PAMPA,estado nutricional,l 9.2 talla baja,2011-05-01,3,2,13,5,12,18,28,25,53
PASORAPA,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,3,2,5,3,10,6,16
PATACAMAYA,estado nutricional,l 9.2 talla baja,2011-05-01,3,3,3,3,1,6,7,12,19
PAZÑA,estado nutricional,l 9.2 talla baja,2011-05-01,4,4,14,7,13,13,31,24,55
PELECHUCO,estado nutricional,l 9.2 talla baja,2011-05-01,6,1,6,8,7,9,19,18,37
POCOATA,estado nutricional,l 9.2 talla baja,2011-05-01,25,19,64,54,85,60,174,133,307
POCONA,estado nutricional,l 9.2 talla baja,2011-05-01,9,9,26,23,23,17,58,49,107
POJO (CBBA),estado nutricional,l 9.2 talla baja,2011-05-01,4,6,9,5,11,15,24,26,50
POOPO,estado nutricional,l 9.2 talla baja,2011-05-01,4,8,10,9,8,5,22,22,44
PORCO,estado nutricional,l 9.2 talla baja,2011-05-01,22,9,19,17,13,16,54,42,96
POROMA,estado nutricional,l 9.2 talla baja,2011-05-01,26,19,51,36,81,104,158,159,317
PORONGO,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,1,1,1,1,2,2,4
PORTACHUELO,estado nutricional,l 9.2 talla baja,2011-05-01,9,5,2,1,0,2,11,8,19
PORVENIR,estado nutricional,l 9.2 talla baja,2011-05-01,3,4,3,4,1,5,7,13,20
POSTRER VALLE,estado nutricional,l 9.2 talla baja,2011-05-01,0,0,0,1,3,2,3,3,6
POTOSI,estado nutricional,l 9.2 talla baja,2011-05-01,165,127,260,157,184,121,609,405,1014
PRESTO,estado nutricional,l 9.2 talla baja,2011-05-01,20,12,34,20,66,71,120,103,223
PUCARA,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,2,4,2,2,5,6,11
PUCARANI,estado nutricional,l 9.2 talla baja,2011-05-01,28,13,24,11,16,16,68,40,108
PUERTO ACOSTA,estado nutricional,l 9.2 talla baja,2011-05-01,4,5,12,4,7,4,23,13,36
PUERTO CARABUCO,estado nutricional,l 9.2 talla baja,2011-05-01,9,6,22,9,17,15,48,30,78
PUERTO GONZALO MORENO,estado nutricional,l 9.2 talla baja,2011-05-01,13,9,27,20,39,25,79,54,133
PUERTO PEREZ,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,2,0,2,0,5,0,5
PUERTO RICO,estado nutricional,l 9.2 talla baja,2011-05-01,2,7,3,5,7,11,12,23,35
PUERTO SILES,estado nutricional,l 9.2 talla baja,2011-05-01,1,0,0,1,2,1,3,2,5
PUERTO SUAREZ,estado nutricional,l 9.2 talla baja,2011-05-01,4,1,5,2,1,0,10,3,13
PUERTO VILLARROEL,estado nutricional,l 9.2 talla baja,2011-05-01,14,11,37,44,35,29,86,84,170
PUNA,estado nutricional,l 9.2 talla baja,2011-05-01,16,12,34,38,45,50,95,100,195
PUNATA,estado nutricional,l 9.2 talla baja,2011-05-01,6,3,9,9,7,4,22,16,38
QUIABAYA,estado nutricional,l 9.2 talla baja,2011-05-01,1,1,4,1,3,2,8,4,12
QUILLACOLLO,estado nutricional,l 9.2 talla baja,2011-05-01,6,8,35,33,22,22,63,63,126
QUIME,estado nutricional,l 9.2 talla baja,2011-05-01,6,0,11,6,18,16,35,22,57
QUIRUSILLAS,estado nutricional,l 9.2 talla baja,2011-05-01,0,1,0,1,1,0,1,2,3
RAVELO,estado nutricional,l 9.2 talla baja,2011-05-01,41,38,107,87,173,157,321,282,603
REYES,estado nutricional,l 9.2 talla baja,2011-05-01,5,3,4,3,8,9,17,15,32
RIBERALTA,estado nutricional,l 9.2 talla baja,2011-05-01,150,161,138,108,73,88,361,357,718
ROBORE,estado nutricional,l 9.2 talla baja,2011-05-01,4,0,0,3,0,1,4,4,8
RURRENABAQUE,estado nutricional,l 9.2 talla baja,2011-05-01,3,4,14,6,8,9,25,19,44
SABAYA,estado nutricional,l 9.2 talla baja,2011-05-01,2,1,5,2,2,6,9,9,18
SACABA,estado nutricional,l 9.2 talla baja,2011-05-01,28,31,97,83,78,76,203,190,393
SACABAMBA,estado nutricional,l 9.2 talla baja,2011-05-01,8,7,7,12,7,17,22,36,58
