,group,variable,month,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTALES
SOPACHUY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,9,11,17,45
SORACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,6,14,20,46
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,7,14,15,44
SUCRE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,411,410,45,26,892
TACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,3,3,0,6
TACACOMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,2,7,7,18
TACOBAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,8,11,16,41
TACOPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,8,15,18,43
TAHUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,1,2,3
TAPACARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,20,23,19,15,77
TARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,17,25,14,13,69
TARACO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,4,4,1,14
TARATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,12,19,0,2,33
TARIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,365,270,57,65,757
TARVITA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,16,24,34,27,101
TEOPONTE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,7,10,8,36
TIAWANACU,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,20,21,7,2,50
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,27,20,37,32,116
TIPUANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,24,1,2,38
TIQUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,29,25,29,20,103
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,12,11,27,26,76
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,14,9,4,38
TODOS SANTOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,0,1,1
TOLATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,2,3,1,14
TOLEDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,4,6,6,17
TOMAVE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,21,16,31,32,100
TOMINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,20,15,4,10,49
TORO TORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,11,9,27,36,83
TOTORA(CBBA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,16,11,7,10,44
TOTORA(ORR),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,4,0,0,7
TRIGAL,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,114,102,17,19,252
TUPIZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,70,71,39,37,217
TURCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,1,8,6,17
UMALA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,12,6,9,13,40
UNCIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,19,14,77,59,169
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,15,15,8,7,45
URUBICHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,3,5,0,0,8
UYUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,36,48,11,14,109
VACAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,5,6,11,8,30
VALLEGRANDE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,21,21,1,0,43
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,113,94,42,38,287
VILA VILA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,4,3,6,14
VILLA CHARCAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,12,8,26,25,71
VILLA MONTES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,58,45,23,13,139
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,1,0,0,3
VILLA RIVERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,2,3,4,1,10
VILLA SERRANO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,27,17,18,18,80
VILLA TUNARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,106,107,51,38,302
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,21,13,4,5,43
VILLAZON,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,68,55,5,8,136
VINTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,65,79,2,6,152
VITICHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,14,16,9,3,42
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,3,2,0,5
WARNES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,174,152,17,13,356
YACO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,5,18,19,50
YACUIBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,97,102,43,43,285
YAMPARAEZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,6,5,6,2,19
YANACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,1,4,3,4,12
YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,59,32,14,16,121
YOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,9,7,3,3,22
YOTALA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,8,15,7,7,37
YUNCHARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,4,2,14,20,40
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,0,0,2,2,4
ZUDAÑEZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-06-01,7,11,17,17,52
ACACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,1,0,5
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,11,9,14,14,48
ACHOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,0,0,2
AIQUILE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,9,3,4,19
ALALAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,3,0,3
ALCALA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,8,0,2,16
ANCORAIMES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,6,0,1,12
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,3,0,0,5
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,4,4,2,11
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,14,11,3,6,34
ARAMPAMPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,2,0,0,2
ARANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,5,2,0,14
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,10,6,5,28
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,9,6,4,3,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,29,22,4,3,58
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,10,2,0,22
AUCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,0,1,1
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,5,0,1,10
AYO AYO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,0,0,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,8,11,11,40
AZURDUY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,0,1,0,3
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,10,4,3,25
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,9,4,0,0,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,2,2,1,6
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,24,17,14,14,69
BETANZOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,0,0,2
BOLIVAR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,2,0,2
BOLPEBRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,2,1,0,3
BOYUIBE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,0,0,0,2
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,13,1,1,23
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,11,16,3,4,34
CAIROMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,7,1,5,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,1,1,1,6
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,4,0,2,8
CALACOTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,4,0,0,9
CALAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,3,3,2,12
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,13,11,4,5,33
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,24,27,1,0,52
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,16,1,1,28
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,5,0,0,8
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,23,5,4,40
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,31,29,9,13,82
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,7,5,12,26
CARIPUYO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,2,0,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,20,24,10,5,59
CHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
CHARAGUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,2,9,7,19
CHARAÑA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,1,6,2,12
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,13,12,3,2,30
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,10,0,0,15
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,7,0,1,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,4,6,8,23
CKOCHAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,4,3,5,16
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,24,16,6,2,48
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,65,61,5,6,137
COCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,4,12,13,36
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,397,403,116,71,987
COIPASA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,1,3,0,6
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,72,82,58,66,278
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,9,3,5,25
COLLANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,1,0,0,1
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,17,19,8,9,53
COLPA BELGICA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,4,0,0,6
COLQUECHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,17,16,25,26,84
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,4,1,0,15
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,2,5,2,16
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,13,10,0,0,23
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,17,23,2,4,46
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,6,4,6,16
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,17,1,4,1,23
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,3,0,1,10
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,7,1,1,15
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,1,0,2,7
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,4,3,1,14
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,71,64,32,19,186
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,2,3
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,11,5,5,31
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,2,4,10
CULPINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,17,24,9,12,62
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,1,0,0,7
CURVA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,4,2,4,13
DESAGUADERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,1,1,4
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,391,411,80,87,969
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,1,7,4,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,10,4,4,28
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,9,6,1,1,17
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,41,67,3,2,113
EL VILLAR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,1,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,11,7,1,6,25
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,41,62,4,2,109
ESCOMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,1,1,3
EUCALIPTUS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,1,0,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,0,1,4,7
EXALTACION,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,3,0,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,7,0,0,10
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,5,0,1,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,11,8,0,0,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,5,0,1,9
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,7,6,6,24
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,25,25,2,6,58
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,4,4,3,17
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,2,1,5
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,24,18,4,2,48
HUARACAJE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,2,1,0,3
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,4,5,2,14
HUATAJATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
