,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,11,15,2,1,29
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,20,6,9,45
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,5,1,1,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,9,0,1,15
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,0,2,1,10
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,1,2,6
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,7,2,3,13
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,8,4,3,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,1,1,3
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,44,36,1,0,81
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,15,2,1,25
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,4,1,0,11
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,10,1,3,20
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,35,29,8,11,83
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,15,2,3,30
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,0,4,4,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,5,9,4,20
CATACORA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,21,32,3,7,63
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,8,0,1,16
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,13,6,12,13,44
CHARAÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,1,0,1,2
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,4,3,9,25
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,21,16,0,1,38
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,1,0,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,10,3,2,25
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,3,2,0,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,5,0,0,10
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,17,8,4,32
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,17,17,7,3,44
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,64,51,1,10,126
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,4,13,18,39
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,641,692,8,2,1343
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,39,43,2,1,85
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,7,0,3,13
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,1,0,0,3
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,15,19,3,2,39
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,7,1,1,14
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,19,18,17,21,75
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,5,0,0,12
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,9,8,12,33
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,3,0,0,7
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,15,13,0,2,30
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,1,0,1,3
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,16,14,1,2,33
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,1,3,4,11
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,17,16,1,0,34
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,3,0,2,10
COROICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,10,1,0,17
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,5,2,2,11
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,14,10,4,1,29
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,53,64,1,3,121
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,13,15,3,4,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,0,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,4,0,1,6
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,8,12,3,5,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,1,1,0,4
CURVA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,2,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,4,2,0,11
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,648,643,105,105,1501
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,0,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,9,3,2,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,3,0,1,14
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,47,51,5,3,106
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,1,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,17,5,5,37
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,32,30,1,1,64
ESCARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,5,0,1,12
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,5,0,1,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,7,2,3,18
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,3,0,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,15,14,0,0,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,12,7,2,3,24
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,8,11,2,3,24
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,3,2,1,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,50,43,3,3,99
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,6,8,9,29
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,4,4,3,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,1,2,2,7
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,0,1,0,5
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,21,16,2,5,44
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,3,3,2,9
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,3,0,0,5
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,0,0,3
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,4,5
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,1,2,2,8
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,3,0,5,12
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,5,5,5,20
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,3,2,5
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,7,5,7,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,11,7,1,2,21
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,11,7,1,5,24
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,4,1,0,15
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,47,40,7,12,106
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,82,77,3,0,162
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,604,586,12,14,1216
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,5,3,1,15
LAJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,13,9,2,0,24
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,1,1,3,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,3,1,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,22,10,26,13,71
LLICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,2,0,3,9
LORETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,0,1
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,7,4,3,18
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,5,0,0,7
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,8,6,1,2,17
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,15,7,4,8,34
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,11,1,0,19
MALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,1,1,0,2
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,10,1,2,18
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,7,3,2,19
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,5,1,1,8
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,21,22,5,12,60
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,8,6,3,23
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,1,0,4,6
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,17,15,2,0,34
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,123,113,1,3,240
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,3,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,3,4,7,17
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,1,0,0,2
OCURI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,4,5,5,20
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,9,1,1,20
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,1,4,0,6
ORURO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,247,277,3,4,531
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,6,1,2,19
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,5,3,2,15
PAILON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,19,15,15,9,58
PALCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,14,23,10,14,61
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,15,24,1,4,44
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,1,0,0,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,9,1,0,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,1,0,2,6
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,0,2,2
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,15,21,2,1,39
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,2,0,1,8
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,3,0,2,8
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,4,8,17,34
POCONA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,8,2,1,16
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,5,2,2,18
POOPO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,1,0,0,4
PORCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,17,4,5,32
POROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,4,16,7,31
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,8,5,3,3,19
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,27,24,5,0,56
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,5,1,2,11
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,196,206,9,15,426
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,3,5,6,16
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,18,21,5,8,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,2,4,3,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,2,4,6,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,1,7,4,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,3,3,3,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,7,4,3,23
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,4,0,1,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,16,20,2,0,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,55,39,12,5,111
PUNA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,9,7,9,3,28
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,29,21,1,2,53
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,4,1,0,6
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,109,97,51,42,299
QUIME,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,6,3,3,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,2,15,9,29
REYES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,7,2,3,22
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,124,116,10,12,262
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,23,24,0,0,47
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,13,15,0,0,28
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,113,107,4,5,229
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,0,0,2,6
SACACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,19,19,11,7,56
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,2,0,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,6,5,4,19
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,5,10,0,0,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,1,2,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,6,6,3,3,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,0,2,1,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,3,0,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,3,3,2,3,11
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,5,1,3,13
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,51,49,9,6,115
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,10,11,0,0,21
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,14,28,3,2,47
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,30,17,3,1,51
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,37,48,4,5,94
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,2,6,4,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,12,4,0,1,17
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,2,2,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,19,9,10,10,48
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,7,6,0,0,13
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,54,42,17,12,125
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,0,0,0,2,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,17,14,0,1,32
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,17,23,14,9,63
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,12,6,1,2,21
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-05-01,4,7,0,1,12
