,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,8,0,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,16,18,0,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,5,3,0,19
SAN JULIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,33,31,10,6,80
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,1,3,6
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,24,13,4,0,41
SAN LUCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,12,5,10,45
SAN MATIAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,19,0,1,34
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,13,15,6,2,36
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,6,0,1,8
SAN PEDRO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,6,0,0,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,18,15,9,9,51
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,5,0,1,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,0,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,1,3,2,7
SAN RAFAEL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,9,0,0,13
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,2,3,2,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,3,0,0,3
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,13,0,0,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1526,1359,33,21,2939
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,9,1,1,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,13,16,1,0,30
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,1,2,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,4,2,2,8
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,3,2,0,5
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,0,1,2
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,4,0,0,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,4,2,1,9
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,2,2,1,9
SENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,3,1,0,12
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,17,1,0,29
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,13,8,5,3,29
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,1,0,0,1
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,28,27,0,1,56
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,1,2,0,8
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,6,1,2,16
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,3,9,6,27
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,293,296,3,2,594
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,8,1,3,16
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,3,6,4,17
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,5,2,3,12
TAHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,0,0,1,3
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,14,10,10,14,48
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,7,2,3,14
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,0,1,1,4
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,7,0,6,21
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,214,194,4,4,416
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,7,3,7,23
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,16,7,2,3,28
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,11,10,0,2,23
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,19,14,3,5,41
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,9,15,1,1,26
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,23,21,5,1,50
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,7,7,11,30
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,0,1,2
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,4,0,1,8
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,0,0,1,4
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,5,0,0,7
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,7,4,6,24
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,6,6,3,22
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,7,2,8,5,22
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,10,8,7,33
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,1,0,2,8
TRIGAL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,2,0,0,2
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,118,94,3,7,222
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,42,43,6,8,99
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,5,0,0,7
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,7,3,2,17
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,17,14,3,7,41
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,9,1,0,18
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,8,1,4,15
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,23,23,3,3,52
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,2,0,3,1,6
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,8,8,1,0,17
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,74,53,2,3,132
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,8,2,3,14
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,11,1,2,20
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,52,33,13,11,109
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,3,2,0,8
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,7,0,1,12
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,7,5,0,15
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,55,64,4,2,125
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,6,6,1,1,14
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,32,30,1,1,64
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,40,39,0,2,81
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,6,3,1,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,1,0,0,1,2
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,107,116,2,3,228
YACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,1,1,5,10
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,80,81,2,7,170
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,2,1,1,9
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,5,4,0,0,9
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,41,41,3,7,92
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,2,2,1,9
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,3,4,3,1,11
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,0,0,6,1,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-03-01,4,0,5,3,12
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,3,1,4,11
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,16,16,8,9,49
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,8,11,13,8,40
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,12,13,4,4,33
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,0,4,1,5
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,2,0,0,6
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,13,7,0,4,24
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,2,3,3,13
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,1,2,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,1,4,3,11
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,12,16,7,3,38
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,2,1,0,4
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,6,1,2,14
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,11,6,3,26
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,9,1,1,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,26,15,0,0,41
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,5,1,2,14
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,2,2,3,8
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,5,2,0,13
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,5,0,0,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,13,11,7,5,36
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,6,3,2,15
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,9,7,4,25
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,4,0,0,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,0,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,4,1,6
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,2,1,0,8
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,30,50,0,2,82
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,20,18,8,7,53
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,0,3,9,12
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,0,0,1
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,0,3,0,8
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,8,8,1,10,27
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,17,17,12,12,58
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,10,2,5,23
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,9,1,4,7,21
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,4,1,5,15
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,1,5,2,9
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,9,7,2,1,19
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,14,3,2,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,4,0,0,5
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,29,29,5,1,64
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,13,13,1,3,30
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,10,3,1,0,14
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,12,5,8,28
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,28,37,15,9,89
CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,0,2,0,2
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,7,7,1,5,20
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,4,3,3,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,3,2,5,14
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,21,17,11,6,55
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,9,0,0,11
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,22,14,18,30,84
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,0,0,1,1
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,7,7,1,4,19
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,15,16,1,2,34
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,0,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,1,0,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,12,11,4,5,32
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,5,4,6,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,3,2,0,8
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,9,10,2,0,21
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,18,23,2,0,43
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,51,42,13,10,116
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,8,9,10,33
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,603,595,6,12,1216
COIPASA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,32,33,1,1,67
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,11,6,0,2,19
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,0,1,2
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,10,16,2,5,33
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,6,1,2,13
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,11,8,22,19,60
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,7,2,0,15
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,6,11,13,36
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,3,0,0,6
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,15,18,3,4,40
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,2,0,1,5
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,19,17,5,7,48
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,6,2,1,12
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,17,6,5,6,34
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,2,1,2,6
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,16,12,5,3,36
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,1,3,1,9
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,16,14,2,7,39
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,67,56,22,11,156
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,12,27,12,5,56
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,2,0,0,3
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,3,1,3,9
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,5,11,2,2,20
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,1,3,0,7
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,1,1,1,6
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,3,0,2,7
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,612,668,91,90,1461
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,3,1,2,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,7,8,4,0,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,5,1,0,10
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,60,60,7,6,133
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,1,4,2,11
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,11,16,6,6,39
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,30,40,2,0,72
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,5,1,0,9
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,5,0,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,0,1,0,2,3
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,1,3,0,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,8,4,0,5,17
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,3,7,0,1,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,8,12,1,2,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,4,12,4,1,21
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,6,10,4,4,24
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,4,4,4,14
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,23,29,11,5,68
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,10,7,8,7,32
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-04-01,2,4,2,2,10
