,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,1,2,1,3
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,4,0,4,4
TAHUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,13,1,13,14
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,4,1,4,5
TARACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,316,0,316,0,316
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,2,11,2,13
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,2,4,2,6
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,2,3,2,5
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,3,0,3,3
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,65,7,65,7,72
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,0,1,0,1
TOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,2,2,2,4
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,1,2,1,3
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,1,3,1,4
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,3,6,3,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,22,1,22,1,23
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,2,1,2,3
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,25,1,25,1,26
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,13,2,13,2,15
UMALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,16,1,16,1,17
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,0,4,0,4
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,39,5,39,5,44
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,0,5,0,5
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,74,5,74,5,79
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,1,5,1,6
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,11,4,11,4,15
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,7,1,7,1,8
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,2,0,2,0,2
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,130,14,130,14,144
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,4,3,4,3,7
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,0,1,0,1,1
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,55,0,55,0,55
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,3,3,3,3,6
YACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,0,5,0,5
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,136,0,136,0,136
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,5,0,5,0,5
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,83,0,83,0,83
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,3,1,3,4
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,6,0,6,0,6
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-03-01,1,1,1,1,2
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,30,7,30,7,37
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,5,1,5,6
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,2,0,2,2
ALCALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,2,3,2,5
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,8,1,8,9
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
ANTEQUERA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,1,2,1,3
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,15,6,15,6,21
ARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,0,3,0,3
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,6,2,6,8
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,58,0,58,0,58
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,10,0,10,0,10
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,4,0,4,4
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,3,2,3,5
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,10,10,10,10,20
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,6,5,6,5,11
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,5,0,5,5
BAURES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,4,0,4,0,4
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,16,3,16,3,19
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,7,2,7,9
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,4,0,4,0,4
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,12,0,12,0,12
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,4,3,4,7
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,7,2,7,2,9
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,5,1,5,1,6
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,3,1,3,4
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,3,0,3,3
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,12,2,12,2,14
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,1,1,1,2
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,5,0,5,0,5
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,15,0,15,0,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,3,1,3,4
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,20,2,20,2,22
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,89,1,89,1,90
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,4,0,4,0,4
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,4,3,4,7
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,1,2,1,3
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,36,7,36,7,43
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,5,2,5,2,7
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,11,12,11,12,23
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,6,3,6,3,9
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,1,1,1,2
CHIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,1,0,1,1
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,20,0,20,0,20
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,4,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,4,0,4,0,4
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,12,0,12,12
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,22,0,22,0,22
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,18,0,18,0,18
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,9,5,9,5,14
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,798,1,798,1,799
COIPASA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,33,1,33,1,34
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,3,1,3,4
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,13,0,13,0,13
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,0,3,0,3
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,7,9,7,9,16
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,6,1,6,1,7
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,4,5,4,5,9
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,21,0,21,0,21
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,21,3,21,3,24
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,7,0,7,0,7
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,6,0,6,6
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,19,3,19,3,22
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,1,0,1,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,11,3,11,3,14
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,80,13,80,13,93
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,1,1,1,2
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,411,7,411,7,418
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,1,0,1,1
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,2,3,2,5
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,69,0,69,0,69
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,0,3,0,3
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,8,0,8,0,8
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,6,1,6,1,7
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,5,3,5,3,8
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,9,0,9,0,9
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,1,2,1,3
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,0,14,0,14,14
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,16,2,16,2,18
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,8,1,8,1,9
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,76,0,76,0,76
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,9,3,9,3,12
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,7,0,7,0,7
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,2,1,2,1,3
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,25,0,25,0,25
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,3,4,3,4,7
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-04-01,1,0,1,0,1
