municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,12,12
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,8,8
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
COLQUIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
COMBAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
CORO CORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,4,4
COTAGAITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,10,10
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,5,5
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,7,7
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,48,48
EL CHORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,11,11
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,3,3
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,5,5
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,8,8
GUANAY,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,22,22
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
ICLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,10,10
INQUISIVI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,53,53
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,34,34
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,3,3
LORETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
MOJINETE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,12,12
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,4,4
PALCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,5,5
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
PASORAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,21,21
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
PAZÑA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,10,10
PELECHUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,4,4
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,9,9
POROMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,30,30
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
PORTACHUELO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,7,7
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,7,7
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,24,24
QUIABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,11,11
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,3,3
REYES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,9,9
SACABA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,12,12
SAIPINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,2,2
SAN ANDRES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,6,6
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,5,5
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,38,38
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,9,9
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,7,7
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-05-01,1,1
