,group,variable,month,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,7,2,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,11,11,22
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,8,3,11
VITICHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,1,1,2
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,30,0,30
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,13,5,18
YAMPARAEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,1,0,1
YOTALA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,6,31,37
YUNCHARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,0,1,1
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-12-01,0,1,1
