,group,variable,month,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 10 A 14,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 15 A 19,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 20 A 34,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 35 A 49,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS 50 Y +,NÚMERO DE INYECTABLES TRIMESTRALES SUMINISTRADOS < A 10,TOTALES
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,31,53,16,0,103
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,21,11,0,0,36
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,4,23,12,0,39
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,21,33,11,1,68
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,2,23,156,86,3,0,270
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,5,3,0,0,8
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,7,26,24,0,0,57
SAN JOAQUIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,5,24,5,0,0,34
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,1,5,3,0,9
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,10,33,31,2,0,76
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,2,1,20,4,0,0,27
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,9,36,21,0,0,66
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,22,84,50,0,158
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,13,5,0,0,18
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,8,53,37,1,0,99
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,8,4,0,15
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,4,13,3,1,24
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,11,32,22,0,65
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,11,7,1,0,19
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,37,11,0,0,52
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,0,1,0,0,1
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,7,5,0,0,12
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,7,1,0,0,8
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,22,10,0,0,36
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,7,8,6,0,0,21
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,18,3,1,0,22
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,17,150,164,38,70,439
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,1,0,1,0,2
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,7,41,21,6,0,75
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,0,4,2,0,6
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,4,0,0,7
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,1,3,5,0,9
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,4,5,0,0,10
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,5,6,0,0,11
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,4,2,0,0,8
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,10,7,0,0,17
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,5,16,7,2,0,30
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,21,9,1,0,33
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,14,13,5,0,33
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,4,1,0,8
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,116,49,0,0,169
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,8,7,0,0,15
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,12,8,0,0,21
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,33,25,1,0,61
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,1,29,245,126,10,0,411
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,31,16,0,0,47
TACOBAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,8,4,0,0,14
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,5,3,1,0,9
TAHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,1,1,1,0,3
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,6,34,17,0,0,57
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,16,17,3,0,38
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,13,6,4,0,23
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,11,6,0,0,18
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,9,89,33,3,0,134
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,5,17,14,0,0,36
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,18,13,0,0,35
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,8,21,5,0,35
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,7,7,4,0,18
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,13,4,0,0,18
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,6,36,13,0,0,55
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,29,28,1,1,62
TITO YUPANQUI (PARQUIPUJIO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,1,0,0,4
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,20,8,0,0,30
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,2,8,4,0,14
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,5,2,1,0,9
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,12,2,0,0,14
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,12,23,0,0,39
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,14,9,0,0,26
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,30,32,6,0,69
TOTORA(ORR),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,10,10,0,0,23
TRIGAL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,1,0,0,4
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,7,23,8,0,39
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,12,44,28,0,84
TURCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,4,2,0,0,6
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,5,8,5,0,18
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,10,25,12,0,48
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,20,22,2,0,46
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,0,3,6,0,9
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,19,6,1,1,27
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,2,14,10,0,0,26
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,4,10,17,8,0,0,39
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,43,58,25,0,129
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,3,6,0,0,10
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,23,19,0,0,45
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,9,54,19,0,0,82
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,1,0,1,1,0,0,3
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,4,14,5,0,0,23
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,20,17,0,40
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,2,12,106,76,21,1,218
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,1,2,19,10,0,0,32
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,1,10,35,24,0,0,70
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,1,6,69,32,1,0,109
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,2,5,0,0,7
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,3,1,0,0,4
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,27,147,37,1,0,212
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,16,7,3,0,26
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,2,17,107,58,4,0,188
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,10,7,1,0,19
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,6,5,2,0,13
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,2,57,15,0,74
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,0,1,11,6,0,18
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,3,11,0,0,17
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,1,13,19,1,0,34
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-02-01,0,3,11,11,0,0,25
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,0,3,8,0,0,11
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,6,46,31,3,0,86
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,0,19,56,17,0,92
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,3,23,19,0,0,45
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,1,0,1,0,0,2
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,1,3,10,0,0,14
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,5,21,17,0,0,43
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,0,7,9,0,0,16
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,0,6,2,0,0,8
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de inyectables trimestrales suministrados,2024-03-01,0,0,3,2,0,0,5
