,group,variable,month,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 10 A 14,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 15 A 19,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 20 A 34,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 35 A 49,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 50 Y +,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS < A 10,TOTALES
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,3,22,17,0,0,42
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,7,42,16,0,0,65
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,3,11,5,0,0,19
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,2,16,15,0,33
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,2,7,85,71,20,0,185
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,1,18,8,0,0,27
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,1,8,30,23,0,0,62
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,1,4,57,29,1,0,92
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,3,1,0,0,4
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,18,114,36,1,0,169
YACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,12,5,1,0,18
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,1,11,71,52,4,0,139
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,1,10,5,1,0,17
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,4,4,0,0,8
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,1,48,14,0,63
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,0,1,8,6,0,15
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,3,3,10,0,0,16
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,1,13,18,1,0,33
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-02-01,0,1,10,11,0,0,22
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,7,0,0,10
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,36,25,3,0,66
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,15,48,16,0,79
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,13,16,0,0,31
ALALAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,0,1,0,0,2
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,3,10,0,0,14
ALTO BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,4,21,17,0,0,42
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,6,9,0,0,15
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,5,2,0,0,7
ANTEQUERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,1,2,11,19,2,0,35
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,16,11,2,0,30
ARAMPAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,5,8,0,0,13
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,1,6,2,0,9
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,3,23,22,0,0,48
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,3,22,13,0,0,38
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,8,17,8,0,34
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,10,7,0,20
AUCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,10,7,0,20
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,6,9,0,0,17
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,10,7,0,0,18
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,9,52,38,5,0,104
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,1,7,31,26,0,0,65
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,14,14,1,0,29
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,2,2,0,0,4
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
BELEN DE URMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,1,0,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,3,8,2,0,14
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,4,20,13,0,0,37
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,30,30,1,0,63
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,4,3,1,0,8
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,1,1,0,0,3
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,0,5,2,0,7
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,0,11,11,0,22
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,9,34,20,1,64
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,10,18,3,0,31
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,18,5,0,0,23
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,17,13,7,0,38
CALACOTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,4,0,0,7
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,21,17,1,0,39
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,15,11,1,0,28
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,5,3,0,0,8
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,18,3,0,0,23
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,6,6,1,0,14
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,4,10,4,0,19
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,21,13,2,0,36
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,44,20,0,0,66
CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,4,27,16,0,0,47
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,5,0,0,0,5
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,1,9,3,0,13
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,2,0,0,0,2
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,22,15,1,0,39
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,8,11,0,0,20
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,32,24,1,0,58
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,5,1,0,0,6
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,20,13,0,0,35
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,4,43,25,3,0,75
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,1,2,4,6,0,0,13
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,1,0,0,4
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,1,3,0,0,4
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,9,5,0,0,15
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,8,9,1,0,18
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,15,4,4,0,24
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,14,26,0,0,40
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,3,26,9,0,0,38
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,4,32,11,0,0,47
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,51,30,1,0,84
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,6,128,49,10,0,193
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,2,0,0,5
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,19,5,0,0,26
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,22,4,0,0,27
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,2,4,0,0,6
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,4,41,31,0,0,76
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,6,3,0,0,9
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,35,9,0,0,46
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,21,14,0,0,36
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,9,4,0,0,15
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,4,0,0,0,4
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,5,45,27,0,0,77
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,4,1,0,0,6
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,17,11,0,0,30
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,7,14,1,0,22
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,16,8,0,0,24
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,6,8,1,0,17
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,12,13,3,0,28
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,1,0,6,3,3,0,13
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,16,14,0,0,32
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,10,66,43,10,0,129
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,1,1,12,4,0,0,18
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,3,3,0,0,6
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,10,9,7,0,26
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,3,20,28,4,0,55
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,1,5,0,0,6
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,1,1,0,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,3,4,0,0,9
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,8,125,73,5,0,211
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,0,3,1,0,5
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,2,14,5,1,0,22
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,16,33,4,0,53
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,5,34,52,20,0,0,111
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,14,9,0,0,24
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,5,56,41,1,0,103
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,26,33,10,0,70
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,1,0,0,0,0,1
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,2,2,0,0,4
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,2,1,0,0,3
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-03-01,0,0,0,4,2,0,6
