,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
OKINAWA,atencion odontologica, cirugia bucal menor,2014-04-01,14,12,14,12,26
ORURO,atencion odontologica, cirugia bucal menor,2014-04-01,300,521,300,521,821
PADCAYA,atencion odontologica, cirugia bucal menor,2014-04-01,52,85,52,85,137
PADILLA,atencion odontologica, cirugia bucal menor,2014-04-01,16,41,16,41,57
PAILON,atencion odontologica, cirugia bucal menor,2014-04-01,25,34,25,34,59
PALCA,atencion odontologica, cirugia bucal menor,2014-04-01,29,37,29,37,66
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-04-01,39,54,39,54,93
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-04-01,3,2,3,2,5
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-04-01,3,17,3,17,20
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-04-01,6,12,6,12,18
PASORAPA,atencion odontologica, cirugia bucal menor,2014-04-01,8,7,8,7,15
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-04-01,12,16,12,16,28
PAZÑA,atencion odontologica, cirugia bucal menor,2014-04-01,14,26,14,26,40
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-04-01,12,21,12,21,33
POCOATA,atencion odontologica, cirugia bucal menor,2014-04-01,8,22,8,22,30
POCONA,atencion odontologica, cirugia bucal menor,2014-04-01,49,77,49,77,126
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-04-01,26,39,26,39,65
POOPO,atencion odontologica, cirugia bucal menor,2014-04-01,15,18,15,18,33
PORCO,atencion odontologica, cirugia bucal menor,2014-04-01,12,19,12,19,31
POROMA,atencion odontologica, cirugia bucal menor,2014-04-01,30,71,30,71,101
PORONGO,atencion odontologica, cirugia bucal menor,2014-04-01,3,0,3,0,3
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-04-01,31,62,31,62,93
PORVENIR,atencion odontologica, cirugia bucal menor,2014-04-01,44,46,44,46,90
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-04-01,7,2,7,2,9
POTOSI,atencion odontologica, cirugia bucal menor,2014-04-01,383,523,383,523,906
PRESTO,atencion odontologica, cirugia bucal menor,2014-04-01,7,22,7,22,29
PUCARA,atencion odontologica, cirugia bucal menor,2014-04-01,7,22,7,22,29
PUCARANI,atencion odontologica, cirugia bucal menor,2014-04-01,67,108,67,108,175
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-04-01,19,22,19,22,41
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-04-01,38,23,38,23,61
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-04-01,9,8,9,8,17
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-04-01,12,14,12,14,26
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-04-01,34,7,34,7,41
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-04-01,11,12,11,12,23
PUERTO SUAREZ,atencion odontologica, cirugia bucal menor,2014-04-01,4,23,4,23,27
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-04-01,31,23,31,23,54
PUNA,atencion odontologica, cirugia bucal menor,2014-04-01,30,62,30,62,92
PUNATA,atencion odontologica, cirugia bucal menor,2014-04-01,24,38,24,38,62
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-04-01,15,37,15,37,52
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-04-01,74,180,74,180,254
QUIME,atencion odontologica, cirugia bucal menor,2014-04-01,48,62,48,62,110
QUIRUSILLAS,atencion odontologica, cirugia bucal menor,2014-04-01,1,3,1,3,4
RAVELO,atencion odontologica, cirugia bucal menor,2014-04-01,25,24,25,24,49
REYES,atencion odontologica, cirugia bucal menor,2014-04-01,18,35,18,35,53
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-04-01,103,277,103,277,380
ROBORE,atencion odontologica, cirugia bucal menor,2014-04-01,9,7,9,7,16
RURRENABAQUE,atencion odontologica, cirugia bucal menor,2014-04-01,30,61,30,61,91
SABAYA,atencion odontologica, cirugia bucal menor,2014-04-01,23,10,23,10,33
SACABA,atencion odontologica, cirugia bucal menor,2014-04-01,177,225,177,225,402
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-04-01,15,7,15,7,22
SACACA,atencion odontologica, cirugia bucal menor,2014-04-01,26,41,26,41,67
SAIPINA,atencion odontologica, cirugia bucal menor,2014-04-01,5,21,5,21,26
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-04-01,29,57,29,57,86
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-04-01,23,15,23,15,38
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-04-01,3,2,3,2,5
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-04-01,31,29,31,29,60
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-04-01,13,33,13,33,46
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-04-01,6,14,6,14,20
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-04-01,15,15,15,15,30
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-04-01,7,6,7,6,13
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-04-01,31,59,31,59,90
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-04-01,11,10,11,10,21
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-04-01,68,78,68,78,146
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-04-01,51,105,51,105,156
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-04-01,23,33,23,33,56
SAN JAVIER(BNI),atencion odontologica, cirugia bucal menor,2014-04-01,3,4,3,4,7
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-04-01,51,38,51,38,89
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-04-01,0,4,0,4,4
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-04-01,19,32,19,32,51
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-04-01,10,7,10,7,17
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-04-01,98,188,98,188,286
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-04-01,26,49,26,49,75
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-04-01,14,23,14,23,37
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-04-01,27,18,27,18,45
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-04-01,2,5,2,5,7
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-04-01,21,84,21,84,105
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-04-01,31,48,31,48,79
SAN PEDRO DE CURAHUARA,atencion odontologica, cirugia bucal menor,2014-04-01,10,9,10,9,19
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-04-01,22,34,22,34,56
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-04-01,6,9,6,9,15
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-04-01,13,15,13,15,28
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-04-01,28,31,28,31,59
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-04-01,42,50,42,50,92
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-04-01,712,1016,712,1016,1728
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-04-01,12,14,12,14,26
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-04-01,54,62,54,62,116
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-04-01,7,14,7,14,21
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-04-01,15,9,15,9,24
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-04-01,20,23,20,23,43
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-04-01,19,35,19,35,54
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-04-01,2,5,2,5,7
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-04-01,7,16,7,16,23
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-04-01,22,36,22,36,58
SENA,atencion odontologica, cirugia bucal menor,2014-04-01,12,29,12,29,41
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-04-01,7,16,7,16,23
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-04-01,42,45,42,45,87
SICAYA,atencion odontologica, cirugia bucal menor,2014-04-01,1,6,1,6,7
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-04-01,25,54,25,54,79
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-04-01,25,40,25,40,65
SORACACHI,atencion odontologica, cirugia bucal menor,2014-04-01,18,21,18,21,39
SORATA,atencion odontologica, cirugia bucal menor,2014-04-01,32,24,32,24,56
SUCRE,atencion odontologica, cirugia bucal menor,2014-04-01,388,567,388,567,955
TACACHI,atencion odontologica, cirugia bucal menor,2014-04-01,1,0,1,0,1
TACACOMA,atencion odontologica, cirugia bucal menor,2014-04-01,29,25,29,25,54
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-04-01,1,2,1,2,3
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-04-01,6,20,6,20,26
TAHUA,atencion odontologica, cirugia bucal menor,2014-04-01,0,5,0,5,5
TAPACARI,atencion odontologica, cirugia bucal menor,2014-04-01,29,50,29,50,79
TARABUCO,atencion odontologica, cirugia bucal menor,2014-04-01,39,52,39,52,91
TARACO,atencion odontologica, cirugia bucal menor,2014-04-01,23,23,23,23,46
TARATA,atencion odontologica, cirugia bucal menor,2014-04-01,6,15,6,15,21
TARIJA,atencion odontologica, cirugia bucal menor,2014-04-01,611,931,611,931,1542
TARVITA,atencion odontologica, cirugia bucal menor,2014-04-01,20,46,20,46,66
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-04-01,29,44,29,44,73
TIAWANACU,atencion odontologica, cirugia bucal menor,2014-04-01,34,41,34,41,75
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-04-01,23,52,23,52,75
TIPUANI,atencion odontologica, cirugia bucal menor,2014-04-01,25,29,25,29,54
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-04-01,61,82,61,82,143
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-04-01,15,15,15,15,30
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-04-01,11,19,11,19,30
TOCO,atencion odontologica, cirugia bucal menor,2014-04-01,10,20,10,20,30
TOLATA,atencion odontologica, cirugia bucal menor,2014-04-01,14,24,14,24,38
TOLEDO,atencion odontologica, cirugia bucal menor,2014-04-01,13,17,13,17,30
TOMAVE,atencion odontologica, cirugia bucal menor,2014-04-01,52,40,52,40,92
TOMINA,atencion odontologica, cirugia bucal menor,2014-04-01,58,53,58,53,111
TORO TORO,atencion odontologica, cirugia bucal menor,2014-04-01,16,14,16,14,30
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-04-01,12,21,12,21,33
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-04-01,15,19,15,19,34
TRIGAL,atencion odontologica, cirugia bucal menor,2014-04-01,8,13,8,13,21
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-04-01,204,222,204,222,426
TUPIZA,atencion odontologica, cirugia bucal menor,2014-04-01,34,36,34,36,70
TURCO,atencion odontologica, cirugia bucal menor,2014-04-01,6,9,6,9,15
UMALA,atencion odontologica, cirugia bucal menor,2014-04-01,11,13,11,13,24
UNCIA,atencion odontologica, cirugia bucal menor,2014-04-01,14,20,14,20,34
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-04-01,100,143,100,143,243
URUBICHA,atencion odontologica, cirugia bucal menor,2014-04-01,4,10,4,10,14
UYUNI,atencion odontologica, cirugia bucal menor,2014-04-01,27,48,27,48,75
VACAS,atencion odontologica, cirugia bucal menor,2014-04-01,12,30,12,30,42
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-04-01,72,94,72,94,166
VIACHA,atencion odontologica, cirugia bucal menor,2014-04-01,89,143,89,143,232
VILA VILA,atencion odontologica, cirugia bucal menor,2014-04-01,2,4,2,4,6
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-04-01,5,20,5,20,25
VILLA MONTES,atencion odontologica, cirugia bucal menor,2014-04-01,185,283,185,283,468
VILLA NUEVA (LOMA ALTA),atencion odontologica, cirugia bucal menor,2014-04-01,3,2,3,2,5
VILLA RIVERO,atencion odontologica, cirugia bucal menor,2014-04-01,11,23,11,23,34
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-04-01,21,29,21,29,50
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-04-01,70,87,70,87,157
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-04-01,24,36,24,36,60
VILLAZON,atencion odontologica, cirugia bucal menor,2014-04-01,59,137,59,137,196
VINTO,atencion odontologica, cirugia bucal menor,2014-04-01,13,42,13,42,55
VITICHI,atencion odontologica, cirugia bucal menor,2014-04-01,35,40,35,40,75
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-04-01,8,8,8,8,16
WARNES,atencion odontologica, cirugia bucal menor,2014-04-01,32,65,32,65,97
YACUIBA,atencion odontologica, cirugia bucal menor,2014-04-01,147,285,147,285,432
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-04-01,10,22,10,22,32
YANACACHI,atencion odontologica, cirugia bucal menor,2014-04-01,1,7,1,7,8
YAPACANI,atencion odontologica, cirugia bucal menor,2014-04-01,57,120,57,120,177
YOCALLA,atencion odontologica, cirugia bucal menor,2014-04-01,15,19,15,19,34
YOTALA,atencion odontologica, cirugia bucal menor,2014-04-01,29,19,29,19,48
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-04-01,35,71,35,71,106
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-04-01,4,3,4,3,7
ACACIO,atencion odontologica, cirugia bucal menor,2014-05-01,5,4,5,4,9
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-05-01,143,149,143,149,292
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-05-01,15,39,15,39,54
AIQUILE,atencion odontologica, cirugia bucal menor,2014-05-01,10,14,10,14,24
ALALAY,atencion odontologica, cirugia bucal menor,2014-05-01,4,5,4,5,9
ALCALA,atencion odontologica, cirugia bucal menor,2014-05-01,19,49,19,49,68
ALTO BENI,atencion odontologica, cirugia bucal menor,2014-05-01,17,6,17,6,23
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-05-01,23,36,23,36,59
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-05-01,18,23,18,23,41
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-05-01,23,25,23,25,48
ANZALDO,atencion odontologica, cirugia bucal menor,2014-05-01,27,35,27,35,62
APOLO,atencion odontologica, cirugia bucal menor,2014-05-01,15,37,15,37,52
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-05-01,4,17,4,17,21
ARANI,atencion odontologica, cirugia bucal menor,2014-05-01,13,13,13,13,26
ARBIETO,atencion odontologica, cirugia bucal menor,2014-05-01,21,25,21,25,46
ARQUE,atencion odontologica, cirugia bucal menor,2014-05-01,15,26,15,26,41
ASCENCION DE GUARAYOS,atencion odontologica, cirugia bucal menor,2014-05-01,9,31,9,31,40
ATOCHA,atencion odontologica, cirugia bucal menor,2014-05-01,122,134,122,134,256
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-05-01,20,32,20,32,52
AYATA,atencion odontologica, cirugia bucal menor,2014-05-01,18,43,18,43,61
AYO AYO,atencion odontologica, cirugia bucal menor,2014-05-01,23,40,23,40,63
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-05-01,28,72,28,72,100
AZURDUY,atencion odontologica, cirugia bucal menor,2014-05-01,8,35,8,35,43
BATALLAS,atencion odontologica, cirugia bucal menor,2014-05-01,48,38,48,38,86
BAURES,atencion odontologica, cirugia bucal menor,2014-05-01,5,7,5,7,12
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-05-01,16,9,16,9,25
BELEN DE URMIRI,atencion odontologica, cirugia bucal menor,2014-05-01,17,9,17,9,26
BELLA FLOR,atencion odontologica, cirugia bucal menor,2014-05-01,1,2,1,2,3
BERMEJO,atencion odontologica, cirugia bucal menor,2014-05-01,149,285,149,285,434
BETANZOS,atencion odontologica, cirugia bucal menor,2014-05-01,34,60,34,60,94
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-05-01,20,12,20,12,32
BOYUIBE,atencion odontologica, cirugia bucal menor,2014-05-01,9,17,9,17,26
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-05-01,6,4,6,4,10
CABEZAS,atencion odontologica, cirugia bucal menor,2014-05-01,23,44,23,44,67
CAIROMA,atencion odontologica, cirugia bucal menor,2014-05-01,17,21,17,21,38
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-05-01,14,18,14,18,32
CAJUATA,atencion odontologica, cirugia bucal menor,2014-05-01,29,56,29,56,85
CALACOTO,atencion odontologica, cirugia bucal menor,2014-05-01,5,7,5,7,12
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-05-01,49,46,49,46,95
CAMARGO,atencion odontologica, cirugia bucal menor,2014-05-01,36,38,36,38,74
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-05-01,15,6,15,6,21
CAMIRI,atencion odontologica, cirugia bucal menor,2014-05-01,60,67,60,67,127
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-05-01,23,17,23,17,40
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-05-01,26,28,26,28,54
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-05-01,60,72,60,72,132
CARANAVI,atencion odontologica, cirugia bucal menor,2014-05-01,28,61,28,61,89
CARAPARI,atencion odontologica, cirugia bucal menor,2014-05-01,59,101,59,101,160
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-05-01,1,4,1,4,5
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-05-01,10,16,10,16,26
CATACORA,atencion odontologica, cirugia bucal menor,2014-05-01,11,14,11,14,25
CHACARILLA,atencion odontologica, cirugia bucal menor,2014-05-01,8,7,8,7,15
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-05-01,94,92,94,92,186
CHAQUI,atencion odontologica, cirugia bucal menor,2014-05-01,6,8,6,8,14
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-05-01,53,47,53,47,100
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-05-01,6,7,6,7,13
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-05-01,32,69,32,69,101
CHIMORE,atencion odontologica, cirugia bucal menor,2014-05-01,26,39,26,39,65
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-05-01,5,7,5,7,12
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-05-01,1,13,1,13,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-05-01,30,26,30,26,56
CHUMA,atencion odontologica, cirugia bucal menor,2014-05-01,76,112,76,112,188
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, cirugia bucal menor,2014-05-01,4,27,4,27,31
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-05-01,25,38,25,38,63
CLIZA,atencion odontologica, cirugia bucal menor,2014-05-01,31,73,31,73,104
COBIJA,atencion odontologica, cirugia bucal menor,2014-05-01,116,106,116,106,222
COCAPATA,atencion odontologica, cirugia bucal menor,2014-05-01,32,54,32,54,86
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-05-01,445,555,445,555,1000
COIPASA,atencion odontologica, cirugia bucal menor,2014-05-01,2,6,2,6,8
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-05-01,21,54,21,54,75
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-05-01,16,20,16,20,36
COLLANA,atencion odontologica, cirugia bucal menor,2014-05-01,12,21,12,21,33
COLOMI,atencion odontologica, cirugia bucal menor,2014-05-01,10,25,10,25,35
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-05-01,2,8,2,8,10
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-05-01,58,109,58,109,167
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-05-01,14,20,14,20,34
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-05-01,28,44,28,44,72
COMANCHE,atencion odontologica, cirugia bucal menor,2014-05-01,15,16,15,16,31
COMARAPA,atencion odontologica, cirugia bucal menor,2014-05-01,42,40,42,40,82
COMBAYA,atencion odontologica, cirugia bucal menor,2014-05-01,4,10,4,10,14
CONCEPCION,atencion odontologica, cirugia bucal menor,2014-05-01,28,39,28,39,67
COPACABANA,atencion odontologica, cirugia bucal menor,2014-05-01,38,40,38,40,78
CORIPATA,atencion odontologica, cirugia bucal menor,2014-05-01,3,2,3,2,5
CORO CORO,atencion odontologica, cirugia bucal menor,2014-05-01,10,26,10,26,36
COROICO,atencion odontologica, cirugia bucal menor,2014-05-01,50,74,50,74,124
CORQUE,atencion odontologica, cirugia bucal menor,2014-05-01,15,19,15,19,34
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-05-01,58,78,58,78,136
COTOCA,atencion odontologica, cirugia bucal menor,2014-05-01,27,46,27,46,73
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-05-01,15,26,15,26,41
CUEVO,atencion odontologica, cirugia bucal menor,2014-05-01,9,17,9,17,26
