,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,8,11,8,19
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,40,22,40,22,62
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,100,158,100,158,258
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3595,2194,3595,2194,5789
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,22,21,22,43
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,24,46,24,46,70
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,5,2,5,7
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,159,219,159,219,378
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,2,1,2,3
LORETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,3,2,3,5
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,19,12,19,31
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,2,1,2,3
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,27,19,27,19,46
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,13,12,13,25
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,21,3,21,24
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,1,0,1,1
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,40,41,40,41,81
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,39,55,39,55,94
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,51,38,51,38,89
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,110,123,110,123,233
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,18,19,18,19,37
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,10,5,10,15
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,54,81,54,81,135
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2105,2482,2105,2482,4587
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,10,8,10,8,18
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,72,94,72,94,166
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,5,2,5,7
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,8,7,8,7,15
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,1,2,1,3
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,24,0,24,24
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1506,2016,1506,2016,3522
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,113,102,113,102,215
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,23,17,23,17,40
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,37,124,37,124,161
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,62,80,62,80,142
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,68,88,68,88,156
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,152,142,152,142,294
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,4,4,4,8
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,8,24,8,24,32
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,5,4,5,9
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,148,172,148,172,320
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,12,2,12,14
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,5,5,5,10
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,24,26,24,26,50
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,46,49,46,49,95
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,146,173,146,173,319
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,53,39,53,39,92
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,5,3,5,8
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,143,137,143,137,280
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,31,21,31,52
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,12,35,12,35,47
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,11,21,11,32
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,7,2,7,9
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,314,555,314,555,869
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,60,98,60,98,158
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,0,1,0,1
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,33,33,33,33,66
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,18,13,18,13,31
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,4,4,4,8
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,12,13,12,25
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,11,13,11,24
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,80,72,80,72,152
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,13,11,13,24
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,5,6,5,11
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,88,127,88,127,215
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,14,5,14,19
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,47,57,47,57,104
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,4,11,4,15
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,591,1005,591,1005,1596
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,117,128,117,128,245
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,7,0,7,7
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,3,0,3,3
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,44,40,44,40,84
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,242,303,242,303,545
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,8,13,8,21
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,69,97,69,97,166
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,7,0,7,7
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1335,1745,1335,1745,3080
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,26,2,26,28
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,16,11,16,27
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,78,149,78,149,227
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,18,4,18,22
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,6,5,6,11
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,30,7,30,37
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,21,30,21,30,51
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,17,23,17,23,40
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,2,0,2,2
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,86,105,86,105,191
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,36,50,36,50,86
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,0,2,0,2
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,1,1,1,2
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,45,52,45,52,97
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,61,140,61,140,201
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,34,91,34,91,125
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,16,13,16,29
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,155,347,155,347,502
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,91,117,91,117,208
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,23,11,23,34
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,9,9,9,9,18
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,6,4,6,10
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,27,13,27,40
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,26,7,26,33
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,19,14,19,14,33
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,6,11,6,11,17
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,24,4,24,28
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,6,5,6,11
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,57,98,57,98,155
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2600,3765,2600,3765,6365
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,15,23,15,23,38
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,3,6,3,6,9
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,33,56,33,56,89
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,195,305,195,305,500
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,4,4,4,4,8
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,8,0,8,8
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,2,7,2,9
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,109,127,109,127,236
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,71,59,71,59,130
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,17,37,17,37,54
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,1,0,1,1
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,62,113,62,113,175
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,13,35,13,35,48
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,18,8,18,8,26
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,83,172,83,172,255
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1841,2247,1841,2247,4088
TACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,42,37,42,37,79
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,7,0,7,7
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,11,1,11,12
TAHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,1,3,1,3,4
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,19,37,19,37,56
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,52,55,52,55,107
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,46,63,46,63,109
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,162,201,162,201,363
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,763,939,763,939,1702
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,60,68,60,68,128
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,11,27,11,27,38
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,66,136,66,136,202
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,7,25,7,25,32
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,19,29,19,29,48
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,446,665,446,665,1111
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,28,35,28,35,63
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,0,3,0,3,3
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,17,47,17,47,64
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,28,73,28,73,101
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,5,2,5,2,7
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,19,36,19,36,55
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,33,78,33,78,111
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,14,19,14,19,33
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-05-01,2,4,2,4,6
