,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
MOJOCOYA,atencion odontologica, primera consulta,2014-05-01,49,71,49,71,120
MONTEAGUDO,atencion odontologica, primera consulta,2014-05-01,139,203,139,203,342
MONTERO,atencion odontologica, primera consulta,2014-05-01,506,614,506,614,1120
MORO MORO,atencion odontologica, primera consulta,2014-05-01,20,22,20,22,42
MOROCHATA,atencion odontologica, primera consulta,2014-05-01,34,65,34,65,99
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, primera consulta,2014-05-01,60,42,60,42,102
OCURI,atencion odontologica, primera consulta,2014-05-01,54,69,54,69,123
OKINAWA,atencion odontologica, primera consulta,2014-05-01,19,44,19,44,63
OMEREQUE,atencion odontologica, primera consulta,2014-05-01,2,6,2,6,8
ORURO,atencion odontologica, primera consulta,2014-05-01,702,1025,702,1025,1727
PADCAYA,atencion odontologica, primera consulta,2014-05-01,183,238,183,238,421
PADILLA,atencion odontologica, primera consulta,2014-05-01,53,83,53,83,136
PAILON,atencion odontologica, primera consulta,2014-05-01,86,93,86,93,179
PALCA,atencion odontologica, primera consulta,2014-05-01,71,96,71,96,167
PALOS BLANCOS,atencion odontologica, primera consulta,2014-05-01,108,135,108,135,243
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-05-01,145,137,145,137,282
PAMPA GRANDE,atencion odontologica, primera consulta,2014-05-01,17,25,17,25,42
PAPEL PAMPA,atencion odontologica, primera consulta,2014-05-01,30,50,30,50,80
PASORAPA,atencion odontologica, primera consulta,2014-05-01,7,7,7,7,14
PATACAMAYA,atencion odontologica, primera consulta,2014-05-01,41,46,41,46,87
PAZÑA,atencion odontologica, primera consulta,2014-05-01,32,24,32,24,56
PELECHUCO,atencion odontologica, primera consulta,2014-05-01,11,12,11,12,23
POCOATA,atencion odontologica, primera consulta,2014-05-01,90,156,90,156,246
POCONA,atencion odontologica, primera consulta,2014-05-01,146,137,146,137,283
POJO (CBBA),atencion odontologica, primera consulta,2014-05-01,215,284,215,284,499
POOPO,atencion odontologica, primera consulta,2014-05-01,42,41,42,41,83
PORCO,atencion odontologica, primera consulta,2014-05-01,40,72,40,72,112
POROMA,atencion odontologica, primera consulta,2014-05-01,248,349,248,349,597
PORONGO,atencion odontologica, primera consulta,2014-05-01,102,124,102,124,226
PORTACHUELO,atencion odontologica, primera consulta,2014-05-01,20,55,20,55,75
PORVENIR,atencion odontologica, primera consulta,2014-05-01,30,40,30,40,70
POSTRER VALLE,atencion odontologica, primera consulta,2014-05-01,8,10,8,10,18
POTOSI,atencion odontologica, primera consulta,2014-05-01,1097,1633,1097,1633,2730
PRESTO,atencion odontologica, primera consulta,2014-05-01,108,148,108,148,256
PUCARA,atencion odontologica, primera consulta,2014-05-01,57,40,57,40,97
PUCARANI,atencion odontologica, primera consulta,2014-05-01,123,187,123,187,310
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-05-01,30,24,30,24,54
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-05-01,53,66,53,66,119
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-05-01,11,10,11,10,21
PUERTO PEREZ,atencion odontologica, primera consulta,2014-05-01,47,58,47,58,105
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-05-01,92,45,92,45,137
PUERTO RICO,atencion odontologica, primera consulta,2014-05-01,87,101,87,101,188
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-05-01,12,25,12,25,37
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-05-01,109,147,109,147,256
PUNA,atencion odontologica, primera consulta,2014-05-01,86,158,86,158,244
PUNATA,atencion odontologica, primera consulta,2014-05-01,41,80,41,80,121
QUIABAYA,atencion odontologica, primera consulta,2014-05-01,33,43,33,43,76
QUILLACOLLO,atencion odontologica, primera consulta,2014-05-01,198,363,198,363,561
QUIME,atencion odontologica, primera consulta,2014-05-01,90,102,90,102,192
QUIRUSILLAS,atencion odontologica, primera consulta,2014-05-01,5,12,5,12,17
RAVELO,atencion odontologica, primera consulta,2014-05-01,93,136,93,136,229
REYES,atencion odontologica, primera consulta,2014-05-01,28,43,28,43,71
RIBERALTA,atencion odontologica, primera consulta,2014-05-01,542,871,542,871,1413
ROBORE,atencion odontologica, primera consulta,2014-05-01,61,79,61,79,140
RURRENABAQUE,atencion odontologica, primera consulta,2014-05-01,41,87,41,87,128
SABAYA,atencion odontologica, primera consulta,2014-05-01,13,17,13,17,30
SACABA,atencion odontologica, primera consulta,2014-05-01,430,608,430,608,1038
SACABAMBA,atencion odontologica, primera consulta,2014-05-01,8,18,8,18,26
SACACA,atencion odontologica, primera consulta,2014-05-01,54,80,54,80,134
SAIPINA,atencion odontologica, primera consulta,2014-05-01,11,25,11,25,36
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-05-01,91,122,91,122,213
SAMAIPATA,atencion odontologica, primera consulta,2014-05-01,23,36,23,36,59
SAN AGUSTIN,atencion odontologica, primera consulta,2014-05-01,0,3,0,3,3
SAN ANDRES,atencion odontologica, primera consulta,2014-05-01,56,93,56,93,149
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-05-01,84,99,84,99,183
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-05-01,23,19,23,19,42
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-05-01,45,51,45,51,96
SAN BENITO,atencion odontologica, primera consulta,2014-05-01,37,41,37,41,78
SAN BORJA,atencion odontologica, primera consulta,2014-05-01,92,130,92,130,222
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-05-01,34,41,34,41,75
SAN CARLOS,atencion odontologica, primera consulta,2014-05-01,48,145,48,145,193
SAN IGNACIO,atencion odontologica, primera consulta,2014-05-01,426,442,426,442,868
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-05-01,369,453,369,453,822
SAN JAVIER(STC),atencion odontologica, primera consulta,2014-05-01,35,40,35,40,75
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-05-01,94,146,94,146,240
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-05-01,8,22,8,22,30
SAN JULIAN,atencion odontologica, primera consulta,2014-05-01,455,695,455,695,1150
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-05-01,22,40,22,40,62
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-05-01,145,327,145,327,472
SAN LUCAS,atencion odontologica, primera consulta,2014-05-01,90,113,90,113,203
SAN MATIAS,atencion odontologica, primera consulta,2014-05-01,34,37,34,37,71
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-05-01,41,57,41,57,98
SAN PEDRO,atencion odontologica, primera consulta,2014-05-01,36,61,36,61,97
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-05-01,55,87,55,87,142
SAN PEDRO DE CURAHUARA,atencion odontologica, primera consulta,2014-05-01,11,17,11,17,28
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-05-01,3,4,3,4,7
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-05-01,20,32,20,32,52
SAN RAFAEL,atencion odontologica, primera consulta,2014-05-01,4,24,4,24,28
SAN RAMON BENI,atencion odontologica, primera consulta,2014-05-01,64,80,64,80,144
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-05-01,28,31,28,31,59
SANTA ANA,atencion odontologica, primera consulta,2014-05-01,92,85,92,85,177
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-05-01,4891,7053,4891,7053,11944
SANTA ROSA,atencion odontologica, primera consulta,2014-05-01,28,37,28,37,65
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-05-01,97,165,97,165,262
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-05-01,38,67,38,67,105
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-05-01,64,80,64,80,144
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-05-01,22,37,22,37,59
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-05-01,13,14,13,14,27
SANTIVAÑES,atencion odontologica, primera consulta,2014-05-01,12,19,12,19,31
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-05-01,29,34,29,34,63
SAPAHAQUI,atencion odontologica, primera consulta,2014-05-01,64,112,64,112,176
SENA,atencion odontologica, primera consulta,2014-05-01,22,14,22,14,36
SHINAOTA,atencion odontologica, primera consulta,2014-05-01,26,42,26,42,68
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-05-01,118,167,118,167,285
SICAYA,atencion odontologica, primera consulta,2014-05-01,2,5,2,5,7
SIPE SIPE,atencion odontologica, primera consulta,2014-05-01,65,98,65,98,163
SOPACHUY,atencion odontologica, primera consulta,2014-05-01,34,71,34,71,105
SORACACHI,atencion odontologica, primera consulta,2014-05-01,38,35,38,35,73
SORATA,atencion odontologica, primera consulta,2014-05-01,46,60,46,60,106
SUCRE,atencion odontologica, primera consulta,2014-05-01,1552,2380,1552,2380,3932
TACACHI,atencion odontologica, primera consulta,2014-05-01,2,5,2,5,7
TACACOMA,atencion odontologica, primera consulta,2014-05-01,31,59,31,59,90
TACOBAMBA,atencion odontologica, primera consulta,2014-05-01,1,0,1,0,1
TACOPAYA,atencion odontologica, primera consulta,2014-05-01,37,66,37,66,103
TAHUA,atencion odontologica, primera consulta,2014-05-01,6,7,6,7,13
TAPACARI,atencion odontologica, primera consulta,2014-05-01,65,80,65,80,145
TARABUCO,atencion odontologica, primera consulta,2014-05-01,158,206,158,206,364
TARACO,atencion odontologica, primera consulta,2014-05-01,38,43,38,43,81
TARATA,atencion odontologica, primera consulta,2014-05-01,155,197,155,197,352
TARIJA,atencion odontologica, primera consulta,2014-05-01,1602,2135,1602,2135,3737
TARVITA,atencion odontologica, primera consulta,2014-05-01,118,194,118,194,312
TEOPONTE,atencion odontologica, primera consulta,2014-05-01,29,34,29,34,63
TIAWANACU,atencion odontologica, primera consulta,2014-05-01,113,224,113,224,337
TINGUIPAYA,atencion odontologica, primera consulta,2014-05-01,35,77,35,77,112
TIPUANI,atencion odontologica, primera consulta,2014-05-01,24,36,24,36,60
TIQUIPAYA,atencion odontologica, primera consulta,2014-05-01,238,368,238,368,606
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-05-01,42,46,42,46,88
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-05-01,11,14,11,14,25
TOCO,atencion odontologica, primera consulta,2014-05-01,43,84,43,84,127
TODOS SANTOS,atencion odontologica, primera consulta,2014-05-01,6,2,6,2,8
TOLATA,atencion odontologica, primera consulta,2014-05-01,5,16,5,16,21
TOLEDO,atencion odontologica, primera consulta,2014-05-01,14,10,14,10,24
TOMAVE,atencion odontologica, primera consulta,2014-05-01,63,102,63,102,165
TOMINA,atencion odontologica, primera consulta,2014-05-01,138,205,138,205,343
TORO TORO,atencion odontologica, primera consulta,2014-05-01,46,58,46,58,104
TOTORA(CBBA),atencion odontologica, primera consulta,2014-05-01,83,99,83,99,182
TOTORA(ORR),atencion odontologica, primera consulta,2014-05-01,48,62,48,62,110
TRIGAL,atencion odontologica, primera consulta,2014-05-01,9,17,9,17,26
TRINIDAD,atencion odontologica, primera consulta,2014-05-01,360,625,360,625,985
TUPIZA,atencion odontologica, primera consulta,2014-05-01,175,206,175,206,381
TURCO,atencion odontologica, primera consulta,2014-05-01,18,30,18,30,48
UMALA,atencion odontologica, primera consulta,2014-05-01,34,45,34,45,79
UNCIA,atencion odontologica, primera consulta,2014-05-01,296,380,296,380,676
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-05-01,208,289,208,289,497
URUBICHA,atencion odontologica, primera consulta,2014-05-01,18,15,18,15,33
UYUNI,atencion odontologica, primera consulta,2014-05-01,117,103,117,103,220
VACAS,atencion odontologica, primera consulta,2014-05-01,45,57,45,57,102
VALLEGRANDE,atencion odontologica, primera consulta,2014-05-01,211,216,211,216,427
VIACHA,atencion odontologica, primera consulta,2014-05-01,301,342,301,342,643
VILA VILA,atencion odontologica, primera consulta,2014-05-01,3,14,3,14,17
VILLA CHARCAS,atencion odontologica, primera consulta,2014-05-01,66,124,66,124,190
VILLA MONTES,atencion odontologica, primera consulta,2014-05-01,279,350,279,350,629
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-05-01,3,8,3,8,11
VILLA RIVERO,atencion odontologica, primera consulta,2014-05-01,18,19,18,19,37
VILLA SERRANO,atencion odontologica, primera consulta,2014-05-01,41,60,41,60,101
VILLA TUNARI,atencion odontologica, primera consulta,2014-05-01,380,397,380,397,777
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-05-01,41,62,41,62,103
VILLAZON,atencion odontologica, primera consulta,2014-05-01,120,152,120,152,272
VINTO,atencion odontologica, primera consulta,2014-05-01,59,57,59,57,116
VITICHI,atencion odontologica, primera consulta,2014-05-01,108,110,108,110,218
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-05-01,5,8,5,8,13
WARNES,atencion odontologica, primera consulta,2014-05-01,45,117,45,117,162
YACO,atencion odontologica, primera consulta,2014-05-01,22,20,22,20,42
YACUIBA,atencion odontologica, primera consulta,2014-05-01,295,547,295,547,842
YAMPARAEZ,atencion odontologica, primera consulta,2014-05-01,59,100,59,100,159
YANACACHI,atencion odontologica, primera consulta,2014-05-01,34,55,34,55,89
YAPACANI,atencion odontologica, primera consulta,2014-05-01,128,156,128,156,284
YOCALLA,atencion odontologica, primera consulta,2014-05-01,17,21,17,21,38
YOTALA,atencion odontologica, primera consulta,2014-05-01,45,68,45,68,113
YUNCHARA,atencion odontologica, primera consulta,2014-05-01,61,92,61,92,153
ZUDAÑEZ,atencion odontologica, primera consulta,2014-05-01,30,43,30,43,73
ACACIO,atencion odontologica, primera consulta,2014-06-01,10,9,10,9,19
ACHACACHI,atencion odontologica, primera consulta,2014-06-01,183,258,183,258,441
ACHOCALLA,atencion odontologica, primera consulta,2014-06-01,47,52,47,52,99
AIQUILE,atencion odontologica, primera consulta,2014-06-01,41,49,41,49,90
ALALAY,atencion odontologica, primera consulta,2014-06-01,3,2,3,2,5
ALCALA,atencion odontologica, primera consulta,2014-06-01,29,43,29,43,72
ALTO BENI,atencion odontologica, primera consulta,2014-06-01,22,27,22,27,49
ANCORAIMES,atencion odontologica, primera consulta,2014-06-01,12,16,12,16,28
ANDAMARCA,atencion odontologica, primera consulta,2014-06-01,50,54,50,54,104
ANTEQUERA,atencion odontologica, primera consulta,2014-06-01,19,13,19,13,32
ANZALDO,atencion odontologica, primera consulta,2014-06-01,163,140,163,140,303
APOLO,atencion odontologica, primera consulta,2014-06-01,20,25,20,25,45
ARAMPAMPA,atencion odontologica, primera consulta,2014-06-01,25,21,25,21,46
ARANI,atencion odontologica, primera consulta,2014-06-01,25,37,25,37,62
ARBIETO,atencion odontologica, primera consulta,2014-06-01,45,71,45,71,116
ARQUE,atencion odontologica, primera consulta,2014-06-01,33,42,33,42,75
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-06-01,50,135,50,135,185
ATOCHA,atencion odontologica, primera consulta,2014-06-01,207,300,207,300,507
AUCAPATA,atencion odontologica, primera consulta,2014-06-01,11,20,11,20,31
AYATA,atencion odontologica, primera consulta,2014-06-01,7,19,7,19,26
AYO AYO,atencion odontologica, primera consulta,2014-06-01,20,22,20,22,42
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-06-01,54,95,54,95,149
AZURDUY,atencion odontologica, primera consulta,2014-06-01,27,59,27,59,86
BATALLAS,atencion odontologica, primera consulta,2014-06-01,52,82,52,82,134
BAURES,atencion odontologica, primera consulta,2014-06-01,8,29,8,29,37
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-06-01,4,14,4,14,18
BELEN DE URMIRI,atencion odontologica, primera consulta,2014-06-01,5,11,5,11,16
BELLA FLOR,atencion odontologica, primera consulta,2014-06-01,20,54,20,54,74
BERMEJO,atencion odontologica, primera consulta,2014-06-01,445,550,445,550,995
BETANZOS,atencion odontologica, primera consulta,2014-06-01,50,104,50,104,154
BOLIVAR,atencion odontologica, primera consulta,2014-06-01,29,37,29,37,66
BOLPEBRA,atencion odontologica, primera consulta,2014-06-01,15,11,15,11,26
BOYUIBE,atencion odontologica, primera consulta,2014-06-01,10,19,10,19,29
BUENA VISTA,atencion odontologica, primera consulta,2014-06-01,16,39,16,39,55
CABEZAS,atencion odontologica, primera consulta,2014-06-01,91,153,91,153,244
CAIROMA,atencion odontologica, primera consulta,2014-06-01,37,52,37,52,89
"CAIZA ""D""",atencion odontologica, primera consulta,2014-06-01,56,75,56,75,131
CAJUATA,atencion odontologica, primera consulta,2014-06-01,49,65,49,65,114
CALACOTO,atencion odontologica, primera consulta,2014-06-01,15,17,15,17,32
CALAMARCA,atencion odontologica, primera consulta,2014-06-01,49,50,49,50,99
CAMARGO,atencion odontologica, primera consulta,2014-06-01,45,60,45,60,105
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-06-01,19,16,19,16,35
CAMIRI,atencion odontologica, primera consulta,2014-06-01,670,770,670,770,1440
CAPINOTA,atencion odontologica, primera consulta,2014-06-01,18,38,18,38,56
CAQUIAVIRI,atencion odontologica, primera consulta,2014-06-01,39,65,39,65,104
CARACOLLO,atencion odontologica, primera consulta,2014-06-01,35,56,35,56,91
CARANAVI,atencion odontologica, primera consulta,2014-06-01,88,84,88,84,172
CARAPARI,atencion odontologica, primera consulta,2014-06-01,98,118,98,118,216
CARIPUYO,atencion odontologica, primera consulta,2014-06-01,14,25,14,25,39
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-06-01,107,140,107,140,247
CATACORA,atencion odontologica, primera consulta,2014-06-01,4,3,4,3,7
CHACARILLA,atencion odontologica, primera consulta,2014-06-01,4,3,4,3,7
CHALLAPATA,atencion odontologica, primera consulta,2014-06-01,137,173,137,173,310
CHAQUI,atencion odontologica, primera consulta,2014-06-01,7,17,7,17,24
CHARAGUA,atencion odontologica, primera consulta,2014-06-01,112,144,112,144,256
CHARAÑA,atencion odontologica, primera consulta,2014-06-01,8,6,8,6,14
CHAYANTA,atencion odontologica, primera consulta,2014-06-01,49,75,49,75,124
