,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
ROBORE,atencion odontologica, restauraciones,2014-04-01,7,49,7,49,56
RURRENABAQUE,atencion odontologica, restauraciones,2014-04-01,74,120,74,120,194
SABAYA,atencion odontologica, restauraciones,2014-04-01,28,27,28,27,55
SACABA,atencion odontologica, restauraciones,2014-04-01,813,1288,813,1288,2101
SACABAMBA,atencion odontologica, restauraciones,2014-04-01,12,25,12,25,37
SACACA,atencion odontologica, restauraciones,2014-04-01,14,51,14,51,65
SAIPINA,atencion odontologica, restauraciones,2014-04-01,11,35,11,35,46
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-04-01,104,161,104,161,265
SAMAIPATA,atencion odontologica, restauraciones,2014-04-01,11,52,11,52,63
SAN AGUSTIN,atencion odontologica, restauraciones,2014-04-01,0,4,0,4,4
SAN ANDRES,atencion odontologica, restauraciones,2014-04-01,17,30,17,30,47
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-04-01,33,46,33,46,79
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-04-01,1,11,1,11,12
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-04-01,6,17,6,17,23
SAN BENITO,atencion odontologica, restauraciones,2014-04-01,16,20,16,20,36
SAN BORJA,atencion odontologica, restauraciones,2014-04-01,47,91,47,91,138
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-04-01,19,35,19,35,54
SAN CARLOS,atencion odontologica, restauraciones,2014-04-01,38,63,38,63,101
SAN IGNACIO,atencion odontologica, restauraciones,2014-04-01,118,254,118,254,372
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-04-01,32,39,32,39,71
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-04-01,7,6,7,6,13
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-04-01,32,59,32,59,91
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-04-01,9,11,9,11,20
SAN JULIAN,atencion odontologica, restauraciones,2014-04-01,40,118,40,118,158
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-04-01,0,5,0,5,5
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-04-01,126,335,126,335,461
SAN LUCAS,atencion odontologica, restauraciones,2014-04-01,65,129,65,129,194
SAN MATIAS,atencion odontologica, restauraciones,2014-04-01,8,17,8,17,25
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-04-01,13,23,13,23,36
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-04-01,1,2,1,2,3
SAN PEDRO,atencion odontologica, restauraciones,2014-04-01,42,101,42,101,143
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-04-01,43,57,43,57,100
SAN PEDRO DE CURAHUARA,atencion odontologica, restauraciones,2014-04-01,18,10,18,10,28
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-04-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-04-01,3,9,3,9,12
SAN RAFAEL,atencion odontologica, restauraciones,2014-04-01,3,34,3,34,37
SAN RAMON BENI,atencion odontologica, restauraciones,2014-04-01,14,22,14,22,36
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-04-01,49,53,49,53,102
SANTA ANA,atencion odontologica, restauraciones,2014-04-01,19,72,19,72,91
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-04-01,3481,6272,3481,6272,9753
SANTA ROSA,atencion odontologica, restauraciones,2014-04-01,11,15,11,15,26
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-04-01,14,88,14,88,102
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-04-01,129,136,129,136,265
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-04-01,15,32,15,32,47
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-04-01,15,41,15,41,56
SANTIVAÑES,atencion odontologica, restauraciones,2014-04-01,22,31,22,31,53
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-04-01,21,38,21,38,59
SAPAHAQUI,atencion odontologica, restauraciones,2014-04-01,8,28,8,28,36
SENA,atencion odontologica, restauraciones,2014-04-01,4,9,4,9,13
SHINAOTA,atencion odontologica, restauraciones,2014-04-01,18,47,18,47,65
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-04-01,41,79,41,79,120
SICAYA,atencion odontologica, restauraciones,2014-04-01,4,10,4,10,14
SIPE SIPE,atencion odontologica, restauraciones,2014-04-01,118,268,118,268,386
SOPACHUY,atencion odontologica, restauraciones,2014-04-01,24,73,24,73,97
SORACACHI,atencion odontologica, restauraciones,2014-04-01,32,33,32,33,65
SORATA,atencion odontologica, restauraciones,2014-04-01,37,69,37,69,106
SUCRE,atencion odontologica, restauraciones,2014-04-01,2563,4164,2563,4164,6727
TACACHI,atencion odontologica, restauraciones,2014-04-01,0,3,0,3,3
TACACOMA,atencion odontologica, restauraciones,2014-04-01,26,32,26,32,58
TACOBAMBA,atencion odontologica, restauraciones,2014-04-01,0,12,0,12,12
TACOPAYA,atencion odontologica, restauraciones,2014-04-01,8,28,8,28,36
TAHUA,atencion odontologica, restauraciones,2014-04-01,8,13,8,13,21
TAPACARI,atencion odontologica, restauraciones,2014-04-01,53,75,53,75,128
TARABUCO,atencion odontologica, restauraciones,2014-04-01,21,46,21,46,67
TARACO,atencion odontologica, restauraciones,2014-04-01,63,73,63,73,136
TARATA,atencion odontologica, restauraciones,2014-04-01,44,89,44,89,133
TARIJA,atencion odontologica, restauraciones,2014-04-01,1685,2926,1685,2926,4611
TARVITA,atencion odontologica, restauraciones,2014-04-01,12,35,12,35,47
TEOPONTE,atencion odontologica, restauraciones,2014-04-01,29,71,29,71,100
TIAWANACU,atencion odontologica, restauraciones,2014-04-01,13,55,13,55,68
TINGUIPAYA,atencion odontologica, restauraciones,2014-04-01,4,9,4,9,13
TIPUANI,atencion odontologica, restauraciones,2014-04-01,8,20,8,20,28
TIQUIPAYA,atencion odontologica, restauraciones,2014-04-01,424,752,424,752,1176
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-04-01,17,52,17,52,69
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-04-01,7,4,7,4,11
TOCO,atencion odontologica, restauraciones,2014-04-01,29,55,29,55,84
TOLATA,atencion odontologica, restauraciones,2014-04-01,20,29,20,29,49
TOLEDO,atencion odontologica, restauraciones,2014-04-01,18,24,18,24,42
TOMAVE,atencion odontologica, restauraciones,2014-04-01,37,42,37,42,79
TOMINA,atencion odontologica, restauraciones,2014-04-01,30,41,30,41,71
TORO TORO,atencion odontologica, restauraciones,2014-04-01,17,36,17,36,53
TOTORA(CBBA),atencion odontologica, restauraciones,2014-04-01,47,48,47,48,95
TOTORA(ORR),atencion odontologica, restauraciones,2014-04-01,41,24,41,24,65
TRIGAL,atencion odontologica, restauraciones,2014-04-01,19,19,19,19,38
TRINIDAD,atencion odontologica, restauraciones,2014-04-01,499,607,499,607,1106
TUPIZA,atencion odontologica, restauraciones,2014-04-01,62,92,62,92,154
TURCO,atencion odontologica, restauraciones,2014-04-01,7,24,7,24,31
UMALA,atencion odontologica, restauraciones,2014-04-01,10,15,10,15,25
UNCIA,atencion odontologica, restauraciones,2014-04-01,50,129,50,129,179
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-04-01,146,257,146,257,403
URUBICHA,atencion odontologica, restauraciones,2014-04-01,13,7,13,7,20
UYUNI,atencion odontologica, restauraciones,2014-04-01,32,45,32,45,77
VACAS,atencion odontologica, restauraciones,2014-04-01,42,73,42,73,115
VALLEGRANDE,atencion odontologica, restauraciones,2014-04-01,79,184,79,184,263
VIACHA,atencion odontologica, restauraciones,2014-04-01,87,160,87,160,247
VILA VILA,atencion odontologica, restauraciones,2014-04-01,5,19,5,19,24
VILLA CHARCAS,atencion odontologica, restauraciones,2014-04-01,7,28,7,28,35
VILLA MONTES,atencion odontologica, restauraciones,2014-04-01,207,422,207,422,629
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-04-01,0,4,0,4,4
VILLA RIVERO,atencion odontologica, restauraciones,2014-04-01,23,38,23,38,61
VILLA SERRANO,atencion odontologica, restauraciones,2014-04-01,52,79,52,79,131
VILLA TUNARI,atencion odontologica, restauraciones,2014-04-01,284,537,284,537,821
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-04-01,58,130,58,130,188
VILLAZON,atencion odontologica, restauraciones,2014-04-01,48,164,48,164,212
VINTO,atencion odontologica, restauraciones,2014-04-01,56,225,56,225,281
VITICHI,atencion odontologica, restauraciones,2014-04-01,25,51,25,51,76
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-04-01,5,4,5,4,9
WARNES,atencion odontologica, restauraciones,2014-04-01,100,168,100,168,268
YACUIBA,atencion odontologica, restauraciones,2014-04-01,359,633,359,633,992
YAMPARAEZ,atencion odontologica, restauraciones,2014-04-01,32,70,32,70,102
YANACACHI,atencion odontologica, restauraciones,2014-04-01,16,30,16,30,46
YAPACANI,atencion odontologica, restauraciones,2014-04-01,93,344,93,344,437
YOCALLA,atencion odontologica, restauraciones,2014-04-01,22,25,22,25,47
YOTALA,atencion odontologica, restauraciones,2014-04-01,26,40,26,40,66
YUNCHARA,atencion odontologica, restauraciones,2014-04-01,35,67,35,67,102
ZUDAÑEZ,atencion odontologica, restauraciones,2014-04-01,14,30,14,30,44
ACACIO,atencion odontologica, restauraciones,2014-05-01,1,7,1,7,8
ACHACACHI,atencion odontologica, restauraciones,2014-05-01,133,207,133,207,340
ACHOCALLA,atencion odontologica, restauraciones,2014-05-01,17,30,17,30,47
AIQUILE,atencion odontologica, restauraciones,2014-05-01,89,108,89,108,197
ALALAY,atencion odontologica, restauraciones,2014-05-01,3,19,3,19,22
ALCALA,atencion odontologica, restauraciones,2014-05-01,12,19,12,19,31
ALTO BENI,atencion odontologica, restauraciones,2014-05-01,9,7,9,7,16
ANCORAIMES,atencion odontologica, restauraciones,2014-05-01,19,12,19,12,31
ANDAMARCA,atencion odontologica, restauraciones,2014-05-01,15,51,15,51,66
ANTEQUERA,atencion odontologica, restauraciones,2014-05-01,96,101,96,101,197
ANZALDO,atencion odontologica, restauraciones,2014-05-01,26,31,26,31,57
APOLO,atencion odontologica, restauraciones,2014-05-01,56,62,56,62,118
ARAMPAMPA,atencion odontologica, restauraciones,2014-05-01,19,42,19,42,61
ARANI,atencion odontologica, restauraciones,2014-05-01,23,79,23,79,102
ARBIETO,atencion odontologica, restauraciones,2014-05-01,60,104,60,104,164
ARQUE,atencion odontologica, restauraciones,2014-05-01,19,35,19,35,54
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-05-01,12,27,12,27,39
ATOCHA,atencion odontologica, restauraciones,2014-05-01,206,305,206,305,511
AUCAPATA,atencion odontologica, restauraciones,2014-05-01,6,7,6,7,13
AYATA,atencion odontologica, restauraciones,2014-05-01,3,13,3,13,16
AYO AYO,atencion odontologica, restauraciones,2014-05-01,9,27,9,27,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-05-01,141,153,141,153,294
AZURDUY,atencion odontologica, restauraciones,2014-05-01,1,8,1,8,9
BATALLAS,atencion odontologica, restauraciones,2014-05-01,62,57,62,57,119
BAURES,atencion odontologica, restauraciones,2014-05-01,16,25,16,25,41
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-05-01,8,15,8,15,23
BELEN DE URMIRI,atencion odontologica, restauraciones,2014-05-01,4,13,4,13,17
BELLA FLOR,atencion odontologica, restauraciones,2014-05-01,1,0,1,0,1
BERMEJO,atencion odontologica, restauraciones,2014-05-01,462,722,462,722,1184
BETANZOS,atencion odontologica, restauraciones,2014-05-01,48,121,48,121,169
BOLIVAR,atencion odontologica, restauraciones,2014-05-01,21,21,21,21,42
BOLPEBRA,atencion odontologica, restauraciones,2014-05-01,1,0,1,0,1
BOYUIBE,atencion odontologica, restauraciones,2014-05-01,10,16,10,16,26
BUENA VISTA,atencion odontologica, restauraciones,2014-05-01,7,30,7,30,37
CABEZAS,atencion odontologica, restauraciones,2014-05-01,22,28,22,28,50
CAIROMA,atencion odontologica, restauraciones,2014-05-01,27,45,27,45,72
"CAIZA ""D""",atencion odontologica, restauraciones,2014-05-01,8,11,8,11,19
CAJUATA,atencion odontologica, restauraciones,2014-05-01,22,45,22,45,67
CALACOTO,atencion odontologica, restauraciones,2014-05-01,6,18,6,18,24
CALAMARCA,atencion odontologica, restauraciones,2014-05-01,38,58,38,58,96
CAMARGO,atencion odontologica, restauraciones,2014-05-01,15,63,15,63,78
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-05-01,12,26,12,26,38
CAMIRI,atencion odontologica, restauraciones,2014-05-01,108,195,108,195,303
CAPINOTA,atencion odontologica, restauraciones,2014-05-01,87,185,87,185,272
CAQUIAVIRI,atencion odontologica, restauraciones,2014-05-01,19,35,19,35,54
CARACOLLO,atencion odontologica, restauraciones,2014-05-01,61,80,61,80,141
CARANAVI,atencion odontologica, restauraciones,2014-05-01,113,183,113,183,296
CARAPARI,atencion odontologica, restauraciones,2014-05-01,116,135,116,135,251
CARIPUYO,atencion odontologica, restauraciones,2014-05-01,2,2,2,2,4
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-05-01,12,16,12,16,28
CATACORA,atencion odontologica, restauraciones,2014-05-01,6,8,6,8,14
CHACARILLA,atencion odontologica, restauraciones,2014-05-01,5,9,5,9,14
CHALLAPATA,atencion odontologica, restauraciones,2014-05-01,219,301,219,301,520
CHAQUI,atencion odontologica, restauraciones,2014-05-01,1,7,1,7,8
CHARAGUA,atencion odontologica, restauraciones,2014-05-01,17,44,17,44,61
CHARAÑA,atencion odontologica, restauraciones,2014-05-01,5,9,5,9,14
CHAYANTA,atencion odontologica, restauraciones,2014-05-01,34,62,34,62,96
CHIMORE,atencion odontologica, restauraciones,2014-05-01,47,93,47,93,140
CHIPAYA,atencion odontologica, restauraciones,2014-05-01,3,3,3,3,6
CHOQUE COTA,atencion odontologica, restauraciones,2014-05-01,10,12,10,12,22
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-05-01,34,51,34,51,85
CHUMA,atencion odontologica, restauraciones,2014-05-01,46,88,46,88,134
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, restauraciones,2014-05-01,74,107,74,107,181
CKOCHAS,atencion odontologica, restauraciones,2014-05-01,10,38,10,38,48
CLIZA,atencion odontologica, restauraciones,2014-05-01,60,132,60,132,192
COBIJA,atencion odontologica, restauraciones,2014-05-01,235,385,235,385,620
COCAPATA,atencion odontologica, restauraciones,2014-05-01,50,42,50,42,92
COCHABAMBA,atencion odontologica, restauraciones,2014-05-01,3630,5166,3630,5166,8796
COIPASA,atencion odontologica, restauraciones,2014-05-01,19,24,19,24,43
COLCAPIRHUA,atencion odontologica, restauraciones,2014-05-01,152,254,152,254,406
"COLCHA ""K""",atencion odontologica, restauraciones,2014-05-01,10,21,10,21,31
COLLANA,atencion odontologica, restauraciones,2014-05-01,5,7,5,7,12
COLOMI,atencion odontologica, restauraciones,2014-05-01,34,90,34,90,124
COLPA BELGICA,atencion odontologica, restauraciones,2014-05-01,16,7,16,7,23
COLQUECHACA,atencion odontologica, restauraciones,2014-05-01,54,92,54,92,146
COLQUENCHA,atencion odontologica, restauraciones,2014-05-01,31,25,31,25,56
COLQUIRI,atencion odontologica, restauraciones,2014-05-01,53,57,53,57,110
COMANCHE,atencion odontologica, restauraciones,2014-05-01,5,6,5,6,11
COMARAPA,atencion odontologica, restauraciones,2014-05-01,39,89,39,89,128
COMBAYA,atencion odontologica, restauraciones,2014-05-01,4,7,4,7,11
CONCEPCION,atencion odontologica, restauraciones,2014-05-01,8,24,8,24,32
COPACABANA,atencion odontologica, restauraciones,2014-05-01,31,26,31,26,57
CORIPATA,atencion odontologica, restauraciones,2014-05-01,5,10,5,10,15
CORO CORO,atencion odontologica, restauraciones,2014-05-01,1,14,1,14,15
COROICO,atencion odontologica, restauraciones,2014-05-01,52,91,52,91,143
CORQUE,atencion odontologica, restauraciones,2014-05-01,15,30,15,30,45
COTAGAITA,atencion odontologica, restauraciones,2014-05-01,108,150,108,150,258
COTOCA,atencion odontologica, restauraciones,2014-05-01,31,73,31,73,104
CUATRO CAÑADAS,atencion odontologica, restauraciones,2014-05-01,47,100,47,100,147
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, restauraciones,2014-05-01,2,5,2,5,7
CUEVO,atencion odontologica, restauraciones,2014-05-01,19,18,19,18,37
CULPINA,atencion odontologica, restauraciones,2014-05-01,14,65,14,65,79
CURAHUARA DE CARANGAS,atencion odontologica, restauraciones,2014-05-01,63,72,63,72,135
CURVA,atencion odontologica, restauraciones,2014-05-01,11,17,11,17,28
DESAGUADERO,atencion odontologica, restauraciones,2014-05-01,19,25,19,25,44
EL ALTO,atencion odontologica, restauraciones,2014-05-01,3902,5639,3902,5639,9541
EL CHORO,atencion odontologica, restauraciones,2014-05-01,8,19,8,19,27
EL PUENTE(STC),atencion odontologica, restauraciones,2014-05-01,11,15,11,15,26
EL PUENTE(TJA),atencion odontologica, restauraciones,2014-05-01,15,84,15,84,99
EL TORNO,atencion odontologica, restauraciones,2014-05-01,100,267,100,267,367
EL VILLAR,atencion odontologica, restauraciones,2014-05-01,21,29,21,29,50
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-05-01,52,121,52,121,173
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-05-01,54,106,54,106,160
ESCOMA,atencion odontologica, restauraciones,2014-05-01,15,38,15,38,53
EUCALIPTUS,atencion odontologica, restauraciones,2014-05-01,24,40,24,40,64
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-05-01,43,49,43,49,92
FILADELFIA,atencion odontologica, restauraciones,2014-05-01,13,9,13,9,22
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-05-01,19,32,19,32,51
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-05-01,54,83,54,83,137
GUANAY,atencion odontologica, restauraciones,2014-05-01,34,48,34,48,82
GUAQUI,atencion odontologica, restauraciones,2014-05-01,18,29,18,29,47
GUAYARAMERIN,atencion odontologica, restauraciones,2014-05-01,433,490,433,490,923
GUTIERREZ,atencion odontologica, restauraciones,2014-05-01,5,29,5,29,34
HUACARETA,atencion odontologica, restauraciones,2014-05-01,51,61,51,61,112
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-05-01,3,8,3,8,11
HUACHACALLA,atencion odontologica, restauraciones,2014-05-01,1,9,1,9,10
HUANUNI,atencion odontologica, restauraciones,2014-05-01,62,113,62,113,175
HUARACAJE,atencion odontologica, restauraciones,2014-05-01,3,9,3,9,12
HUARINA,atencion odontologica, restauraciones,2014-05-01,6,9,6,9,15
HUATAJATA,atencion odontologica, restauraciones,2014-05-01,3,18,3,18,21
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-05-01,50,73,50,73,123
HUMANATA,atencion odontologica, restauraciones,2014-05-01,18,27,18,27,45
ICHOCA,atencion odontologica, restauraciones,2014-05-01,9,13,9,13,22
ICLA,atencion odontologica, restauraciones,2014-05-01,22,31,22,31,53
INCAHUASI,atencion odontologica, restauraciones,2014-05-01,35,81,35,81,116
INGAVI (HUMAITA),atencion odontologica, restauraciones,2014-05-01,0,3,0,3,3
INQUISIVI,atencion odontologica, restauraciones,2014-05-01,3,14,3,14,17
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-05-01,67,120,67,120,187
IXIAMAS,atencion odontologica, restauraciones,2014-05-01,20,35,20,35,55
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-05-01,26,56,26,56,82
LA ASUNTA,atencion odontologica, restauraciones,2014-05-01,104,178,104,178,282
LA GUARDIA,atencion odontologica, restauraciones,2014-05-01,103,251,103,251,354
LA PAZ,atencion odontologica, restauraciones,2014-05-01,5954,8018,5954,8018,13972
LA RIVERA,atencion odontologica, restauraciones,2014-05-01,4,3,4,3,7
