municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,7,7
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,73,73
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
SICAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,35,35
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,21,21
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,4,4
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,17,17
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2145,2145
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,10,10
TAPACARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,34,34
TARACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1735,1735
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,15,15
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,16,16
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,7,7
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,551,551
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,30,30
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,5,5
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
TOLEDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,41,41
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,9,9
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,59,59
TOTORA(ORR),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,6,6
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1152,1152
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,263,263
UMALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,2,2
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,46,46
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,179,179
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,91,91
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,110,110
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,8,8
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,15,15
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,356,356
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,1,1
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,36,36
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,572,572
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,19,19
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,197,197
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,207,207
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,46,46
YACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,30,30
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,493,493
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,12,12
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,3,3
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,207,207
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,32,32
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-04-01,15,15
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,12,12
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,120,120
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,8,8
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,70,70
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,9,9
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
ANTEQUERA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,10,10
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,9,9
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,3,3
ARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,7,7
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,11,11
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,5,5
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,315,315
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,7,7
AYATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,63,63
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,71,71
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,44,44
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,134,134
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,32,32
BOLIVAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,1,1
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,3,3
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,18,18
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,30,30
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,16,16
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,12,12
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,35,35
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,8,8
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,155,155
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,1,1
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,303,303
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,32,32
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,40,40
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,234,234
CARIPUYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,13,13
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,155,155
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,24,24
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,28,28
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,117,117
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,1,1
CKOCHAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,132,132
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,609,609
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,10,10
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6501,6501
COIPASA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,58,58
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,5,5
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,34,34
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,15,15
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,20,20
COLQUENCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,96,96
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,143,143
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,29,29
COROICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,52,52
COTAGAITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,13,13
COTOCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,117,117
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,37,37
CUEVO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,39,39
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,10,10
DESAGUADERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,4241,4241
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,544,544
EL VILLAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,9,9
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,27,27
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,40,40
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,12,12
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,8,8
EXALTACION,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
FILADELFIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,14,14
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
GUAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,424,424
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,14,14
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,32,32
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,5,5
HUACHACALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,93,93
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,35,35
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,17,17
HUATAJATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,3,3
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,7,7
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,21,21
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,23,23
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,21,21
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,36,36
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,3,3
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,69,69
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,92,92
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6047,6047
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,11,11
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,284,284
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,17,17
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,67,67
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,56,56
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,25,25
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,4,4
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,43,43
MOCOMOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,3,3
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,22,22
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,280,280
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,1001,1001
MORO MORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,6,6
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,18,18
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,4,4
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,8,8
OKINAWA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,11,11
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,19,19
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2443,2443
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,134,134
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,78,78
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,5,5
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,55,55
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,23,23
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
PASORAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,4,4
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,65,65
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,2,2
PELECHUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,1,1
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,9,9
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,15,15
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-05-01,19,19
