,group,variable,month,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,2,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,538,838,1376
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,0,1,1
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,12,7,19
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,3,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,33,36,69
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,2,9,11
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,2,3
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,3,4,7
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,2,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,2,4,6
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,2,3
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,3,2,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,2,3,5
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,2,5,7
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,142,308,450
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,8,10,18
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,0,1
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,0,1
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,0,1,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,4,6,10
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,3,18,21
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,17,26,43
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,11,22,33
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,34,32,66
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,5,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,12,34,46
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,2,1,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,8,20,28
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,5,3,8
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,3,15,18
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,16,23,39
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,13,10,23
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,3,5,8
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,4,5,9
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,11,11,22
YACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,27,48,75
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,1,2
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,2,2,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,7,2,9
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,0,4,4
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,1,1,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-03-01,4,9,13
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,5,8
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,11,15,26
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,4,6
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,4,7
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,5,0,5
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,4,2,6
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,3,6
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,6,2,8
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,1,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,7,9
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,1,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,0,3
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,54,53,107
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,8,7,15
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,7,7
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,8,10,18
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,5,7
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,2,3
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,1,2
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,3,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,7,22,29
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,78,104,182
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,1,1
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,1,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,7,10
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,11,13
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,8,7,15
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,6,9
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,14,7,21
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,15,32,47
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,159,218,377
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,4,8,12
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,1,2
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,7,13,20
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,6,11,17
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,3,6
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,0,2
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,8,4,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,9,7,16
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,5,5,10
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,2,3,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-04-01,3,1,4
