,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,6,33,6,39
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,121,16,121,16,137
PUNA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,26,57,26,57,83
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,44,4,44,4,48
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,6,1,6,7
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,188,17,188,17,205
QUIME,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,11,7,11,18
QUIRUSILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,0,5,0,5
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,15,58,15,58,73
REYES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,26,7,26,7,33
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,196,55,196,55,251
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,36,4,36,4,40
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,37,1,37,1,38
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,1,3,1,4
SACABA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,224,64,224,64,288
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,2,8,2,10
SACACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,57,24,57,81
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,6,4,6,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,11,11,11,22
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,5,13,5,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,23,4,23,27
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,3,7,3,10
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,6,3,6,9
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,20,2,20,2,22
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,107,41,107,41,148
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,7,13,7,20
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,30,9,30,9,39
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,38,12,38,12,50
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,123,22,123,22,145
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,1,0,1,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,14,1,14,1,15
SAN JOAQUIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,2,10,2,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,26,29,26,29,55
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,1,6,1,7
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,47,29,47,29,76
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,13,12,13,25
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,20,8,20,8,28
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,19,8,19,8,27
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,33,2,33,2,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,0,24,0,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,0,4,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,6,24,6,30
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,18,41,18,41,59
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,6,5,6,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,6,2,6,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,3,0,3,3
SAN RAFAEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,1,8,1,9
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,22,2,22,2,24
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,9,4,9,13
SANTA ANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,27,2,27,2,29
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2687,51,2687,51,2738
SANTA ROSA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,6,13,6,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,23,5,23,5,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,7,3,7,10
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,9,5,9,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,6,3,6,3,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,0,4,0,4
SAPAHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,9,3,9,12
SENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,3,3,3,6
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,26,27,26,27,53
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,2,1,2,3
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,71,8,71,8,79
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,3,10,3,13
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,9,7,9,16
SORATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,27,16,27,43
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,546,44,546,44,590
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,10,8,10,18
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,11,7,11,18
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,11,11,11,22
TAHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,0,3,0,3
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,26,25,26,25,51
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,17,16,17,16,33
TARACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,4,3,4,7
TARATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,14,3,14,3,17
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,305,41,305,41,346
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,12,10,12,10,22
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,5,8,5,13
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,13,9,13,22
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,53,16,53,69
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,22,1,22,1,23
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,86,8,86,8,94
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,71,14,71,14,85
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,4,5,4,9
TODOS SANTOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,3,3,3,6
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,14,11,14,25
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,4,7,4,11
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,25,9,25,34
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,27,17,27,17,44
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,3,5,3,8
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,0,3,0,3
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,206,7,206,7,213
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,72,26,72,26,98
TURCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,3,2,3,5
UMALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,13,0,13,13
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,28,48,28,48,76
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,20,7,20,7,27
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,0,11,0,11,11
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,37,23,37,23,60
VACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,5,9,5,14
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,24,5,24,5,29
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,67,23,67,23,90
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,1,12,1,12,13
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,62,15,62,15,77
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,3,2,3,2,5
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,7,3,7,3,10
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,21,13,21,13,34
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,126,38,126,38,164
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,10,5,10,5,15
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,40,15,40,15,55
VINTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,68,5,68,5,73
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,13,9,13,9,22
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,1,2,1,3
WARNES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,105,30,105,30,135
YACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,5,11,5,11,16
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,54,7,54,7,61
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,8,7,8,7,15
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,9,2,9,2,11
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,72,7,72,7,79
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,2,15,2,15,17
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,11,7,11,7,18
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,4,7,4,7,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-03-01,16,7,16,7,23
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,10,1,10,11
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,45,76,45,76,121
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,7,18,7,18,25
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,41,22,41,22,63
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,6,3,6,9
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,0,3,0,3
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,5,23,5,23,28
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,3,3,3,6
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,7,0,7,7
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,19,1,19,20
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,22,19,22,19,41
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,13,1,13,14
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,12,9,12,9,21
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,16,3,16,19
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,22,16,22,16,38
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,68,23,68,23,91
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,15,5,15,5,20
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,4,4,4,4,8
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,13,1,13,14
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,11,9,11,9,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,30,41,30,41,71
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,11,15,11,15,26
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,18,17,18,17,35
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,4,2,4,2,6
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,4,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,44,4,44,4,48
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,36,34,36,34,70
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,15,2,15,17
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,1,3,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,14,13,14,13,27
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,35,84,35,84,119
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,17,3,17,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,18,0,18,18
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,21,10,21,10,31
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,5,8,5,8,13
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,15,8,15,8,23
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,27,17,27,17,44
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,1,1,1,2
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,44,7,44,7,51
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,31,8,31,8,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,22,2,22,24
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,4,55,4,55,59
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,98,47,98,47,145
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,11,9,11,9,20
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,6,15,6,15,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,7,5,7,5,12
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,1,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,28,55,28,55,83
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,7,14,7,14,21
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,42,77,42,77,119
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,0,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,11,25,11,25,36
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,37,16,37,16,53
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,17,15,17,15,32
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,6,13,6,13,19
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,12,20,12,20,32
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,108,12,108,12,120
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1245,41,1245,41,1286
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,2,1,2,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,77,6,77,6,83
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,2,1,2,3
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,6,0,6,0,6
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,27,27,27,27,54
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,10,3,10,3,13
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,12,92,12,92,104
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,9,6,9,6,15
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,8,59,8,59,67
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,1,0,1,1
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,20,10,20,10,30
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,7,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,31,13,31,13,44
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,4,22,4,22,26
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,25,6,25,6,31
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,8,3,8,11
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,18,6,18,6,24
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,8,5,8,5,13
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,16,45,16,45,61
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,104,49,104,49,153
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,26,51,26,51,77
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,6,1,6,7
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,21,14,21,14,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,6,3,6,3,9
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,4,1,4,5
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,13,2,13,15
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1762,224,1762,224,1986
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,7,1,7,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,15,5,15,5,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,17,11,17,11,28
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,89,5,89,5,94
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,7,3,7,3,10
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,36,27,36,27,63
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,20,19,20,19,39
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,1,0,1,1
ESMERALDA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,6,10,6,10,16
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,2,1,2,3
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,6,0,6,0,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,17,6,17,6,23
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,3,2,3,5
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,16,6,16,6,22
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,9,16,9,16,25
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,12,9,12,9,21
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,12,2,12,14
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,77,22,77,22,99
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,18,11,18,11,29
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,16,4,16,4,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,2,2,2,4
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,1,1,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,57,38,57,38,95
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,4,10,4,10,14
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,3,5,3,5,8
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,2,11,2,11,13
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,7,15,7,15,22
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,26,41,26,41,67
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,5,41,5,41,46
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-04-01,5,13,5,13,18
