,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
AZURDUY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,5,6,6,7,11,18
BATALLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,2,7,4,9,6,15
BAURES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,18,20,19,20,39
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,7,0,0,1,7,8
BELLA FLOR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,23,20,23,20,43
BERMEJO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,2,15,14,20,16,36
BETANZOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,3,12,10,14,13,27
BOLIVAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,4,21,21,24,25,49
BOLPEBRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,2,3,10,6,12,18
BOYUIBE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,49,1,49,2,51
BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,5,11,12,14,17,31
CABEZAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
CAIROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,3,1,12,2,15,17
"CAIZA ""D""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,2,0,2,2
CAJUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,1,3,1,4,5
CALACOTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,7,3,7,3,10
CALAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,6,2,7,4,11
CAMARGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,3,17,29,17,32,49
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,1,2,2,4,6
CAMIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,23,14,12,14,35,28,63
CAPINOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,11,10,28,52,39,62,101
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,2,0,2,2
CARACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,9,1,4,10,13,23
CARANAVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,5,2,11,11,16,27
CARAPARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,1,1,2,2,3,5
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,1,0,2,2
CHACARILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,0,1,0,1
CHALLAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,4,1,2,1,6,7
CHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,3,0,0,0,3,3
CHARAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,21,5,1,9,22,31
CHARAÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,3,1,3,4
CHAYANTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,1,0,0,2,1,3
CHIMORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,0,64,32,68,32,100
CHIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,2,0,2,2
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,0,1,0,1
CHUA COCANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,9,2,9,10,18,28
CHUMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,5,6,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,2,1,2,3
CKOCHAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,1,0,0,3,1,4
CLIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,9,11,30,19,39,58
COBIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,14,89,81,96,95,191
COCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,5,10,14,14,19,33
COCHABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,454,605,892,1167,1346,1772,3118
COIPASA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,0,0,0,2,0,2
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,63,115,63,117,180
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,15,3,5,3,20,6,26
COLLANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,4,1,2,1,6,7
COLOMI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,12,3,13,5,18
COLPA BELGICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,0,6,14,9,14,23
COLQUENCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,5,8,11,10,16,26
COLQUIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,15,12,15,12,27
COMANCHE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,0,1,1,1,2
COMARAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,1,0,1,1,2,3
COMBAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,6,4,5,6,11,17
CONCEPCION,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,4,0,0,0,4,4
COPACABANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,13,21,13,23,36
CORIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,2,25,21,27,23,50
CORO CORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,46,2,46,4,50
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,2,1,23,3,25,28
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,12,11,0,0,12,11,23
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,3,8,4,10,7,17
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,16,39,63,48,79,127
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,6,3,0,0,6,3,9
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,1,0,0,3,1,4
CUEVO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,1,1,1,2
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,6,3,28,23,34,26,60
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,4,11,5,14,9,23
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,17,16,17,16,33
DESAGUADERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,13,4,13,4,17
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,103,137,431,488,534,625,1159
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,1,1,1,2
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,31,82,31,84,115
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,2,12,17,14,19,33
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,19,0,4,7,23,30
EL VILLAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,5,6,16,10,21,31
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,3,21,13,29,16,45
ESCOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,2,0,2,1,3
ESMERALDA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,0,0,1,2,1,3
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,1,2,1,3,4
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,1,0,0,1,1,2
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,6,15,13,16,19,35
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,1,1,2,1,3
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,15,2,13,13,28,15,43
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,3,9,3,9,12
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,3,4,3,7,6,13
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,3,5,9,8,12,20
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,6,2,1,6,7,13
GUTIERREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,5,11,5,11,16
HUACARAJE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,63,76,0,0,63,76,139
HUACARETA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,3,1,3,1,4
HUACHACALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,7,6,8,8,16
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,83,67,1,2,84,69,153
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,5,10,5,10,15
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,5,5,6,5,11
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,16,19,16,21,37
HUMANATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,1,1,1,2
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,2,0,2,2
ICLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,15,22,30,27,45,49,94
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,12,4,7,8,19,27
INGAVI (HUMAITA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,6,13,6,13,19
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,3,7,3,10,6,16
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,2,9,6,13,8,21
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,11,14,10,21,21,42
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,7,11,19,15,26,41
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,8,25,25,33,33,66
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,40,47,25,30,65,77,142
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,291,465,1366,1832,1657,2297,3954
LA RIVERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,1,0,1,1
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,1,0,1,1
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,6,6,7,8,13,21
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,0,3,6,6,6,12
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,13,17,14,17,31
LLALLAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,17,26,117,128,134,154,288
LLICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,1,1,1,2
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,4,9,4,9,13
MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,3,0,0,2,3,5
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,4,5,15,14,19,33
MAGDALENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,1,1,0,3,1,4
MAIRANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,0,0,0,2,0,2
MALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,0,2,0,2
MAPIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,0,0,1,2,3
MINEROS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,1,1,8,3,9,12
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,2,34,51,37,53,90
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,3,11,15,13,18,31
MOJINETE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,5,4,3,9,8,17
MOJOCOYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,3,4,14,7,17,24
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,2,2,3,4,7
MONTERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,14,16,5,4,19,20,39
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,1,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,6,1,6,7
OCURI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,7,9,7,9,16
OKINAWA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,1,1,0,2,1,3
OMEREQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,13,14,13,14,27
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,140,188,123,107,263,295,558
PADCAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,1,0,1,3,2,5
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,15,61,71,70,86,156
PAILON,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,4,0,0,5,4,9
PALCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,6,12,6,13,19
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,12,20,12,27,24,51
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,3,2,3,5
PAPEL PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,2,3,4,6,6,12
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,1,13,10,17,11,28
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,6,6,3,3,9,9,18
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,1,40,79,42,80,122
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,4,0,1,4,5,9
POCOATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,0,0,0,2,0,2
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,10,20,37,27,47,74
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,4,12,18,13,22,35
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,9,12,19,20,28,48
POROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,5,8,5,10,15
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,11,4,7,13,18,31
PORTACHUELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,1,0,2,0,2
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,4,2,4,3,8,11
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,93,152,232,398,325,550,875
PRESTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,4,1,7,2,11,13
PUCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,2,10,10,18,12,30
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,6,14,8,16,14,30
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,8,13,9,13,22
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,3,10,4,10,14
PUERTO PEREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,9,12,9,12,21
PUERTO RICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,0,0,1,2,3
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,7,11,20,15,27,42
PUNA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,3,3,4,6,7,13
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,6,23,24,30,30,60
QUIABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,1,1,1,2
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,55,60,362,537,417,597,1014
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,5,2,5,3,8
QUIRUSILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,0,3,1,5,6
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,7,15,2,7,9,22,31
RAVELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,4,7,4,9,13
RIBERALTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,11,12,12,8,23,20,43
ROBORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,5,1,2,2,7,9
SABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,6,3,7,8,13,11,24
SACABA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,49,57,108,161,157,218,375
SACABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,1,0,1,0,1
SACACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,2,2,2,4
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,7,24,21,27,28,55
SAMAIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,7,12,9,14,16,30
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,3,1,3,3,6,9
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,2,0,0,0,2,2
SAN BENITO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,10,14,2,1,12,15,27
SAN BORJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,16,14,16,15,31
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,1,9,9,12,10,22
SAN CARLOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,22,27,23,27,50
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,14,17,3,2,17,19,36
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,5,22,52,22,57,79
SAN JOAQUIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,3,2,6,4,9,13
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,2,0,0,2,2,4
SAN JULIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,15,20,10,18,25,38,63
SAN LORENZO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,1,2,1,3
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,4,4,6,9,10,19
SAN LUCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,3,4,1,9,4,13
SAN MATIAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,1,0,0,1,1,2
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,7,26,71,30,78,108
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,3,6,10,7,13,20
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,4,8,3,10,7,17
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,4,1,3,2,7,9
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,3,1,1,1,4,5
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,25,31,25,31,56
SAN RAFAEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,1,0,2,2
SAN RAMON BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,18,23,0,0,18,23,41
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,0,1,1,3,1,4
SANTA ANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,1,1,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,539,504,318,463,857,967,1824
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,2,0,0,5,2,7
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,3,43,32,46,35,81
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,3,2,0,3,3,5,8
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,3,4,3,5,8
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,0,0,0,1,1
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,0,12,15,13,15,28
SENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,2,0,2,0,2
SHINAOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,4,3,2,3,6,9
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,4,13,35,14,39,53
SICAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,4,5,4,5,9
SIPE SIPE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,6,8,12,19,18,27,45
SORACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,4,8,10,13,14,27
SORATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,9,7,9,7,16
SUCRE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,108,160,280,379,388,539,927
TACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,1,0,1,1
TACACOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,1,2,6,3,7,10
TACOPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,2,5,8,8,10,13,23
TAHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,0,0,1,0,1,1
TAPACARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,11,29,40,32,51,61,112
TARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,5,3,5,2,10,5,15
TARACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,9,5,4,6,13,11,24
TARATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,1,2,26,11,27,13,40
TARIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,19,21,26,8,45,29,74
TARVITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,4,8,17,22,21,30,51
TEOPONTE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,0,1,14,23,14,24,38
TIAHUANACU,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-04-01,8,10,3,2,11,12,23
