municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,176,176
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,417,417
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,210,210
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,363,363
CHARAÑA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,211,211
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,271,271
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,52,52
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,271,271
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,450,450
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1714,1714
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,570,570
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,10721,10721
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,540,540
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-04-01,450,450
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,510,510
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,87,87
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,5,5
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,179,179
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,270,270
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,390,390
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,210,210
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,600,600
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,240,240
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,541,541
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,88,88
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,6629,6629
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,302,302
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,600,600
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,450,450
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,84,84
FILADELFIA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,26,26
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,61,61
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,210,210
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,660,660
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
HUACARAJE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,422,422
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,240,240
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,28,28
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,420,420
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,390,390
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,3,3
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,276,276
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,331,331
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1110,1110
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,10589,10589
LA RIVERA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,28,28
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,2,2
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,330,330
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,360,360
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,58,58
LORETO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,205,205
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,390,390
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,61,61
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,84,84
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,600,600
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,932,932
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1225,1225
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,86,86
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,720,720
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,186,186
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,5088,5088
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,330,330
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,147,147
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,115,115
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,330,330
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
PAPEL PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,149,149
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,177,177
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,720,720
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,450,450
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
POOPO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
PORCO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,82,82
POROMA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,930,930
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,420,420
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,118,118
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,2610,2610
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,270,270
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,56,56
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,117,117
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1320,1320
PUNA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,570,570
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1020,1020
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1890,1890
QUIME,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,112,112
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,510,510
REYES,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1530,1530
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,210,210
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,240,240
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
SACABA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1872,1872
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
SACACA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,148,148
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,57,57
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,358,358
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,330,330
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,240,240
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1290,1290
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,287,287
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,84,84
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,806,806
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,1650,1650
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,301,301
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,155,155
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,116,116
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,480,480
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,88,88
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,210,210
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,20265,20265
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,301,301
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
SANTIAGO DE HUATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,28,28
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
