,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,16,0,16
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,27,2,29
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,8,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,5,15
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,4,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,1,5
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,2,6
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,2,15
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,1,8
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,42,3,45
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,18,17,35
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,3,7
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,70,6,76
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,15,6,21
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,5,11
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,16,21,37
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,619,54,673
TACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,1,3
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,1,12
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,15,10,25
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,3,12
TAHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,0,3
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,30,13,43
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,16,27,43
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,0,8
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,2,14
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,387,2,389
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,12,23
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,8,19
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,6,23
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,31,10,41
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,28,2,30
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,81,27,108
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,15,16,31
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,2,11
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,0,5
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,1,8
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,9,28
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,11,22
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,20,0,20
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,27,10,37
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,0,4
TRIGAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,185,3,188
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,72,17,89
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,1,5
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,5,8
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,33,21,54
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,22,9,31
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,7,13
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,46,3,49
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,14,27
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,20,1,21
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,82,15,97
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,15,18
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,34,14,48
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,56,10,66
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,3,5
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,5,17
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,17,27
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,128,11,139
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,8,27
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,68,9,77
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,104,0,104
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,5,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,0,7
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,157,27,184
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,10,16
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,130,13,143
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,6,16
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,2,9
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,92,11,103
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,6,17
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,11,19
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,10,11
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,9,20
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,7,8,15
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,36,19,55
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,19,3,22
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,29,12,41
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,0,6,6
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,3,3,6
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,18,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,11,19
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,2,8
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,12,20
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,19,14,33
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,6,8
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,13,1,14
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,16,19,35
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,16,12,28
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,52,1,53
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,19,5,24
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,4,10
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,7,13
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,11,5,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,26,22,48
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,5,10
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,16,4,20
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,1,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,0,4,4
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,6,8
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,39,29,68
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,36,27,63
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,14,19
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,2,7
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,15,4,19
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,34,51,85
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,4,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,14,6,20
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,16,2,18
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,5,6
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,12,4,16
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,19,3,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,62,2,64
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,27,11,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,13,15
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,13,9,22
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,82,15,97
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,25,14,39
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,13,22
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,5,7
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,53,11,64
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,3,11
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,31,69,100
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,16,22
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,35,6,41
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,25,10,35
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,13,5,18
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,7,5,12
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,24,8,32
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,23,13,36
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,131,14,145
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,22,31
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1376,13,1389
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,92,4,96
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,30,7,37
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,2,3
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,27,16,43
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,2,7
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,25,36,61
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,15,2,17
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,13,20,33
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,3,5
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,21,7,28
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,27,9,36
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,9,18
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,17,6,23
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,5,13
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,18,4,22
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,2,8
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,32,8,40
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,104,28,132
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,21,50,71
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,3,1,4
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,18,12,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,2,11
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,6,8
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,4,0,4
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1440,70,1510
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,4,6,10
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,16,2,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,12,5,17
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,90,1,91
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,3,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,22,16,38
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,60,5,65
ESCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,0,2
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,3,8
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,3,1,4
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,3,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,31,7,38
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,7,10,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,32,0,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,10,16
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,21,8,29
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,6,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,75,14,89
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,17,13,30
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,10,1,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,6,8
HUACHACALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,48,1,49
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,11,0,11
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,4,7,11
HUATAJATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,2,4
HUMANATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,5,0,5
ICHOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1,4,5
ICLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,6,12,18
INCAHUASI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,13,12,25
INQUISIVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,8,14,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,15,24
IXIAMAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,10,4,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,15,3,18
LA ASUNTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,86,13,99
LA GUARDIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,162,4,166
LA PAZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,1269,7,1276
LAGUNILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,7,2,9
LAJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,14,8,22
LAS CARRERAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,2,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,51,18,69
LLICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,4,4,8
LORETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,4,19,23
LURIBAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,4,13
MACHACAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-04-01,9,0,9
