,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SAN LORENZO(PND),estado nutricional,total talla normal,2014-03-01,43,44,16,32,19,20,78,96,174
SAN LORENZO(TJA),estado nutricional,total talla normal,2014-03-01,195,211,179,157,167,193,541,561,1102
SAN LUCAS,estado nutricional,total talla normal,2014-03-01,142,162,130,131,260,256,532,549,1081
SAN MATIAS,estado nutricional,total talla normal,2014-03-01,91,96,67,61,76,61,234,218,452
SAN MIGUEL DE VELASCO,estado nutricional,total talla normal,2014-03-01,124,124,109,90,128,98,361,312,673
SAN PABLO DE LIPEZ,estado nutricional,total talla normal,2014-03-01,16,21,7,10,9,10,32,41,73
SAN PEDRO,estado nutricional,total talla normal,2014-03-01,125,127,97,118,122,113,344,358,702
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla normal,2014-03-01,243,231,176,201,176,182,595,614,1209
SAN PEDRO DE CURAHUARA,estado nutricional,total talla normal,2014-03-01,35,41,35,31,31,31,101,103,204
SAN PEDRO DE QUEMES,estado nutricional,total talla normal,2014-03-01,8,5,2,7,3,2,13,14,27
SAN PEDRO DE TIQUINA,estado nutricional,total talla normal,2014-03-01,32,20,28,18,37,39,97,77,174
SAN PEDRO(PND),estado nutricional,total talla normal,2014-03-01,11,10,10,13,21,14,42,37,79
SAN RAFAEL,estado nutricional,total talla normal,2014-03-01,63,33,59,49,48,41,170,123,293
SAN RAMON BENI,estado nutricional,total talla normal,2014-03-01,41,45,22,16,48,25,111,86,197
SAN RAMON SCZ,estado nutricional,total talla normal,2014-03-01,75,66,74,46,53,45,202,157,359
SANTA ANA,estado nutricional,total talla normal,2014-03-01,161,132,104,110,88,89,353,331,684
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla normal,2014-03-01,8719,8166,4743,4240,3765,3728,17227,16134,33361
SANTA ROSA,estado nutricional,total talla normal,2014-03-01,96,88,62,64,59,88,217,240,457
SANTA ROSA DEL SARA,estado nutricional,total talla normal,2014-03-01,120,137,112,115,91,121,323,373,696
SANTIAGO DE CALLAPA,estado nutricional,total talla normal,2014-03-01,24,12,27,22,10,12,61,46,107
SANTIAGO DE HUARI,estado nutricional,total talla normal,2014-03-01,81,98,69,73,66,57,216,228,444
SANTIAGO DE HUATA,estado nutricional,total talla normal,2014-03-01,39,35,27,44,27,27,93,106,199
SANTIAGO DE MACHACA,estado nutricional,total talla normal,2014-03-01,18,26,11,26,14,18,43,70,113
SANTIVAÑES,estado nutricional,total talla normal,2014-03-01,65,34,51,35,51,43,167,112,279
SANTUARIO DE QUILLACAS,estado nutricional,total talla normal,2014-03-01,40,25,16,27,27,25,83,77,160
SAPAHAQUI,estado nutricional,total talla normal,2014-03-01,60,49,43,60,50,54,153,163,316
SENA,estado nutricional,total talla normal,2014-03-01,46,34,18,17,28,14,92,65,157
SHINAOTA,estado nutricional,total talla normal,2014-03-01,373,318,291,223,306,252,970,793,1763
SICA SICA (VILLA AROMA),estado nutricional,total talla normal,2014-03-01,127,127,96,135,134,159,357,421,778
SICAYA,estado nutricional,total talla normal,2014-03-01,30,34,25,27,33,14,88,75,163
SIPE SIPE,estado nutricional,total talla normal,2014-03-01,521,447,358,388,261,262,1140,1097,2237
SOPACHUY,estado nutricional,total talla normal,2014-03-01,57,53,44,47,62,72,163,172,335
SORACACHI,estado nutricional,total talla normal,2014-03-01,91,88,92,82,105,97,288,267,555
SORATA,estado nutricional,total talla normal,2014-03-01,101,117,86,84,112,99,299,300,599
SUCRE,estado nutricional,total talla normal,2014-03-01,2715,2595,2129,2119,2296,2173,7140,6887,14027
TACACHI,estado nutricional,total talla normal,2014-03-01,18,7,5,15,7,11,30,33,63
TACACOMA,estado nutricional,total talla normal,2014-03-01,40,43,39,36,28,22,107,101,208
TACOBAMBA,estado nutricional,total talla normal,2014-03-01,65,79,50,57,42,42,157,178,335
TACOPAYA,estado nutricional,total talla normal,2014-03-01,49,46,38,51,58,63,145,160,305
TAHUA,estado nutricional,total talla normal,2014-03-01,9,10,5,9,4,10,18,29,47
TAPACARI,estado nutricional,total talla normal,2014-03-01,180,194,170,175,183,180,533,549,1082
TARABUCO,estado nutricional,total talla normal,2014-03-01,101,104,85,89,113,120,299,313,612
TARACO,estado nutricional,total talla normal,2014-03-01,22,22,16,17,24,14,62,53,115
TARATA,estado nutricional,total talla normal,2014-03-01,111,97,75,71,44,39,230,207,437
TARIJA,estado nutricional,total talla normal,2014-03-01,1751,1655,1367,1201,1175,1035,4293,3891,8184
TARVITA,estado nutricional,total talla normal,2014-03-01,100,116,87,71,137,138,324,325,649
TEOPONTE,estado nutricional,total talla normal,2014-03-01,149,112,98,113,110,113,357,338,695
TIAWANACU,estado nutricional,total talla normal,2014-03-01,107,73,56,96,74,72,237,241,478
TINGUIPAYA,estado nutricional,total talla normal,2014-03-01,155,147,85,95,73,64,313,306,619
TIPUANI,estado nutricional,total talla normal,2014-03-01,116,107,82,108,105,95,303,310,613
TIQUIPAYA,estado nutricional,total talla normal,2014-03-01,623,501,475,362,471,455,1569,1318,2887
TIRAQUE (CBBA),estado nutricional,total talla normal,2014-03-01,153,160,106,124,92,91,351,375,726
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla normal,2014-03-01,5,3,4,2,4,6,13,11,24
TOCO,estado nutricional,total talla normal,2014-03-01,47,43,34,36,59,56,140,135,275
TODOS SANTOS,estado nutricional,total talla normal,2014-03-01,2,0,0,3,0,0,2,3,5
TOLATA,estado nutricional,total talla normal,2014-03-01,58,78,48,30,90,66,196,174,370
TOLEDO,estado nutricional,total talla normal,2014-03-01,44,37,36,34,30,29,110,100,210
TOMAVE,estado nutricional,total talla normal,2014-03-01,93,99,73,89,73,70,239,258,497
TORO TORO,estado nutricional,total talla normal,2014-03-01,121,86,65,68,90,80,276,234,510
TOTORA(CBBA),estado nutricional,total talla normal,2014-03-01,160,155,109,125,89,94,358,374,732
TOTORA(ORR),estado nutricional,total talla normal,2014-03-01,50,30,33,20,48,41,131,91,222
TRIGAL,estado nutricional,total talla normal,2014-03-01,12,14,9,7,17,13,38,34,72
TRINIDAD,estado nutricional,total talla normal,2014-03-01,998,836,543,507,464,476,2005,1819,3824
TUPIZA,estado nutricional,total talla normal,2014-03-01,270,314,213,224,225,232,708,770,1478
TURCO,estado nutricional,total talla normal,2014-03-01,41,32,15,51,34,36,90,119,209
UMALA,estado nutricional,total talla normal,2014-03-01,41,59,42,47,57,61,140,167,307
UNCIA,estado nutricional,total talla normal,2014-03-01,157,160,127,143,77,71,361,374,735
URIONDO (A. CONCEPCION),estado nutricional,total talla normal,2014-03-01,174,164,119,137,175,149,468,450,918
URUBICHA,estado nutricional,total talla normal,2014-03-01,67,59,36,38,53,39,156,136,292
UYUNI,estado nutricional,total talla normal,2014-03-01,208,241,146,138,41,51,395,430,825
VACAS,estado nutricional,total talla normal,2014-03-01,55,60,54,61,106,76,215,197,412
VALLEGRANDE,estado nutricional,total talla normal,2014-03-01,130,113,76,99,88,80,294,292,586
VIACHA,estado nutricional,total talla normal,2014-03-01,467,452,324,293,238,266,1029,1011,2040
VILA VILA,estado nutricional,total talla normal,2014-03-01,44,33,24,35,35,39,103,107,210
VILLA CHARCAS,estado nutricional,total talla normal,2014-03-01,121,127,83,95,121,118,325,340,665
VILLA MONTES,estado nutricional,total talla normal,2014-03-01,365,383,220,219,272,296,857,898,1755
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla normal,2014-03-01,37,29,39,32,53,64,129,125,254
VILLA RIVERO,estado nutricional,total talla normal,2014-03-01,123,125,81,75,56,53,260,253,513
VILLA TUNARI,estado nutricional,total talla normal,2014-03-01,807,799,674,642,755,692,2236,2133,4369
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla normal,2014-03-01,141,59,75,62,102,95,318,216,534
VILLAZON,estado nutricional,total talla normal,2014-03-01,27,31,3,8,3,3,33,42,75
VINTO,estado nutricional,total talla normal,2014-03-01,333,281,243,220,170,167,746,668,1414
VITICHI,estado nutricional,total talla normal,2014-03-01,68,58,54,71,67,55,189,184,373
WALDO BALLIVIAN,estado nutricional,total talla normal,2014-03-01,11,11,14,13,6,9,31,33,64
WARNES,estado nutricional,total talla normal,2014-03-01,532,543,407,366,424,388,1363,1297,2660
YACO,estado nutricional,total talla normal,2014-03-01,47,48,45,57,41,34,133,139,272
YACUIBA,estado nutricional,total talla normal,2014-03-01,819,728,665,620,606,505,2090,1853,3943
YAMPARAEZ,estado nutricional,total talla normal,2014-03-01,57,52,40,36,66,66,163,154,317
YANACACHI,estado nutricional,total talla normal,2014-03-01,52,57,39,36,58,43,149,136,285
YAPACANI,estado nutricional,total talla normal,2014-03-01,517,497,389,345,295,253,1201,1095,2296
YOCALLA,estado nutricional,total talla normal,2014-03-01,97,90,91,65,76,68,264,223,487
YOTALA,estado nutricional,total talla normal,2014-03-01,57,50,40,60,116,124,213,234,447
YUNCHARA,estado nutricional,total talla normal,2014-03-01,35,24,29,41,83,76,147,141,288
YUNGUYO DE LITORAL,estado nutricional,total talla normal,2014-03-01,1,0,3,5,3,3,7,8,15
ZUDAÑEZ,estado nutricional,total talla normal,2014-03-01,53,41,39,49,74,76,166,166,332
ACACIO,estado nutricional,total talla normal,2014-04-01,41,48,34,34,52,52,127,134,261
ACHACACHI,estado nutricional,total talla normal,2014-04-01,193,211,152,149,129,126,474,486,960
ACHOCALLA,estado nutricional,total talla normal,2014-04-01,78,82,74,72,59,65,211,219,430
AIQUILE,estado nutricional,total talla normal,2014-04-01,255,241,261,221,275,291,791,753,1544
ALALAY,estado nutricional,total talla normal,2014-04-01,18,23,14,17,11,18,43,58,101
ALTO BENI,estado nutricional,total talla normal,2014-04-01,102,73,67,40,65,73,234,186,420
ANCORAIMES,estado nutricional,total talla normal,2014-04-01,87,90,71,72,90,102,248,264,512
ANDAMARCA,estado nutricional,total talla normal,2014-04-01,30,43,16,30,65,74,111,147,258
ANTEQUERA,estado nutricional,total talla normal,2014-04-01,24,24,19,21,17,16,60,61,121
ANZALDO,estado nutricional,total talla normal,2014-04-01,16,10,15,12,9,8,40,30,70
APOLO,estado nutricional,total talla normal,2014-04-01,162,153,111,110,112,117,385,380,765
ARAMPAMPA,estado nutricional,total talla normal,2014-04-01,34,28,34,40,53,33,121,101,222
ARANI,estado nutricional,total talla normal,2014-04-01,102,124,71,70,81,68,254,262,516
ARBIETO,estado nutricional,total talla normal,2014-04-01,192,248,135,199,177,160,504,607,1111
ARQUE,estado nutricional,total talla normal,2014-04-01,110,98,82,86,89,82,281,266,547
ASCENCION DE GUARAYOS,estado nutricional,total talla normal,2014-04-01,151,139,115,107,230,205,496,451,947
ATOCHA,estado nutricional,total talla normal,2014-04-01,113,114,91,75,104,104,308,293,601
AUCAPATA,estado nutricional,total talla normal,2014-04-01,54,34,35,37,16,21,105,92,197
AYATA,estado nutricional,total talla normal,2014-04-01,65,50,35,37,41,41,141,128,269
AYO AYO,estado nutricional,total talla normal,2014-04-01,64,54,44,66,34,32,142,152,294
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla normal,2014-04-01,246,255,191,199,228,191,665,645,1310
AZURDUY,estado nutricional,total talla normal,2014-04-01,95,83,71,64,150,164,316,311,627
BATALLAS,estado nutricional,total talla normal,2014-04-01,138,114,71,95,76,66,285,275,560
BAURES,estado nutricional,total talla normal,2014-04-01,49,43,28,41,36,36,113,120,233
BELEN DE ANDAMARCA,estado nutricional,total talla normal,2014-04-01,13,18,18,13,18,14,49,45,94
BELEN DE URMIRI,estado nutricional,total talla normal,2014-04-01,6,9,10,15,6,10,22,34,56
BELLA FLOR,estado nutricional,total talla normal,2014-04-01,20,25,27,20,37,30,84,75,159
BERMEJO,estado nutricional,total talla normal,2014-04-01,353,249,219,264,219,185,791,698,1489
BETANZOS,estado nutricional,total talla normal,2014-04-01,243,265,197,217,207,225,647,707,1354
BOLIVAR,estado nutricional,total talla normal,2014-04-01,37,60,31,39,37,33,105,132,237
BOLPEBRA,estado nutricional,total talla normal,2014-04-01,21,12,15,17,10,22,46,51,97
BOYUIBE,estado nutricional,total talla normal,2014-04-01,24,19,13,17,24,13,61,49,110
BUENA VISTA,estado nutricional,total talla normal,2014-04-01,93,111,99,114,131,127,323,352,675
CABEZAS,estado nutricional,total talla normal,2014-04-01,177,149,138,117,122,110,437,376,813
CAIROMA,estado nutricional,total talla normal,2014-04-01,59,72,51,52,56,53,166,177,343
"CAIZA ""D""",estado nutricional,total talla normal,2014-04-01,85,72,47,60,61,73,193,205,398
CAJUATA,estado nutricional,total talla normal,2014-04-01,100,87,59,71,53,64,212,222,434
CALACOTO,estado nutricional,total talla normal,2014-04-01,34,33,27,34,25,32,86,99,185
CALAMARCA,estado nutricional,total talla normal,2014-04-01,72,76,69,70,53,69,194,215,409
CAMARGO,estado nutricional,total talla normal,2014-04-01,115,149,106,99,120,147,341,395,736
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla normal,2014-04-01,29,21,14,24,32,32,75,77,152
CAMIRI,estado nutricional,total talla normal,2014-04-01,358,346,276,221,339,274,973,841,1814
CAPINOTA,estado nutricional,total talla normal,2014-04-01,90,79,48,50,53,53,191,182,373
CAQUIAVIRI,estado nutricional,total talla normal,2014-04-01,83,70,40,46,48,38,171,154,325
CARACOLLO,estado nutricional,total talla normal,2014-04-01,171,199,145,139,167,161,483,499,982
CARANAVI,estado nutricional,total talla normal,2014-04-01,314,355,271,230,251,239,836,824,1660
CARANGAS,estado nutricional,total talla normal,2014-04-01,3,2,1,0,3,1,7,3,10
CARAPARI,estado nutricional,total talla normal,2014-04-01,150,132,112,107,123,111,385,350,735
CARIPUYO,estado nutricional,total talla normal,2014-04-01,75,59,36,42,44,47,155,148,303
CARMEN RIVERO TORREZ,estado nutricional,total talla normal,2014-04-01,35,33,16,26,38,27,89,86,175
CATACORA,estado nutricional,total talla normal,2014-04-01,9,9,1,3,15,7,25,19,44
CHACARILLA,estado nutricional,total talla normal,2014-04-01,9,5,9,2,25,7,43,14,57
CHALLAPATA,estado nutricional,total talla normal,2014-04-01,349,343,191,239,286,267,826,849,1675
CHAQUI,estado nutricional,total talla normal,2014-04-01,71,57,44,57,41,31,156,145,301
CHARAGUA,estado nutricional,total talla normal,2014-04-01,193,188,147,128,190,176,530,492,1022
CHARAÑA,estado nutricional,total talla normal,2014-04-01,11,13,10,12,18,12,39,37,76
CHAYANTA,estado nutricional,total talla normal,2014-04-01,88,113,70,82,63,69,221,264,485
CHIMORE,estado nutricional,total talla normal,2014-04-01,330,284,254,181,286,265,870,730,1600
CHIPAYA,estado nutricional,total talla normal,2014-04-01,17,14,10,9,10,6,37,29,66
CHUA COCANI,estado nutricional,total talla normal,2014-04-01,27,14,11,11,18,12,56,37,93
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-04-01,25,21,17,7,15,9,57,37,94
CHUMA,estado nutricional,total talla normal,2014-04-01,64,63,52,53,49,31,165,147,312
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-04-01,69,45,44,27,28,32,141,104,245
CKOCHAS,estado nutricional,total talla normal,2014-04-01,115,132,111,116,97,97,323,345,668
CLIZA,estado nutricional,total talla normal,2014-04-01,245,208,149,107,165,170,559,485,1044
COBIJA,estado nutricional,total talla normal,2014-04-01,639,555,365,367,314,322,1318,1244,2562
COCAPATA,estado nutricional,total talla normal,2014-04-01,155,142,120,118,108,127,383,387,770
COCHABAMBA,estado nutricional,total talla normal,2014-04-01,4496,4079,3056,2668,2657,2445,10209,9192,19401
COIPASA,estado nutricional,total talla normal,2014-04-01,7,10,7,3,4,8,18,21,39
COLCAPIRHUA,estado nutricional,total talla normal,2014-04-01,403,313,241,187,313,259,957,759,1716
"COLCHA ""K""",estado nutricional,total talla normal,2014-04-01,115,115,95,114,86,104,296,333,629
COLLANA,estado nutricional,total talla normal,2014-04-01,21,29,19,6,29,27,69,62,131
COLOMI,estado nutricional,total talla normal,2014-04-01,210,217,153,158,91,100,454,475,929
COLPA BELGICA,estado nutricional,total talla normal,2014-04-01,0,7,3,0,0,0,3,7,10
COLQUECHACA,estado nutricional,total talla normal,2014-04-01,237,286,204,209,114,105,555,600,1155
COLQUENCHA,estado nutricional,total talla normal,2014-04-01,58,61,45,44,44,38,147,143,290
COLQUIRI,estado nutricional,total talla normal,2014-04-01,107,104,70,67,60,51,237,222,459
COMANCHE,estado nutricional,total talla normal,2014-04-01,19,20,16,10,11,6,46,36,82
COMARAPA,estado nutricional,total talla normal,2014-04-01,133,146,108,110,101,106,342,362,704
COMBAYA,estado nutricional,total talla normal,2014-04-01,21,21,16,12,29,19,66,52,118
CONCEPCION,estado nutricional,total talla normal,2014-04-01,133,163,89,87,111,121,333,371,704
COPACABANA,estado nutricional,total talla normal,2014-04-01,71,59,52,47,65,63,188,169,357
CORIPATA,estado nutricional,total talla normal,2014-04-01,65,46,23,22,23,39,111,107,218
CORO CORO,estado nutricional,total talla normal,2014-04-01,71,57,39,44,35,36,145,137,282
COROICO,estado nutricional,total talla normal,2014-04-01,145,122,116,111,144,122,405,355,760
CORQUE,estado nutricional,total talla normal,2014-04-01,68,45,40,46,64,42,172,133,305
COTAGAITA,estado nutricional,total talla normal,2014-04-01,167,175,146,140,160,150,473,465,938
COTOCA,estado nutricional,total talla normal,2014-04-01,428,443,264,235,214,171,906,849,1755
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-04-01,0,1,0,1,2,2,2,4,6
CUATRO CAÑADAS,estado nutricional,total talla normal,2014-04-01,163,201,151,188,221,161,535,550,1085
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-04-01,6,7,6,5,14,6,26,18,44
CUEVO,estado nutricional,total talla normal,2014-04-01,30,22,25,24,36,29,91,75,166
CULPINA,estado nutricional,total talla normal,2014-04-01,136,136,133,117,159,190,428,443,871
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-04-01,49,37,28,46,31,31,108,114,222
CURVA,estado nutricional,total talla normal,2014-04-01,23,20,18,20,20,20,61,60,121
DESAGUADERO,estado nutricional,total talla normal,2014-04-01,27,42,30,27,22,25,79,94,173
EL ALTO,estado nutricional,total talla normal,2014-04-01,5913,5411,4145,3875,5664,5243,15722,14529,30251
EL CHORO,estado nutricional,total talla normal,2014-04-01,49,43,39,26,63,56,151,125,276
EL PUENTE(STC),estado nutricional,total talla normal,2014-04-01,153,94,79,78,86,99,318,271,589
EL PUENTE(TJA),estado nutricional,total talla normal,2014-04-01,88,81,90,74,86,93,264,248,512
EL TORNO,estado nutricional,total talla normal,2014-04-01,432,373,254,242,287,267,973,882,1855
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-04-01,184,168,174,185,175,195,533,548,1081
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-04-01,416,361,299,233,278,275,993,869,1862
ESCARA,estado nutricional,total talla normal,2014-04-01,2,11,2,2,6,2,10,15,25
ESCOMA,estado nutricional,total talla normal,2014-04-01,29,27,24,33,42,40,95,100,195
ESMERALDA,estado nutricional,total talla normal,2014-04-01,3,2,3,4,1,1,7,7,14
EUCALIPTUS,estado nutricional,total talla normal,2014-04-01,50,36,60,58,41,28,151,122,273
