,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TARACO,estado nutricional,total talla baja,2014-03-01,2,2,10,0,5,3,17,5,22
TARATA,estado nutricional,total talla baja,2014-03-01,6,2,5,4,6,4,17,10,27
TARIJA,estado nutricional,total talla baja,2014-03-01,37,22,50,21,41,31,128,74,202
TARVITA,estado nutricional,total talla baja,2014-03-01,16,14,28,20,80,92,124,126,250
TEOPONTE,estado nutricional,total talla baja,2014-03-01,0,0,3,4,6,2,9,6,15
TIAWANACU,estado nutricional,total talla baja,2014-03-01,19,8,23,18,20,14,62,40,102
TINGUIPAYA,estado nutricional,total talla baja,2014-03-01,41,24,75,68,43,34,159,126,285
TIPUANI,estado nutricional,total talla baja,2014-03-01,1,0,8,9,1,4,10,13,23
TIQUIPAYA,estado nutricional,total talla baja,2014-03-01,15,18,32,25,25,21,72,64,136
TIRAQUE (CBBA),estado nutricional,total talla baja,2014-03-01,12,11,24,18,16,14,52,43,95
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla baja,2014-03-01,0,0,2,2,1,0,3,2,5
TOCO,estado nutricional,total talla baja,2014-03-01,2,1,2,1,3,3,7,5,12
TODOS SANTOS,estado nutricional,total talla baja,2014-03-01,1,0,0,0,0,0,1,0,1
TOLATA,estado nutricional,total talla baja,2014-03-01,0,1,2,2,1,2,3,5,8
TOLEDO,estado nutricional,total talla baja,2014-03-01,9,2,6,2,4,2,19,6,25
TOMAVE,estado nutricional,total talla baja,2014-03-01,10,7,28,8,22,17,60,32,92
TORO TORO,estado nutricional,total talla baja,2014-03-01,10,9,23,19,41,37,74,65,139
TOTORA(CBBA),estado nutricional,total talla baja,2014-03-01,18,11,34,17,23,10,75,38,113
TOTORA(ORR),estado nutricional,total talla baja,2014-03-01,4,2,12,6,5,7,21,15,36
TRIGAL,estado nutricional,total talla baja,2014-03-01,0,0,0,1,0,0,0,1,1
TRINIDAD,estado nutricional,total talla baja,2014-03-01,14,8,12,18,17,21,43,47,90
TUPIZA,estado nutricional,total talla baja,2014-03-01,19,21,35,22,36,20,90,63,153
TURCO,estado nutricional,total talla baja,2014-03-01,1,0,3,3,5,2,9,5,14
UMALA,estado nutricional,total talla baja,2014-03-01,4,4,8,10,12,13,24,27,51
UNCIA,estado nutricional,total talla baja,2014-03-01,20,19,60,33,35,17,115,69,184
URIONDO (A. CONCEPCION),estado nutricional,total talla baja,2014-03-01,3,0,2,1,1,4,6,5,11
URUBICHA,estado nutricional,total talla baja,2014-03-01,7,10,19,5,3,2,29,17,46
UYUNI,estado nutricional,total talla baja,2014-03-01,8,10,31,5,8,12,47,27,74
VACAS,estado nutricional,total talla baja,2014-03-01,18,15,30,18,44,44,92,77,169
VALLEGRANDE,estado nutricional,total talla baja,2014-03-01,6,1,7,6,1,7,14,14,28
VIACHA,estado nutricional,total talla baja,2014-03-01,60,45,71,127,46,26,177,198,375
VILA VILA,estado nutricional,total talla baja,2014-03-01,9,11,14,18,22,31,45,60,105
VILLA CHARCAS,estado nutricional,total talla baja,2014-03-01,16,7,38,38,89,85,143,130,273
VILLA MONTES,estado nutricional,total talla baja,2014-03-01,7,9,12,8,7,6,26,23,49
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla baja,2014-03-01,0,0,6,0,1,3,7,3,10
VILLA RIVERO,estado nutricional,total talla baja,2014-03-01,6,7,23,18,11,6,40,31,71
VILLA TUNARI,estado nutricional,total talla baja,2014-03-01,31,18,51,68,89,103,171,189,360
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla baja,2014-03-01,4,2,6,1,5,11,15,14,29
VILLAZON,estado nutricional,total talla baja,2014-03-01,11,11,12,5,10,9,33,25,58
VINTO,estado nutricional,total talla baja,2014-03-01,3,2,19,18,5,4,27,24,51
VITICHI,estado nutricional,total talla baja,2014-03-01,4,5,13,5,17,20,34,30,64
WALDO BALLIVIAN,estado nutricional,total talla baja,2014-03-01,0,1,3,5,8,2,11,8,19
WARNES,estado nutricional,total talla baja,2014-03-01,31,51,37,17,15,23,83,91,174
YACO,estado nutricional,total talla baja,2014-03-01,4,5,9,11,19,13,32,29,61
YACUIBA,estado nutricional,total talla baja,2014-03-01,26,12,54,26,32,36,112,74,186
YAMPARAEZ,estado nutricional,total talla baja,2014-03-01,3,3,18,9,43,55,64,67,131
YANACACHI,estado nutricional,total talla baja,2014-03-01,0,1,1,2,5,1,6,4,10
YAPACANI,estado nutricional,total talla baja,2014-03-01,4,1,8,8,4,4,16,13,29
YOCALLA,estado nutricional,total talla baja,2014-03-01,0,2,11,10,5,5,16,17,33
YOTALA,estado nutricional,total talla baja,2014-03-01,5,0,6,6,20,8,31,14,45
YUNCHARA,estado nutricional,total talla baja,2014-03-01,11,7,19,11,29,20,59,38,97
YUNGUYO DE LITORAL,estado nutricional,total talla baja,2014-03-01,0,0,0,0,1,0,1,0,1
ZUDAÑEZ,estado nutricional,total talla baja,2014-03-01,5,6,13,7,39,38,57,51,108
ACACIO,estado nutricional,total talla baja,2014-04-01,7,7,15,13,29,36,51,56,107
ACHACACHI,estado nutricional,total talla baja,2014-04-01,17,11,27,21,13,20,57,52,109
ACHOCALLA,estado nutricional,total talla baja,2014-04-01,13,6,15,3,14,9,42,18,60
AIQUILE,estado nutricional,total talla baja,2014-04-01,6,1,12,12,23,14,41,27,68
ALALAY,estado nutricional,total talla baja,2014-04-01,6,4,12,9,10,11,28,24,52
ALTO BENI,estado nutricional,total talla baja,2014-04-01,3,0,13,4,15,19,31,23,54
ANCORAIMES,estado nutricional,total talla baja,2014-04-01,17,6,20,14,19,17,56,37,93
ANDAMARCA,estado nutricional,total talla baja,2014-04-01,7,3,8,8,28,22,43,33,76
ANTEQUERA,estado nutricional,total talla baja,2014-04-01,2,2,8,6,1,2,11,10,21
ANZALDO,estado nutricional,total talla baja,2014-04-01,4,5,5,12,10,8,19,25,44
APOLO,estado nutricional,total talla baja,2014-04-01,15,8,36,17,22,17,73,42,115
ARAMPAMPA,estado nutricional,total talla baja,2014-04-01,2,0,17,6,4,14,23,20,43
ARANI,estado nutricional,total talla baja,2014-04-01,8,9,14,17,24,10,46,36,82
ARBIETO,estado nutricional,total talla baja,2014-04-01,2,2,6,5,8,15,16,22,38
ARQUE,estado nutricional,total talla baja,2014-04-01,6,10,36,42,60,38,102,90,192
ASCENCION DE GUARAYOS,estado nutricional,total talla baja,2014-04-01,4,2,9,4,22,14,35,20,55
ATOCHA,estado nutricional,total talla baja,2014-04-01,9,1,14,9,11,23,34,33,67
AUCAPATA,estado nutricional,total talla baja,2014-04-01,3,4,7,5,10,3,20,12,32
AYATA,estado nutricional,total talla baja,2014-04-01,8,3,17,23,15,14,40,40,80
AYO AYO,estado nutricional,total talla baja,2014-04-01,10,8,17,15,9,17,36,40,76
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-04-01,25,27,51,43,44,37,120,107,227
AZURDUY,estado nutricional,total talla baja,2014-04-01,16,7,35,21,67,87,118,115,233
BATALLAS,estado nutricional,total talla baja,2014-04-01,4,3,17,17,11,5,32,25,57
BAURES,estado nutricional,total talla baja,2014-04-01,0,0,5,2,7,5,12,7,19
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-04-01,0,1,6,2,2,4,8,7,15
BELEN DE URMIRI,estado nutricional,total talla baja,2014-04-01,0,1,5,3,1,4,6,8,14
BELLA FLOR,estado nutricional,total talla baja,2014-04-01,0,0,0,3,3,1,3,4,7
BERMEJO,estado nutricional,total talla baja,2014-04-01,5,2,4,7,3,9,12,18,30
BETANZOS,estado nutricional,total talla baja,2014-04-01,37,29,97,70,104,95,238,194,432
BOLIVAR,estado nutricional,total talla baja,2014-04-01,22,21,50,23,45,50,117,94,211
BOLPEBRA,estado nutricional,total talla baja,2014-04-01,3,1,4,2,6,4,13,7,20
BOYUIBE,estado nutricional,total talla baja,2014-04-01,1,0,0,0,0,0,1,0,1
BUENA VISTA,estado nutricional,total talla baja,2014-04-01,2,1,0,1,4,2,6,4,10
CABEZAS,estado nutricional,total talla baja,2014-04-01,0,2,4,1,3,0,7,3,10
CAIROMA,estado nutricional,total talla baja,2014-04-01,9,5,12,8,14,12,35,25,60
"CAIZA ""D""",estado nutricional,total talla baja,2014-04-01,7,5,15,7,21,21,43,33,76
CAJUATA,estado nutricional,total talla baja,2014-04-01,11,2,9,5,13,12,33,19,52
CALACOTO,estado nutricional,total talla baja,2014-04-01,5,1,9,5,2,1,16,7,23
CALAMARCA,estado nutricional,total talla baja,2014-04-01,13,5,23,9,27,25,63,39,102
CAMARGO,estado nutricional,total talla baja,2014-04-01,16,8,28,14,44,52,88,74,162
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-04-01,1,0,7,3,14,9,22,12,34
CAMIRI,estado nutricional,total talla baja,2014-04-01,4,7,8,10,5,6,17,23,40
CAPINOTA,estado nutricional,total talla baja,2014-04-01,6,12,29,17,19,11,54,40,94
CAQUIAVIRI,estado nutricional,total talla baja,2014-04-01,6,4,23,4,9,8,38,16,54
CARACOLLO,estado nutricional,total talla baja,2014-04-01,9,5,26,15,21,18,56,38,94
CARANAVI,estado nutricional,total talla baja,2014-04-01,4,7,26,23,49,60,79,90,169
CARANGAS,estado nutricional,total talla baja,2014-04-01,0,0,1,0,1,1,2,1,3
CARAPARI,estado nutricional,total talla baja,2014-04-01,0,1,5,1,7,4,12,6,18
CARIPUYO,estado nutricional,total talla baja,2014-04-01,13,10,40,19,33,44,86,73,159
CARMEN RIVERO TORREZ,estado nutricional,total talla baja,2014-04-01,0,1,0,0,0,1,0,2,2
CATACORA,estado nutricional,total talla baja,2014-04-01,2,0,4,4,7,1,13,5,18
CHACARILLA,estado nutricional,total talla baja,2014-04-01,1,0,0,0,0,1,1,1,2
CHALLAPATA,estado nutricional,total talla baja,2014-04-01,36,27,76,46,92,73,204,146,350
CHAQUI,estado nutricional,total talla baja,2014-04-01,10,4,19,12,16,12,45,28,73
CHARAGUA,estado nutricional,total talla baja,2014-04-01,1,6,4,1,1,1,6,8,14
CHARAÑA,estado nutricional,total talla baja,2014-04-01,1,2,2,3,1,1,4,6,10
CHAYANTA,estado nutricional,total talla baja,2014-04-01,32,13,46,40,56,49,134,102,236
CHIMORE,estado nutricional,total talla baja,2014-04-01,7,3,12,25,21,23,40,51,91
CHIPAYA,estado nutricional,total talla baja,2014-04-01,0,1,5,1,5,2,10,4,14
CHUA COCANI,estado nutricional,total talla baja,2014-04-01,0,0,0,0,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-04-01,0,0,2,1,2,1,4,2,6
CHUMA,estado nutricional,total talla baja,2014-04-01,11,3,19,6,20,11,50,20,70
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-04-01,3,5,22,11,17,6,42,22,64
CKOCHAS,estado nutricional,total talla baja,2014-04-01,18,26,63,44,73,81,154,151,305
CLIZA,estado nutricional,total talla baja,2014-04-01,11,13,14,8,6,5,31,26,57
COBIJA,estado nutricional,total talla baja,2014-04-01,22,18,36,18,18,21,76,57,133
COCAPATA,estado nutricional,total talla baja,2014-04-01,16,21,52,46,94,102,162,169,331
COCHABAMBA,estado nutricional,total talla baja,2014-04-01,138,125,270,237,219,181,627,543,1170
COIPASA,estado nutricional,total talla baja,2014-04-01,1,0,0,0,0,0,1,0,1
COLCAPIRHUA,estado nutricional,total talla baja,2014-04-01,6,3,16,11,11,20,33,34,67
"COLCHA ""K""",estado nutricional,total talla baja,2014-04-01,16,11,20,11,12,19,48,41,89
COLLANA,estado nutricional,total talla baja,2014-04-01,1,3,6,0,1,2,8,5,13
COLOMI,estado nutricional,total talla baja,2014-04-01,12,11,40,27,28,29,80,67,147
COLPA BELGICA,estado nutricional,total talla baja,2014-04-01,0,1,0,2,0,0,0,3,3
COLQUECHACA,estado nutricional,total talla baja,2014-04-01,64,52,140,98,92,73,296,223,519
COLQUENCHA,estado nutricional,total talla baja,2014-04-01,8,4,15,10,12,10,35,24,59
COLQUIRI,estado nutricional,total talla baja,2014-04-01,17,14,11,11,20,12,48,37,85
COMANCHE,estado nutricional,total talla baja,2014-04-01,2,1,7,4,3,0,12,5,17
COMARAPA,estado nutricional,total talla baja,2014-04-01,5,8,17,10,10,10,32,28,60
COMBAYA,estado nutricional,total talla baja,2014-04-01,1,0,0,1,4,2,5,3,8
CONCEPCION,estado nutricional,total talla baja,2014-04-01,12,6,11,6,9,9,32,21,53
COPACABANA,estado nutricional,total talla baja,2014-04-01,2,0,8,4,9,5,19,9,28
CORIPATA,estado nutricional,total talla baja,2014-04-01,0,0,4,2,2,2,6,4,10
CORO CORO,estado nutricional,total talla baja,2014-04-01,10,8,17,11,14,17,41,36,77
COROICO,estado nutricional,total talla baja,2014-04-01,4,6,12,11,13,15,29,32,61
CORQUE,estado nutricional,total talla baja,2014-04-01,10,5,8,7,12,7,30,19,49
COTAGAITA,estado nutricional,total talla baja,2014-04-01,15,9,45,23,41,41,101,73,174
COTOCA,estado nutricional,total talla baja,2014-04-01,3,8,9,3,5,8,17,19,36
CUATRO CAÑADAS,estado nutricional,total talla baja,2014-04-01,1,1,3,0,1,3,5,4,9
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla baja,2014-04-01,0,2,2,1,1,2,3,5,8
CUEVO,estado nutricional,total talla baja,2014-04-01,0,3,3,1,4,6,7,10,17
CULPINA,estado nutricional,total talla baja,2014-04-01,22,13,35,27,56,57,113,97,210
CURAHUARA DE CARANGAS,estado nutricional,total talla baja,2014-04-01,14,4,12,4,12,4,38,12,50
CURVA,estado nutricional,total talla baja,2014-04-01,5,1,5,5,15,13,25,19,44
DESAGUADERO,estado nutricional,total talla baja,2014-04-01,0,1,2,1,5,1,7,3,10
EL ALTO,estado nutricional,total talla baja,2014-04-01,521,361,712,415,630,523,1863,1299,3162
EL CHORO,estado nutricional,total talla baja,2014-04-01,0,0,5,3,4,0,9,3,12
EL PUENTE(STC),estado nutricional,total talla baja,2014-04-01,0,0,1,0,2,1,3,1,4
EL PUENTE(TJA),estado nutricional,total talla baja,2014-04-01,4,3,12,13,25,19,41,35,76
EL TORNO,estado nutricional,total talla baja,2014-04-01,4,3,9,5,17,13,30,21,51
ENTRE RIOS TRJ,estado nutricional,total talla baja,2014-04-01,2,2,4,4,11,9,17,15,32
ENTRE RIOS CBBA,estado nutricional,total talla baja,2014-04-01,6,3,11,8,16,14,33,25,58
ESCARA,estado nutricional,total talla baja,2014-04-01,0,0,0,2,0,0,0,2,2
ESCOMA,estado nutricional,total talla baja,2014-04-01,2,4,1,4,5,5,8,13,21
ESMERALDA,estado nutricional,total talla baja,2014-04-01,0,0,1,0,0,2,1,2,3
EUCALIPTUS,estado nutricional,total talla baja,2014-04-01,0,1,8,3,3,6,11,10,21
EUREKA (SANTOS MERCADO),estado nutricional,total talla baja,2014-04-01,0,0,0,0,0,2,0,2,2
EXALTACION,estado nutricional,total talla baja,2014-04-01,0,0,0,0,3,2,3,2,5
FERNANDEZ ALONSO,estado nutricional,total talla baja,2014-04-01,0,1,3,3,5,4,8,8,16
FILADELFIA,estado nutricional,total talla baja,2014-04-01,2,1,6,0,6,3,14,4,18
GENERAL SAAVEDRA,estado nutricional,total talla baja,2014-04-01,3,2,14,10,4,13,21,25,46
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla baja,2014-04-01,8,3,17,8,22,21,47,32,79
GUANAY,estado nutricional,total talla baja,2014-04-01,5,3,6,4,17,10,28,17,45
GUAQUI,estado nutricional,total talla baja,2014-04-01,1,0,8,4,7,7,16,11,27
GUAYARAMERIN,estado nutricional,total talla baja,2014-04-01,28,22,36,25,40,25,104,72,176
GUTIERREZ,estado nutricional,total talla baja,2014-04-01,11,10,29,22,47,45,87,77,164
HUACARETA,estado nutricional,total talla baja,2014-04-01,0,1,3,3,11,8,14,12,26
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla baja,2014-04-01,1,1,7,0,6,3,14,4,18
HUACHACALLA,estado nutricional,total talla baja,2014-04-01,1,2,0,1,1,0,2,3,5
HUANUNI,estado nutricional,total talla baja,2014-04-01,54,30,39,35,31,37,124,102,226
HUARACAJE,estado nutricional,total talla baja,2014-04-01,1,0,0,2,2,0,3,2,5
HUARINA,estado nutricional,total talla baja,2014-04-01,8,2,3,2,3,1,14,5,19
HUATAJATA,estado nutricional,total talla baja,2014-04-01,5,1,3,0,1,6,9,7,16
HUAYLLAMARCA,estado nutricional,total talla baja,2014-04-01,2,1,4,5,7,3,13,9,22
HUMANATA,estado nutricional,total talla baja,2014-04-01,6,3,19,10,6,12,31,25,56
ICHOCA,estado nutricional,total talla baja,2014-04-01,6,3,12,17,19,17,37,37,74
ICLA,estado nutricional,total talla baja,2014-04-01,15,9,17,20,82,65,114,94,208
INGAVI (HUMAITA),estado nutricional,total talla baja,2014-04-01,1,1,1,0,0,0,2,1,3
INQUISIVI,estado nutricional,total talla baja,2014-04-01,9,6,10,5,6,11,25,22,47
IRUPANA (VILLA DE LANZA),estado nutricional,total talla baja,2014-04-01,1,1,1,1,0,1,2,3,5
IXIAMAS,estado nutricional,total talla baja,2014-04-01,0,0,2,2,3,1,5,3,8
JESUS DE MACHACA,estado nutricional,total talla baja,2014-04-01,11,8,5,9,8,11,24,28,52
LA ASUNTA,estado nutricional,total talla baja,2014-04-01,1,0,2,4,0,4,3,8,11
LA GUARDIA,estado nutricional,total talla baja,2014-04-01,6,6,7,4,6,7,19,17,36
LA PAZ,estado nutricional,total talla baja,2014-04-01,467,279,510,301,431,367,1408,947,2355
LA RIVERA,estado nutricional,total talla baja,2014-04-01,0,0,0,1,0,0,0,1,1
LAGUNILLAS,estado nutricional,total talla baja,2014-04-01,1,1,3,3,8,8,12,12,24
LAJA,estado nutricional,total talla baja,2014-04-01,5,4,12,15,10,10,27,29,56
LAS CARRERAS,estado nutricional,total talla baja,2014-04-01,0,0,1,2,6,7,7,9,16
LICOMA PAMPA,estado nutricional,total talla baja,2014-04-01,1,0,3,0,2,0,6,0,6
LLALLAGUA,estado nutricional,total talla baja,2014-04-01,37,19,49,40,27,31,113,90,203
LLICA,estado nutricional,total talla baja,2014-04-01,6,2,4,0,5,1,15,3,18
LORETO,estado nutricional,total talla baja,2014-04-01,2,1,4,1,5,4,11,6,17
LURIBAY,estado nutricional,total talla baja,2014-04-01,2,1,5,2,12,5,19,8,27
MACHACAMARCA,estado nutricional,total talla baja,2014-04-01,4,3,6,7,2,8,12,18,30
MACHARETI,estado nutricional,total talla baja,2014-04-01,6,3,5,2,7,6,18,11,29
MAGDALENA,estado nutricional,total talla baja,2014-04-01,5,1,7,4,2,1,14,6,20
MAIRANA,estado nutricional,total talla baja,2014-04-01,0,1,1,0,1,1,2,2,4
MALLA,estado nutricional,total talla baja,2014-04-01,3,3,2,4,9,9,14,16,30
MAPIRI,estado nutricional,total talla baja,2014-04-01,1,1,8,1,10,6,19,8,27
MECAPACA,estado nutricional,total talla baja,2014-04-01,4,3,3,2,14,4,21,9,30
MINEROS,estado nutricional,total talla baja,2014-04-01,2,3,5,2,6,6,13,11,24
MIZQUE,estado nutricional,total talla baja,2014-04-01,41,30,46,39,48,44,135,113,248
MOCOMOCO,estado nutricional,total talla baja,2014-04-01,4,0,21,10,6,9,31,19,50
MOJINETE,estado nutricional,total talla baja,2014-04-01,1,0,1,0,1,3,3,3,6
MOJOCOYA,estado nutricional,total talla baja,2014-04-01,6,2,13,5,21,38,40,45,85
MONTEAGUDO,estado nutricional,total talla baja,2014-04-01,8,3,12,11,17,24,37,38,75
MONTERO,estado nutricional,total talla baja,2014-04-01,20,9,22,16,20,25,62,50,112
MORO MORO,estado nutricional,total talla baja,2014-04-01,0,1,4,1,2,1,6,3,9
MOROCHATA,estado nutricional,total talla baja,2014-04-01,21,12,43,26,56,64,120,102,222
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla baja,2014-04-01,2,0,0,1,4,2,6,3,9
NAZACARA DE PACAJES,estado nutricional,total talla baja,2014-04-01,0,1,1,1,3,2,4,4,8
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla baja,2014-04-01,1,0,0,0,3,1,4,1,5
OCURI,estado nutricional,total talla baja,2014-04-01,27,23,65,41,89,66,181,130,311
OKINAWA,estado nutricional,total talla baja,2014-04-01,0,4,2,0,3,1,5,5,10
OMEREQUE,estado nutricional,total talla baja,2014-04-01,3,0,2,2,4,1,9,3,12
ORURO,estado nutricional,total talla baja,2014-04-01,234,135,396,219,158,156,788,510,1298
PADCAYA,estado nutricional,total talla baja,2014-04-01,4,0,11,4,4,2,19,6,25
PAILON,estado nutricional,total talla baja,2014-04-01,2,1,2,3,6,4,10,8,18
PALCA,estado nutricional,total talla baja,2014-04-01,12,0,25,7,13,13,50,20,70
PALOS BLANCOS,estado nutricional,total talla baja,2014-04-01,8,6,20,13,21,40,49,59,108
PAMPA AULLAGAS,estado nutricional,total talla baja,2014-04-01,3,1,10,4,5,10,18,15,33
PAMPA GRANDE,estado nutricional,total talla baja,2014-04-01,0,0,2,1,0,0,2,1,3
PAPEL PAMPA,estado nutricional,total talla baja,2014-04-01,3,1,7,2,4,6,14,9,23
PASORAPA,estado nutricional,total talla baja,2014-04-01,1,0,2,2,1,4,4,6,10
PATACAMAYA,estado nutricional,total talla baja,2014-04-01,28,8,28,17,13,10,69,35,104
PAZÑA,estado nutricional,total talla baja,2014-04-01,10,4,15,13,16,24,41,41,82
PELECHUCO,estado nutricional,total talla baja,2014-04-01,2,3,18,7,11,2,31,12,43
POCOATA,estado nutricional,total talla baja,2014-04-01,24,12,69,50,84,81,177,143,320
POCONA,estado nutricional,total talla baja,2014-04-01,7,3,17,12,12,9,36,24,60
POJO (CBBA),estado nutricional,total talla baja,2014-04-01,4,5,21,6,15,12,40,23,63
POOPO,estado nutricional,total talla baja,2014-04-01,2,2,3,1,4,2,9,5,14
PORCO,estado nutricional,total talla baja,2014-04-01,22,9,40,15,16,7,78,31,109
POROMA,estado nutricional,total talla baja,2014-04-01,18,12,47,33,63,53,128,98,226
PORONGO,estado nutricional,total talla baja,2014-04-01,0,1,1,0,2,0,3,1,4
PORTACHUELO,estado nutricional,total talla baja,2014-04-01,0,2,0,0,0,3,0,5,5
PORVENIR,estado nutricional,total talla baja,2014-04-01,5,1,2,1,2,5,9,7,16
POSTRER VALLE,estado nutricional,total talla baja,2014-04-01,0,0,3,1,4,3,7,4,11
POTOSI,estado nutricional,total talla baja,2014-04-01,209,142,291,168,115,95,615,405,1020
PRESTO,estado nutricional,total talla baja,2014-04-01,9,9,32,28,58,63,99,100,199
PUCARA,estado nutricional,total talla baja,2014-04-01,2,0,2,0,3,4,7,4,11
PUCARANI,estado nutricional,total talla baja,2014-04-01,10,8,24,11,12,9,46,28,74
PUERTO ACOSTA,estado nutricional,total talla baja,2014-04-01,6,4,13,4,7,2,26,10,36
PUERTO CARABUCO,estado nutricional,total talla baja,2014-04-01,7,2,10,8,20,10,37,20,57
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-04-01,22,3,17,16,25,18,64,37,101
PUERTO PEREZ,estado nutricional,total talla baja,2014-04-01,1,0,0,1,1,1,2,2,4
PUERTO QUIJARRO,estado nutricional,total talla baja,2014-04-01,1,1,0,1,0,0,1,2,3
PUERTO RICO,estado nutricional,total talla baja,2014-04-01,6,2,7,3,5,13,18,18,36
PUERTO SUAREZ,estado nutricional,total talla baja,2014-04-01,8,4,4,4,7,2,19,10,29
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-04-01,12,9,34,34,28,25,74,68,142
PUNA,estado nutricional,total talla baja,2014-04-01,12,7,40,23,47,49,99,79,178
PUNATA,estado nutricional,total talla baja,2014-04-01,22,15,16,16,12,13,50,44,94
QUIABAYA,estado nutricional,total talla baja,2014-04-01,4,2,4,5,6,5,14,12,26
QUILLACOLLO,estado nutricional,total talla baja,2014-04-01,53,65,97,82,133,92,283,239,522
QUIME,estado nutricional,total talla baja,2014-04-01,2,5,8,4,4,3,14,12,26
QUIRUSILLAS,estado nutricional,total talla baja,2014-04-01,0,0,0,0,0,1,0,1,1
RAVELO,estado nutricional,total talla baja,2014-04-01,22,14,72,58,123,134,217,206,423
REYES,estado nutricional,total talla baja,2014-04-01,8,3,11,5,5,5,24,13,37
RIBERALTA,estado nutricional,total talla baja,2014-04-01,55,27,82,72,60,55,197,154,351
ROBORE,estado nutricional,total talla baja,2014-04-01,3,1,0,0,1,1,4,2,6
